year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,19243.929742977663,38725.160187030466,854.0528807919222,363.0987409198289,69666.1962794005,34942.37198355099,79565.36634053549,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4969310667135658,0.8360525675024042,108.26785463775987,0.0,0.0,0.4640886645897352,0.0,1246.0215376617537,0.0,0.0,0.0,1474.5818743763593,3182.6278391874716,0.0,961.0771290996244,0.0,0.0,0.0,43149.95359747674,0.0
1993,19238.997837020135,38712.563255410045,854.0528807919222,362.63218400063744,69665.07897730317,34941.99563638605,79565.08743931407,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4969310667135658,0.8360525675024042,108.26785463775987,0.0,0.0,0.4640886645897352,0.0,1246.0215376617537,0.0,0.0,0.0,1474.5818743763593,3182.1660342634045,0.0,981.4959477769614,0.0,0.0,0.0,43149.76452870429,0.0
1994,19234.798194168197,38701.70521938232,854.0528807919222,362.44715527714817,69663.78062755668,34941.620544997175,79564.9932118939,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4969310667135658,0.8360525675024042,108.26785463775987,0.0,0.0,0.4640886645897352,0.0,1246.0215376617537,0.0,0.0,0.0,1474.5818743763593,3181.6069805045327,0.0,999.2544388652364,0.0,0.0,0.0,43149.575467533534,0.0
1995,19362.549840287287,38855.531384693524,868.2692291064524,362.4449825161667,70224.88539316352,35498.859766043395,78171.4173304154,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4969310667135658,0.8360525675024042,83.8506462146936,0.0,0.0,0.4640886645897352,0.0,1276.7274660954395,0.0,0.0,0.0,1504.058719017719,3231.1797243351257,0.0,1019.5935917930516,0.0,0.0,0.0,43023.33791396496,0.0
1996,19367.855286238177,38856.23411899879,875.1944099948763,361.4286303863211,69972.20067288022,35561.8910449673,78264.28128752769,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4033496598932744,0.8360525675024042,83.94144937029057,0.0,0.0,0.4640886645897352,0.0,1285.9871559700473,0.0,0.0,0.0,1512.28679705686,3247.210062435959,0.0,1043.815869135654,0.0,0.0,0.0,43050.472784091384,0.0
1997,19369.278868855425,38853.351817731564,887.4572836823104,360.6836129384682,69795.81666004602,35689.04958213888,78243.62959809584,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4033496598932744,0.8360525675024042,84.7583196333172,0.0,0.0,0.4640886645897352,0.0,1291.2614125053167,0.0,0.0,0.0,1522.6538081419772,3267.961861581489,0.0,1066.2036765441005,0.0,0.0,0.0,43050.69306715884,0.0
1998,19379.233880776526,38854.75991547034,900.3389020870981,360.31148032878195,69554.5881639424,35755.77215218534,78336.08453874022,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4946943670519874,0.8360525675024042,84.7583196333172,0.0,0.0,0.4640886645897352,0.0,1296.3794880891521,0.0,0.0,0.0,1547.2269643308555,3277.3744977833876,0.0,1086.244576179421,0.0,0.0,0.0,43049.63534479953,0.0
1999,19379.059883982445,38849.79142153471,932.8922343403766,359.38638712967236,69268.06513346249,35892.30839499468,78369.62909336684,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4946943670519874,1.199135439436945,92.24940143468648,0.0,0.0,0.4640886645897352,0.0,1299.9671041391518,0.0,0.0,0.0,1574.3866735857296,3298.295182154452,0.0,1106.6642143259205,0.0,0.0,0.0,43059.65001702322,0.0
2000,19375.170707943245,38841.59115268926,934.2672962996265,358.63454859782104,68725.73576857132,35844.28113297803,78909.57582771975,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4946943670519874,1.2899029436218252,95.19321353319091,0.0,0.0,0.4640886645897352,0.0,1301.43007659198,0.0,0.0,0.0,1605.2205576067638,3305.8377899979723,0.0,1128.167382188932,0.0,0.0,0.0,43057.14891925253,0.0
2001,19424.171103900808,38869.74154577922,938.5888827144025,357.52802334718126,68468.86615157138,35926.934110565315,78959.05732416389,0.0,0.0,0.0,0.0,0.0,0.0,0.8434581558034121,0.0,0.0,0.0,1.4946943670519874,1.4714493778171316,92.05555275138602,0.0,0.0,0.4640886645897352,0.0,1298.844086764593,0.0,0.0,0.0,1623.1822280001572,3307.2222249544293,0.0,1161.4532873188903,0.0,0.0,0.0,43054.42830570443,0.0
