year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,47143.36787593564,112252.5744332382,1589.2168882307599,0.0,22343.558796570498,4825.364812826396,0.0,9539.902111780277,21.04111195288633,0.0,58232.72685863448,0.0,0.0,0.586302094190219,0.0,0.0,16212.389987985787,9344.24921833449,123.53979066209742,0.0,0.0,0.0,15622.483743177794,0.0,89.87056382043431,0.0,0.0,0.0,0.0,0.0,908.4556894648026,3707.1844549188686,12.296918041029517,1.7272952868169413,4.073203025647777,7270.052294339033,0.0
1993,47122.69938473271,112213.43071503073,1589.2168882307599,0.0,22338.827125122483,4813.392329773069,0.0,9538.969858519325,21.04111195288633,0.0,58221.14161381687,0.0,0.0,0.586302094190219,0.0,0.0,16210.41320836881,9342.629664444483,123.53979066209742,0.0,0.0,0.0,15621.295696595615,0.0,89.45603635134722,0.0,0.0,0.0,0.0,0.0,908.4556894648026,3801.7122994982487,12.296918041029517,1.7272952868169413,4.073203025647777,7269.757219308176,0.0
1994,47101.12335067544,112168.18002417665,1588.7436784096487,0.0,22333.895699263507,4804.200526660859,0.0,9538.323389637822,21.04111195288633,0.0,58208.301621825754,0.0,0.0,0.586302094190219,0.0,0.0,16208.619804864267,9342.088652645756,123.53979066209742,0.0,0.0,0.0,15619.643428081756,0.0,88.8102016779388,0.0,0.0,0.0,0.0,0.0,908.4556894648026,3901.4846103593763,12.296918041029517,1.7272952868169413,4.073203025647777,7269.527051513912,0.0
1995,46667.365416998975,112710.42854243738,1589.5874104056852,0.0,22137.348683799504,3945.579748861311,0.0,9510.594233538948,21.384730406925705,0.0,58458.91518613514,0.0,0.0,0.586302094190219,0.0,0.0,16627.715367707515,9430.794296944041,124.00276568810764,0.0,0.0,0.0,15732.147186525212,0.0,88.41753133435151,0.0,0.0,0.0,0.0,0.0,908.3597265812648,3997.951523478215,12.296918041029517,1.7272952868169413,4.073203025647777,7275.386281029951,0.0
1996,46300.31749126057,112695.49067906632,1589.349816738178,0.0,21841.013525222934,3404.1941774446877,0.0,9577.24719530793,21.4418277706682,0.0,59094.32703518048,0.0,0.0,0.586302094190219,0.0,0.0,16969.131116798402,9485.919419992315,122.91061956250297,0.0,0.0,0.0,15739.684248361678,0.0,88.84069864470416,0.0,0.0,0.0,0.23818083892962205,0.0,906.1411479517672,4097.18447155352,12.122505765940534,1.7272952868169413,4.073203025647777,7292.721392451971,0.0
1997,46195.621378362,112721.14169006294,1589.1684843487055,0.0,21778.116583865467,3077.844507223587,0.0,9623.153756374177,21.838719811475727,0.0,59192.50640352537,0.0,0.0,0.586302094190219,0.0,0.0,17140.40107592326,9529.961502753249,123.15116460734706,0.0,0.0,0.0,15756.546829605983,0.0,88.20215690689834,0.0,0.0,0.0,0.23818083892962205,0.0,904.7744895699147,4188.040855584434,12.122505765940534,1.7272952868169413,4.073203025647777,7295.445264783876,0.0
1998,46146.68478193936,112701.1008648595,1588.9900941079693,0.0,21768.785892625197,2923.3455718364867,0.0,9622.532486701894,21.838719811475727,0.0,59197.48717647639,0.0,0.0,0.586302094190219,0.0,0.0,17216.019891873533,9562.486494613087,123.15116460734706,0.0,0.0,0.0,15773.145461695822,0.0,85.57571678197316,0.0,0.0,0.0,0.23818083892962205,0.0,904.6183152304677,4292.830749169755,12.064115506316107,1.6660610472590447,4.073203025647777,7297.441105477613,0.0
1999,46045.646099896105,112834.48686098214,1588.814218805391,0.0,21545.57288298179,2155.5715468826497,0.0,9760.355480802575,22.178677385481492,0.0,59261.20225501113,0.0,0.0,0.6413857869329642,0.0,0.0,17592.581995946777,9758.197284445447,123.20895286045857,0.0,0.0,0.0,15850.398092058434,0.0,83.45663413520863,0.0,0.0,0.0,0.23818083892962205,0.0,904.549646531486,4400.673564237312,12.825325970782409,1.6660610472590447,4.5138914531931125,7297.883312260694,0.0
2000,46000.79857760865,112800.65328549019,1588.755733106351,0.0,21499.35535762354,1966.1761650289602,0.0,9833.626291980896,22.969301571316873,0.0,59213.934900064734,0.0,0.0,0.6413857869329642,0.0,0.0,17688.109734181657,9829.395941915102,123.49888440153411,0.0,0.0,0.0,15864.702844473954,0.0,82.45296743071758,0.0,0.0,0.0,0.23818083892962205,0.0,903.4604388497604,4508.883257064132,12.825325970782409,1.6660610472590447,4.5138914531931125,7298.003824431678,0.0
2001,45869.655862555475,112552.14820984934,1587.6215990841583,0.0,21468.735594176986,1767.903081612243,0.0,9796.67929861551,22.969301571316873,0.0,59158.72186387275,0.0,0.0,0.6413857869329642,0.0,0.0,17707.567690909505,9886.60995161504,122.50057221176222,0.0,0.0,0.0,15881.847726920927,0.0,81.92285727789441,0.0,0.0,0.0,0.23818083892962205,0.0,905.3351342123968,5121.735970579211,12.46792821342342,1.6660610472590447,4.5138914531931125,7293.180187916012,0.0
