year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,7389.708684992353,10559.56896333765,4011.4057333065907,2692.911525745625,6139.090496474231,14680.803182935482,0.0,10896.861531360619,0.0,0.0,9036.675385589077,0.0,0.0,0.0,0.0,0.0,641.3290731232033,16200.92821691053,20.02471342889103,1234.452385746852,0.0,10.24022412905454,475.8108696644993,0.0,103.03407848107703,0.0,0.0,7.629220965700682,0.0,0.0,149.0329118391805,1048.3935603029497,309.5480594842739,8.325793441917927,29.659627705103464,7693.95557381301,0.0
1993,7366.378566402265,10558.629046805632,4011.4057333065907,2692.409828251146,6133.045009268111,14676.619410945292,0.0,10895.636483389126,0.0,0.0,9035.670671592217,0.0,0.0,0.0,0.0,0.0,641.3290731232033,16198.748780634247,19.87412823683268,1234.452385746852,0.0,10.24022412905454,475.8108696644993,0.0,102.95960201905241,0.0,0.0,7.629220965700682,0.0,0.0,148.81161969889828,1089.0622381364024,309.10135936734673,8.325793441917927,29.586741724964316,7693.663025928521,0.0
1994,7342.268941807984,10557.83017169464,4011.3336811539034,2691.765298171689,6127.3050794382725,14671.71611765791,0.0,10894.345913015632,0.0,0.0,9033.442955999288,0.0,0.0,0.0,0.0,0.0,641.3290731232033,16196.509077736993,19.87412823683268,1234.452385746852,0.0,10.24022412905454,475.8108696644993,0.0,102.8116863782146,0.0,0.0,7.629220965700682,0.0,0.0,148.73920170553495,1132.62849633546,308.21880301296846,8.325793441917927,29.514990744707863,7693.297702616611,0.0
1995,7348.460655708122,10566.899856157377,4020.0108127678272,2701.951363319141,6130.410133558895,14592.606685606817,0.0,10863.519288314834,0.0,0.0,9002.183977591143,0.0,0.0,0.0,0.0,0.0,642.9394819699738,16253.305444274714,19.87412823683268,1236.366853703555,0.0,10.24022412905454,477.42093742490215,0.0,101.25768849891452,0.0,0.0,7.629220965700682,0.0,0.0,148.29810991490072,1179.125568084924,307.5575254264971,8.325793441917927,29.368763964856267,7691.637299716968,0.0
1996,7331.912714086862,10567.37604106224,4021.1605547272015,2700.5776866890365,6128.494917566303,14566.142064749796,0.0,10862.526211169587,0.0,0.0,9007.571225874904,0.0,0.0,0.0,0.0,0.0,643.1576071427723,16264.418094549117,19.94881253260179,1236.6657405952856,0.0,10.24022412905454,477.42093742490215,0.0,100.27328392698334,0.0,0.0,7.629220965700682,0.0,0.0,148.6073283146507,1220.4308191318792,306.91978492885585,8.325793441917927,29.6599708508905,7679.9307789173245,0.0
1997,7321.1680959001405,10567.589385227262,4021.515673047969,2700.2747852326506,6128.631653599778,14563.750474621578,0.0,10854.203972913288,0.0,0.0,8987.94303187066,0.0,0.0,0.0,0.0,0.0,643.1576071427723,16268.066618692992,19.94881253260179,1236.6657405952856,0.0,10.24022412905454,477.42093742490215,0.0,100.56344741391445,0.0,0.0,7.629220965700682,0.0,0.0,148.67586937552633,1260.0275270238126,306.20060651666506,8.325793441917927,29.6599708508905,7677.730364258489,0.0
1998,7320.83433087496,10568.58225086269,4021.848496864887,2713.455638481709,6130.978360054582,14504.107554137863,0.0,10819.861758410523,0.0,0.0,8969.76615973865,0.0,0.0,0.0,0.0,0.0,643.6062511239437,16330.673027281695,19.94881253260179,1234.3415897211144,0.0,10.24022412905454,479.0617875372494,0.0,100.19347330502828,0.0,0.0,7.629220965700682,0.0,0.0,148.96931734618258,1294.1704543780652,305.6234401752739,8.325793441917927,29.6599708508905,7677.511900563294,0.0
1999,7436.741876862982,10595.20243411341,4039.3285295883807,2732.688259383469,6171.472832425025,14169.667010363271,0.0,10627.479440559484,0.0,0.0,8848.196212135077,0.0,0.0,0.0,0.0,0.0,644.3415380098711,16820.523855793854,20.090616434292638,1213.1097703437617,0.0,10.24022412905454,493.3977235602723,0.0,95.11944555100386,0.0,0.0,7.1051115254431165,0.0,0.0,153.5991584721033,1326.4849999318656,312.3978866426147,8.18854251855077,29.878934126061086,7584.1354103080175,0.0
2000,7440.391324528315,10597.397476789825,4045.1237285901516,2736.3082424256177,6177.480777761682,14123.257800043057,0.0,10602.929263094928,0.0,0.0,8765.08145426882,0.0,0.0,0.0,0.0,0.0,644.3437209946431,16919.93090534811,20.090616434292638,1212.1753840412127,0.0,10.24022412905454,495.2557488008066,0.0,94.37113149452529,0.0,0.0,6.282152543726008,0.0,0.0,153.52942679956516,1362.4186224283717,310.87307076658436,8.18854251855077,30.252309511513516,7583.467889464534,0.0
2001,7417.816402263478,10602.930674577436,4050.036255253862,2747.858343686394,6181.66977825807,14095.604071939688,0.0,10522.86262648725,0.0,0.0,8699.173414937863,0.0,0.0,0.0,0.0,0.0,644.2004786296742,17021.0976486374,20.090616434292638,1209.7402649718824,0.0,10.09057656695156,496.11675132281897,0.0,94.07304220202856,0.0,0.0,5.9851907909147135,0.0,0.0,153.6104345556291,1434.521870508729,311.109109608461,8.18854251855077,30.469165255173195,7582.144553371326,0.0
