year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,841.8659833730105,56.371503256572424,0.3621432054072603,0.0,796.1848095966893,396.7489224785446,4267.093782047987,2.4469259897433417,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,735.8328419720173,19.688289701470403,12.794932773186027,0.0,0.0,0.0,493.39191848733685,0.0,1.0881613599183466,0.0,0.0,0.0,1.7220114177777779,43.94290433439822,74.97705895125583,637.3687890155835,0.3620553630904483,0.0,0.0,871.8863528194014,0.0
1993,831.1769770348255,56.190281083453385,0.3621432054072603,0.0,794.463216528417,395.7524776455908,4264.647734154939,2.4469259897433417,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,735.8328419720173,19.688289701470403,12.794932773186027,0.0,0.0,0.0,493.21051284123905,0.0,0.9066492268373137,0.0,0.0,0.0,1.7220114177777779,43.76183491234046,74.52440003487663,654.6714859032847,0.3620553630904483,0.0,0.0,871.6146163548941,0.0
1994,816.9550973311578,55.73707464159732,0.3621432054072603,0.0,791.83573956494,394.6654493108927,4260.751395716064,2.4469259897433417,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,735.8328419720173,19.688289701470403,12.794932773186027,0.0,0.0,0.0,491.85085001679533,0.0,0.6343810266179736,0.0,0.0,0.0,1.7220114177777779,43.3997033856305,73.89042367199875,679.9475774340127,0.3620553630904483,0.0,0.0,871.2524936209915,0.0
1995,802.3725940331583,55.64649837594682,0.27159533502348876,0.0,751.7177085701829,389.594565751542,4288.904296192806,2.4469259897433417,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,739.6363606022727,19.688289701470403,12.794932773186027,0.0,0.0,0.0,491.76067307867584,0.0,0.45309028164959664,0.0,0.0,0.0,1.7220114177777779,44.4860422016547,73.2564910170208,709.4824402669449,0.3620553630904483,0.0,0.0,869.5328151912446,0.0
1996,783.6223694555592,54.922524812581145,0.18104746463971721,0.0,721.8928183082709,387.8727337659978,4308.942423299815,2.4469259897433417,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,741.4472911881038,19.77902858694868,12.794932773186027,0.0,0.0,0.0,490.6735437942465,0.0,0.36255703382873494,0.0,0.0,0.0,1.7220114177777779,44.57660614230405,72.07911744052618,740.6470064824686,0.3620553630904483,0.0,0.0,869.8043928243025,0.0
1997,772.6588316701435,55.01295776402681,0.18104746463971721,0.0,716.8242734461705,387.9641627641534,4297.248264178505,2.4469259897433417,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,741.8999661916201,19.77902858694868,12.794932773186027,0.0,0.0,0.0,489.2222171926178,0.0,0.36255703382873494,0.0,0.0,0.0,1.7220114177777779,44.4860816778336,71.89800724932394,769.4616418428,0.3620553630904483,0.0,0.0,869.8044235369813,0.0
1998,761.8756267398564,55.103408501614474,0.18104746463971721,0.0,695.9508140826254,385.9656384979387,4305.803526485818,2.4469259897433417,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,741.718812090313,21.140173416628418,12.613396336513322,0.0,0.0,0.0,487.22635524862426,0.0,0.36255703382873494,0.0,0.0,0.0,1.7220114177777779,44.48631614030666,71.26326019010082,796.1030814704823,0.3620553630904483,0.0,0.0,869.8043796734886,0.0
1999,750.9991164241394,55.01262312797254,0.18104746463971721,0.0,675.8218814849745,384.4251896516971,4313.788418813767,2.4469259897433417,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,743.4406592483325,21.140173416628418,12.613396336513322,0.0,0.0,0.0,485.41220284230184,0.0,0.36255703382873494,0.0,0.0,0.0,1.7220114177777779,44.48631614030666,70.71949297454952,821.6627709490866,0.3620553630904483,0.0,0.0,869.5325474640422,0.0
2000,738.0410027174167,54.28743671840234,0.18104746463971721,0.0,666.0302314247489,375.6229282758759,4320.7826721591,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,743.4406592483325,22.955133677523055,12.613396336513322,0.0,0.0,0.0,482.3278467118256,0.0,0.36255703382873494,0.0,0.0,0.0,1.7220114177777779,44.48631614030666,69.53982717212627,849.4856629809457,0.3620553630904483,0.0,0.0,869.5323075694292,0.0
2001,722.3680180139111,54.287525309734725,0.18104746463971721,0.0,586.8299947729828,345.79747900611017,4445.304427475993,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,746.3401484034769,24.043329074190844,12.613396336513322,0.0,0.0,0.0,472.98857441779825,0.0,0.36255703382873494,0.0,0.0,0.0,1.7220114177777779,45.57469361969375,66.54999418701689,857.9134157420325,0.3620553630904483,0.0,0.0,868.5344247730915,0.0
2002,711.7681590673245,53.562976164337066,0.18104746463971721,0.0,547.4937061082853,321.1426742051697,4512.737693962892,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,746.5216032340526,24.405633387087015,12.431864187138324,0.0,0.0,0.0,468.18214943300427,0.0,0.36255703382873494,0.0,0.0,0.0,2.265469062259458,45.846218674473064,65.37279399506915,870.6025313763603,0.3620553630904483,0.0,0.0,868.5339596928699,0.0
2003,692.4664662956557,53.01903965685044,0.18104746463971721,0.0,466.6301398822094,264.1287854019696,4668.195151945732,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,747.0649663821513,26.856239878402445,12.431864187138324,0.0,0.0,0.0,459.4743825063247,0.0,0.36255703382873494,0.0,0.0,0.0,3.624912554718621,45.937150384746715,64.10328230203777,878.4010914795181,0.3620553630904483,0.0,0.0,868.5339596928699,0.0
2004,684.9438075019735,52.56569964933139,0.18104746463971721,0.0,448.31731374414767,247.26749199024758,4705.996048845008,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,747.1556966657738,28.39905784987846,12.431864187138324,0.0,0.0,0.0,456.0262537400828,0.0,0.36255703382873494,0.0,0.0,0.0,4.168281486411805,46.02771431396411,63.83120804719782,885.2030348362998,0.3620553630904483,0.0,0.0,868.5339596928699,0.0
2005,671.1665308746219,51.568746399579716,0.18104746463971721,0.0,429.7393839307481,237.56883312625678,4730.552422269439,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,747.2462693448651,29.85156549561733,12.341095254650497,0.0,0.0,0.0,453.7584750318433,0.0,0.36255703382873494,0.0,0.0,0.0,4.2589988528563145,46.02771431396411,63.559607322516214,904.9656495124777,0.3620553630904483,0.0,0.0,868.2621408208856,0.0
2006,656.8442742001592,50.571658015988675,0.18104746463971721,0.0,411.42690581021066,222.42642753231013,4761.560403232044,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,747.3370010633198,31.485360553500684,12.068788457187022,0.0,0.0,0.0,450.76427398041847,0.0,0.36255703382873494,0.0,0.0,0.0,4.712201445321667,45.937185456860966,63.19677888140261,924.2740287016982,0.2715396896299936,0.0,0.0,868.3526608933616,0.0
2007,633.5507458399466,49.93695857853346,0.18104746463971721,0.0,385.3211338908129,210.55160038275352,4797.7300443656295,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,747.3370010633198,31.757574287348895,11.796536002729866,0.0,0.0,0.0,446.1386977637356,0.0,0.2720296403886025,0.0,0.0,0.0,5.255962746542897,45.937185456860966,62.92493005971292,954.547980460173,0.45256663759257715,0.0,0.0,868.0810977711621,0.0
2008,612.7074913807561,48.84917238399681,0.18104746463971721,0.0,356.1340470558132,192.9652173113462,4842.691993577542,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,747.3370010633198,31.938605634269805,11.705967697116755,0.0,0.0,0.0,444.4148020789234,0.0,0.2720296403886025,0.0,0.0,0.0,5.9811669750194705,45.756155576524115,63.286743393652216,979.199297759051,0.45256663759257715,0.0,0.0,867.8997867819307,0.0
2009,596.7569996463128,48.124068596326104,0.18104746463971721,0.0,346.163140034764,190.51846180486368,4852.211319519913,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,747.3370010633198,31.938605634269805,11.705967697116755,0.0,0.0,0.0,441.6925142575474,0.0,0.2720296403886025,0.0,0.0,0.0,5.890587011722155,46.119165537217114,63.37809927224298,1002.0396126129205,0.5432811308787814,0.0,0.0,866.9011914874402,0.0
2010,584.5241326098164,48.21454094584831,0.18104746463971721,0.0,340.72699758195887,188.70634593664914,4849.671760047641,2.356293731507889,0.0,0.0,2.447479068515343,0.0,0.0,0.0,0.0,0.0,747.3370010633198,31.75712091142661,11.705967697116755,0.0,0.0,0.0,440.7848114380232,0.0,0.2720296403886025,0.0,0.0,0.0,5.709341637537068,46.028623513706165,63.19680155424942,1025.6931305169287,0.5432811308787814,0.0,0.0,866.7201587217539,0.0
