year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,5168.006299282509,10940.008540402905,142.34197385214907,24.03380475927957,103.5950724434069,267.4795697523566,1152.9389576845495,1408.7727230741095,230.52646278787054,197.03258714201263,13.737155407338271,0.0,0.0,0.0,0.0,0.0,0.0,1255.1069943455793,11.062993719542678,1346.4464539484748,0.0,5.055345168301007,43.77671909636831,0.0,0.0,0.0,0.0,0.0,15.162065300885596,2.670491815105966,489.1450605316533,24.130537293264318,0.0,0.0,0.0,635.3743676362024,0.0
1993,5168.006299282509,10940.008540402905,142.34197385214907,24.03380475927957,103.5950724434069,267.4795697523566,1152.9389576845495,1408.7727230741095,230.52646278787054,197.03258714201263,13.737155407338271,0.0,0.0,0.0,0.0,0.0,0.0,1255.1069943455793,11.062993719542678,1346.4464539484748,0.0,5.055345168301007,43.77671909636831,0.0,0.0,0.0,0.0,0.0,15.162065300885596,2.670491815105966,489.1450605316533,24.130537293264318,0.0,0.0,0.0,635.3743676362024,0.0
1994,5168.006299282509,10940.008540402905,142.34197385214907,24.03380475927957,103.5950724434069,267.4795697523566,1152.9389576845495,1408.7727230741095,230.52646278787054,197.03258714201263,13.737155407338271,0.0,0.0,0.0,0.0,0.0,0.0,1254.820865968905,11.062993719542678,1346.4464539484748,0.0,5.055345168301007,43.77671909636831,0.0,0.0,0.0,0.0,0.0,15.162065300885596,2.670491815105966,489.1450605316533,24.41666566993872,0.0,0.0,0.0,635.3743676362024,0.0
1995,5284.089187389284,11356.177572419678,149.206066928064,24.03380475927957,107.41113871347628,273.5856015072171,587.9728204946374,1366.610815287668,229.9540568659493,194.93409812845374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.9399214693847,11.062993719542678,1370.8653605595025,0.0,5.341489131876579,43.77671909636831,0.0,0.0,0.0,0.0,0.0,12.014434856685016,2.670491815105966,489.8127403390485,24.41666566993872,0.0,0.0,0.0,642.5281962927029,0.0
1996,5285.806346911725,11359.135028452474,149.206066928064,24.03380475927957,107.41113871347628,262.9990449767335,576.8125323810933,1357.8361005965542,229.9540568659493,195.02952309585442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.4167873735266,11.062993719542678,1376.3977686712994,0.0,5.341489131876579,43.77671909636831,0.0,0.0,0.0,0.0,0.0,12.109832832765267,2.7658614962217993,490.3848362195594,24.607395127349292,0.0,0.0,0.0,661.3168480941515,0.0
1997,5285.806346911725,11358.848943507499,149.206066928064,24.03380475927957,107.41113871347628,255.27332237918714,575.9540583500619,1351.6359386522968,229.9540568659493,194.3618175478531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.6075232048313,11.062993719542678,1382.8839895334486,0.0,5.341489131876579,43.77671909636831,0.0,0.0,0.0,0.0,0.0,12.109832832765267,2.7658614962217993,491.14764942826235,24.988991552948765,0.0,0.0,0.0,669.2336308322069,0.0
1998,5286.8556282873815,11362.092090423805,149.206066928064,24.03380475927957,110.082393672152,244.01924000674396,562.0270176838545,1354.1154160407702,229.9540568659493,194.74343011522149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303.6595608713617,11.062993719542678,1384.6962405869012,0.0,5.341489131876579,39.76994775171534,0.0,0.0,0.0,0.0,0.0,12.205161652220022,2.861230842978438,491.8154097833497,25.275102060230843,0.0,0.0,0.0,682.5878942604652,0.0
1999,5289.144159227245,11389.269363506766,149.58750504946227,24.03380475927957,110.082393672152,238.2964935989896,535.4224078207574,1356.3093402148818,229.9540568659493,195.22044380684446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310.6210381178926,11.253730316324212,1390.1330150990957,0.0,5.341489131876579,39.76994775171534,0.0,0.0,0.0,0.0,0.0,11.537875586110962,2.9566118132680526,510.69795302544696,25.37050101507051,0.0,0.0,0.0,651.4020450647391,0.0
2000,5288.858262794206,11391.081642695175,149.68283833418178,24.03380475927957,110.8455850168607,232.67228664586747,530.5582562800541,1356.4988619839282,231.2884361179839,195.41106990800415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.24446382817,11.253730316324212,1390.1330150990957,0.0,5.341489131876579,39.76994775171534,0.0,0.0,0.0,0.0,0.0,12.681997100724955,2.9566118132680526,510.60256449392375,25.847345198615706,0.0,0.0,0.0,652.6419661746132,0.0
2001,5293.149184327124,11404.241364736894,155.8786784462328,24.03380475927957,110.75022414223608,216.55920467979607,517.8801319400277,1370.2276048353988,236.81803431883907,195.60178104851286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309.187381675897,2.57510617622648,1387.1773646853123,0.0,5.341489131876579,34.14444622479968,0.0,0.0,0.0,0.0,0.0,13.349407520487881,3.0519914150769845,511.1764772888109,38.055358553533004,0.0,0.0,0.0,647.2051395375114,0.0
