year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,39164.026994911015,4789.0247764519245,0.1845101762905884,1938.4783584510812,8961.592301228002,4666.107454263179,3.3506843490091716,255.83376586967896,16.627055818533268,27523.48288874921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19401.793133285046,93.77591293014557,57662.15358081918,0.0,4726.539790225221,12991.268140016344,0.0,101.70170559086425,0.0,238.55558685702547,66.49019854025013,321.2128601785623,2013.9136513992362,2598.603766518482,272.94875463267965,154.4345184383906,7.69918165117619,0.0,7202.848598791046,0.0
1993,39163.74848080584,4789.0247764519245,0.1845101762905884,1938.4783584510812,8961.31418578566,4665.644351168949,3.3506843490091716,255.83376586967896,16.627055818533268,27523.48288874921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19401.793133285046,93.77591293014557,57660.77008319189,0.0,4726.539790225221,12987.6678872881,0.0,101.70170559086425,0.0,238.55558685702547,66.49019854025013,321.2128601785623,2013.9136513992362,2598.049249110534,279.7836612037397,154.4345184383906,7.69918165117619,0.0,7202.571692625214,0.0
1994,39163.47004458018,4789.0247764519245,0.1845101762905884,1938.4783584510812,8960.849447151726,4665.644351168949,3.3506843490091716,255.83376586967896,16.627055818533268,27523.48288874921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19401.70122500195,93.77591293014557,57659.571260665354,0.0,4726.539790225221,12986.006527984442,0.0,101.60935357630358,0.0,238.55558685702547,66.49019854025013,321.2128601785623,2013.9136513992362,2597.772940541491,283.93986960847076,154.4345184383906,7.69918165117619,0.0,7202.479409776976,0.0
1995,39282.21393671992,4820.485052372993,0.1845101762905884,1949.2339674729124,8973.553842169831,4670.292596907187,3.3506843490091716,219.45510153453185,16.627055818533268,27521.89577733614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19401.70122500195,93.77591293014557,57534.68345681817,0.0,4727.191113829165,12985.253220246634,0.0,95.75180414882935,0.0,238.55558685702547,66.49019854025013,321.2128601785623,1953.6034871364777,2599.1704790950494,288.0974698918729,153.8797423560674,7.69918165117619,0.0,7248.289906602854,0.0
1996,39326.20247841327,4827.595861090337,0.1845101762905884,1953.0121526470357,8988.272487446331,4672.765002614988,3.3506843490091716,234.22618478500112,16.627055818533268,27660.98660752239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19401.70122500195,93.31694897893232,57339.38457842562,0.0,4723.472462187857,12967.847315839583,0.0,85.86882932184287,0.0,238.55558685702547,66.49019854025013,321.2128601785623,1920.3766621871212,2598.9862098247463,291.14585572475977,151.9277741378114,7.69918165117619,0.0,7281.439456421163,0.0
1997,39409.86441264562,4842.329511407809,0.1845101762905884,1962.3031260290577,9001.83555137951,4674.512279902984,3.3506843490091716,237.93100411862275,16.627055818533268,27701.453133572635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19401.70122500195,93.22480708726535,57202.853608994235,0.0,4719.754270144339,12952.039347537762,0.0,84.0342526003056,0.0,237.639935638883,66.67423265912777,321.4916878184222,1898.574454334997,2599.1748790385827,293.82928548496903,143.36787436710225,7.606162014497058,0.0,7300.290878019099,0.0
1998,39461.409361660604,4853.376313875474,0.1845101762905884,1974.5949471365855,9014.230216242751,4679.949569711817,3.3506843490091716,229.82069893799417,16.627055818533268,27726.835264722664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19402.71567175272,92.8581375854836,57120.004380431645,0.0,4718.449835773076,12943.198362433437,0.0,76.62279310728796,0.0,238.0984462645407,66.67423265912777,321.4916878184222,1867.480963641698,2602.136072436346,296.78451565966543,142.2558511591187,7.606162014497058,0.0,7315.892434772804,0.0
1999,39535.188331005964,4866.809064483502,0.1845101762905884,1994.779779777626,9043.068605336093,4674.068571514635,3.3506843490091716,245.1070925472304,16.627055818533268,27921.420559315073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19402.809317012743,91.75706491013337,56837.217864169375,0.0,4699.302662717908,12911.256292941294,0.0,69.11390073415657,0.0,238.37498110850774,66.67423265912777,322.23522081634866,1738.459524624168,2604.155419443623,300.5705036912293,142.56535369600624,7.606162014497058,0.0,7439.945415278599,0.0
2000,39585.87827171035,4877.784925329874,0.1845101762905884,2030.4291780436683,9054.300202387441,4664.542814185619,3.3506843490091716,387.8380486263601,16.440886150832714,28541.94511193446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19403.088661406535,91.5776996141433,56116.38360646927,0.0,4635.514892210222,12861.574271363395,0.0,64.35266099377408,0.0,238.1914364396109,66.58239824272053,322.2363995754465,1696.4482815448007,2606.572581382086,305.00566271327386,127.95239879612126,7.789575739931277,0.0,7466.683010756433,0.0
2001,39626.566075443625,4903.819364649888,0.1845101762905884,2046.4778735585562,9081.407030171898,4603.529232230956,3.4438625761711563,412.7995621620627,16.440886150832714,28678.32596486514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19403.18175235884,90.37654794171674,55963.403075056565,0.0,4628.439939969496,12778.53782912945,0.0,62.15517803881501,0.0,237.8249190388143,66.58239824272053,322.2363995754465,1698.2102728905713,2606.295569632531,343.95136026215584,124.26642466285429,7.6973105969892535,0.0,7466.494830759245,0.0
