year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,710.1164180918797,1911.6575260695201,4.048094409177148,0.0,2057.4772175499857,142.93664493690736,0.0,5595.753071357215,22.578475410250558,0.0,2081.5758613445573,0.0,0.0,13.770157933349786,0.0,0.0,4095.063308938438,1594.3643567457907,12.332150619458037,0.0,0.0,0.0,515.4329526474891,0.0,14.362647863342076,0.0,0.0,0.0,0.0,0.0,16.316854069085537,197.83073834528597,24.024570517206165,29.489680585576163,0.0,36.79042189908896,0.0
1993,710.1164180918797,1909.9382205852187,4.048094409177148,0.0,2057.4112001273356,142.93664493690736,0.0,5595.555009488577,22.578475410250558,0.0,2081.5102896377102,0.0,0.0,13.770157933349786,0.0,0.0,4095.063308938438,1594.2983359784726,12.332150619458037,0.0,0.0,0.0,515.366290003207,0.0,14.296647148008338,0.0,0.0,0.0,0.0,0.0,16.316854069085537,200.20978758424545,24.024570517206165,29.489680585576163,0.0,36.659013269499425,0.0
1994,710.0503205272148,1907.8870743850925,4.048094409177148,0.0,2057.1468708823913,142.93664493690736,0.0,5595.223473253954,22.578475410250558,0.0,2081.5102896377102,0.0,0.0,13.770157933349786,0.0,0.0,4094.9971646697845,1594.2324724038233,12.332150619458037,0.0,0.0,0.0,515.366290003207,0.0,14.296647148008338,0.0,0.0,0.0,0.0,0.0,16.316854069085537,203.054904671907,24.024570517206165,29.489680585576163,0.0,36.659013269499425,0.0
1995,706.8953374845466,1917.5892842157803,4.048094409177148,0.0,2056.683383536743,101.3818956259783,0.0,5595.83307461335,22.644067283262945,0.0,2087.7098723126105,0.0,0.0,13.770157933349786,0.0,0.0,4115.798756806704,1597.8590828421243,12.332150619458037,0.0,0.0,0.0,515.565676715121,0.0,14.230213314958027,0.0,0.0,0.0,0.0,0.0,16.316854069085537,207.08998317907168,24.024570517206165,29.489680585576163,0.0,36.659013269499425,0.0
1996,707.2889307716545,1919.8696227799844,4.048094409177148,0.0,2057.60338228343,97.37262148367044,0.0,5588.727466193995,22.644067283262945,0.0,2087.9740096052133,0.0,0.0,13.770157933349786,0.0,0.0,4116.326360772976,1598.646422298036,12.332150619458037,0.0,0.0,0.0,515.7623713018936,0.0,14.230213314958027,0.0,0.0,0.0,0.0,0.0,16.316854069085537,210.9247981148754,24.15625413602021,31.268358693063842,0.0,36.659013269499425,0.0
1997,708.7322508596707,1922.6140676517375,4.048094409177148,0.0,2059.574025326202,91.1188555464329,0.0,5578.073670190563,22.644067283262945,0.0,2091.99213075866,0.0,0.0,13.770157933349786,0.0,0.0,4116.850676052486,1600.1604786229977,12.332150619458037,0.0,0.0,0.0,515.9624949245624,0.0,14.230213314958027,0.0,0.0,0.0,0.0,0.0,16.316854069085537,215.4830350029994,24.15625413602021,31.268358693063842,0.0,36.59331393891446,0.0
1998,714.7691701896933,1949.4397036972982,4.048094409177148,0.0,2090.766032913849,88.8812447538385,0.0,5505.639766593114,22.644067283262945,0.0,2093.834005545552,0.0,0.0,13.770157933349786,0.0,0.0,4117.048405014519,1602.7249441028432,12.332150619458037,0.0,0.0,0.0,516.6197399973997,0.0,14.230213314958027,0.0,0.0,0.0,0.0,0.0,16.316854069085537,220.83867212820758,24.15625413602021,31.268358693063842,0.0,36.59331393891446,0.0
1999,737.886793080673,2019.6237202828368,4.5799601718319725,0.0,2160.263500282844,85.41078361310949,0.0,5309.075355076921,22.512243080967476,0.0,2091.5321288363966,0.0,0.0,13.243741931292831,0.0,0.0,4119.279032831826,1618.6416540941511,12.463696856557494,0.0,0.0,0.0,530.3492114989716,0.0,14.428597662715651,0.0,0.0,0.0,0.0,0.0,16.251017282270077,226.58583822393146,24.550788916397916,32.715474360969885,0.0,36.52761124893874,0.0
2000,750.9273758799969,2053.6502155468856,4.5799601718319725,0.0,2271.2638377905923,87.0701735231106,0.0,5115.803904759341,22.512243080967476,0.0,2090.2800816778386,0.0,0.0,13.243741931292831,0.0,0.0,4118.218747492431,1637.9686100851632,12.793780638437886,0.0,0.0,0.0,541.0600629175933,0.0,14.625856669901024,0.0,0.0,0.0,0.0,0.0,16.119712605865228,231.87743720680257,24.616545271104428,32.78125083550723,0.0,36.52761124893874,0.0
2001,751.3930168551536,2045.9232669213616,4.5799601718319725,0.0,2297.3968079078622,77.26609766392215,0.0,5071.177406033245,22.512243080967476,0.0,2088.9684248296626,0.0,0.0,13.177992281363569,0.0,0.0,4120.90751559293,1652.0447033784853,11.669589084095273,0.0,0.0,0.0,546.6277800068913,0.0,14.558738531343343,0.0,0.0,0.0,0.0,0.0,15.988079229282915,247.34364793211728,24.945270052099556,33.110029263310366,0.0,36.33058051767624,0.0
