year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6.118771717957176,7.43693287004796,113.61293567393827,0.0,147.11022773632894,47.25879758079813,16523.014775259828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.1295500106755463,0.0,0.0,0.0,74.56362394939521,421.33495382223464,0.0,3.3907856857882974,0.0,0.0,0.0,7483.879503831686,0.0
1993,6.118771717957176,7.43693287004796,113.61293567393827,0.0,147.11022773632894,47.25879758079813,16523.014775259828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.1295500106755463,0.0,0.0,0.0,74.56362394939521,421.33495382223464,0.0,3.3907856857882974,0.0,0.0,0.0,7483.879503831686,0.0
1994,6.118771717957176,7.43693287004796,113.61293567393827,0.0,147.11022773632894,47.25879758079813,16523.014775259828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.1295500106755463,0.0,0.0,0.0,74.56362394939521,421.33495382223464,0.0,3.3907856857882974,0.0,0.0,0.0,7483.879503831686,0.0
1995,6.118771717957176,7.43693287004796,113.61293567393827,0.0,147.39272298613585,47.25879758079813,16529.152588865913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.1295500106755463,0.0,0.0,0.0,74.56362394939521,422.3751407484122,0.0,3.3907856857882974,0.0,0.0,0.0,7476.4190080496155,0.0
1996,6.118771717957176,7.43693287004796,113.61293567393827,0.0,147.5814003514088,47.25879758079813,16533.494499145745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.1295500106755463,0.0,0.0,0.0,74.56362394939521,423.0374052262944,0.0,3.485046577768162,0.0,0.0,0.0,7471.13189503465,0.0
1997,6.118771717957176,7.43693287004796,113.61293567393827,0.0,147.77007562166645,47.25879758079813,16537.64687491016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.1295500106755463,0.0,0.0,0.0,74.56362394939521,423.8880398421622,0.0,3.5794610663856394,0.0,0.0,0.0,7465.845794895491,0.0
1998,6.6835839066925535,7.531069248013112,113.61293567393827,0.0,148.05248171590372,47.44706577631641,16538.03085435269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.1295500106755463,0.0,0.0,0.0,74.56362394939521,424.2663696706323,0.0,3.5794610663856394,0.0,0.0,0.0,7463.95386276803,0.0
1999,6.77772104437079,7.531069248013112,114.17811581059013,0.0,149.55884768619407,47.729477948842884,16537.663718752658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.1295500106755463,0.0,0.0,0.0,74.56362394939521,425.0230209531684,0.0,3.5794610663856394,0.0,0.0,0.0,7461.116251668382,0.0
2000,6.77772104437079,7.531069248013112,114.17811581059013,0.0,149.55884768619407,47.729477948842884,16540.407395638165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.1295500106755463,0.0,0.0,0.0,74.56362394939521,426.063725570599,0.0,3.8623973877595112,0.0,0.0,0.0,7457.0489338440675,0.0
2001,7.248396093578506,8.28420125209734,117.29530656447311,0.0,149.84159849720075,47.729477948842884,16535.877933264357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0707833540371086,0.0,0.0,0.0,0.0,1.6943614399587519,0.0,0.0,0.0,74.56362394939521,426.44035733443815,0.0,3.8623973877595112,0.0,0.0,0.0,7456.013204406572,0.0
