year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,37010.25894762328,2874.9899715172637,0.0,4454.713953383053,3401.5133125907237,9842.40264821983,1.1449683707235885,75.7582049725108,8.064091425096976,5139.996469867692,47.1176683969599,0.0,0.0,0.0,0.0,0.0,359.4274452583608,18907.856563678364,18367.112402709896,289871.0177681277,0.0,20.416615889421692,27103.355922447136,0.0,19748.80494002617,0.0,11141.18561019169,2581.2226252167397,6.539364773932515,17.710522812818756,517.2532695065757,249.12841435525618,21166.238664090317,145.65316736066924,174.36718865297337,13213.009567272236,0.0
1993,37009.30516109774,2874.894600342577,0.0,4454.428135759468,3401.417944759729,9842.211989961374,1.1449683707235885,75.7582049725108,8.064091425096976,5139.996469867692,47.1176683969599,0.0,0.0,0.0,0.0,0.0,359.4274452583608,18907.856563678364,18367.112402709896,289870.3522312435,0.0,20.416615889421692,27102.603136340484,0.0,19748.33293925196,0.0,11140.905043294506,2581.032635714667,6.539364773932515,17.710522812818756,517.2532695065757,253.77718974554642,21166.144056250218,145.65316736066924,174.36718865297337,13212.43728129968,0.0
1994,37008.63735057715,2874.894600342577,0.0,4454.3327675900655,3401.131811865373,9842.211989961374,1.1449683707235885,75.7582049725108,8.064091425096976,5139.996469867692,47.1176683969599,0.0,0.0,0.0,0.0,0.0,359.4274452583608,18907.762129076385,18367.112402709896,289869.2155660613,0.0,20.416615889421692,27101.287571248162,0.0,19748.237917766874,0.0,11140.53052930459,2580.5606866450476,6.539364773932515,17.710522812818756,517.1588821461417,259.07044870410397,21165.956878038873,145.65316736066924,174.2736009047238,13212.05663666655,0.0
1995,37009.304509491834,2874.894600342577,0.0,4456.619781933276,3401.3224453938724,9845.262688729314,1.1449683707235885,75.7582049725108,8.064091425096976,5139.996469867692,47.1176683969599,0.0,0.0,0.0,0.0,0.0,359.4274452583608,18907.666837762838,18319.584067385913,289868.36096019053,0.0,20.416615889421692,27087.75989577271,0.0,19758.642098550044,0.0,11142.609166160062,2580.6567286313607,6.539364773932515,17.710522812818756,517.0644947857076,264.37500609175214,21205.208571130977,145.65316736066924,174.2736009047238,13210.826316351675,0.0
1996,37009.78020396149,2874.894600342577,0.0,4457.763139366313,3401.7987621065295,9845.167002577307,1.1449683707235885,76.23526283306833,8.064091425096976,5139.996469867692,47.1176683969599,0.0,0.0,0.0,0.0,0.0,359.4274452583608,18907.8596389853,18266.68647474553,289870.27948557265,0.0,20.416615889421692,27176.946048628564,0.0,19720.588447608083,0.0,11145.628941869749,2581.8817337936293,6.539364773932515,17.710522812818756,516.7813265652453,271.9394479089731,21192.188598999965,145.55979714250088,174.18001225134685,13209.68421668364,0.0
1997,37020.9282897001,2874.894600342577,0.0,4464.8148004911545,3407.992979109886,9846.884741700802,1.1449683707235885,76.23526283306833,8.064091425096976,5139.996469867692,47.1176683969599,0.0,0.0,0.0,0.0,0.0,359.4274452583608,18907.669863688323,18162.45608436984,289873.5295115403,0.0,20.416615889421692,27217.9759522026,0.0,19653.329811724783,0.0,11155.368519164056,2584.3407492363167,6.539364773932515,17.710522812818756,515.8374338972081,281.1303422331742,21273.70393447941,145.65257932496849,174.36677693678334,13208.730908967045,0.0
1998,37082.30190695809,2879.088082912972,0.0,4496.36258974717,3437.628994500052,9862.040486636804,1.1449683707235885,76.23526283306833,8.064091425096976,5139.901045523076,47.1176683969599,0.0,0.0,0.0,0.0,0.0,359.4274452583608,18899.83500391388,17615.201866471965,289906.3570002783,0.0,20.416615889421692,27173.462125680202,0.0,19618.33991633227,0.0,11177.832408474558,2591.544793473259,6.539364773932515,17.710522812818756,515.5542752377743,292.6846836742592,21694.342635480312,145.7475040426773,174.55356162554233,13206.825468013978,0.0
1999,37104.523121156584,2889.6696362798625,0.0,4511.136296312244,3445.350232369109,9837.450176900817,1.1449683707235885,82.33733951065287,8.064091425096976,5144.762982734335,47.1176683969599,0.0,0.0,0.0,0.0,0.0,359.71368324810226,18960.780915326868,16781.036313523105,289937.7480613635,0.0,20.416615889421692,27249.57274397393,0.0,19654.82089647475,0.0,11267.918223037412,2631.2738035075804,6.539364773932515,17.710522812818756,514.3281954012074,307.05863690433,22139.083079749875,148.2783561387406,174.46018500926724,13203.964178145883,0.0
2000,37130.147777997416,2894.149381806674,0.0,4548.659112785196,3468.118899638133,9839.066769859946,1.1449683707235885,354.44752263076884,8.064091425096976,5296.551616350351,47.1176683969599,0.0,0.0,0.0,0.0,0.0,362.0035408405223,19036.500768901773,16298.313147647044,289637.89923292445,0.0,20.416615889421692,27471.330870647573,0.0,19408.349555943016,0.0,11356.198031827098,2637.912242575924,6.539364773932515,17.710522812818756,513.2921121845601,324.7561197852313,22242.10321577474,147.42374693894243,174.46018500926724,13203.583204999224,0.0
2001,37124.095237666486,2895.0067513165955,0.0,4550.66071300278,3472.981525719955,9826.302039444172,1.1449683707235885,363.78052604709575,8.064091425096976,5298.936060766464,47.1176683969599,0.0,0.0,0.0,0.0,0.0,364.2934438677995,19162.006421265985,16045.241755639043,289599.6748665456,0.0,20.416615889421692,27970.36780177722,0.0,18985.645850904355,0.0,11383.946604781333,2645.042573402526,6.539364773932515,17.710522812818756,513.2921121845601,325.4195983845436,22293.776721629732,146.84617083533715,174.46018500926724,13203.490096877169,0.0
