year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6.076385576942835,34.09265310696823,0.0,0.0,165.38807592128538,151.2696606392108,134851.20526637515,318.93966418893746,0.0,0.0,0.0,0.0,0.0,11.010668991882536,0.0,0.0,0.0,718.2170659243694,12.822674628139135,573.926752203945,0.0,0.0,57.17454243516218,0.0,0.0,0.0,0.0,0.0,4961.922139514155,362.8118507222955,660.9267175873521,81.75837820213486,0.0,0.0,0.0,1977.9938424192085,0.0
1993,6.835911575424629,46.72134705274877,0.0,0.0,219.78786961049514,184.0421522792417,134541.8133070965,311.2328119650412,0.0,0.0,0.0,0.0,0.0,11.105581183940213,0.0,0.0,0.0,724.4863083199431,13.487639979840266,643.805626977679,0.0,0.0,58.504847955030186,0.0,0.0,0.0,0.0,0.0,4948.149819882546,354.93280840693814,698.5547599266163,85.65158121098555,0.0,0.0,0.0,2096.4239650142317,0.0
1994,6.835911575424629,46.72134705274877,0.0,0.0,219.78786961049514,183.567492338178,134541.71837485014,311.2328119650412,0.0,0.0,0.0,0.0,0.0,11.105581183940213,0.0,0.0,0.0,724.4863083199431,13.487639979840266,643.805626977679,0.0,0.0,58.504847955030186,0.0,0.0,0.0,0.0,0.0,4948.149819882546,354.93280840693814,698.5547599266163,86.22117339842056,0.0,0.0,0.0,2096.4239650142317,0.0
1995,7.595609294559268,53.55736987933228,0.0,0.0,240.96087428786473,209.86775780877537,134331.69359024576,310.6629552343099,0.0,0.0,0.0,0.0,0.0,10.346191034649216,0.0,0.0,0.0,732.6513459492927,15.00740979562779,652.8273495375854,0.0,0.0,62.018491914445164,0.0,0.0,0.0,0.0,0.0,4937.2294241607315,343.2562884434397,734.0164079179333,90.49661662848534,0.0,0.0,0.0,2213.348656304479,0.0
1996,7.785500089055807,61.9120301601056,0.0,0.0,274.00095356708135,220.9772816843088,134174.07120719505,303.2551563764639,0.0,0.0,0.0,0.0,0.0,10.061450121568491,0.0,0.0,0.0,745.6594572504744,17.287287754175576,679.2291602004424,0.0,0.0,65.91276744560453,0.0,0.0,0.0,0.0,0.0,4920.896907115483,336.6108826170783,762.1405389496335,91.92110916191612,0.0,0.0,0.0,2273.814648748848,0.0
1997,7.785500089055807,63.241282421964016,0.0,0.0,273.52707984479656,226.01283852304596,134065.86405442737,301.7357033255726,0.0,0.0,0.0,0.0,0.0,10.061450121568491,0.0,0.0,0.0,759.997013945198,18.522077697960228,685.1225928949282,0.0,0.0,66.10295369965453,0.0,0.0,0.0,0.0,0.0,4916.429474585919,338.69891791381275,778.2196230226793,93.06105843891723,0.0,0.0,0.0,2341.1547174848724,0.0
1998,7.975525320941079,68.17830325255812,0.0,0.0,283.3068005570872,231.3311621306595,133985.4678229278,297.0813687474786,0.0,0.0,0.0,0.0,0.0,10.061450121568491,0.0,0.0,0.0,767.5922156560889,19.091864477384053,691.4861289527985,0.0,0.0,66.8629033698899,0.0,0.0,0.0,0.0,0.0,4906.836382998025,341.64122197106303,800.0815166886562,96.00572992248624,0.0,0.0,0.0,2372.5359413427695,0.0
1999,7.975526717555605,76.72309688952,0.0,0.0,333.72218004762806,249.84730870340576,133861.33665905046,287.2983729770701,0.18999647104432177,0.0,0.0,0.0,0.0,10.061450121568491,0.0,0.0,0.0,790.3773125755199,20.706708373600904,693.8610920588042,0.0,0.0,68.38250684490353,0.0,0.0,0.0,0.0,0.0,4911.396341255842,338.8874857031497,807.043693565437,99.23415729849218,0.0,0.0,0.0,2388.492449783266,0.0
2000,7.785624169939139,77.1979793807643,0.0,0.0,337.90012964868885,247.47601359012467,133845.46698213805,288.8179989209003,0.18999647104432177,0.0,0.0,0.0,0.0,10.061450121568491,0.0,0.0,0.0,810.0290700913906,21.18187506167844,695.0045904355691,0.0,0.0,69.04736795258388,0.0,0.0,0.0,0.0,0.0,4909.968318972174,338.69761271898324,793.4732809027354,102.27271674632438,0.0,0.0,0.0,2390.96533111475,0.0
2001,7.6906806406991794,77.67271169313777,0.0,0.0,341.79254348210264,248.33141557097096,133830.2651020039,297.7455700435842,0.18999647104432177,0.0,0.0,0.0,0.0,10.061450121568491,0.0,0.0,0.0,826.3588347483997,21.276888795821513,693.7705548546437,0.0,0.0,68.66749190047075,0.0,0.0,0.0,0.0,0.0,4909.494220636751,338.69761271898324,775.3428785244731,105.21590348842686,0.0,0.0,0.0,2392.9624827422854,0.0
2002,7.5007898462026406,78.33732474240712,0.0,0.0,343.12093355053617,246.05277981332438,133816.68477322083,298.8851792568126,0.18999647104432177,0.0,0.0,0.0,0.0,10.061450121568491,0.0,0.0,0.0,835.7586671240178,21.276888795821513,693.5806890904685,0.0,0.0,68.66749776399156,0.0,0.0,0.0,0.0,0.0,4909.494219365367,338.31790818007994,779.1437203202245,105.50074107120709,0.0,0.0,0.0,2392.962779703416,0.0
2003,7.31089811904096,78.33729163964206,0.0,0.0,339.60777509777853,243.58429056071148,133811.46109465306,298.9801297770158,0.18999647104432177,0.0,0.0,0.0,0.0,10.061450121568491,0.0,0.0,0.0,845.0636469710728,21.466994386969326,694.435901943959,0.0,0.0,68.85750120268244,0.0,0.0,0.0,0.0,0.0,4909.114324723431,338.22299502411903,779.3334436394596,105.78558235652888,0.0,0.0,0.0,2393.7230217492047,0.0
2004,7.880656003056489,90.39505835416914,0.0,0.0,480.1229739430681,282.4412427941723,132899.56165715746,271.7239277045327,0.8549847803193217,0.0,0.0,0.0,0.0,7.783372296020542,0.0,0.0,0.0,1289.8178504614532,26.31316392294954,727.2554301009042,0.0,0.0,82.83169883052854,0.0,0.0,0.0,0.0,0.0,4883.728407464074,286.4853731534417,973.4888901159453,134.48781259777655,0.0,0.0,0.0,2500.363838757262,0.0
2005,7.785689837050044,89.92032274915384,0.0,0.0,479.55323931855963,280.92212547575195,132900.51173313337,271.7239277045327,0.8549847803193217,0.0,0.0,0.0,0.0,7.783372296020542,0.0,0.0,0.0,1298.2668355386902,26.02837096908694,724.9770826660875,0.0,0.0,82.6417628501465,0.0,0.0,0.0,0.0,0.0,4883.918332477607,287.3398311958588,968.8377547946144,135.7220482596851,0.0,0.0,0.0,2498.7489243905848,0.0
2006,7.785689837050044,89.92032274915384,0.0,0.0,479.17348224239447,279.3079612606794,132900.22775210108,271.7239277045327,0.8549847803193217,0.0,0.0,0.0,0.0,7.783372296020542,0.0,0.0,0.0,1298.3617805050162,26.02837096908694,726.2115839331585,0.0,0.0,82.6417628501465,0.0,0.0,0.0,0.0,0.0,4883.918332477607,287.434743870021,968.8377547946144,137.43105042812783,0.0,0.0,0.0,2497.8934656381116,0.0
2007,7.595814037258305,89.92032274915384,0.0,0.0,478.888533271129,278.8332158721336,132898.23352282267,271.62895471607357,0.8549847803193217,0.0,0.0,0.0,0.0,7.783372296020542,0.0,0.0,0.0,1298.0768993474226,26.02837096908694,726.4964956286505,0.0,0.0,82.73673583860561,0.0,0.0,0.0,0.0,0.0,4883.918317387122,287.434743870021,968.9327268762994,138.6653805638984,0.0,0.0,0.0,2499.507947411249,0.0
2008,7.595814037258305,89.73041110449392,0.0,0.0,478.9834357402562,278.6433471381419,132896.04935018465,271.53395406093506,0.8549847803193217,0.0,0.0,0.0,0.0,7.973215877415583,0.0,0.0,0.0,1298.3616232288587,27.072590634961255,726.4964956286505,0.0,0.0,82.73673583860561,0.0,0.0,0.0,0.0,0.0,4883.918317387122,289.9977945606411,970.3573544475533,139.7098646825106,0.0,0.0,0.0,2495.5210491047683,0.0
2009,7.595814037258305,89.63547838547072,0.0,0.0,478.7935459775085,278.263587570906,132895.4795046965,271.248982265215,0.8549847803193217,0.0,0.0,0.0,0.0,7.973215877415583,0.0,0.0,0.0,1298.2666741063858,27.072590634961255,726.4015525669305,0.0,0.0,83.11676733229798,0.0,0.0,0.0,0.0,0.0,4883.918317387122,289.9977945606411,970.5472499908559,140.84922916258688,0.0,0.0,0.0,2495.5210491047683,0.0
2010,7.595814037258305,89.54052508914293,0.0,0.0,478.9835974916541,278.0740070867087,132891.58363752993,271.248982265215,0.8549847803193217,0.0,0.0,0.0,0.0,7.973215877415583,0.0,0.0,0.0,1300.071853870146,28.212883107767436,726.6866506304126,0.0,0.0,83.11676733229798,0.0,0.0,0.0,0.0,0.0,4882.208400739452,289.9977945606411,972.3522396939139,141.5139352400841,0.0,0.0,0.0,2495.5210491047683,0.0
2011,7.595814037258305,89.54052508914293,0.0,0.0,478.9836087852338,277.979001217617,132889.4924269931,271.248982265215,0.8549847803193217,0.0,0.0,0.0,0.0,7.973215877415583,0.0,0.0,0.0,1299.881999921611,28.212883107767436,726.6866506304126,0.0,0.0,83.11676733229798,0.0,0.0,0.0,0.0,0.0,4882.113438232686,289.9026581781667,972.4472022006804,142.74833737746047,0.0,0.0,0.0,2496.757842410775,0.0
2012,7.500865844772542,89.54052508914293,0.0,0.0,478.60387649822445,277.50430666166096,132887.97231750793,271.15400611011745,0.8549847803193217,0.0,0.0,0.0,0.0,7.973215877415583,0.0,0.0,0.0,1300.5467758313657,28.212883107767436,726.9716101638925,0.0,0.0,83.59181953024905,0.0,0.0,0.0,0.0,0.0,4880.878966119659,289.9026581781667,972.1620639832007,145.0270470078422,0.0,0.0,0.0,2497.138416145418,0.0
2013,7.405921848155653,89.54052508914293,0.0,0.0,478.4140096442916,276.93468545477975,132881.51205627425,271.15400611011745,0.8549847803193217,0.0,0.0,0.0,0.0,7.973215877415583,0.0,0.0,0.0,1300.8321589162501,29.82825262700007,730.7727631486669,0.0,0.0,84.447032574122,0.0,0.0,0.0,0.0,0.0,4879.8339010750715,290.8539879110832,976.4418452202216,147.49550546101716,0.0,0.0,0.0,2491.241486425235,0.0
