year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,28848.680495221295,16524.696582297307,147.8828045805162,1879.7391532768295,1929.1441729341173,3963.8832326334086,0.0,187.34025564294618,0.0,0.0,32.50826899047808,0.0,0.0,0.0,0.0,0.0,0.0,1414.5876763572771,171.9410129926481,183.72231205148603,0.0,11.301200631374853,94.52388507384553,0.0,5942.7675405522,0.0,0.0,3694.9138616259856,0.0,0.0,3.0399567451953877,802.3177254558489,118078.00797180425,135.3465520910792,0.3088020765595787,1229.0787836566055,0.0
1993,28840.784045642096,16523.775774400954,147.8828045805162,1879.6627782158755,1929.1441729341173,3963.092434617869,0.0,187.34025564294618,0.0,0.0,32.50826899047808,0.0,0.0,0.0,0.0,0.0,0.0,1414.507380687014,171.9410129926481,183.72231205148603,0.0,11.301200631374853,94.52388507384553,0.0,5942.049304575525,0.0,0.0,3694.9138616259856,0.0,0.0,3.0399567451953877,819.994376761611,118070.81428269745,135.3465520910792,0.3088020765595787,1229.0787836566055,0.0
1994,28831.045344601567,16523.46112810143,147.8828045805162,1879.6627782158755,1928.9838346723118,3961.9851018936047,0.0,187.34025564294618,0.0,0.0,32.50826899047808,0.0,0.0,0.0,0.0,0.0,0.0,1414.507380687014,171.9410129926481,183.72231205148603,0.0,11.301200631374853,94.52388507384553,0.0,5941.652389862077,0.0,0.0,3694.755185186753,0.0,0.0,3.0399567451953877,844.6820045797147,118058.08055591283,135.3465520910792,0.3088020765595787,1229.0014921019165,0.0
1995,28841.58896143787,16737.50373733956,151.68099686246254,1892.5870600091375,1928.4158138742941,3953.3536051612105,0.0,159.32793115641044,0.0,0.0,19.465420913408206,0.0,0.0,0.0,0.0,0.0,0.0,1417.081896146887,171.9410129926481,183.79801385203697,0.0,11.301200631374853,94.52388507384553,0.0,5711.424870126825,0.0,0.0,3694.4032325472876,0.0,0.0,3.0399567451953877,866.8462495612375,118070.21914216586,135.3465520910792,0.3088020765595787,1231.5739059260686,0.0
1996,28856.41991839087,16868.292693072915,152.06350372641532,1898.6518659874714,1906.1658541654015,3948.6055411944067,0.0,158.24010932366735,0.0,0.0,19.465420913408206,0.0,0.0,0.0,0.0,0.0,0.0,1420.921114174857,172.32760911298072,183.71797923717912,0.0,11.22158691843578,94.83165204385334,0.0,5563.33067766488,0.0,0.0,3699.160747340598,0.0,0.0,3.0399567451953877,891.3314499465301,118069.90591109017,135.3465520910792,0.3088020765595787,1222.383301474418,0.0
1997,28854.012706078287,16967.538380721293,152.37368440061064,1904.0186674284225,1901.7554709422473,3947.4343473307313,0.0,158.24010932366735,0.0,0.0,18.92259731953441,0.0,0.0,0.0,0.0,0.0,0.0,1420.8407510629718,172.32760911298072,183.71797923717912,0.0,11.22158691843578,94.75129392165371,0.0,5505.326839526153,0.0,0.0,3707.3979410104107,0.0,0.0,3.0399567451953877,921.2540594420763,117993.37990829154,135.3465520910792,0.3088020765595787,1222.5230037101235,0.0
1998,28840.65679565337,17060.194426718164,152.44996010115548,1909.071853897306,1890.75908091832,3948.2101959061824,0.0,155.43744012447618,0.0,0.0,18.37717559028921,0.0,0.0,0.0,0.0,0.0,0.0,1421.3055133458329,173.18491343418017,183.79343975149922,0.0,11.142118921677634,94.98379741410658,0.0,5421.803359837878,0.0,0.0,3715.9444845065054,0.0,0.0,3.0399567451953877,962.8694652257178,117953.46215967865,135.3465520910792,0.3088020765595787,1223.3907547530823,0.0
1999,28918.201637780512,17532.655801887537,154.4636519999149,1977.3306032574117,1901.0196533651297,3967.321326878592,0.0,120.1177433846728,0.0,0.0,7.871103747628123,0.0,0.0,0.0,0.0,0.0,0.0,1425.8431620874787,178.02342520970745,184.1013719445934,0.0,11.062650924919488,98.81783549722819,0.0,5175.596048376459,0.0,0.0,3805.8132071244563,0.0,0.0,3.0399567451953877,1002.076627928813,117498.10354811604,135.3465520910792,0.3088020765595787,1178.6175362672607,0.0
2000,28929.714942659943,17698.917000214995,154.4636519999149,1982.928067630976,1870.0872954527763,3929.806697401232,0.0,120.1177433846728,0.0,0.0,8.329822506038996,0.0,0.0,0.0,0.0,0.0,0.0,1432.939795922941,205.47241861629217,184.1013719445934,0.0,10.983182928161344,102.26438019075016,0.0,5128.752691659206,0.0,0.0,3839.1242210965247,0.0,0.0,3.0399567451953877,1045.3759605248274,117225.95394087251,134.87155497092985,0.3088020765595787,1268.1787478922042,0.0
2001,28963.258678602342,17801.44386899258,154.4636519999149,1987.004397690431,1869.195503774692,3921.7449610152303,0.0,118.02325278420803,0.0,0.0,5.990805854969757,0.0,0.0,0.0,0.0,0.0,0.0,1433.8676559528221,223.17774541514459,183.8652076227944,0.0,10.747033062137369,104.03346935285974,0.0,4975.410722389783,0.0,0.0,3876.111611903087,0.0,0.0,3.3487480263042957,1060.567218543171,117171.29068228451,134.87155497092985,0.3088020765595787,1277.0066743767354,0.0
