year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,3043.2244718403786,2072.9213340430383,76.03920804934606,3123.0917023173256,1553.2565360408666,671.4843919089175,21371.27850074342,0.0,0.0,0.2611444338320587,44.70101131616244,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,4.890733796861723,2.7100989350615174,16.22965925516438,0.26313794712092814,0.0,7.175204883975605,0.0,38.435030695609186,0.0,0.0,0.0,129.14223534671262,232.0414571482387,243.49111223805087,574.0957144395742,0.0,0.0,0.0,1241.8803726461604,0.0
1993,3042.963290668024,2069.5946564960586,76.03920804934606,3116.4667704228746,1553.2565360408666,671.4843919089175,21371.191484864838,0.0,0.0,0.2611444338320587,44.70101131616244,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,4.890733796861723,2.7100989350615174,16.22965925516438,0.26313794712092814,0.0,7.175204883975605,0.0,38.347940882278685,0.0,0.0,0.0,129.14223534671262,232.0414571482387,243.49111223805087,584.4826107452744,0.0,0.0,0.0,1241.8803726461604,0.0
1994,3042.6156269650223,2065.2240809901573,76.03920804934606,3108.969213343658,1553.2565360408666,671.4843919089175,21371.017250429006,0.0,0.0,0.2611444338320587,44.70101131616244,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,4.890733796861723,2.7100989350615174,16.22965925516438,0.26313794712092814,0.0,7.175204883975605,0.0,38.347940882278685,0.0,0.0,0.0,129.14223534671262,231.9533846463421,243.31544481001114,597.1363813991607,0.0,0.0,0.0,1241.8803726461604,0.0
1995,3085.2132506601497,2081.4758866723755,76.47581605866677,3111.9015451097534,1561.3790601729097,679.6689156111462,21275.474529848183,0.0,0.0,0.2611444338320587,44.61348628653128,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,4.890733796861723,2.7100989350615174,20.154221063944192,0.26313794712092814,0.0,7.175204883975605,0.0,38.610030502171135,0.0,0.0,0.0,129.14223534671262,231.9533846463421,243.48916022558157,608.8302887003744,0.0,0.0,0.0,1242.930927124123,0.0
1996,3089.5998159642145,2083.1566096818697,77.00016570247665,3107.2800421785055,1573.3403970938753,682.1120236515752,21250.1884120614,0.0,0.0,0.2611444338320587,44.52573237193881,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,4.890733796861723,2.7100989350615174,20.154221063944192,0.26313794712092814,0.0,7.175204883975605,0.0,38.957922743333384,0.0,0.0,0.0,129.14223534671262,232.21687436269468,243.3137573465692,618.8630116793839,0.0,0.0,0.0,1241.4615167804695,0.0
1997,3104.008854040177,2089.742687037437,78.30507724895628,3105.53802603689,1589.974705232098,690.1562004560413,21194.72062260549,0.0,0.0,0.2611444338320587,44.52573237193881,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,4.890733796861723,2.7100989350615174,20.6808662947712,0.26313794712092814,0.0,7.175204883975605,0.0,39.48476431741374,0.0,0.0,0.0,129.14223534671262,232.21687436269468,243.4024640497511,627.9521118481241,0.0,0.0,0.0,1241.4615167804695,0.0
1998,3112.1781970237075,2094.230467687778,79.35702602879428,3102.498574837115,1588.5436698580863,695.6899433172265,21171.383400164956,0.0,0.0,0.2611444338320587,44.4375680605213,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,4.890733796861723,2.7100989350615174,20.6808662947712,0.26313794712092814,0.0,7.175204883975605,0.0,39.57276359804075,0.0,0.0,0.0,129.14223534671262,232.82875442631214,243.4024640497511,635.9052905547248,0.0,0.0,0.0,1241.4615167804695,0.0
1999,3139.2789174636823,2104.9555455493687,83.12030962891501,3099.2875834022448,1630.075409727804,715.8066055681585,21065.32128906779,0.0,0.0,0.2611444338320587,44.52561202947108,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,4.977981796237171,2.7100989350615174,23.635799174469376,0.26313794712092814,0.0,7.525681539589229,0.0,40.624287531854776,0.0,0.0,0.0,129.14223534671262,232.9156998744753,243.57791389865426,646.212376859613,0.0,0.0,0.0,1232.395428250773,0.0
2000,3144.1308612586204,2104.5290275238176,84.1796221361122,3095.9845746978435,1592.773257708003,718.2026254461663,21092.387419991934,0.0,0.0,0.2611444338320587,44.52561202947108,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,4.977981796237171,2.7100989350615174,23.635799174469376,0.26313794712092814,0.0,7.525681539589229,0.0,40.624287531854776,0.0,0.0,0.0,129.14223534671262,233.61087154829426,243.40510905105472,654.2511412466438,0.0,0.0,0.0,1229.492568682987,0.0
2001,3164.023899459909,2083.5583073555194,84.09282800282116,3079.5625768093882,1557.6811587577133,719.1160517789374,21088.569945592844,0.0,0.0,0.2611444338320587,44.52561202947108,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,5.065269115492252,2.7100989350615174,17.69428145721143,0.26313794712092814,0.0,7.525681539589229,0.0,40.624287531854776,0.0,0.0,0.0,130.70642926765794,234.38768208966965,242.0022283801047,714.7498688586359,0.0,0.0,0.0,1229.492568682987,0.0
2002,3174.674672757525,2052.130852809318,84.79143863321478,3067.96632729533,1541.310285908587,719.0448938160796,21079.015696672304,0.0,0.0,0.2611444338320587,44.52561202947108,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,5.065269115492252,2.7100989350615174,12.741172094932356,0.26313794712092814,0.0,7.525681539589229,0.0,40.44979340859334,0.0,0.0,0.0,130.70642926765794,234.64859728942417,241.91349490138393,777.3758904879196,0.0,0.0,0.0,1229.492568682987,0.0
2003,3200.534955433755,2020.1485217848046,85.83748335200825,3060.611411747282,1535.330826365847,721.2452183592695,21043.035185793924,0.0,0.0,0.2611444338320587,44.52561202947108,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,5.065269115492252,2.7100989350615174,10.565658304017884,0.26313794712092814,0.0,7.525681539589229,0.0,40.44979340859334,0.0,0.0,0.0,130.7929384521553,234.64859728942417,241.2087437037467,838.3545846776138,0.0,0.0,0.0,1223.4981953528084,0.0
2004,3232.06142258544,2011.8345798410626,86.88159073156922,3048.954081173234,1511.7681441185848,718.8991565680799,21020.855846619517,0.0,0.0,0.2611444338320587,43.732653658262294,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,5.065269115492252,2.7100989350615174,4.461007279532757,0.26313794712092814,0.0,7.525681539589229,0.0,40.275459002672456,0.0,0.0,0.0,130.87970563723187,235.25880477818444,239.18421928579102,883.0225110868663,0.0,0.0,0.0,1222.718543688703,0.0
2005,3233.973625989713,1992.7255351546478,87.2298116232355,3026.6807336014617,1511.6178534197647,720.9093779809963,21007.68997975104,0.0,0.0,0.2611444338320587,43.732471602750365,0.0,0.0,3.6929544847615676,0.0,0.0,0.0,5.065269115492252,2.8846772401729446,2.976237780010194,0.26313794712092814,0.0,7.525681539589229,0.0,41.0622661178788,0.0,0.0,0.0,130.87970563723187,235.43425523275934,238.39588656986052,936.0579023111229,0.0,0.0,0.0,1221.2475049771508,0.0
2006,3240.706022967853,1976.0784734029519,87.49170065471115,3002.585194956331,1522.665491342573,726.7660505368029,20973.099580148133,0.0,0.0,0.2611444338320587,43.732471602750365,0.0,0.0,3.868733884567495,0.0,0.0,0.0,5.065269115492252,2.8846772401729446,2.976237780010194,0.26313794712092814,0.0,7.525681539589229,0.0,40.9758293474561,0.0,0.0,0.0,130.87970563723187,235.60541376643803,238.03941657780092,987.9303975643525,0.0,0.0,0.0,1220.9053820644262,0.0
