year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,87336.91318032079,106148.42871009014,3081.273805447074,15680.810822812533,21935.774544764783,29280.198170673582,10021.071087235025,128414.12306085195,4525.068277822563,183035.71792171666,22.6628120234049,0.0,0.0,0.47069444952447054,0.0,0.0,18057.09781523922,25161.964618804064,3520.524318332088,150825.67877375675,0.0,2780.663435318444,25153.741828190537,0.0,750.9963825354281,0.0,0.0,1.3341178428410885,4982.29686450211,238.43836712307566,43058.715216043805,316.95087725294945,2066.5399369859706,1.7150328580012901,14.088040269198054,70645.52396441666,0.0
1993,87336.06050032326,106147.86047056317,3081.273805447074,15680.715677405244,21934.921159505648,29279.629690315,10021.071087235025,128414.02831603076,4525.068277822563,183035.52781501156,22.6628120234049,0.0,0.0,0.47069444952447054,0.0,0.0,18057.09781523922,25159.689126753296,3518.1557669156373,150825.299076608,0.0,2780.663435318444,25153.457129064733,0.0,750.9963825354281,0.0,0.0,1.3341178428410885,4982.29686450211,238.43836712307566,43058.715216043805,325.8603453100036,2066.2570895797635,1.7150328580012901,14.088040269198054,70645.42856558338,0.0
1994,87334.82884016703,106147.57727016896,3081.273805447074,15680.715677405244,21934.06845151335,29278.86975945923,10021.071087235025,128413.64904522097,4525.068277822563,183035.43306742233,22.6628120234049,0.0,0.0,0.47069444952447054,0.0,0.0,18057.09781523922,25157.51014249072,3516.7345657494116,150825.1095446253,0.0,2780.663435318444,25153.36235572818,0.0,750.9963825354281,0.0,0.0,1.3341178428410885,4982.29686450211,238.43836712307566,43058.715216043805,333.4411206651042,2066.2570895797635,1.7150328580012901,14.088040269198054,70645.33379877383,0.0
1995,87855.87901995463,107219.5868411305,3075.8190133669273,15706.007153719089,22000.725364411475,28993.185704151158,10084.145223265701,126030.49263955487,4613.4939499424345,183150.1997907189,22.6628120234049,0.0,0.0,0.47069444952447054,0.0,0.0,18054.827323127978,25354.2090411958,3522.7821632572322,151097.55514425694,0.0,2813.7086294096634,25306.966093181098,0.0,751.0632502528487,0.0,0.0,1.3341178428410885,4980.223179103922,238.62684097711593,43124.45050488609,340.1654404394406,2078.8307455920954,1.7150328580012901,14.18337935077448,70625.4735852589,0.0
1996,88129.40926198201,107652.51602666965,3067.5141436100425,15710.366583427953,22016.63356415391,28392.790156196275,10103.996270500324,125520.7053618705,4697.416384218067,183593.0257739596,22.6628120234049,0.0,0.0,0.47069444952447054,0.0,0.0,18088.359775452034,25386.68650678095,3530.4827623032274,150757.1497444967,0.0,2823.624610859254,25385.13155841551,0.0,758.5795654385702,0.0,0.0,1.3341178428410885,4988.229420568887,238.8153235818921,43138.551794238985,348.4081191647839,2089.372269069924,1.7150328580012901,14.18337935077448,70600.6516641954,0.0
1997,88552.93103362377,108300.32578805862,3067.6064267010547,15714.833027723715,22111.085635898766,28323.040853345967,10115.226011481516,123926.19097533225,4716.464016630717,183656.96927897772,22.6628120234049,0.0,0.0,0.47069444952447054,0.0,0.0,18094.253818117984,25481.157485211465,3536.284272592804,150805.38808086503,0.0,2842.773892337286,25564.08549682141,0.0,762.4482278843509,0.0,0.0,1.3341178428410885,4989.357919348929,238.8153235818921,43157.77874403133,357.41682550134976,2117.3802080138307,1.7150328580012901,14.18337935077448,70586.60329907303,0.0
1998,89245.83138262754,109765.49587736891,3066.686565944125,15722.993265272906,22197.41276587665,27423.2591274397,10165.634313861012,121069.22070228557,4773.269898620247,184304.85097395102,22.6628120234049,0.0,0.0,0.5646510473730114,0.0,0.0,18168.57212503778,25629.080494174457,3586.6519156077698,150753.09075578363,0.0,2897.206760621081,25849.428328705308,0.0,765.7418191262292,0.0,0.0,1.3341178428410885,5034.9287998955315,240.60045515724568,43285.35186999436,367.7658197709908,2120.988553480778,1.7150328580012901,14.18337935077448,70584.2601139538,0.0
1999,90411.24077921752,113470.34942757741,3122.079406306432,15727.303198234516,22564.578954350487,23506.607606199126,10530.384600062001,114137.29516277178,4891.881863387918,186153.73675110383,23.22994329375013,0.0,0.0,0.5646510473730114,0.0,0.0,18489.95317326301,26097.54629835414,3618.8283370896547,152146.45194487137,0.0,3110.10908662739,26451.62559701678,0.0,782.9671571060179,0.0,0.0,1.3341178428410885,5184.401593905769,244.2863388666986,43480.804881933116,375.7350216584317,2201.037217403519,1.7150328580012901,14.18337935077448,70318.55115597953,0.0
2000,90580.23218775631,114052.9541635093,3133.6499729812504,15695.147406055745,22694.039595462942,22250.118761403603,10639.955942138582,112566.75762354324,4915.9596494666175,186792.14999182092,23.22994329375013,0.0,0.0,0.6591460839263438,0.0,0.0,18668.195324095523,26181.091659582522,3679.884049816769,152410.89333968452,0.0,3131.7685366201495,26625.739419113546,0.0,822.4017811472603,0.0,0.0,1.3341178428410885,5264.823129582289,246.27149906282546,43746.92739104676,391.77909935499616,2229.7808716291265,1.7150328580012901,14.18337935077448,70297.13966337535,0.0
2001,90640.04444134088,114390.0738257421,3139.956162764178,15711.591061080397,22672.558455071445,20633.86525126312,10716.858153891524,112457.99299411738,4928.324595991923,187868.53716885718,12.373501022518926,0.0,0.0,0.6591460839263438,0.0,0.0,18758.29343523607,26241.904979368606,3616.2426446923973,152302.80965854417,0.0,3144.1302314228224,26702.192502554113,0.0,843.4321264589029,0.0,0.0,1.3341178428410885,5335.345534875038,246.55776902672133,43825.16984178454,422.4041638892424,2230.3500514581033,1.7150328580012901,14.18337935077448,70199.88245109019,0.0
