year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,206174.4133635807,36871.063401383275,106.84643399865969,29995.1902560246,29506.697931602397,39034.12227926254,62279.1162549231,12001.34720709092,48.12183222801961,0.0,7642.863828417978,0.0,0.0,35.571718150382196,0.0,0.0,0.0,40507.61426833793,61.08120471538444,10834.15257154923,15130.467855187972,4.799302976806722,1948.669147736038,0.0,271.98418062559665,0.0,0.0,0.0,93.01156795623375,2603.8456709182747,117.33965025815613,1225.0432330693675,2.413228060503827,0.0,0.0,15585.5115683142,0.0
1993,206170.28745502525,36870.50231580859,106.84643399865969,29994.362923264693,29506.508622010846,39034.02955542572,62279.1162549231,12001.34720709092,48.12183222801961,0.0,7642.863828417978,0.0,0.0,35.571718150382196,0.0,0.0,0.0,40507.61426833793,61.08120471538444,10834.15257154923,15130.467855187972,4.799302976806722,1948.4860404785848,0.0,271.98418062559665,0.0,0.0,0.0,93.01156795623375,2603.8456709182747,117.33965025815613,1231.1165684356035,2.413228060503827,0.0,0.0,15585.417700523849,0.0
1994,206165.78796760787,36869.57002610559,106.84643399865969,29993.082056858293,29506.413818639132,39034.02955542572,62279.1162549231,12001.34720709092,48.12183222801961,0.0,7642.863828417978,0.0,0.0,35.571718150382196,0.0,0.0,0.0,40507.52391519192,61.08120471538444,10834.15257154923,15130.467855187972,4.799302976806722,1948.3002504861263,0.0,271.98418062559665,0.0,0.0,0.0,93.01156795623375,2603.7511229721467,117.33965025815613,1238.3858861083859,2.413228060503827,0.0,0.0,15585.326520834109,0.0
1995,207029.75716843165,37205.80340677058,106.84643399865969,30085.55442720749,29622.745965562866,39410.1004472652,61287.77019361217,11784.804741714317,48.214358464106866,0.0,7487.770791299115,0.0,0.0,36.036402402470706,0.0,0.0,0.0,40624.55183592504,61.82214412392921,10177.833564799264,15162.017178686285,4.799302976806722,1881.7004501059685,0.0,272.9268588278046,0.0,0.0,0.0,99.9206715872573,2711.691276048802,118.07427721213097,1245.7668223632181,2.413228060503827,0.0,0.0,15612.3660089222,0.0
1996,207184.30517096497,37388.405711698215,106.94038897516673,30096.15869926454,29536.406139895058,39492.999025278914,61222.9322566816,11758.781857635,48.49147387644858,0.0,7467.053573849489,0.0,0.0,36.12860698304869,0.0,0.0,0.0,40663.78157669906,62.192694112066924,9828.226083774116,15165.599583157065,4.799302976806722,1872.4795143197819,0.0,272.9268588278046,0.0,0.0,0.0,103.61984145259154,2733.2537468608493,118.43884608885202,1253.5309950037474,2.413228060503827,0.0,0.0,15661.422779932025,0.0
1997,207403.7741425447,37514.397791900614,107.03407231451685,30113.623703615045,29530.848859219786,39598.99470200693,61251.2083464785,11720.846298586299,48.676215159779545,0.0,7444.568049582022,0.0,0.0,35.94215211159955,0.0,0.0,0.0,40753.3249951119,62.28548105506892,9206.472107888945,15181.413074742419,4.799302976806722,1872.9355186955916,0.0,273.2100293308621,0.0,0.0,0.0,105.23252765929882,2755.173519509933,118.07550557302234,1262.6435902933913,2.413228060503827,0.0,0.0,15713.394741950147,0.0
1998,207525.5297911824,37624.20439830556,107.69053651173807,30124.771366259076,29504.656358257063,39784.92075726046,60493.09303386902,11694.496382128717,48.676215159779545,0.0,7420.845126645789,0.0,0.0,35.75587193814371,0.0,0.0,0.0,41133.0267734542,63.20641724367651,9081.40702150395,15272.859811300936,4.799302976806722,1869.5569567938799,0.0,273.77667702265796,0.0,0.0,0.0,106.56028338177819,2771.59102361269,118.71454215835702,1276.1418136946231,2.413228060503827,0.0,0.0,15742.594267645578,0.0
1999,207784.20576924022,37663.76786018321,107.69053651173807,30143.762041987127,29437.43464588615,39980.479743257405,60362.5536393489,11682.549306452765,48.85363371933029,0.0,7481.502297719929,0.0,0.0,35.66306340465582,0.0,0.0,0.0,41606.08628576703,65.97046087747567,7976.6997814273345,15464.965807685856,4.799302976806722,1897.6783622218218,0.0,273.58717193439276,0.0,0.0,0.0,108.07557977588472,2785.678294076971,118.89687765800093,1287.4187130379555,2.413228060503827,0.0,0.0,15760.555553156371,0.0
2000,207766.11267081046,37721.85875234043,107.69053651173807,30145.01046988714,29442.97943696203,40026.51980679347,59985.895353548396,11684.790809141152,48.57292241542966,0.0,7477.119598033095,0.0,0.0,35.84766793950521,0.0,0.0,0.0,41901.40481120906,68.28235753853855,7695.541315793456,15602.19829619086,4.799302976806722,1899.2374086798227,0.0,273.49280398981506,0.0,0.0,0.0,108.54920407208537,2810.580982490022,118.80825277475037,1304.4445675655384,2.413228060503827,0.0,0.0,15849.13740064345,0.0
2001,207885.06430341242,37744.73645923882,107.78331045835081,30166.334122601802,29452.760914709103,40101.483721373064,59323.60617881203,11537.180843608761,48.205906607264595,0.0,7428.051814994787,0.0,0.0,36.220258497936726,0.0,0.0,0.0,42358.85171564662,69.58102254673611,7533.014644449383,15799.194585813304,4.799302976806722,1870.5300036487426,0.0,277.8437120172838,0.0,0.0,0.0,109.8690430403657,2819.0732633781554,120.18236471943197,1415.6080806169766,2.3201162793898136,0.0,0.0,15868.99226691996,0.0
2002,207944.38489399213,37761.285129976386,107.78331045835081,30186.570732288903,29557.983665507825,40156.19458802168,58382.62620532495,11515.783750794679,48.205906607264595,0.0,7406.842751929978,0.0,0.0,36.220258497936726,0.0,0.0,0.0,42763.44269391856,72.16216391823785,7519.657252582931,16028.197708254427,4.799302976806722,1864.161245062764,0.0,277.7491861958249,0.0,0.0,0.0,109.8690430403657,2829.706585783014,123.66477819504772,1526.304579211527,2.3201162793898136,0.0,0.0,15855.372107548548,0.0
