year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1517.5055202823694,1838.7307794674005,238.1851029867634,12.162294902348378,4486.306025118678,3447.4539490640627,1698.1602136775568,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,40.179019845252625,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,26.875666981063198,58.722123358211846,0.0,25.56414031394402,0.0,0.0,0.0,1382.183459361347,0.0
1993,1517.4112630060267,1838.636521467438,238.1851029867634,12.162294902348378,4486.211683295922,3447.359616324668,1698.1602136775568,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,40.179019845252625,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,26.875666981063198,58.722123358211846,0.0,25.94133015240032,0.0,0.0,0.0,1382.183459361347,0.0
1994,1517.4112630060267,1838.4479103744761,238.1851029867634,12.162294902348378,4486.211683295922,3447.359616324668,1698.1602136775568,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,40.179019845252625,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,26.875666981063198,58.722123358211846,0.0,26.129941245361813,0.0,0.0,0.0,1382.183459361347,0.0
1995,1521.5598181053538,1840.333593142562,238.37374743399627,12.162294902348378,4485.363461068375,3465.4649205456267,1677.9819255604168,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,37.539674420286005,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,27.064200311821182,59.28765341978914,0.0,26.412904646941207,0.0,0.0,0.0,1380.48410180148,0.0
1996,1521.5598073752665,1840.2392249831585,238.37374743399627,12.162294902348378,4481.8710606646455,3466.1248684505304,1680.5315328356169,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,37.539674420286005,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,27.064200311821182,59.28765341978914,0.0,26.790128760056923,0.0,0.0,0.0,1380.48410180148,0.0
1997,1521.7488239359716,1840.8990286701671,238.37374743399627,12.162294902348378,4474.2349150157825,3468.9542756864726,1681.379203631856,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,37.539674420286005,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,27.912756248915148,60.7949464956791,0.0,27.544527116044712,0.0,0.0,0.0,1380.48410180148,0.0
1998,1521.6545031314129,1840.8047591236534,238.37374743399627,12.162294902348378,4474.327848042243,3469.425901509602,1680.8146447822648,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,37.539674420286005,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,27.912756248915148,60.7949464956791,0.0,27.73311746711689,0.0,0.0,0.0,1380.48410180148,0.0
1999,1520.994951577906,1840.2388101834151,237.99665342323584,12.162294902348378,4454.327438674802,3467.4446276788644,1699.4939646404785,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,38.38947744142337,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,29.138791208490446,62.492526832160024,0.0,28.864656994392515,0.0,0.0,0.0,1380.48410180148,0.0
2000,1520.4293366440234,1839.7675926852135,237.99665342323584,12.162294902348378,4418.864938015322,3460.7518132202563,1735.8972313959027,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,41.31299769224679,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,30.835946283443953,63.058063207454026,0.0,30.467326088070017,0.0,0.0,0.0,1380.48410180148,0.0
2001,1520.5236584163601,1839.673222460272,238.27977235070236,12.162294902348378,4379.040045959207,3458.0157394796784,1778.1758160241302,0.0,0.0,0.0,0.0,0.0,0.0,0.5663405327362094,0.0,0.0,0.0,0.18853044646963282,2.735672443056412,39.33141208451662,0.0,0.0,1.0373098419142108,0.0,0.0,0.0,0.0,0.0,32.43950809797311,63.2466579327461,0.0,30.656065849583136,0.0,0.0,0.0,1380.48410180148,0.0
