year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,17610.619563498127,155.9669626542725,0.0,108.55253713598252,7111.88521322571,4979.680045996388,355.05011115837266,12.54699567131721,0.0,16084.302297434515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.676893443004577,3.7865321949292405,11504.311353816121,0.0,1425.3636186007966,10.677751948655262,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,9.283377059775844,17.69077439048907,154.0958905242239,45.2774666262759,1.6132126109763516,0.0,1625.9659630543708,0.0
1993,17609.386212320333,155.87209225230768,0.0,108.55253713598252,7111.505712148912,4978.541981871469,355.05011115837266,12.54699567131721,0.0,16084.302297434515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.676893443004577,3.7865321949292405,11503.647262511682,0.0,1425.3636186007966,10.582879043855286,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,9.283377059775844,17.69077439048907,157.70064151492974,45.2774666262759,1.6132126109763516,0.0,1625.9659630543708,0.0
1994,17607.96430471726,155.87209225230768,0.0,108.55253713598252,7110.843866532759,4976.454785615288,355.05011115837266,12.54699567131721,0.0,16084.302297434515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.676893443004577,3.7865321949292405,11502.793431414553,0.0,1425.3636186007966,10.488005639105769,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,9.283377059775844,17.69077439048907,162.82029549221545,45.2774666262759,1.6132126109763516,0.0,1625.9659630543708,0.0
1995,17638.85055083402,156.15546345264235,0.0,108.6474396400962,7114.967728437198,4960.951583285336,355.33329014598587,12.924546478256278,0.0,16099.782417249304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.676419650397364,3.7865321949292405,11463.733410126206,0.0,1425.3636186007966,10.772714610756115,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,8.05008340254224,17.69077439048907,167.18295772948434,45.75198206546291,1.6132126109763516,0.0,1625.1118361394197,0.0
1996,17677.8021509155,156.24563738357708,0.0,108.74004325355375,7120.036069058615,4893.151384931979,362.9807670864372,14.245170442702163,0.0,16176.32264633277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.676419650397364,3.691664301374259,11397.937813724846,0.0,1425.6453091584372,10.866451317743907,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,8.05008340254224,17.69077439048907,170.7871448774791,45.75198206546291,1.6132126109763516,0.0,1625.1118361394197,0.0
1997,17717.921130499763,156.99983146342785,0.0,108.74004325355375,7126.879965580741,4874.529474831421,367.79345783676007,20.002781499159173,0.0,16374.153834156228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.619884106746234,3.691664301374259,11158.924677444324,0.0,1424.5124367548765,10.866451317743907,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,8.05008340254224,17.69077439048907,172.49303938929367,44.900424399150836,1.6132126109763516,0.0,1625.9633938057318,0.0
1998,17770.973951569842,158.79623157468575,0.0,108.74004325355375,7140.519119583194,4878.20355625722,367.79345783676007,20.002781499159173,0.0,16377.535440260068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.619884106746234,3.691664301374259,11081.295055402456,0.0,1424.5124367548765,10.67663272789641,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,8.05008340254224,17.69077439048907,174.6738088608572,44.04895383861845,1.6132126109763516,0.0,1626.9094728129926,0.0
1999,17870.776548346566,164.62481006126475,0.0,112.58955594162168,7129.147030792112,4477.123761832229,453.1565494152884,109.32074089741295,0.0,17793.35720632511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.771966156869087,2.556373254050001,9776.40398733714,0.0,1408.8653615307308,8.304946968028313,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,2.845833509809683,5.485778273488624,177.4194956450331,2.5616396461941005,1.6132126109763516,0.0,1715.4217625003857,0.0
2000,18025.646982871152,177.1137477199755,0.0,111.83455633412046,7146.292940523673,4140.979667857932,497.30577528230805,200.97700483908503,0.0,19203.979754133994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.80972135498525,2.4615053604950194,8392.540025595796,0.0,1394.5316307432809,8.304946968028313,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,2.845833509809683,5.391202281410566,180.73465091071424,2.5616396461941005,1.6132126109763516,0.0,1715.4217625003857,0.0
2001,18105.285756042813,194.1195442141061,0.0,112.30225450781506,7157.1265706114245,4011.492065810508,532.9615770722224,246.46516903736568,0.0,19799.17216764395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.375742158978827,1.9877487385163146,7730.386916072178,0.0,1384.7266455315068,8.115194174676633,0.0,0.18971053578277802,0.0,0.0,0.0,0.0,2.845833509809683,5.391202281410566,198.28066123954787,1.3283802909246019,1.6132126109763516,0.0,1716.3699194955939,0.0
