year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,78379.35094776037,10385.379648979511,10.401069143668169,2000.4564762150176,20993.613366996964,9549.643201816789,10601.744015600798,608.7070577456229,63.04112457572275,35583.303702230034,4.197873399999754,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,1972.4422132522918,297.50542560952414,25142.464323144057,0.0,769.5244598678227,8118.989931026738,0.0,0.0,0.0,0.0,0.0,115.62452178190374,59.91602570839746,3764.85478892783,200.56851188389442,0.1908631821899047,2.0032982280610114,0.0,38308.13270788468,0.0
1993,78378.49266789033,10385.379648979511,10.401069143668169,2000.4564762150176,20993.613366996964,9548.0208862445,10601.648601127512,608.7070577456229,63.04112457572275,35583.112841421906,4.197873399999754,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,1971.4879049969218,297.50542560952414,25142.36900310069,0.0,769.5244598678227,8118.989931026738,0.0,0.0,0.0,0.0,0.0,115.62452178190374,59.91602570839746,3764.85478892783,204.38501090637993,0.1908631821899047,2.0032982280610114,0.0,38308.13270788468,0.0
1994,78377.4434077355,10385.188785375847,10.401069143668169,2000.4564762150176,20993.23191205295,9546.780456455921,10601.648601127512,608.7070577456229,63.04112457572275,35583.017411002475,4.197873399999754,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,1970.8198879809952,297.50542560952414,25142.273573835984,0.0,769.5244598678227,8118.989931026738,0.0,0.0,0.0,0.0,0.0,115.62452178190374,59.91602570839746,3764.85478892783,208.3921914382264,0.1908631821899047,2.0032982280610114,0.0,38307.84641254401,0.0
1995,78979.47749578892,10531.8441272023,10.401069143668169,2002.0764264353193,21094.953448649227,9451.33659688023,10334.46467935575,604.9859305987817,63.23198548972588,35582.540431223366,0.1908592182519565,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,1983.7968436186559,297.1237043490104,24648.100904110164,0.0,769.0482258961069,8123.2814838885315,0.0,0.0,0.0,0.0,0.0,115.62471147978195,60.20229611421046,3766.954368995402,212.59027990262817,0.1908631821899047,2.0032982280610114,0.0,38297.63552521172,0.0
1996,79218.96212797723,10534.610566307705,10.401069143668169,2002.7435888179918,21173.68628196318,9430.436544778351,10333.223066692313,606.0336446507536,63.23198548972588,35582.349157154145,0.1908592182519565,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,1983.6059833153884,289.6899051611608,24333.710308007237,0.0,768.571418508995,8126.807316733813,0.0,0.0,0.0,0.0,0.0,115.62471147978195,60.20229611421046,3766.8590374919086,216.59735704494344,0.1908631821899047,2.0032982280610114,0.0,38312.32416750096,0.0
1997,79474.1617927547,10545.099920712431,10.401069143668169,2007.6039915922374,21250.316492937487,9423.937691164578,10332.934196344648,607.8467321806035,63.23198548972588,35591.78207335442,0.1908592182519565,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,1985.1326227514735,279.4918240814645,24031.81202553279,0.0,767.8085508315768,8078.106601858068,0.0,0.0,0.0,0.0,0.0,116.197261402545,60.297705394032185,3766.286483714729,221.0821059551278,0.1908631821899047,2.0032982280610114,0.0,38316.13940713714,0.0
1998,79518.38996878093,10558.17105382182,10.401069143668169,2008.0804468968001,21273.472089317904,9412.481447189773,10316.328694398604,610.3275571270375,63.23198548972588,35591.59132249197,0.1908592182519565,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,1987.0411763961342,279.3010847063433,23963.68426714075,0.0,766.7604436066504,8078.96335229394,0.0,0.0,0.0,0.0,0.0,116.48353573734002,60.297705394032185,3766.0959025192824,224.80338581820365,0.1908631821899047,2.0032982280610114,0.0,38323.764046062504,0.0
1999,79740.36919981323,10583.157494272042,10.401069143668169,2015.6090917623612,21395.53578338106,9363.496259751822,10378.462888095371,622.4386204724801,64.75802819707229,35693.83953021977,0.8588314689343376,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,1996.4877795301907,278.53790249291814,23424.16241673475,0.0,757.8990812371671,8084.296954725558,0.0,0.0,0.0,0.0,0.0,118.48534727256876,60.20272904582591,3772.1000041929983,229.1924995737348,0.1908631821899047,2.0032982280610114,0.0,38339.569882168136,0.0
2000,79747.32326235875,10589.072704179118,10.401069143668169,2015.6090917623612,21369.30853311274,9061.690106821883,10564.073393527166,632.921343096085,65.61633475198978,35958.1250557412,0.9542581956389994,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,2003.453576562404,275.48643207798546,23288.377408410845,0.0,758.9480606108036,8047.1086643861645,0.0,0.0,0.0,0.0,0.0,119.34321181145802,60.39359259610358,3777.245752557461,233.10418778326348,0.1908631821899047,2.0032982280610114,0.0,38351.30535406457,0.0
2001,79907.07334342017,10652.722075650257,10.305638529540301,2015.6090917623612,21433.362824377662,8812.969697902847,10588.805284916874,427.6932247956759,66.09327850249107,36390.51546648886,0.9542581956389994,0.0,0.0,0.0,0.0,0.0,2.5762101405834033,2002.5941103628998,227.67833777744167,22971.514368091066,0.0,758.6624527595823,8039.954491786736,0.0,0.0,0.0,0.0,0.0,122.205462926184,61.157031388605084,3770.4675762979073,292.26986602102784,0.1908631821899047,2.0032982280610114,0.0,38377.25351159779,0.0
