year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,385369.9832010679,65778.36909934098,0.9571354292138938,34.534815298843654,12520.299215725947,10541.061145998598,0.0,34152.40302223973,390.16997806788027,0.0,27432.832602884635,0.312311055559816,0.0,1.279144752068722,0.0,0.0,12410.00444438536,6041.809484324229,154.87311630480028,0.24604944117505248,0.0,0.0,13697.173305977798,0.0,1075.2656686104892,0.0,0.0,0.0,70.68635267178954,0.0,469.5044023135398,10163.091548872511,458.9413242144292,9.580457413552335,0.0,19463.171299035374,0.0
1993,385229.9765915845,65704.92759504085,0.9571354292138938,34.534815298843654,12515.844917446853,10533.202124311845,0.0,34151.529099285,390.0430793028618,0.0,27427.414777847654,0.312311055559816,0.0,1.279144752068722,0.0,0.0,12409.753054366463,6040.928841974924,154.87311630480028,0.24604944117505248,0.0,0.0,13693.616577794135,0.0,1074.607114598311,0.0,0.0,0.0,70.68635267178954,0.0,469.38265925696675,10401.440214142785,458.8808705609945,9.580457413552335,0.0,19462.53222554479,0.0
1994,385056.60217336164,65619.87490067235,0.9571354292138938,34.534815298843654,12512.148001492189,10526.556208965792,0.0,34150.90388156517,389.9793933183231,0.0,27423.108388711564,0.312311055559816,0.0,1.279144752068722,0.0,0.0,12409.568029161472,6040.301545969509,154.87311630480028,0.24604944117505248,0.0,0.0,13690.511591368631,0.0,1073.278974410626,0.0,0.0,0.0,70.68635267178954,0.0,469.25479177018707,10681.749561082439,458.75439699736273,9.580457413552335,0.0,19461.487904211743,0.0
1995,385353.0814762385,65656.26308963606,0.9571354292138938,34.601725804606446,12311.823830375983,8573.726115420655,0.0,34496.133374420104,392.05396254293555,0.0,27688.639056197775,0.312311055559816,0.0,1.2116233707169604,0.0,0.0,13069.325933687645,6158.8925612859475,157.9688247623579,0.24604944117505248,0.0,0.0,13821.161536450121,0.0,1021.7293906724335,0.0,0.0,0.0,70.15332107774047,0.0,467.224703754756,11028.238613053963,412.2411039294484,9.580457413552335,0.0,19510.982929405563,0.0
1996,384948.2152919394,65572.57956149164,0.9571354292138938,34.601725804606446,12174.25735187554,7964.537230609912,0.0,34783.65652798052,392.93664211527516,0.0,27861.774591085097,0.24680324868226716,0.0,1.2116233707169604,0.0,0.0,13308.852165381863,6202.443335573114,158.91632109681413,0.24604944117505248,0.0,0.0,13821.170699355625,0.0,938.6164032365305,0.0,0.0,0.0,70.56957671231382,0.0,466.8337598142896,11436.614188079693,294.27185551206264,9.580457413552335,0.0,19793.4598288598,0.0
1997,384629.05328237516,65464.70600654286,0.9571354292138938,34.601725804606446,12124.296935869914,7289.747122595489,0.0,34953.977734846405,393.0461311212952,0.0,28040.298724123073,0.24680324868226716,0.0,1.2116233707169604,0.0,0.0,13601.12895251086,6262.685820845364,161.0574212219462,0.24604944117505248,0.0,0.0,13829.443924344143,0.0,881.8845254841648,0.0,0.0,0.0,70.56957671231382,0.0,466.8170603363661,11913.407426649823,273.68806635463704,9.580457413552335,0.0,19833.896618785504,0.0
1998,384061.02634978096,65327.09225982037,0.9571354292138938,34.601725804606446,12127.117613200813,7028.286253907525,0.0,35050.74539678555,394.109409606593,0.0,28084.84782933149,0.24680324868226716,0.0,1.2116233707169604,0.0,0.0,13669.35320860941,6307.383379841627,163.97494854130267,0.24604944117505248,0.0,0.0,13867.219343441146,0.0,842.7666191559133,0.0,0.0,0.0,71.60733221768177,0.0,466.2710387440628,12562.79303175733,223.5381427922391,9.713042464872187,0.0,19941.44058813426,0.0
1999,382239.2594490723,65221.315829099505,0.9571354292138938,34.601725804606446,11970.773999483426,5135.7360362125955,0.0,36271.766855159905,401.2498913888857,0.0,29420.464900998282,0.3062272586603977,0.0,1.2116233707169604,0.0,0.0,14129.34730979462,6524.529736268793,173.36264783991325,0.24604944117505248,0.0,0.0,13848.90420968307,0.0,633.2996966415565,0.0,0.0,0.0,73.70714420546678,0.0,463.66262302292296,13208.967251078291,191.21410092553018,9.713042464872187,0.0,20281.9516407835,0.0
2000,381280.3692748619,65072.3573707269,0.9571354292138938,34.601725804606446,11916.831397739175,4480.750920394194,0.0,37036.687212738914,404.715847282518,0.0,29555.77415334598,0.3062272586603977,0.0,1.2116233707169604,0.0,0.0,14230.747608934817,6632.557737035666,182.64011883400076,0.24604944117505248,0.0,0.0,13859.436911781633,0.0,561.3839850860646,0.0,0.0,0.0,73.70683418193352,0.0,463.21211364665913,13948.239832924994,192.94783746095231,9.713042464872187,0.0,20297.15416468306,0.0
2001,380421.89853128034,64780.88830779147,0.9571354292138938,34.601725804606446,11875.898307223551,4123.929946279105,0.0,37190.778408713195,407.6418627177804,0.0,29563.72785022287,0.3062272586603977,0.0,1.2116233707169604,0.0,0.0,14267.97811463325,6679.004236670986,187.32491874095754,0.24604944117505248,0.0,0.0,13848.040557216507,0.0,535.5089548364143,0.0,0.0,0.0,75.02132582261028,0.0,462.7187182913103,15277.222460500501,190.98347082082802,9.713042464872187,0.0,20300.947349895978,0.0
2002,378859.571686009,64193.624863113175,0.9571354292138938,34.601725804606446,11852.176360913661,3893.9421962333017,0.0,37278.08851718779,407.75492074290133,0.0,29619.926059250247,0.3062272586603977,0.0,1.0765740706409042,0.0,0.0,14289.009766599147,6709.329623228234,187.8660949218199,0.24604944117505248,0.0,0.0,13817.577223922237,0.0,487.0415430944279,0.0,0.0,0.0,75.49788568776496,0.0,464.1333328454486,17575.313776269435,189.07024422775524,9.713042464872187,0.0,20289.72427671166,0.0
2003,376523.6740511274,63491.86692874575,0.9571354292138938,34.601725804606446,11797.693260787111,3679.233333581053,0.0,37352.49941635495,409.65091888772105,0.0,29685.696179432,0.3062272586603977,0.0,1.0765740706409042,0.0,0.0,14311.183964401818,6743.152289556071,183.5324658917544,0.24604944117505248,0.0,0.0,13790.560151125868,0.0,455.0451231706374,0.0,0.0,0.0,76.57103254600713,0.0,464.6912733951703,20765.409277523617,188.48276584674412,9.713042464872187,0.0,20270.705938585033,0.0
2004,373708.2123209535,62763.45748871079,0.9571354292138938,34.601725804606446,11702.462688814101,3189.096242601509,0.0,37608.86629609171,410.39305700965815,0.0,29908.031135424775,0.3062272586603977,0.0,1.0765740706409042,0.0,0.0,14364.501482988258,6880.074341614931,185.21955527040157,0.24604944117505248,0.0,0.0,13733.961191369532,0.0,397.49791815350386,0.0,0.0,0.0,79.30358274489197,0.0,464.1343668469745,24343.54972279355,185.4633922436971,9.713042464872187,0.0,20265.42358732601,0.0
2005,373678.11498876015,62762.295987676334,0.9571354292138938,34.86930183878827,11668.547747330826,2941.9621090252126,0.0,37753.91052815842,412.20124221573644,0.0,30002.062330711247,0.3062272586603977,0.0,1.0765740706409042,0.0,0.0,14380.063697843092,6937.154198868792,185.38306387741505,0.24604944117505248,0.0,0.0,13735.141572946846,0.0,380.7092182555366,0.0,0.0,0.0,81.45008406598788,0.0,467.44628844334875,24372.48429763739,185.5229759457741,9.581543165013656,0.0,20245.061962461878,0.0
2006,373599.3332793377,62757.74210116275,0.9571354292138938,34.86930183878827,11630.793040306693,2660.191150689264,0.0,37998.439304275234,416.3896024270192,0.0,30050.073022912802,0.3062272586603977,0.0,1.0765740706409042,0.0,0.0,14395.11991324055,7027.02553346756,182.19349242021627,0.24604944117505248,0.0,0.0,13741.384950552509,0.0,373.3691720580819,0.0,0.0,0.0,85.08295851462334,0.0,468.2432590129286,24402.05366413444,185.78750186834898,9.714769093454423,0.0,20216.15712191464,0.0
2007,373465.07242377795,62758.81577645786,0.9571354292138938,34.86930183878827,11554.055628011713,2274.4198597167324,0.0,38291.113039518495,423.0288627453594,0.0,30153.427796511805,0.3062272586603977,0.0,1.0765740706409042,0.0,0.0,14427.559989805068,7177.098781945442,181.50283895062537,0.24604944117505248,0.0,0.0,13766.842662753728,0.0,355.39061150798904,0.0,0.0,0.0,90.30177889782577,0.0,467.6988912298947,24432.051977857187,187.79927306348608,9.84778282233902,0.0,20183.065861815277,0.0
2008,373132.2270947426,62735.48379321459,0.9571354292138938,34.86930183878827,11431.742534959958,1767.971511824728,0.0,38702.43227723104,427.16821027569546,0.0,30305.84797213272,0.3062272586603977,0.0,1.0765740706409042,0.0,0.0,14475.29293663676,7386.266028769531,182.46456378386964,0.24604944117505248,0.0,0.0,13811.872137214617,0.0,356.6518587359552,0.0,0.0,0.0,99.96327024152521,0.0,471.87263328069463,24589.70425318537,196.70180315961298,9.979312301126983,0.0,20115.4516456985,0.0
