year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,102256.70593387818,1363703.1816241583,0.0,0.0,73456.6979307508,333707.01229113573,5902.459877355059,757951.3517414995,15761.19233767317,3.6950685310196483,1312855.5972157833,243734.5937053648,1.7056417654312819,26978.323390342586,0.0,0.0,230374.9273747921,158298.83538950054,12463.39108374012,1855653.8177744779,0.2137736452392427,0.2892765345168651,1702336.1904119542,65673.26971303979,179788.8711312484,0.0,2766.9900850768636,121.96191712605751,162412.28961098153,1930.4987966842,124330.70779537033,79725.79059709687,177904.6916296988,93.90599286964733,0.0,442784.71785190736,63083.09388134872
1993,101621.87873538861,1363414.9678070433,0.0,0.0,73397.06746835951,333658.8563770014,5902.459877355059,757832.0883085537,15761.19233767317,3.6950685310196483,1312712.9953132714,243734.40863056187,1.7056417654312819,26965.441493121016,0.0,0.0,230369.10596199328,157829.35192421428,12436.195489084796,1855472.2467558598,0.2137736452392427,0.2892765345168651,1701876.6855537016,65673.18140625386,179782.1534103787,0.0,2766.9900850768636,121.96191712605751,162391.44275700423,1928.3772728757713,124290.85739588374,82276.84415158218,177891.2612952449,93.90599286964733,0.0,442766.05548603006,63083.09388134872
1994,101010.83120177904,1363113.007386857,0.0,0.0,73338.36846323262,333603.8323782161,5902.459877355059,757694.0293404111,15761.099571107014,3.6950685310196483,1312551.5919166827,243734.27054247714,1.7056417654312819,26952.454441490772,0.0,0.0,230362.8181683345,157423.617795769,12408.933738532578,1855320.1586326559,0.2137736452392427,0.2892765345168651,1701388.0114220039,65673.18140625386,179778.8369048737,0.0,2766.9900850768636,121.96191712605751,162367.67343421435,1927.098922360588,124249.42568017825,84794.73086216894,177881.46772788774,93.90599286964733,0.0,442747.21539359307,63083.09388134872
1995,100582.9703120619,1367263.6713240214,0.0,0.0,73297.87090487036,334034.1574208556,5902.459877355059,756008.3237216338,15784.916958283548,3.6950685310196483,1310767.0166639858,244464.4582916668,1.7056417654312819,26941.946376141634,0.0,0.0,230613.54310458983,156612.224889497,11792.63320918353,1855252.0635950826,0.2137736452392427,0.2892765345168651,1700668.5538012648,65673.18140625386,179454.56287364857,0.0,2767.06700216408,121.96191712605751,162485.6502165719,1925.4839828209613,122146.21839453663,87349.50149714353,177919.64075677766,93.90599286964733,0.0,443043.9887130968,63083.09388134872
1996,99884.11806353032,1369396.622309301,0.0,0.0,73269.633632961,333925.3741840245,5902.3886597067685,755956.8973492571,15859.69969237503,3.6950685310196483,1312077.4472692432,245317.64370012068,1.7056417654312819,26957.187636261555,0.0,0.0,231099.02811266476,156574.26675692885,11264.038903984409,1851699.687060672,0.2137736452392427,0.2892765345168651,1698509.1714900113,65673.18140625386,179646.08827627267,0.0,2767.539217781707,122.53290923222252,162633.30518024438,1923.95522101217,120810.9208555774,89872.55019333807,177918.16220320005,93.90599286964733,0.0,443812.6269266828,63083.09388134872
1997,99464.31796275364,1371623.9361911623,0.0,0.0,73283.92933181344,334174.56510422146,5902.3886597067685,755549.9092208412,16114.581313843337,3.6950685310196483,1312471.2012510125,245967.71955426698,1.7056417654312819,26965.072052807478,0.0,0.0,231688.18215669936,156595.86842707096,10910.572094197823,1848902.592531507,0.2137736452392427,0.2892765345168651,1696615.336866383,65673.1376138737,179851.6672839185,0.0,2767.780439313652,122.46353897254453,162801.71258892646,1922.5946863865192,119237.22264947189,92086.53386574244,177940.8500858685,93.90599286964733,0.0,444239.9317398748,63083.09388134872
1998,99325.82509202213,1374234.0135862606,0.0,0.0,73409.73709896814,335090.2240025733,5902.3886597067685,753074.0109795847,16151.546716743276,3.6950685310196483,1312436.497230167,246488.2122537567,1.7056417654312819,26983.700052019354,0.0,0.0,231978.99534103007,155922.90001501277,10640.894875342285,1847265.6675447293,0.2137736452392427,0.2892765345168651,1697727.806570254,65673.1376138737,180226.79745646188,0.0,2768.5397889177616,122.46353897254453,163242.7140306083,1921.8345151245053,115437.14679203712,94092.47611811389,177982.13511374817,93.90599286964733,0.0,444774.4022246082,63083.09388134872
1999,99128.51681192234,1379162.8139606514,0.0,0.0,73510.15437350619,335456.170255202,5902.729001821081,750640.413934883,16729.85923598597,3.6950685310196483,1316006.282732943,247559.85452739714,1.7056417654312819,27172.688124674096,0.0,0.0,233808.31990404395,155340.46235395537,9985.027112175374,1838956.2423644466,0.2137736452392427,0.2892765345168651,1699635.0299922735,65673.1002852265,181011.10645021687,0.0,2773.4789478450894,122.7097286261086,164654.53342630525,1923.091712177079,108394.89017322712,95746.86478233238,178011.66819659286,93.90599286964733,0.0,445568.05882220657,63083.09388134872
2000,99244.22759943682,1382704.898236282,0.0,0.0,73461.38603115831,335039.422062941,5903.298389876498,750176.5473791816,16964.767073512496,3.6950685310196483,1320971.175626418,249199.56673736492,1.7056417654312819,27578.671804678823,0.0,0.0,234707.99944105968,155441.7285562544,9719.42609402678,1834653.4162537039,0.2137736452392427,0.2892765345168651,1698519.1544962572,65673.06295657928,182132.48893247117,0.0,2778.8473087523344,122.84888713730965,166126.20233217627,1923.0159846377667,98403.12839040575,97519.62645142921,178052.7824965391,93.90599286964733,0.0,445856.37768835045,63083.09388134872
2001,97544.62909581419,1385441.7617903901,0.0,0.0,73400.49184869956,334391.1494029958,5905.07927998703,752835.5355242249,17094.59227935337,3.6950685310196483,1321152.7783670784,249609.3039959052,1.7056417654312819,27674.190727794426,0.0,0.0,235828.76545616667,154477.39941109618,9278.775647406523,1833188.3436509822,0.2137736452392427,0.2892765345168651,1698015.5669206928,65673.06295657928,182916.30886964145,0.0,2780.826649573318,122.9849887872289,166861.97391406223,1919.3605166905077,90836.67564579389,102085.46317867926,178136.1862503575,93.90599286964733,0.0,445702.86084188445,63083.09388134872
