year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,49493.32768266966,18854.711212551898,40.53346372542347,0.0,34572.75401788942,38645.61690051778,453522.3602161741,6103.344095220238,5.255064221906162,0.0,3498.7012787018257,0.0,0.0,136.06833518252185,0.0,0.0,0.9445534037207213,13854.88484789613,22926.22844164262,52823.00251556737,0.0,0.0,141458.5361344199,0.0,4767.203316286157,0.0,0.0,0.3755026471545497,27027.232237893324,2941.3353626420444,18684.308148220265,1506.4234880992028,421.31621258157327,0.0,0.0,21321.78350376852,0.5662302926567715
1993,49492.59690499551,18856.61779003444,40.53346372542347,0.0,34582.6214514812,38671.46431974268,452927.0046422217,6038.477109629984,5.255064221906162,0.0,3498.7012787018257,0.0,0.0,136.2571242144274,0.0,0.0,0.9445534037207213,13896.90940116928,22992.098322040285,53075.981807097705,0.0,0.0,141505.43012476765,0.0,4770.283193931594,0.0,0.0,0.3755026471545497,27004.9686444259,2939.825334599484,18807.917498669336,1547.5053172005087,421.5064035645647,0.0,0.0,21392.97127943643,0.5662302926567715
1994,49489.02206187101,18855.677039060527,40.53346372542347,0.0,34581.01971165444,38670.43071267026,452925.4997417537,6038.383267806101,5.255064221906162,0.0,3498.7012787018257,0.0,0.0,136.2571242144274,0.0,0.0,0.9445534037207213,13895.970221378695,22987.58468113793,53073.16261354096,0.0,0.0,141484.54337088962,0.0,4767.845197114664,0.0,0.0,0.3755026471545497,27004.9686444259,2939.825334599484,18806.978457825822,1588.9780862312218,421.4125608999501,0.0,0.0,21392.877842147944,0.5662302926567715
1995,49574.998411940316,18875.099332145055,40.81665539800083,0.0,34381.51858580112,38492.03384504058,452342.1240660362,6002.206038215051,5.255064221906162,0.0,3535.191000664517,0.0,0.0,135.8746360475418,0.0,0.0,0.9445534037207213,13761.755707333641,23058.193766321296,53299.10515757255,0.0,0.0,141790.77972140355,0.0,4733.865353599641,0.0,0.0,0.3755026471545497,27186.88758831805,2938.1404259617775,18887.624803379367,1632.6974328565332,421.5125258587858,0.0,0.0,21509.246357756274,0.5662302926567715
1996,49602.907778995475,18880.099674343248,40.91073261974678,0.0,34303.90555887234,38495.31434701965,451984.46071669005,5973.275335472146,5.255064221906162,0.0,3566.5042226237642,0.0,0.0,135.97001410752418,0.0,0.0,0.9445534037207213,13751.150177825035,23094.903924302358,53405.275314743,0.0,0.0,141756.20995184753,0.0,4727.051855249946,0.0,0.0,0.3755026471545497,27248.25730218363,2937.6512348952665,18937.805065253076,1677.271294741728,421.42015688325864,0.0,0.0,21659.326752980345,0.5662302926567715
1997,49634.42565433673,18890.837020740615,40.91073261974678,0.0,34174.788410093955,38509.746761113645,451578.7785795111,5943.893307052587,5.255064221906162,0.0,3676.7360932505853,0.0,0.0,135.7792234464979,0.0,0.0,0.9445534037207213,13740.664384024798,23117.68362231653,53558.663736498915,0.0,0.0,141713.06391510958,0.0,4723.76789386597,0.0,0.0,0.3755026471545497,27327.904796633873,2941.665855507172,18999.079609506654,1715.2755257028202,423.708724954257,0.0,0.0,21752.297565363824,0.5662302926567715
1998,49755.31962562824,18921.13994586817,40.91073261974678,0.0,34308.20851299403,38693.614134294345,450767.73568035604,5931.937772420494,5.255064221906162,0.0,3710.777359920432,0.0,0.0,135.7792234464979,0.0,0.0,0.9445534037207213,13693.353383451207,23146.387394502537,53723.05174368231,0.0,0.0,141698.26908876945,0.0,4725.032124666847,0.0,0.0,0.3755026471545497,27379.23800114225,2943.347608631602,19028.172662937188,1752.0504635334512,423.99540764793056,0.0,0.0,21821.350545136946,0.5662302926567715
1999,49847.27184811266,18970.347115494977,40.91073261974678,0.0,34444.90545901938,38817.68882615827,449351.61155895016,5930.40485982272,5.255064221906162,0.0,3829.4950844521713,0.0,0.0,133.59420638271493,0.0,0.0,0.9445534037207213,13729.975000840188,23209.241415801065,54232.24327077339,0.0,0.0,141478.94055620313,0.0,4755.396792163808,0.0,0.0,0.3755026471545497,27415.423136819227,2947.2891637904486,19311.124351948074,1785.3456980745661,434.3029353251919,0.0,0.0,21934.159398897853,0.5662302926567715
2000,49843.67454014388,18995.35936418393,40.91073261974678,0.0,34451.79343518108,38606.501137289044,449385.4459235794,5948.880293378167,5.255064221906162,0.0,3887.4900626351787,0.0,0.0,133.21094807269483,0.0,0.0,0.9445534037207213,13788.88847438921,23214.777926204704,54322.64186961857,0.0,0.0,141197.81323272694,0.0,4742.7446706538,0.0,0.0,0.3755026471545497,27519.569119739834,2948.8815687829847,19336.99397475716,1822.789194527348,434.6914016655007,0.0,0.0,21976.613541500075,0.5662302926567715
2001,49988.76845496449,19076.980984052407,41.28840138871267,0.0,34545.86505518232,38668.624468634785,448788.1637894854,5950.283529636454,5.255064221906162,0.0,3881.9184092162445,0.0,0.0,133.29950806914317,0.0,0.0,0.9445534037207213,13816.915550479502,23223.404118666833,54426.56741195887,0.0,0.0,141121.7425785362,0.0,4740.877435129744,0.0,0.0,0.3755026471545497,27536.228510316934,2951.979958096826,19367.54529516836,1912.052645742543,434.5080101632022,0.0,0.0,21992.657296760448,0.5662302926567715
2002,50052.57985313748,19097.58014192266,41.28840138871267,0.0,34569.39230438934,38722.30205940896,448457.9851925566,5949.703165083697,5.255064221906162,0.0,3869.1808123679716,0.0,0.0,133.29950806914317,0.0,0.0,0.9445534037207213,13862.117801300325,23230.656095070757,54450.585609495836,0.0,0.0,141089.30534811367,0.0,4746.732578421617,0.0,0.0,0.3755026471545497,27561.619732361007,2956.1193826214476,19371.98415739319,1989.6166264802837,434.79376972044963,0.0,0.0,22012.828872345945,0.5662302926567715
2003,50173.459245490834,19142.19324559269,41.38360487322454,0.0,34594.957247028775,38835.2901395714,447855.2591905728,5948.663275781399,5.255064221906162,0.0,3859.459993789875,0.0,0.0,133.29950806914317,0.0,0.0,0.9445534037207213,13817.12374829379,23284.399190517735,54559.37015090529,0.0,0.0,141186.55148611564,0.0,4743.082688162955,0.0,0.0,0.3755026471545497,27577.721325551047,2957.332792985173,19382.456907594787,2037.077913115032,433.0999118422485,0.0,0.0,22037.489845795615,0.5662302926567715
2004,50339.668409144935,19202.558372559688,42.04552576555476,0.0,34601.15988836015,38890.88265955083,444953.9916135303,5801.021429501764,5.255064221906162,0.0,3925.3615277220424,0.0,0.0,133.24365971106963,0.0,0.0,1.1335090467149513,15345.5656082963,23386.646061806256,54909.20565358157,0.0,0.0,141064.5759061695,0.0,4745.639007623043,0.0,0.0,0.3755026471545497,27486.646526421115,2977.170145150358,19685.212749651524,2079.0439805527462,442.2172210077955,0.0,0.0,22587.626509900125,0.5662302926567715
2005,50367.73459533725,19223.364198026247,41.95171606070727,0.0,34412.00454710055,38766.62376509081,445047.63154613174,5845.585303945597,5.255064221906162,0.0,3917.9999594934156,0.0,0.0,133.24365971106963,0.0,0.0,1.1335090467149513,15327.809291779304,23408.654202582366,54929.9989112981,0.0,0.0,141058.02810779185,0.0,4736.651554961051,0.0,0.0,0.3755026471545497,27529.640267486342,2982.3487078345183,19699.72049481093,2141.2153251733325,441.7468947614574,0.0,0.0,22587.529406629674,0.5662302926567715
2006,50373.571176173,19233.47707346176,41.95246720381476,0.0,34204.03986022364,38562.175672068435,445236.5621023452,5927.557342970874,5.255064221906162,0.0,3954.1368470784037,0.0,0.0,133.24365971106963,0.0,0.0,1.1335090467149513,15393.346719405105,23427.318481549642,54895.91858020196,0.0,0.0,140929.9841627805,0.0,4744.053140469888,0.0,0.0,0.3755026471545497,27624.997742710675,2981.506802705714,19707.89968869244,2197.574047935253,441.74731724555494,0.0,0.0,22588.419571073457,0.5662302926567715
2007,50362.25998761142,19244.45575514964,42.047358948119246,0.0,34079.59687385869,38361.15168705866,445395.8334096487,5941.561652143452,5.255064221906162,0.0,3987.3457659279356,0.0,0.0,134.3664278584688,0.0,0.0,1.2272828811038818,15449.421690582969,23446.841470309017,54893.14965648921,0.0,0.0,140874.741917671,0.0,4763.991073921233,0.0,0.0,0.3755026471545497,27646.702119553927,2987.9800579003468,19713.050076293006,2255.7029140293107,444.4873723688888,0.0,0.0,22574.70141484818,0.5662302926567715
2008,50302.880979572416,19245.168931236472,41.5762032842776,0.0,33774.436041265544,38005.98809296171,445834.69164299255,5960.3303589682655,5.255064221906162,0.0,3944.9983830783276,0.0,0.0,140.82311204578554,0.0,0.0,1.2272828811038818,15544.701347517523,23503.476329668312,54896.06878524524,0.0,0.0,140880.6060287212,0.0,4792.542848825816,0.0,0.0,0.3755026471545497,27692.770204142304,2993.2571831329556,19733.087232982616,2313.8461996167707,446.9417755973249,0.0,0.0,22551.19700131634,0.5662302926567715
2009,50280.64965633681,19272.13075709556,43.08765441034683,0.0,33626.10653128932,37848.36013991336,445932.59353750345,5983.637704140955,5.255064221906162,0.0,3918.4940679712304,0.0,0.0,145.12785397922386,0.0,0.0,1.2272828811038818,15610.652772471896,23536.564836045516,54875.45058934665,0.0,0.0,140930.42057211642,0.0,4776.612463731528,0.0,0.0,0.3755026471545497,27703.261926193947,2995.494048946107,19766.391141092423,2372.9328280892987,446.9451874641933,0.0,0.0,22534.474414033568,0.5662302926567715
2010,50267.530340582845,19289.79583887278,44.316145020876974,0.0,33578.74724174612,37744.25471304841,445931.79435331404,6051.489987761935,5.255064221906162,0.0,3836.5409427276345,0.0,0.0,149.33784052210277,0.0,0.0,1.2272828811038818,15686.325087602638,23600.393989121356,54827.82252958241,0.0,0.0,140954.27644535227,0.0,4716.033343609993,0.0,0.0,0.3755026471545497,27742.56190541794,2996.794195035543,19781.294024227405,2424.588049249062,449.77001879744205,0.0,0.0,22525.721690579016,0.5662302926567715
2011,50222.601691396056,19282.311256788435,40.63874844836282,0.0,33520.71197917013,37665.98138752308,445996.72030163236,6044.317488692724,5.255064221906162,0.0,3845.8871979062624,0.0,0.0,151.87445483855822,0.0,0.0,1.2272828811038818,15732.364494714962,23641.23046513415,54839.04687166906,0.0,0.0,140885.514997797,0.0,4746.829683424021,0.0,0.0,0.3755026471545497,27752.462894077235,2996.612967242672,19787.299674968133,2474.361934986924,452.2462997314706,0.0,0.0,22520.373892030515,0.5662302926567715
2012,50136.397282252554,19270.670139754446,40.26157215680648,0.0,33460.9540600372,37531.4744333354,446123.41527050885,6039.125149988817,5.255064221906162,0.0,3866.6137925844714,0.0,0.0,152.0617861653822,0.0,0.0,1.2272828811038818,15843.259439795853,23648.389169886774,54834.57216949512,0.0,0.0,140807.8259163376,0.0,4775.900953566903,0.0,0.0,0.3755026471545497,27756.835278333736,2997.5673984682844,19800.272619307136,2538.358929036779,451.96665941409003,0.0,0.0,22523.466661745635,0.5662302926567715
2013,50120.18040053391,19278.165063460725,35.45350772799564,0.0,33426.773950537085,37498.91948969841,445947.7687576732,6003.021461129217,5.255064221906162,0.0,3813.2573129683205,0.0,0.0,151.8744823578559,0.0,0.0,1.2272828811038818,15929.961170302298,23701.028991736068,54854.99142077441,0.0,0.0,140880.39688027775,0.0,4791.852020831081,0.0,0.0,0.3755026471545497,27722.32847877157,2994.935262518234,19826.939497293923,2648.4891685213606,453.9389609913703,0.0,0.0,22519.112404066916,0.5662302926567715
2014,50078.2026087513,19286.0064050839,35.2663665881539,0.0,33376.84764348141,37425.20649884676,445882.7133280827,5997.931183684254,5.255064221906162,0.0,3829.2711694033483,0.0,0.0,155.17662374811619,0.0,0.0,1.2272828811038818,16103.110298792277,23704.942071532834,54867.11911895665,0.0,0.0,140743.0089125462,0.0,4831.371673982911,0.0,0.0,0.3755026471545497,27727.393248846896,2996.8729773338678,19862.92423205396,2745.453663079429,456.84911680925177,0.0,0.0,22493.721540567916,0.5662302926567715
2015,50070.95377299763,19284.783126422404,35.2663665881539,0.0,33373.45907077286,37420.68938184804,445882.2440467399,5997.743589807197,5.255064221906162,0.0,3827.1013444605305,0.0,0.0,155.17662374811619,0.0,0.0,1.2272828811038818,16102.828032267553,23702.68433602701,54864.202049586376,0.0,0.0,140723.51754953837,0.0,4825.350947527747,0.0,0.0,0.3755026471545497,27727.393248846896,2996.779082961733,19862.358957694643,2796.6617345864956,456.4738791826053,0.0,0.0,22493.721540567916,0.5662302926567715
