year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,49861.121098684096,14498.173232287312,17.860568261084556,41557.34420909886,17573.229675468163,21992.902756305975,96540.09360459422,2838.2290124843353,131.7986671402363,0.2816383424953637,9073.897082388505,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,19822.242578642134,48.30641436585524,16149.03526612967,27635.873372579397,10.35341338247729,817.1216418699828,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1259.9044320767262,605.3547887554523,954.3610470895986,122.2845617948983,0.5528476916600865,1.006632186625918,15659.160626273642,0.0
1993,49849.31303654516,14493.969053691775,17.860568261084556,41549.079410919236,17572.108413376987,21992.71527683714,96540.00012891044,2838.2290124843353,131.7986671402363,0.2816383424953637,9073.897082388505,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,19822.148830667425,48.30641436585524,16149.03526612967,27635.873372579397,10.35341338247729,815.73271965084,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1259.7215252884073,605.3547887554523,982.2531811288766,122.2845617948983,0.5528476916600865,1.006632186625918,15658.613325374434,0.0
1994,49835.60976386719,14490.981179623175,17.860568261084556,41540.43479547598,17571.081538053615,21992.62151763225,96540.00012891044,2838.2290124843353,131.7986671402363,0.2816383424953637,9073.804845675282,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,19822.055063709675,48.30641436585524,16149.03526612967,27635.873372579397,10.35341338247729,815.1704580421582,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1259.7215252884073,605.2664111336617,1009.8254960570782,122.2845617948983,0.5528476916600865,1.006632186625918,15658.334050065701,0.0
1995,51139.490558575664,15124.907125030702,17.860568261084556,41743.15645479181,17957.585813964266,22673.827989828726,93001.39524709134,2789.7590872015303,130.8250387523347,0.2816383424953637,8901.414007339145,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,20427.821407768246,49.045293388654514,16078.15339123062,27782.606713658373,10.35341338247729,766.4811868065322,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1203.9238638160234,607.0321697994941,1038.5995791820303,122.94066705073482,0.5528476916600865,1.006632186625918,15601.46847275276,0.0
1996,51447.79517103937,15174.57920090101,17.860568261084556,41764.15198986,18061.157770902984,22815.274540312796,92628.60180591389,2786.551095190497,130.47004994153065,0.2816383424953637,8926.504160304265,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,20581.21285373591,49.045293388654514,15558.24188009194,27831.129801065625,10.35341338247729,754.8295510162841,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1220.4243659140482,607.1204160273437,1060.3792113143686,122.94066705073482,0.5528476916600865,1.006632186625918,15620.024244057713,0.0
1997,51953.94167167643,15304.102537351517,17.860568261084556,41785.78368960155,18310.51726852384,23170.384221648015,91403.37667587351,2781.3333040134717,130.47004994153065,0.2816383424953637,8893.496433175564,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,20846.25734489554,49.138577311545625,15099.758754972598,27963.588193286127,10.35341338247729,754.2853644270502,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1234.8703168654106,607.4099374326167,1084.146580430691,122.94066705073482,0.5528476916600865,1.006632186625918,15644.632479551201,0.0
1998,52340.253795908306,15388.74960262015,17.860568261084556,41795.644767723854,18560.293678251757,23499.784949521043,90174.1541655577,2770.337444847092,130.5591008901217,0.2816383424953637,8887.386278977887,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,21044.91582064909,49.231914587378,14854.581122876965,28143.38789632678,10.35341338247729,754.7392991742628,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1247.2014349912936,609.1774188023446,1111.8546858939676,122.94066705073482,0.5528476916600865,1.006632186625918,15655.240023378285,0.0
1999,52748.95418193581,15541.639049745074,17.860568261084556,41804.090440881875,19013.08533170312,24023.24207421229,87943.56964093915,2755.0557517630546,130.6480965965347,0.2816383424953637,8907.29317964856,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,21456.381689168662,49.50682356639428,14625.918129729076,28582.43894508004,10.35341338247729,752.1754296925587,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1280.021970771529,608.2056038164594,1139.636666067477,122.94066705073482,0.5528476916600865,1.006632186625918,15655.63039566062,0.0
2000,52934.58323236172,15613.62930967392,17.860568261084556,41821.34709275187,19292.883377621052,24497.396091835784,85943.11401322478,2755.1846239054353,130.7360690026048,0.2816383424953637,8916.100203876875,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,21970.0575759924,51.820616116297145,14513.309644502391,29086.869786173527,10.35341338247729,753.0872117387978,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1285.015945679089,608.9519842050261,1169.9838902908955,122.94066705073482,0.5528476916600865,1.006632186625918,15673.422732025976,0.0
2001,53129.473486199284,15653.295222812598,18.33046192746087,41863.730071545855,19556.12945333576,24857.337571094326,83709.5535615004,2652.9049966185735,130.46586990403898,0.2816383424953637,8867.783052488126,0.0,0.0,0.17795845961240736,0.0,0.0,0.0,22315.305084323692,55.547150631114775,14771.893511875678,29901.193911856648,10.176086046331168,751.4458796818594,0.0,54.00959410840719,0.0,0.0,0.0,0.0,1303.3972478014439,611.2849368771826,1230.426134295178,122.94066705073482,0.5528476916600865,1.006632186625918,15656.033691806582,0.0
