year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17765066221069298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96909.95519095585,14.438194738327939,1.6016980020748197,11.646099607064375,0.0
