year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,3448.19938722209,12148.680428355574,0.0,3928.671758796381,666.9185140386837,25.395544403165385,0.0,54.14994755533192,0.18394922709961423,4213.670088913828,0.0,0.0,0.0,36.13740232732937,0.0,0.0,0.0,97.77860633314576,269.1301154243067,14179.151563894658,0.0,15.232690702914976,0.0,0.0,39647.96554560306,0.0,12599.508902620537,0.0,0.0,1.948071959452879,8.328852293365633,77.25907073523915,357015.31410251994,2063.8291809847824,34.06341631254617,6956.836216127172,0.0
1993,3448.107631237895,12148.680428355574,0.0,3928.671758796381,666.9185140386837,25.395544403165385,0.0,54.14994755533192,0.18394922709961423,4213.670088913828,0.0,0.0,0.0,36.13740232732937,0.0,0.0,0.0,97.77860633314576,269.1301154243067,14179.151563894658,0.0,15.232690702914976,0.0,0.0,39646.58508635909,0.0,12599.324836647655,0.0,0.0,1.948071959452879,8.328852293365633,79.1912057370486,357015.03824871924,2063.8291809847824,34.06341631254617,6956.836216127172,0.0
1994,3448.107631237895,12148.588026407206,0.0,3928.671758796381,666.8259242134172,25.395544403165385,0.0,54.14994755533192,0.18394922709961423,4213.670088913828,0.0,0.0,0.0,36.13740232732937,0.0,0.0,0.0,97.68657824294961,269.1301154243067,14179.151563894658,0.0,15.232690702914976,0.0,0.0,39644.65244400634,0.0,12599.324836647655,0.0,0.0,1.948071959452879,8.328852293365633,81.49393695446344,357014.9451797184,2063.8291809847824,34.06341631254617,6956.836216127172,0.0
1995,3450.0565032815016,12150.734765098403,0.0,3936.147783245658,664.162954192388,25.395544403165385,0.0,43.81839254713456,0.18394922709961423,4213.670088913828,0.0,0.0,0.0,36.13740232732937,0.0,0.0,0.0,96.02057848105785,238.04631783260217,14147.28784950795,0.0,15.232690702914976,0.0,0.0,39458.59305892573,0.0,12606.879673041904,0.0,0.0,1.948071959452879,8.328852293365633,84.34731599238883,357250.38012644753,2070.5471003057287,34.06341631254617,6956.370921310964,0.0
1996,3450.4272134138437,12160.62112469227,0.0,3936.055783379622,663.8853878787904,25.395544403165385,0.0,43.81839254713456,0.18394922709961423,4214.58873168486,0.0,0.0,0.0,36.13740232732937,0.0,0.0,0.0,89.27714074209979,230.94795118760774,14156.673774423662,0.0,15.232690702914976,0.0,0.0,39432.434932590215,0.0,12598.071308857341,0.0,0.0,1.948071959452879,8.328852293365633,89.04294561920997,357271.4314161584,2073.1396589163023,34.06341631254617,6956.647667032997,0.0
1997,3450.2426665922517,12162.842539736352,0.0,3938.085955335763,663.8853878787904,25.395544403165385,0.0,41.60305354874617,0.18394922709961423,4213.9466436671355,0.0,0.0,0.0,36.13740232732937,0.0,0.0,0.0,87.18054699237003,229.11343577534367,14168.762616669483,0.0,15.232690702914976,0.0,0.0,39396.686130912494,0.0,12589.435745806097,0.0,0.0,1.948071959452879,8.328852293365633,93.55712813621092,357301.19422851084,2073.8796825296517,34.06341631254617,6956.647667032997,0.0
1998,3450.2402837562836,12164.687865923883,0.0,3939.4608922128377,664.5278499014404,25.395544403165385,0.0,39.951080077941604,0.18394922709961423,4212.845293784518,0.0,0.0,0.0,36.13740232732937,0.0,0.0,0.0,83.89960612155197,228.56647110864557,14190.7402670548,0.0,15.232690702914976,0.0,0.0,39362.9622039963,0.0,12581.644189199715,0.0,0.0,1.948071959452879,8.328852293365633,96.96817607798423,357320.4118944325,2074.0648172650526,34.06341631254617,6956.092538211265,0.0
1999,3452.4518496636574,12207.551534304584,0.0,3941.5778134573834,664.4357366165874,25.48805978791186,0.0,41.521627536635656,0.18394922709961423,4214.689923865777,0.0,0.0,0.0,37.1589454248852,0.0,0.0,0.0,77.136099455614,216.79421809859875,14214.698809429288,0.0,15.232690702914976,0.0,0.0,39329.65171999886,0.0,12580.610472267115,0.0,0.0,1.948071959452879,8.328852293365633,100.28785915442968,357364.7813410807,2073.6907819016624,34.06341631254617,6886.069583811085,0.0
2000,3455.8685728195633,12395.779115323367,0.0,3941.2119644206073,664.5276933141325,25.48805978791186,0.0,77.69476014120126,0.18394922709961423,4223.042899004441,0.0,0.0,0.0,37.1589454248852,0.0,0.0,0.0,81.3376529342372,212.85097925595718,14188.848998398698,0.0,15.232690702914976,0.0,0.0,39228.227403144636,0.0,12566.512709967621,0.0,0.0,1.948071959452879,8.328852293365633,104.62603861169524,357262.4363739085,2077.0076648237914,33.971006273441766,6886.068954613093,0.0
2001,3456.1385096088316,12416.53662739612,0.0,3940.846101720457,663.7948890639784,25.48805978791186,0.0,79.26944992235171,0.18394922709961423,4223.042899004441,0.0,0.0,0.0,37.62318547889218,0.0,0.0,0.0,81.05704375981733,135.45990469612477,14155.207775367424,0.0,15.232690702914976,0.0,0.0,39025.224852505395,0.0,12618.31803189284,0.0,0.0,1.948071959452879,8.328852293365633,106.2850107583892,357499.6609214636,2077.7435268354957,33.69377269154939,6887.269230214098,0.0
