year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,44118.26301045735,45272.45502975341,15.279092545663124,87.21036957589449,4001.9701755949204,3898.2737159556705,1290.8610429177654,8695.341826281754,0.4576052936971846,0.0,780.9876091769404,0.0,0.0,0.0,0.0,0.0,0.0,5912.681650295515,861.6449521672502,16526.39486939637,0.0,194.6521899412831,63.04662431634923,0.0,23253.031994070225,0.0,0.0,67658.51654609613,0.0,0.3106886869345008,20.173004390751235,1026.3057208833802,2083863.9421338025,5063.705694688952,189.41423369220087,9295.65361232786,0.0
1993,44107.886772936494,45271.8426403979,15.279092545663124,87.21036957589449,3999.5967391675194,3897.811791549845,1290.8610429177654,8695.265287860462,0.4576052936971846,0.0,780.9876091769404,0.0,0.0,0.0,0.0,0.0,0.0,5912.605136754374,861.6449521672502,16525.933247298995,0.0,194.42062555451005,63.04662431634923,0.0,23251.792207107334,0.0,0.0,67657.82628866311,0.0,0.3106886869345008,20.173004390751235,1062.0460113339445,2083845.1872815064,5063.705694688952,189.41423369220087,9295.268444725534,0.0
1994,44095.170798422594,45271.453348492265,15.279092545663124,87.21036957589449,3997.2970075186404,3896.3514931354534,1290.8610429177654,8695.188940550188,0.4576052936971846,0.0,780.9876091769404,0.0,0.0,0.0,0.0,0.0,0.0,5912.605136754374,861.5670092157769,16525.54763231508,0.0,194.18906933073328,63.04662431634923,0.0,23250.39756660656,0.0,0.0,67656.58667796681,0.0,0.3106886869345008,20.173004390751235,1104.263342925469,2083823.4710622975,5063.705694688952,189.41423369220087,9295.038341492183,0.0
1995,44114.55060608719,45343.103839998235,15.201122910032266,88.78625499859233,4002.8331096575866,3808.1788358711465,1291.474353315007,8585.340973067638,0.4576052936971846,0.0,785.60099191849,0.0,0.0,0.0,0.0,0.0,0.0,5935.286980990543,861.5670092157769,16523.394698561733,0.0,194.03470634031473,62.970246482076114,0.0,22889.359690211953,0.0,0.0,67683.5004979899,0.0,0.3106886869345008,20.173004390751235,1141.9567337354715,2084213.3739684077,5067.017774446816,189.41423369220087,9272.68546603909,0.0
1996,44122.31058410313,45370.63120886532,15.201122910032266,89.73406289381965,4000.695321197881,3799.0228730898134,1291.474353315007,8567.514956211166,0.4576052936971846,0.0,789.6114214395109,0.0,0.0,0.0,0.0,0.0,0.0,5943.657342949804,860.7734372442573,16523.470631078148,0.0,193.9576870704001,62.970246482076114,0.0,22736.25395948559,0.0,0.0,67766.24100062573,0.0,0.3106886869345008,20.09646320674042,1182.2416598044963,2084239.8204360881,5067.725239487687,189.41423369220087,9256.98685708724,0.0
1997,44115.18596658196,45386.70495936103,15.201122910032266,91.44400753313428,3999.5438020782817,3789.782183437563,1291.474353315007,8550.378778759234,0.4576052936971846,0.0,790.1589752589398,0.0,0.0,0.0,0.0,0.0,0.0,5952.416562021007,860.1370612142684,16523.545322250335,0.0,193.8030469947315,62.970246482076114,0.0,22675.83538032378,0.0,0.0,67766.32476455733,0.0,0.3106886869345008,20.019899923663164,1225.5103223400083,2084264.74442713,5069.0663778185235,189.41423369220087,9256.14330434516,0.0
1998,44104.44959136093,45400.178361469654,15.201122910032266,91.4428615815417,3997.318777385732,3786.536351303244,1291.0151708008239,8528.202149251927,0.4576052936971846,0.0,785.4929891480026,0.0,0.0,0.0,0.0,0.0,0.0,5969.801508163854,860.1370612142684,16522.92993855512,0.0,193.72602772481687,62.970246482076114,0.0,22382.08453602362,0.0,0.0,67899.31635391104,0.0,0.3106886869345008,20.019899923663164,1271.9612159210071,2084386.3422769543,5077.6812562935675,189.41423369220087,9253.583168256777,0.0
1999,44192.032695148446,45545.597727757384,15.201122910032266,94.2756576622941,4000.6526486702674,3729.952913867201,1287.796050502407,8367.962119414999,0.4576052936971846,0.0,791.2649432489366,0.0,0.0,0.0,0.0,0.0,0.0,6088.756213656345,859.032819523328,16525.833497588224,0.0,193.57144561399852,63.43070916608911,0.0,20391.345013385828,0.0,0.0,67811.45763085301,0.0,0.3106886869345008,19.943339401865384,1317.5285958223012,2086185.8290498282,5190.298281185537,189.41423369220087,9228.628389429363,0.0
2000,44185.6325321433,45590.63951737967,15.201122910032266,95.68616872884789,3998.889513064574,3677.169858612861,1286.3387143565215,8331.70701207809,0.4576052936971846,0.0,807.4175254765318,0.0,0.0,0.0,0.0,0.0,0.0,6249.5808880017785,860.5093876596443,16426.895555705676,0.0,193.4943581047965,63.43070916608911,0.0,20157.64992503955,0.0,0.0,67892.01807178579,0.0,0.3106886869345008,19.943339401865384,1365.0312797776926,2086274.232497267,5205.502764859287,189.41423369220087,9203.420123116475,0.0
2001,44229.21034922824,45757.10971892634,15.669052646445381,95.84029627569748,3987.4085091544707,3663.6865207379933,1284.427992728322,8258.320725695301,0.4576052936971846,0.0,801.7763985145976,0.0,0.0,0.0,0.0,0.0,0.0,6295.876954453778,847.4698146518316,16446.404976884904,0.0,193.4171806904508,63.43070916608911,0.0,17884.7538716252,0.0,0.0,68073.36568915946,0.0,0.3106886869345008,19.943339401865384,1419.7076324594877,2088012.630664777,5346.543109848608,189.41423369220087,9203.397357610153,0.0
