year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,31076.23602429599,11441.41765062044,0.0,20.691599847886366,12483.91675203592,21648.1051997619,30348.780558960167,305854.02535032574,70520.53910715606,320968.889615603,0.7367609434474769,0.0,0.0,0.0,0.0,0.0,0.0,14475.56219833266,11937.189891639222,197601.5389025907,0.0,16425.23011415857,153220.54414345985,0.0,426.1089593033536,0.0,0.0,2.2079117214910253,281.1343146594421,315.5660384499353,6702.972849317817,324.56039872725944,26204.965135078757,18.078907710282692,27.54665347237398,17894.809519624912,0.0
1993,31075.476775455652,11441.41765062044,0.0,20.691599847886366,12483.91675203592,21647.28172661919,30348.687551743067,305853.7446623065,70520.53910715606,320968.13887203997,0.7367609434474769,0.0,0.0,0.0,0.0,0.0,0.0,14475.281159605152,11937.189891639222,197601.3498934259,0.0,16425.23011415857,153219.04670999327,0.0,426.1089593033536,0.0,0.0,2.2079117214910253,281.1343146594421,315.2810924292066,6702.972849317817,329.8042534733089,26204.965135078757,18.078907710282692,27.54665347237398,17894.525253040916,0.0
1994,31075.38556441124,11441.325446039862,0.0,20.691599847886366,12483.823600875885,21647.006118148714,30348.687551743067,305853.6511922184,70520.53910715606,320967.7639962332,0.7367609434474769,0.0,0.0,0.0,0.0,0.0,0.0,14474.628270323881,11937.189891639222,197601.06845166354,0.0,16425.23011415857,153217.35356610027,0.0,426.1089593033536,0.0,0.0,2.2079117214910253,281.1343146594421,315.2810924292066,6702.972849317817,333.6390905246242,26204.87142714095,18.078907710282692,27.45352044587877,17894.525253040916,0.0
1995,31134.256061560678,11480.37705328688,0.0,20.691599847886366,12492.094580489687,21109.46375414515,30625.4203187878,305750.327992958,70533.74772617819,321092.7457047605,0.7367609434474769,0.0,0.0,0.0,0.0,0.0,0.0,14462.387375196051,11915.742190966474,197719.67936251132,0.0,16428.99488474826,153253.22055929963,0.0,395.3559218040156,0.0,0.0,2.2079117214910253,281.32363304393493,314.9011644014682,6693.383485646241,339.3497696395206,26228.671310058093,18.078907710282692,27.45352044587877,17900.743007646503,0.0
1996,31212.248988646643,11515.305556266068,0.0,20.786596098721702,12496.079033235075,20740.130044016532,30778.498357077122,305832.07518164837,70553.60553342653,321249.9958270716,0.7367609434474769,0.0,0.0,0.0,0.0,0.0,0.0,14465.837799347557,11906.500286325012,197567.60259665473,0.0,16416.880616319537,153192.5603893886,0.0,385.8722357276482,0.0,0.0,2.2079117214910253,281.4183385281583,314.80618149758413,6682.125719636567,344.3990365435088,26290.72648819418,18.078907710282692,27.45352044587877,17925.422651326622,0.0
1997,31393.928780415685,11627.690018958,0.0,20.786596098721702,12521.968611782278,20640.883989402217,30792.265154183093,305409.13943611033,70563.37217605824,321319.49336052994,0.7367609434474769,0.0,0.0,0.0,0.0,0.0,0.0,14438.284179742239,11863.214197134841,197733.2009608847,0.0,16413.50547701074,153200.61556178465,0.0,384.4965849034563,0.0,0.0,2.2079117214910253,281.4183385281583,314.80618149758413,6674.449244875229,351.18481582569757,26297.626226146363,18.078907710282692,27.45352044587877,17930.54756510421,0.0
1998,31723.771573446727,11831.957491601299,0.0,20.786596098721702,12591.56563190843,20136.18054312805,30817.067301688287,304293.03688562126,70570.1989857323,321526.6680873755,0.7367609434474769,0.0,0.0,0.0,0.0,0.0,0.0,13537.12693873034,11818.833562249407,198588.74927817073,0.0,16445.02662562812,153831.77027763342,0.0,383.3936157183795,0.0,0.0,2.2079117214910253,282.55454378930494,316.70720714819964,6645.922960797309,370.52498131178805,26498.160957699984,18.078907710282692,27.2659907783196,17943.060941166827,0.0
1999,32282.584709347353,12326.876788662512,0.0,20.786596098721702,12711.428836764713,19179.262780391633,30941.227764449824,302703.034603142,70587.54406185991,322148.7641464483,0.7367609434474769,0.0,0.0,0.1894662693092766,0.0,0.0,0.0,12055.12423554238,11559.403913229424,199712.2184903218,0.0,16470.000690277113,154867.0297418515,0.0,417.9666124064911,0.0,0.0,2.2079117214910253,283.12222815516355,318.8747655777536,6610.165251993283,384.85330510487705,26669.76758041269,17.254663644701726,27.175447221291794,17923.753205959663,0.0
2000,32587.322892500273,12760.186916909684,0.0,20.786596098721702,12650.841356146424,16353.21164213615,31379.680918894956,301735.0191223103,70596.44823723687,323947.6929372378,0.7367609434474769,0.0,0.0,0.1894662693092766,0.0,0.0,0.0,9870.706482056192,11020.315220960638,201466.1116515397,0.0,16512.7408705301,155882.91200190815,0.0,418.88164426289336,0.0,0.0,2.2079117214910253,293.43245485252714,320.5776618916505,6609.657335699879,402.5957682587433,27418.089259942873,17.254663644701726,27.54590939665243,17926.20887444731,0.0
2001,32659.702301814155,12875.669111960842,0.0,20.501868697157594,12704.213621982533,14409.365177540332,31697.661372125105,301911.23230815184,70604.35824922136,325319.3475305832,0.7367609434474769,0.0,0.0,0.1894662693092766,0.0,0.0,0.0,9443.774167588765,10719.909138019315,201704.36585018178,0.0,16505.31199109672,156087.8001108048,0.0,411.98949011843945,0.0,0.0,2.2079117214910253,297.1218603814863,320.5778668143776,6613.311628744145,489.3443265369534,27456.22786924158,16.97911514252785,27.453773170788043,17922.001688943936,0.0
