year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,73662.82792405052,362321.93769091065,135.425776474351,20757.83491022025,76073.18391871524,58313.43724727116,379869.0947034315,20285.299306483095,0.0,225742.2454113348,0.0,0.0,0.0,1849.1945408174697,0.0,0.0,0.0,231758.0892253876,101383.45923569282,418911.05672889354,0.0,1279252.0970314548,1098046.61100036,0.0,2788038.944373119,0.0,0.0,0.0,0.0,21745.78622523651,99960.85459711184,7334.800763543053,368612.2956885232,0.0,0.0,70327.44922420541,0.0
1993,73658.80710950129,362319.86728043616,135.34892418758315,20754.89291793022,76045.66763889891,58307.59802337157,379848.8318046236,20285.299306483095,0.0,225741.2918051668,0.0,0.0,0.0,1849.1945408174697,0.0,0.0,0.0,231718.33080354577,101383.03674874043,418903.0968791336,0.0,1279179.2497869374,1098045.154049741,0.0,2788035.577268767,0.0,0.0,0.0,0.0,21740.41884183049,99960.1321002381,7533.8206665387725,368610.89470115816,0.0,0.0,70325.4143251898,0.0
1994,73655.08488191814,362318.19627858745,135.34892418758315,20751.135791492474,76020.60336418149,58302.94470533527,379828.3935535063,20285.159402497513,0.0,225741.0584745668,0.0,0.0,0.0,1849.1945408174697,0.0,0.0,0.0,231682.1785518642,101382.70167464956,418892.72707360145,0.0,1279113.619185132,1098043.5405253617,0.0,2788033.4774754634,0.0,0.0,0.0,0.0,21734.48865606855,99959.47803845667,7718.727929647981,368609.9979447379,0.0,0.0,70323.86855116344,0.0
1995,72967.2592078184,363678.4521152709,135.27207464316842,20798.160720636413,76880.97647292372,58788.78912039954,375828.2495043909,19871.225428646612,0.0,226385.62781545642,0.0,0.0,0.0,1849.9934670251132,0.0,0.0,0.0,231171.20077241174,101202.29744909615,418060.5130783156,0.0,1280830.1486554772,1094863.6608651048,0.0,2792641.5991478036,0.0,0.0,0.0,0.0,21755.63747273779,99732.83331866865,7896.024367806811,368569.39646637096,0.0,0.0,70474.60800223351,0.0
1996,72512.59619187615,364105.8425390946,135.27207464316842,20815.33951256356,77008.72010594589,58838.86643003166,376555.541964133,20035.23714782595,0.0,227516.52431546914,0.0,0.0,0.0,1853.6196726296323,0.0,0.0,0.0,230496.74804496358,101080.39624805264,415782.41636958666,0.0,1280713.908106491,1091805.4547126195,0.0,2796548.834806476,0.0,0.0,0.0,0.0,21837.5464616792,99635.17549697626,8066.5592706912485,368343.7776234128,0.0,0.0,70693.54842807258,0.0
1997,72142.322586255,365037.06658968935,135.19473427086174,20845.377755902224,77339.01173837067,59015.53699670661,376427.0065951542,20169.91200723345,0.0,228479.58036487823,0.0,0.0,0.0,1854.6098735099206,0.0,0.0,0.0,229669.18232195446,100993.1939144252,412889.21047403105,0.0,1281356.0019734926,1092101.1353351302,0.0,2797432.2951002144,0.0,0.0,0.0,0.0,21874.15002271285,99496.53850698502,8215.23714121975,367949.679843194,0.0,0.0,70959.68164790572,0.0
1998,71932.58215593606,366281.3609502438,135.19473427086174,20862.54098656653,78249.94482120681,59718.44115771624,375951.26641522825,19952.262843739292,0.0,229601.52293992456,0.0,0.0,0.0,1854.7997845148532,0.0,0.0,0.0,228083.30431512516,101189.19820326773,408106.7717302217,0.0,1282567.5299890589,1089224.816745786,0.0,2801639.758578291,0.0,0.0,0.0,0.0,21918.969865284067,99419.37695772918,8353.033484806816,368173.3911006405,0.0,0.0,71165.8577636744,0.0
1999,72533.56308414225,369542.3093142827,135.19473427086174,20919.236576835552,79909.50449187496,61140.129842739,373667.9247634368,20130.28471848106,0.0,230995.2542944229,0.0,0.0,0.0,1855.0466629586808,0.0,0.0,0.0,224905.93689968943,101580.88640803104,398942.81135025667,0.0,1284716.5305751604,1090839.6151131645,0.0,2804741.9686850705,0.0,0.0,0.0,0.0,22012.323938782305,99222.806745093,8487.84929023611,366721.9599215478,0.0,0.0,71380.78811274575,0.0
2000,73932.40457819856,372716.20736031,135.11788746898063,20949.016232801383,81674.01543674762,62894.692855184425,373002.38538926694,19526.76539589013,0.0,231466.942075013,0.0,0.0,0.0,1856.7091005277798,0.0,0.0,0.0,219533.17269262322,101771.22938530182,389989.32819832035,0.0,1286718.6224434958,1098553.104967435,0.0,2802429.1524634305,0.0,0.0,0.0,0.0,22028.99919224323,99114.40710313672,8640.399080096735,365858.53569716803,0.0,0.0,71590.71798857165,0.0
2001,74543.44098897511,374571.78992895386,146.3391799204908,21010.158934931547,82584.17705744343,63585.93460847868,371246.6607307467,15995.550873250742,0.0,231739.96943737025,0.0,0.0,0.0,1857.989066332438,0.0,0.0,0.0,215905.85233372933,102543.1213353663,383849.5696460452,0.0,1289038.6646262011,1099107.5334145455,0.0,2811110.675653752,0.0,0.0,0.0,0.0,22033.616654655736,99299.98322646641,9313.732318000788,363634.11736378615,0.0,0.0,71263.04814428056,0.0
