year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,2528.7091977405817,12305.176301371848,469.37597092327326,0.0,3493.4290544596233,856.4183197318133,0.0,5615.430611758973,26.665315302413614,0.0,27584.625323446144,0.0,0.0,246.69200679750395,0.0,0.0,8306.812916887127,6621.588408379174,175.45949880358663,0.0,0.0,0.0,11453.079254657521,0.0,1091.7826076360896,0.0,0.0,0.0,0.0,0.0,128.39078312897473,1085.1510285664424,775.4758720656921,1085.6413786066505,2.3250299458127084,704.9660893127264,310.7701823236216
1993,2527.1060374649996,12288.999477234616,468.99329067856394,0.0,3492.6558150502156,855.3345192604326,0.0,5613.8369948235395,26.665315302413614,0.0,27582.621633256425,0.0,0.0,246.69200679750395,0.0,0.0,8306.426534437625,6621.200658134862,175.45949880358663,0.0,0.0,0.0,11451.07953327199,0.0,1091.3989979427872,0.0,0.0,0.0,0.0,0.0,128.39078312897473,1112.2427422789774,775.4127323648421,1085.6413786066505,2.3250299458127084,704.7119907371617,310.7701823236216
1994,2525.5638189963615,12270.8203320998,468.8013831900805,0.0,3492.3364081890572,854.5659345521565,0.0,5612.05182708838,26.665315302413614,0.0,27580.945952037888,0.0,0.0,246.69200679750395,0.0,0.0,8305.782944609518,6621.071897475273,175.45949880358663,0.0,0.0,0.0,11448.692735561403,0.0,1091.3352843946855,0.0,0.0,0.0,0.0,0.0,128.32744592271322,1140.1200603451668,775.4127323648421,1085.6413786066505,2.3250299458127084,704.5829832386995,310.7701823236216
1995,2518.0410330625314,12287.059186475259,471.48798621786545,0.0,3454.0338705548484,459.2704325757924,0.0,5660.584056532202,27.23940739399477,0.0,27712.1898549539,0.0,0.0,245.40050322886083,0.0,0.0,8428.470555114918,6683.112220164187,176.29987879205956,0.0,0.0,0.0,11461.572870305428,0.0,1098.9210866119631,0.0,0.0,0.0,0.0,0.0,127.55685402495973,1172.1538071405716,772.101325387817,1089.591795892811,2.3250299458127084,709.783215146209,310.7701823236216
1996,2515.8930295087152,12271.137589293381,471.1038969514479,0.0,3439.4961633491066,393.49480424579076,0.0,5671.061927553352,27.23940739399477,0.0,27691.31741038726,0.0,0.0,245.20753744922007,0.0,0.0,8449.95299960902,6695.1322338382015,176.94636118674697,0.0,0.0,0.0,11470.761456223605,0.0,1108.6767138699406,0.0,0.0,0.0,0.0,0.0,126.91928371461093,1205.6073055183983,783.86640593811,1096.7181370414091,2.3250299458127084,714.3372765038472,310.7701823236216
1997,2512.545280014088,12262.587697921173,470.9758682790435,0.0,3419.9657650831637,343.92406126298766,0.0,5661.475393489034,27.23940739399477,0.0,27684.725138582748,0.0,0.0,245.0788478688442,0.0,0.0,8466.500566453751,6709.497160527024,177.07545892624555,0.0,0.0,0.0,11479.428450127238,0.0,1111.5971055461882,0.0,0.0,0.0,0.0,0.0,126.66403072848824,1244.7392724349575,789.0583636671494,1102.3931637039104,2.3250299458127084,719.3989075661634,310.7701823236216
1998,2521.0248745688323,12257.715530262154,470.8478086851613,0.0,3411.7704157307357,339.73766911728217,0.0,5572.377935691708,27.30468943588905,0.0,27495.378517919093,0.0,0.0,242.11641098869865,0.0,0.0,8472.222057798466,6736.8565371572,182.6237090058394,0.0,0.0,0.0,11662.542669790697,0.0,1124.5008080983655,0.0,0.0,0.0,0.0,0.0,129.54399766614515,1292.6617330512954,788.9330782707116,1107.0572659541626,2.3250299458127084,719.654230383721,310.7701823236216
1999,2534.396227798171,12415.6003652567,471.55502847731344,0.0,3449.7004816056165,303.8535015919929,0.0,5174.155390840774,27.43570346899704,0.0,27248.53870452703,0.0,0.0,239.9922612773608,0.0,0.0,8495.390688937194,6825.349642121305,185.7857894356261,0.0,0.0,0.0,11936.579391865025,0.0,1141.8600290593029,0.0,0.0,0.0,0.0,0.0,130.31938470599644,1343.423095858912,793.086461817502,1118.065384310874,2.3250299458127084,719.782406620481,310.7701823236216
2000,2529.7245564967443,12402.018481327501,471.4305958445596,0.0,3479.2817138789246,302.5580128242777,0.0,5034.0263452772715,27.691836412153286,0.0,27158.957024091487,0.0,0.0,239.67017298849453,0.0,0.0,8496.43014879129,6886.262421786725,187.52878624034113,0.0,0.0,0.0,12028.768805442782,0.0,1145.3631106198538,0.0,0.0,0.0,0.0,0.0,130.51410421420866,1399.306829984944,794.7737114013793,1120.9082815930778,2.3250299458127084,719.6550003601272,310.7701823236216
2001,2520.5055036762155,12344.392078190524,470.08959658814285,0.0,3494.8246101970594,262.1684381230736,0.0,4942.146036093541,27.69161678861598,0.0,27114.932879824493,0.0,0.0,238.63508757882272,0.0,0.0,8498.49382996081,6927.122427614982,189.01797134349005,0.0,0.0,0.0,12065.723540026127,0.0,1144.9234507890496,0.0,0.0,0.0,0.0,0.0,130.51402015192488,1545.4136129181625,796.2683460733736,1123.113088861622,2.3250299458127084,718.8938047761204,310.7701823236216
2002,2513.5540965419746,12223.508388592923,468.1165602746289,0.0,3510.1039801985544,257.7629538589428,0.0,4818.461547760863,27.757006745879394,0.0,27019.641569716714,0.0,0.0,238.57067106766738,0.0,0.0,8492.959588142014,6968.574829859586,190.8883711153626,0.0,0.0,0.0,12156.928380230713,0.0,1144.4807375456717,0.0,0.0,0.0,0.0,0.0,130.77563951575476,1755.6567790702125,796.3335673455448,1123.1146607368323,2.3250299458127084,717.6806112563279,310.7701823236216
2003,2501.228494876119,12061.21360245765,466.5876282580274,0.0,3526.174675947755,249.96920039775793,0.0,4733.4995571874415,27.757006745879394,0.0,26965.929895412188,0.0,0.0,238.2497524428229,0.0,0.0,8488.522342085553,7007.805481650598,191.40943381865438,0.0,0.0,0.0,12171.379372076388,0.0,1144.0327637710093,0.0,0.0,0.0,0.0,0.0,130.7746128888755,2014.167537721585,795.8161903836233,1123.1802526107904,2.3250299458127084,717.1721388434721,310.7701823236216
2004,2530.844972518345,11919.202118844603,466.01578305874983,0.0,3670.190392580338,256.5525549438465,0.0,4220.520622197129,26.12696664065692,0.0,26740.67481898282,0.0,0.0,238.50827273304952,0.0,0.0,8466.242496309771,7261.312592599078,192.07053139361307,0.0,0.0,0.0,12353.74156412551,0.0,1143.6471456425577,0.0,0.0,0.0,0.0,0.0,131.09584638848702,2302.0823574673327,796.0097093515807,1123.2444728164694,2.3250299458127084,716.7867209822477,310.7701823236216
2005,2533.004789483396,11925.316745755563,466.0791548664218,0.0,3674.2578352887067,255.95466819298,0.0,4201.6470428764005,26.12696664065692,0.0,26716.12855770454,0.0,0.0,238.18610231983314,0.0,0.0,8465.148779263074,7279.091446880997,193.09876409971105,0.0,0.0,0.0,12361.880869637802,0.0,1144.1640923388197,0.0,0.0,0.0,0.0,0.0,131.09584638848702,2307.0004623578475,795.8805012796745,1124.0205932190156,2.3250299458127084,716.7867209822477,310.7701823236216
2006,2532.0431732658167,11924.929906751117,466.1442512568272,0.0,3668.9024400645903,241.17846458836894,0.0,4203.707167747467,26.12696664065692,0.0,26707.490031346497,0.0,0.0,237.80000972924165,0.0,0.0,8467.874492594976,7298.02817683436,194.51583082969492,0.0,0.0,0.0,12361.643936336228,0.0,1144.486921737375,0.0,0.0,0.0,0.0,0.0,130.96773875636893,2314.741090817319,793.7384031232567,1123.8911844820334,2.3250299458127084,716.6597526739931,310.7701823236216
2007,2531.3817574599293,11927.36546588633,466.1442512568272,0.0,3664.5296273577305,220.56457853083495,0.0,4198.696822907106,26.12696664065692,0.0,26689.758108294376,0.0,0.0,238.1244132392846,0.0,0.0,8469.905795101162,7328.213668696817,195.48127468551624,0.0,0.0,0.0,12370.273857037468,0.0,1142.8577822898146,0.0,0.0,0.0,0.0,0.0,128.91853256165902,2323.4724355320054,792.762785660376,1123.6960764144662,2.3250299458127084,716.5957400238169,310.7701823236216
2008,2527.741977004996,11921.822540032252,466.20921825853355,0.0,3663.8160617728026,206.08550615857345,0.0,4177.4126039564735,26.12696664065692,0.0,26632.38164605773,0.0,0.0,237.73771943098268,0.0,0.0,8470.414216127314,7369.502935904042,199.54192679344462,0.0,0.0,0.0,12393.874260725335,0.0,1143.8862999230375,0.0,0.0,0.0,0.0,0.0,126.35752490449956,2359.349393517475,792.888532674535,1123.7610854890734,2.3250299458127084,715.9595242044239,310.7701823236216
2009,2525.7654009856833,11926.173318048885,466.20921825853355,0.0,3656.5084207766713,191.843079015386,0.0,4144.893370613672,26.12696664065692,0.0,26607.410887818187,0.0,0.0,238.83706976936014,0.0,0.0,8473.412622939451,7402.27089743657,199.93191156260423,0.0,0.0,0.0,12431.352351474998,0.0,1143.7552963056257,0.0,0.0,0.0,0.0,0.0,125.78128336889499,2362.048972468401,793.0820688999185,1123.890078916882,2.3250299458127084,715.5767242758147,310.7701823236216
2010,2543.47190819259,11942.498385784997,466.1451953124991,0.0,3701.1662534868697,195.21150157808336,0.0,3979.535748544704,26.12696664065692,0.0,26526.171618396565,0.0,0.0,238.83706976936014,0.0,0.0,8460.976234216208,7468.990197345026,202.57216938711682,0.0,0.0,0.0,12536.530017598234,0.0,1144.1422627201912,0.0,0.0,0.0,0.0,0.0,125.91009894048315,2364.615226286582,792.4991327216677,1124.0848560299426,2.3250299458127084,715.3850966243875,310.7701823236216
2011,2545.5942852718745,11953.415560745278,466.27382643588766,0.0,3726.113736284686,195.99318076172148,0.0,3918.6447141727726,26.12696664065692,0.0,26477.50095031981,0.0,0.0,238.70838702109359,0.0,0.0,8452.554199164677,7499.479227627562,203.92094340242915,0.0,0.0,0.0,12578.110039096915,0.0,1146.012399557219,0.0,0.0,0.0,0.0,0.0,125.717563952344,2366.736493293501,793.7248876464788,1124.2794151954442,2.3250299458127084,715.9631629858053,310.7701823236216
2012,2545.845910355789,11956.734844625411,466.5949491763122,0.0,3734.87779584461,196.18829969294535,0.0,3862.234819799224,26.12696664065692,0.0,26452.313201624427,0.0,0.0,237.9959232761433,0.0,0.0,8444.48673615589,7516.421399775338,204.75545109956806,0.0,0.0,0.0,12628.225515008198,0.0,1146.3372624794013,0.0,0.0,0.0,0.0,0.0,125.65340388754389,2375.450395028578,794.3761642102827,1124.731993049229,2.3250299458127084,715.5189078466175,310.7701823236216
2013,2548.3655431190928,11962.289726905887,466.7238913970359,0.0,3752.0013315587125,198.06332270773734,0.0,3795.2310756692827,26.06176901379823,0.0,26399.505104002485,0.0,0.0,237.21709263398196,0.0,0.0,8433.230590572142,7555.016991461085,205.78567052289085,0.0,0.0,0.0,12689.707078454616,0.0,1147.4998812976726,0.0,0.0,0.0,0.0,0.0,125.65361505335287,2377.24009150898,794.1798993180668,1125.5086147354502,2.3250299458127084,715.5886496439049,310.7701823236216
2014,2558.8555801568536,11977.77702575556,468.14942858532964,0.0,3789.2274607308427,198.58359552113217,0.0,3695.8830948472805,26.06176901379823,0.0,26209.96215014952,0.0,0.0,237.02047812555554,0.0,0.0,8405.829372850905,7654.790853868766,207.13221651228352,0.0,0.0,0.0,12832.495339366742,0.0,1148.2073775929368,0.0,0.0,0.0,0.0,0.0,126.0325480892497,2379.3444791523834,794.1790690404888,1126.6743475034316,2.3250299458127084,718.6637527131213,310.7701823236216
2015,2558.8555801568536,11977.5873859926,468.14942858532964,0.0,3789.0992035608997,198.39050092462398,0.0,3695.1092596619055,26.06176901379823,0.0,26197.15568036227,0.0,0.0,236.6322278918627,0.0,0.0,8402.078443363547,7664.880447259648,207.13221651228352,0.0,0.0,0.0,12838.060244979071,0.0,1148.2073775929368,0.0,0.0,0.0,0.0,0.0,126.09691337728171,2381.0166211084456,795.0148130063067,1126.9977726776299,2.3250299458127084,718.3440535488864,310.7701823236216
