year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,18699.34106943183,17532.326063241497,0.0,301.73344009883255,4275.057692988668,11599.588558793243,0.0,7356.785274423498,7.957076383432698,0.0,428.21856159213905,0.0,0.0,0.0,0.0,0.0,15.082666929794087,3370.868100511694,269.3754057884314,4543.646989201713,0.0,426.9940296041902,3524.0718696160106,0.0,8821.599959109562,0.0,0.0,788.7488759561928,0.0,0.0,31.623059436937886,397.59749635141696,4602.833059984229,169.07369666402124,0.28711981427535604,3893.6487507617953,0.0
1993,18697.96366197775,17531.89693905133,0.0,301.73344009883255,4274.768958710477,11599.516355164062,0.0,7356.710717029487,7.957076383432698,0.0,428.21856159213905,0.0,0.0,0.0,0.0,0.0,15.082666929794087,3370.793679044411,269.3754057884314,4543.574616422938,0.0,426.9940296041902,3523.9277211735794,0.0,8821.452538477899,0.0,0.0,788.7488759561928,0.0,0.0,31.623059436937886,406.0916705745119,4597.019276026919,169.07369666402124,0.28711981427535604,3893.6487507617953,0.0
1994,18697.529952813802,17531.531231140343,0.0,301.73344009883255,4274.336160838025,11599.444145486137,0.0,7356.710717029487,7.957076383432698,0.0,428.21856159213905,0.0,0.0,0.0,0.0,0.0,15.082666929794087,3370.719254681721,269.3754057884314,4543.502246663419,0.0,426.9940296041902,3523.8561933279802,0.0,8821.378299817346,0.0,0.0,788.7488759561928,0.0,0.0,31.623059436937886,412.2719581235196,4592.654899538239,169.07369666402124,0.28711981427535604,3893.429824955139,0.0
1995,18841.707505160837,17631.108740169722,0.0,318.8420751302892,4297.145548749449,11718.232712612687,0.0,6960.0003431611785,8.0283155846578,0.0,412.72592501409264,0.0,0.0,0.0,0.0,0.0,15.367546759621066,3417.254788402903,272.4883778118847,4546.880582985196,0.0,427.14215159591606,3620.4751469283137,0.0,8672.69181376399,0.0,0.0,790.2137726245912,0.0,0.0,31.623059436937886,418.01990504827864,4582.814374240686,169.07369666402124,0.28711981427535604,3904.3353150238736,0.0
1996,18847.48632708669,17640.64771917589,0.0,318.9150058911301,4306.149434406609,11716.969322972549,0.0,6960.470603026003,8.241885323661496,0.0,409.20055581718026,0.0,0.0,0.0,0.0,0.0,15.367546759621066,3417.5375317740322,272.9918497557292,4547.166590193351,0.0,427.0681694459444,3622.1245619536257,0.0,8643.489488105422,0.0,0.0,790.2137726245912,0.0,0.0,31.623059436937886,425.75293072170734,4576.256669284192,168.8553346759774,0.28711981427535604,3909.6433384382954,0.0
1997,18862.754370199433,17652.833506074694,0.0,319.5006749628998,4313.782175374668,11717.48049640267,0.0,6937.079584437333,8.241885323661496,0.0,408.2732506532069,0.0,0.0,0.0,0.0,0.0,15.367546759621066,3419.8637170176344,274.7175451804245,4547.238805919343,0.0,426.99660791974355,3631.21290369575,0.0,8611.115901046815,0.0,0.0,790.1411561290968,0.0,0.0,31.623059436937886,434.1343231640946,4569.780013987355,168.41894300499663,0.28711981427535604,3915.6152301787424,0.0
1998,18891.65163745426,17667.922071206132,0.0,322.7844371922642,4322.319748825021,11708.591582180296,0.0,6900.980248442433,7.883521158572014,0.0,413.41567725544036,0.0,0.0,0.0,0.0,0.0,15.367546759621066,3425.719731077313,273.86636941406016,4546.812958893218,0.0,427.5153638370373,3647.086793966606,0.0,8583.691037241966,0.0,0.0,790.4316002798448,0.0,0.0,31.696851253192268,443.02278732118293,4555.326637981988,168.05527579288056,0.28711981427535604,3912.029819335803,0.0
1999,18993.911296591683,17780.08114605345,0.0,327.1171820164742,4350.07100209241,11684.940388618423,0.0,6814.4360560255,7.883521158572014,0.0,410.12609598937127,0.0,0.0,0.0,0.0,0.0,15.952538637962652,3442.6553920674473,271.3047055676372,4545.601083928313,0.0,427.367578490037,3688.891618399057,0.0,8403.314026234522,0.0,0.0,790.5782881529148,0.0,0.0,31.770552039618337,452.711378844523,4523.639796109985,168.34365541539697,0.28711981427535604,3925.4743944358574,0.0
2000,19084.083513780737,17871.477344885392,0.0,327.85548894951773,4412.539451406695,11703.3142653111,0.0,6734.178755125796,7.883521158572014,0.0,410.7080985023617,0.0,0.0,0.0,0.0,0.0,15.952538637962652,3451.1219946280507,271.85942519882207,4544.297531051944,0.0,427.29446900051084,3710.2678076555794,0.0,8341.091757219916,0.0,0.0,790.4360840618152,0.0,0.0,31.697445523157967,463.83932839180187,4350.949729253916,157.0629742921196,0.28711981427535604,3948.2601728333543,0.0
2001,19131.947286210172,17913.153888314115,0.0,329.3265290832834,4438.18371178163,11713.18623888473,0.0,6680.447158611243,7.883521158572014,0.0,409.51604640430463,0.0,0.0,0.0,0.0,0.0,15.952538637962652,3452.324986457466,259.10959962785165,4546.290633374331,0.0,426.70357004114055,3714.868466554305,0.0,8280.608266051933,0.0,0.0,790.2895715194752,0.0,0.0,31.185720741042367,486.78940375230565,4309.203471168651,157.20439245875556,0.28711981427535604,3961.99669603587,0.0
2002,19163.77797971209,17975.0050100609,0.0,331.3177898900033,4446.024728183165,11706.5053502266,0.0,6665.281801200677,7.883521158572014,0.0,409.37248954530867,0.0,0.0,0.0,0.0,0.0,15.952538637962652,3452.679406302336,251.38759615867545,4546.10054864503,0.0,426.1864222234168,3734.136587363611,0.0,8186.59004318211,0.0,0.0,789.8549951885681,0.0,0.0,31.185720741042367,508.91155198780984,4264.664763471143,157.13164104780327,0.28711981427535604,3986.221211942318,0.0
