year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1206.819026635694,12502.062248856832,1.6288182939035412,0.0,2690.3637231710295,713.4501622487503,0.0,2639.6899731713493,0.24547411817428919,0.0,1339.0178950065467,0.0,0.0,0.6636526763250212,0.0,0.0,1416.4186969700943,1417.620297344813,40.02930749917606,0.0,0.0,0.0,3959.863114095954,0.0,9.252073489187556,0.0,0.0,0.0,0.0,0.0,70.2533582733204,1729.2776333377458,1.436901572778422,0.120986048899162,0.8980412094380963,293.33867776773576,0.0
1993,1202.5351146592882,12461.887204852905,1.6288182939035412,0.0,2688.315100917193,706.698402574833,0.0,2639.082765700084,0.24547411817428919,0.0,1337.7558801038422,0.0,0.0,0.6636526763250212,0.0,0.0,1416.2983401110773,1416.659270289901,40.02930749917606,0.0,0.0,0.0,3958.8957308287722,0.0,9.13159274093607,0.0,0.0,0.0,0.0,0.0,69.83504136646425,1787.5935348113117,1.436901572778422,0.120986048899162,0.8980412094380963,292.738901412442,0.0
1994,1198.548859331384,12418.72401015642,1.6288182939035412,0.0,2686.0913991670723,701.7541946580761,0.0,2638.7181678062498,0.24547411817428919,0.0,1336.9139677493192,0.0,0.0,0.6636526763250212,0.0,0.0,1416.2385800267473,1415.272583563874,39.909985829516565,0.0,0.0,0.0,3956.7826404094603,0.0,9.071879560685133,0.0,0.0,0.0,0.0,0.0,69.47621770379388,1847.6339490772868,1.436901572778422,0.120986048899162,0.8980412094380963,292.3197528283411,0.0
1995,1191.5647045371984,12413.816713672084,1.6288182939035412,0.0,2701.9651588771044,660.8258827462411,0.0,2537.6611289278667,0.24547411817428919,0.0,1354.873720971876,0.0,0.0,0.6636526763250212,0.0,0.0,1425.9770155028557,1423.6371453858449,39.85030874775543,0.0,0.0,0.0,3994.1751711018674,0.0,8.891466463451563,0.0,0.0,0.0,0.0,0.0,69.29912409559103,1913.376306358305,1.436901572778422,0.120986048899162,0.8980412094380963,291.5423404801888,0.0
1996,1186.9316825254111,12371.064046852378,1.6288182939035412,0.0,2704.3004996261593,653.8582874729927,0.0,2518.438665736489,0.24547411817428919,0.0,1353.2000135144744,0.0,0.0,0.6636526763250212,0.0,0.0,1427.085207787875,1422.866795191633,39.79066055191061,0.0,0.0,0.0,3999.8613610454227,0.0,8.35124400863935,0.0,0.0,0.0,0.0,0.0,69.23939287135819,1981.1659372711576,1.436901572778422,0.120986048899162,0.8980412094380963,291.30239341232425,0.0
1997,1184.1022698536046,12327.43964057524,1.6288182939035412,0.0,2704.620007054291,647.1356399522344,0.0,2513.544361138354,0.24547411817428919,0.0,1351.2225215107082,0.0,0.0,0.6636526763250212,0.0,0.0,1427.457567260756,1422.2108536634198,39.55165279753114,0.0,0.0,0.0,4002.5529309989865,0.0,8.109975985574744,0.0,0.0,0.0,0.0,0.0,68.6403830926712,2039.8665429486311,1.436901572778422,0.120986048899162,0.8980412094380963,291.00184103622286,0.0
1998,1185.4177026400882,12310.842129502522,1.6288182939035412,0.0,2725.264847285965,645.359935880613,0.0,2381.1780640781753,0.24547411817428919,0.0,1349.1399578442206,0.0,0.0,0.6636526763250212,0.0,0.0,1426.7828785088648,1439.1483705908465,39.491993770275805,0.0,0.0,0.0,4057.883829146883,0.0,7.870227691046618,0.0,0.0,0.0,0.0,0.0,68.82776227404325,2099.246647618467,1.436901572778422,0.120986048899162,0.8980412094380963,291.00184103622286,0.0
1999,1182.0144953447964,12300.336438244274,1.6288182939035412,0.0,2746.571790534717,610.8377767713167,0.0,2170.7405434618813,0.24547411817428919,0.0,1364.9375087879912,0.0,0.0,0.6636526763250212,0.0,0.0,1431.13912583783,1486.4886882004625,39.373374668893575,0.0,0.0,0.0,4167.503780871933,0.0,7.810431540521154,0.0,0.0,0.0,0.0,0.0,68.83421530984289,2160.109116551756,1.3771883925274846,0.120986048899162,0.8980412094380963,290.81861492226506,0.0
2000,1176.1575395237282,12253.06732420276,1.6288182939035412,0.0,2746.719673189783,566.4048070229179,0.0,2101.5484564516496,0.24547411817428919,0.0,1360.4101343019504,0.0,0.0,0.6636526763250212,0.0,0.0,1429.7828186333772,1507.7152506611924,39.31368314506125,0.0,0.0,0.0,4256.956082874863,0.0,7.750721968496424,0.0,0.0,0.0,0.0,0.0,68.7806360893513,2222.330114275393,1.3771883925274846,0.120986048899162,0.8980412094380963,290.5786587079528,0.0
2001,1146.9079460324926,12108.706889359019,1.6288182939035412,0.0,2742.2233580970683,527.3272336857266,0.0,2068.594347411073,0.24547411817428919,0.0,1344.5549007850766,0.0,0.0,0.6636526763250212,0.0,0.0,1427.7307384800577,1514.8181327752263,39.198555099386205,0.0,0.0,0.0,4267.0456385068965,0.0,6.970795814329346,0.0,0.0,0.0,0.0,0.0,67.78366361595052,2479.3296915061323,1.3771883925274846,0.120986048899162,0.8980412094380963,286.32400988004014,0.0
