year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,521.5570292222185,66.85545543308776,0.181129317780168,0.0,318.83886109285646,954.4020224188272,17637.021397286928,209.54449899866887,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,491.253510870904,56.86296383565685,355.62598116796386,0.0,0.0,163.8328950823567,0.0,0.0,0.0,0.0,0.0,5.261950877832697,319.72679864589264,131.95706423756187,4.999606946874565,2.005576831214242,0.0,0.0,888.1788663429754,0.0
1993,521.5570292222185,66.85545543308776,0.181129317780168,0.0,318.83886109285646,954.4020224188272,17637.021397286928,209.54449899866887,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,491.253510870904,56.86296383565685,355.62598116796386,0.0,0.0,163.8328950823567,0.0,0.0,0.0,0.0,0.0,5.261950877832697,319.72679864589264,131.95706423756187,4.999606946874565,2.005576831214242,0.0,0.0,888.1788663429754,0.0
1994,521.5570292222185,66.76396994459598,0.181129317780168,0.0,318.83886109285646,954.4020224188272,17636.840392341757,209.54449899866887,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,491.253510870904,56.86296383565685,355.62598116796386,0.0,0.0,163.8328950823567,0.0,0.0,0.0,0.0,0.0,5.261950877832697,319.72679864589264,131.8655879719265,5.363573646172436,2.005576831214242,0.0,0.0,888.1788663429754,0.0
1995,626.3681533599121,80.8764864734398,0.181129317780168,0.0,364.1756740655419,920.6727230534581,17513.468737933614,210.36390984765418,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,499.260362475761,58.49930653146087,358.81163671214347,0.0,0.0,165.9201815814908,0.0,0.0,0.0,0.0,0.0,5.443081654958243,323.2956655471929,105.03832540686723,5.454560042935058,2.005576831214242,0.0,0.0,888.2700977741756,0.0
1996,628.4597729421523,80.96730669547091,0.181129317780168,0.0,366.08439736307037,919.7565301661828,17505.37749044535,210.72815526492784,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,501.2623971037695,58.68123478804885,358.6298847044974,0.0,0.0,166.92120160937552,0.0,0.0,0.0,0.0,0.0,5.443081654958243,323.47772883093467,104.94679396487548,5.727662060208729,2.005576831214242,0.0,0.0,889.4552648667833,0.0
1997,645.0057147008424,83.33086690689615,0.181129317780168,0.0,374.6323554247428,920.8286546469238,17468.665832471786,210.81906824467808,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,505.26479079678035,59.68028142164794,359.538303214884,0.0,0.0,168.37433171666615,0.0,0.0,0.0,0.0,0.0,5.443081654958243,323.8422992721689,104.94679396487548,6.091263155971762,2.005576831214242,0.0,0.0,889.4552648667833,0.0
1998,663.708330553322,85.78415090072232,0.181129317780168,0.0,379.2634567910265,921.2735598198296,17433.434550841943,211.18321405443467,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,508.08073331508393,59.861920444112236,362.08232908680014,0.0,0.0,169.73801101080815,0.0,0.0,0.0,0.0,0.0,5.443081654958243,323.8422992721689,104.58404388902453,6.638035314384216,2.005576831214242,0.0,0.0,891.0011855119866,0.0
1999,717.7629684205478,92.42653449254871,0.181129317780168,0.0,408.32809302303804,944.8402064335017,17289.776147327513,214.1953177818504,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,520.3012172607046,61.039632376286576,362.90114958683745,0.0,0.0,176.36898537899393,0.0,0.0,0.0,0.0,0.0,5.443081654958243,325.9467735957486,104.40179891504697,7.092749142491451,2.005576831214242,0.0,0.0,895.0942470705412,0.0
2000,730.6942253894571,93.88176992436252,0.181129317780168,0.0,422.3536612667555,988.9580378297152,17188.311194636834,217.5769241899663,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,540.4832521401905,61.58513518775866,363.3567676301264,0.0,0.0,179.91588209381993,0.0,0.0,0.0,0.0,0.0,5.443081654958243,326.03824062889726,103.85767596223492,8.096014496390163,2.005576831214242,0.0,0.0,895.3670394291412,0.0
2001,737.7086369717513,94.79200919720654,0.181129317780168,0.0,415.56976433665204,1012.1143879419365,17149.773804385604,218.58224352987114,0.0,0.0,0.0,0.0,0.0,0.09069723839980065,0.0,0.0,0.18246964887278067,550.9801351291003,62.312266102067746,365.27218826046374,0.0,0.0,181.09856793264478,0.0,0.0,0.0,0.0,0.0,5.443081654958243,327.5017772559501,102.12940888223656,8.277509018941059,2.005576831214242,0.0,0.0,894.3631218612219,0.0
