year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,24867.247450767783,23323.708618139208,224.52464728388588,918.3636349031187,8113.16918734789,7432.804722090524,0.0,27787.357983003687,391.16593913492153,0.0,5274.440105423057,0.0,0.0,0.8365822827660014,0.0,0.0,2821.620285691525,3171.9845755083657,26.867592115564264,263.71844895028784,0.0,0.7815542933838473,1703.7500241257057,0.0,126.5000092641828,0.0,0.0,0.35157821590495847,0.0,0.0,142.14687296565907,1378.1031058883057,538.5052014467626,79.41684198090879,1.3111401681004922,1467.3313258874896,0.0
1993,24863.247042330924,23315.178854186328,224.52464728388588,918.3636349031187,8111.911274335899,7432.524748081565,0.0,27787.07865783775,391.16593913492153,0.0,5274.370527521593,0.0,0.0,0.8365822827660014,0.0,0.0,2821.620285691525,3171.001149445411,26.867592115564264,263.71844895028784,0.0,0.7815542933838473,1703.4723784881871,0.0,126.5000092641828,0.0,0.0,0.35157821590495847,0.0,0.0,142.14687296565907,1399.975825512665,532.3793612738182,79.41684198090879,1.3111401681004922,1467.26248061464,0.0
1994,24856.147599667318,23302.963144509544,224.4542703627663,918.3636349031187,8110.791347655526,7432.384310375267,0.0,27786.23705188205,391.16593913492153,0.0,5274.301720707984,0.0,0.0,0.8365822827660014,0.0,0.0,2821.5488897023292,3170.297991644662,26.867592115564264,263.6471820471832,0.0,0.7815542933838473,1703.3343368189398,0.0,126.42947630848023,0.0,0.0,0.35157821590495847,0.0,0.0,142.14687296565907,1428.6498821764997,526.4560018625733,79.41684198090879,1.3111401681004922,1467.122485097525,0.0
1995,24967.720081697433,23436.115333796155,227.03524887244384,921.0539153298413,8126.590641613435,7296.356615590298,0.0,27544.50273823517,393.1864752914424,0.0,5286.813264214343,0.0,0.0,0.8365822827660014,0.0,0.0,2844.038974192683,3193.291040991582,27.077544059536685,269.58925448918814,0.0,0.7815542933838473,1724.324073924815,0.0,126.35942652920932,0.0,0.0,0.35157821590495847,0.0,0.0,142.63726932798593,1457.035059536572,525.2067770906452,79.41684198090879,1.3111401681004922,1464.3759951551351,0.0
1996,24968.234872847315,23439.692172726824,227.17614948830413,922.3195807145577,8114.2503494190905,7251.965972653048,0.0,27520.078269665606,394.3705531543836,0.0,5279.126387386552,0.0,0.0,0.8365822827660014,0.0,0.0,2854.087227121874,3197.800664178868,27.077544059536685,270.94777791725033,0.0,0.7815542933838473,1725.7190261002934,0.0,126.35942652920932,0.0,0.0,0.35157821590495847,0.0,0.0,142.63726932798593,1491.721917211582,521.5397423749856,79.41684198090879,1.3111401681004922,1498.204827060633,0.0
1997,24983.151321121226,23425.36662763874,227.17614948830413,927.587985216816,8122.477439112521,7212.214146787944,0.0,27438.97879080178,395.27581852534877,0.0,5289.62391667419,0.0,0.0,0.8365822827660014,0.0,0.0,2864.1438938841334,3206.8290118493683,28.337866028380716,271.1622376159687,0.0,0.7815542933838473,1746.5852087543492,0.0,126.5007757434478,0.0,0.0,0.35157821590495847,0.0,0.0,142.63726932798593,1537.3487258630905,522.3410359607202,80.62446365061301,1.3111401681004922,1504.363887873878,0.0
1998,24989.035833682756,23400.911012705677,227.17614948830413,931.5457677015041,8131.848697702765,7205.864505629603,0.0,27354.89917414671,395.62487104650097,0.0,5293.799068264006,0.0,0.0,0.8365822827660014,0.0,0.0,2867.8686738480924,3214.5960710728195,31.340431146502382,271.1622376159687,0.0,0.7815542933838473,1760.9427316968317,0.0,126.50451615075684,0.0,0.0,0.35157821590495847,0.0,0.0,142.63726932798593,1598.4937261624564,519.0277972050009,81.33346204458077,1.3111401681004922,1508.1145752800066,0.0
1999,25012.5489766568,23388.53435051247,227.03542065356902,939.6313626776863,8129.571562533271,7079.485966180476,0.0,27270.71952176454,398.27017854359974,0.0,5294.74731402542,0.0,0.0,0.8365822827660014,0.0,0.0,2883.428302896925,3248.963326703103,32.67041054931569,271.66194559304625,0.0,0.7815542933838473,1805.9212123213804,0.0,128.9120991086205,0.0,0.0,0.35157821590495847,0.0,0.0,140.57789681462535,1658.4098415054298,518.1922427066514,82.68391300012497,1.1043386011719505,1540.967528738698,0.0
2000,25017.100704528326,23362.968079532824,227.66965284261926,940.9718905218625,8148.55473298532,7081.844809741887,0.0,27167.064990609328,398.5449612623254,0.0,5298.940547302729,0.0,0.0,0.8365822827660014,0.0,0.0,2887.25715467832,3269.2362202899426,33.72166220613851,271.58993703847466,0.0,0.7815542933838473,1813.7461431926572,0.0,130.9664844815313,0.0,0.0,0.35157821590495847,0.0,0.0,140.302566998051,1713.4114245424344,518.4211306483093,85.44775432879251,1.1043386011719505,1545.1725257538671,0.0
2001,25000.78215909989,23359.21513020427,227.811597803967,943.1746001076549,8121.727249666676,6753.198094072981,0.0,27412.560896094834,402.80074043314875,0.0,5312.88088081098,0.0,0.0,0.8365822827660014,0.0,0.0,2918.6644292500387,3319.9543142027073,31.689121344461938,270.5189498910895,0.0,0.7815542933838473,1815.4330936089486,0.0,133.8745380104051,0.0,0.0,0.35157821590495847,0.0,0.0,140.51780735980049,1738.7302606984194,511.3115112999087,88.91593535907433,1.1043386011719505,1549.1720641664463,0.0
