year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1761.6835596008234,11956.138367271524,934.8003282490954,0.6671132686463978,58.67409769205422,283.42048347220947,265.7837830083835,1583.5515081848257,47.72736884025401,246.07456134293972,7.429384917818658,0.0,0.0,0.0,0.0,0.0,3.4257123406492704,1920.0668310554845,10.766247097987016,1930.5047213559383,0.0,9.62116303487609,3151.605623925901,0.0,0.0,0.0,0.0,0.0,0.7624428121021305,4.573183368909876,176.3492658209375,25.721690266416275,0.0,0.0,0.0,1987.157900885652,0.0
1993,1761.6835596008234,11956.043117837156,934.8003282490954,0.6671132686463978,58.67409769205422,283.42048347220947,265.7837830083835,1583.5515081848257,47.72736884025401,246.07456134293972,7.429384917818658,0.0,0.0,0.0,0.0,0.0,3.4257123406492704,1920.0668310554845,10.766247097987016,1930.5047213559383,0.0,9.62116303487609,3151.605623925901,0.0,0.0,0.0,0.0,0.0,0.7624428121021305,4.573183368909876,176.3492658209375,25.81693970078411,0.0,0.0,0.0,1987.157900885652,0.0
1994,1761.5882896213068,11956.043117837156,934.8003282490954,0.6671132686463978,58.67409769205422,283.42048347220947,265.7837830083835,1583.4562048417433,47.72736884025401,246.07456134293972,7.429384917818658,0.0,0.0,0.0,0.0,0.0,3.4257123406492704,1919.9715651414326,10.766247097987016,1930.5047213559383,0.0,9.62116303487609,3151.605623925901,0.0,0.0,0.0,0.0,0.0,0.7624428121021305,4.573183368909876,176.3492658209375,26.102778937434927,0.0,0.0,0.0,1987.157900885652,0.0
1995,1799.8806346600636,12242.371167866911,946.0397635737054,0.6671132686463978,59.43565937795972,292.184298361653,132.43967081206625,1133.5113703899322,47.72736884025401,243.4075168040982,0.8572008715205233,0.0,0.0,0.0,0.0,0.0,3.4257123406492704,1973.5043361245544,10.766247097987016,2005.843924884432,0.0,10.76420413199807,3265.8768012529395,0.0,0.0,0.0,0.0,0.0,0.7624428121021305,4.573183368909876,179.01552060166955,26.293299485727648,0.0,0.0,0.0,1987.157900885652,0.0
1996,1801.5002767056617,12273.998022969232,947.6585790004242,0.6671132686463978,59.530876627306846,294.1853956250607,122.62960965634072,1067.8829926394192,47.72736884025401,240.83428817539559,0.8572008715205233,0.0,0.0,0.0,0.0,0.0,3.4257123406492704,1980.2687827846628,10.766247097987016,2021.3683577709323,0.0,10.76420413199807,3280.4437366350394,0.0,0.0,0.0,0.0,0.0,0.7624428121021305,4.573183368909876,179.58693901161297,26.674334145533766,0.0,0.0,0.0,1990.3996733347408,0.0
1997,1804.7393591224868,12306.289629328889,946.8018801109747,0.6671132686463978,59.911746244672266,295.7115637312056,121.48675229909234,988.5353461057161,48.67925000043938,238.54722566199285,0.8572008715205233,0.0,0.0,0.0,0.0,0.0,3.4257123406492704,1986.84105722533,10.766247097987016,2046.4238444439466,0.0,10.76420413199807,3291.58440631084,0.0,0.0,0.0,0.0,0.0,0.7624428121021305,4.573183368909876,181.6819626297891,27.05553737150174,0.0,0.0,0.0,1990.3996733347408,0.0
1998,1809.3130689646382,12341.349829660332,945.6597517199651,0.6671132686463978,59.911746244672266,295.14163934491006,119.48670561576064,871.1636397175214,48.67925000043938,236.45019302981413,0.8572008715205233,0.0,0.0,0.0,0.0,0.0,3.7112320419503417,1994.4631830350327,10.766247097987016,2094.923725470889,0.0,10.76420413199807,3315.580295642461,0.0,0.0,0.0,0.0,0.0,0.7624428121021305,4.573183368909876,183.49104040243415,27.341144654192654,0.0,0.0,0.0,1991.4485007172516,0.0
1999,1818.548866053222,12401.456015726197,942.804487342861,0.6671132686463978,60.29284954174505,289.23425725226497,99.86748217049065,735.2115772057773,49.535950295494814,233.59005038973112,0.8572008715205233,0.0,0.0,0.0,0.0,0.0,5.519284580829981,2016.3756974485577,11.433247553465506,2140.8516659313464,0.0,11.0500850125065,3354.5354923699847,0.0,0.0,0.0,0.0,0.0,1.0483463295228714,4.763884626211055,183.96605568859854,27.817609030582677,0.0,0.0,0.0,1977.078119123873,0.0
2000,1818.2629394065325,12398.025489390411,941.3767464724405,0.6671132686463978,60.29284954174505,277.42254531492443,99.96287523606648,745.2103121770164,49.916869461495224,234.25643127346194,0.8572008715205233,0.0,0.0,0.0,0.0,0.0,6.471055192351987,2020.7591273142473,11.433247553465506,2139.0431185292364,0.0,11.0500850125065,3353.487606141005,0.0,0.0,0.0,0.0,0.0,2.7637050156884264,4.763884626211055,183.8707105896337,28.484508045709628,0.0,0.0,0.0,1978.1269173791152,0.0
2001,1826.1730347130701,12414.13248531882,930.5229305628785,0.6671132686463978,60.29284954174505,251.41671506074945,98.53286299579504,755.8567961999225,50.7744953911004,235.6845461819438,0.0,0.0,0.0,0.0,0.0,0.0,7.42283569748137,2031.719337532801,5.715791806163736,2131.9966875231626,0.0,11.0500850125065,3343.7706740824965,0.0,0.0,0.0,0.0,0.0,5.909667881639467,5.620679364830569,183.1079767548867,38.010855543676435,0.0,0.0,0.0,1978.1269173791152,0.0
