year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,5274.482367965809,520650.67397040775,0.0,0.0,18121.09835639484,14287.115672219508,4.566524546239964,181739.0382004706,89348.10999925535,283.5030000391172,1123925.52677464,2134126.5108824316,978.4758455649815,7715.140943894492,0.0,0.0,530962.3852181331,336253.1978559129,16670.206340796503,379915.3545238924,0.23244695937330606,0.0,235238.96373426588,1166116.0245306038,1048370.4534279413,0.0,71.84392441379254,113.5574517586823,144331.1644003381,0.0,118136.77207001943,7031.342972988435,349245.40912331466,13235.923253577945,0.0,1367397.85358831,179578.54020219683
1993,5254.581953460991,520560.86802976305,0.0,0.0,18111.718195513808,14286.23052224376,4.566524546239964,181726.42918696316,89348.10999925535,283.5030000391172,1123919.459161694,2134126.3904872905,978.4758455649815,7714.482291359935,0.0,0.0,530958.425208127,336240.11064161395,16670.206340796503,379895.46175818203,0.23244695937330606,0.0,235236.3260907555,1166115.8977939056,1048367.7056447265,0.0,71.84392441379254,113.5574517586823,144330.8155213219,0.0,118133.42864228445,7224.541664293592,349239.81818419305,13235.923253577945,0.0,1367395.8176364521,179578.54020219683
1994,5239.440063594435,520468.8419549442,0.0,0.0,18102.877933128253,14284.680600110376,4.566524546239964,181713.54603558316,89348.10999925535,283.5030000391172,1123912.7678770595,2134125.726660652,978.4758455649815,7714.0866084905765,0.0,0.0,530954.9729674571,336228.0837151629,16670.147479598192,379878.40972532233,0.23244695937330606,0.0,235234.05716791833,1166115.6029007102,1048364.0960893441,0.0,71.84392441379254,113.5574517586823,144330.6761126662,0.0,118130.96529751939,7413.224934433496,349233.48935941193,13235.923253577945,0.0,1367393.0214718336,179578.54020219683
1995,5139.400597740543,522572.3335790161,0.0,0.0,18064.074858475557,14166.753968133895,4.566524546239964,179907.3902446631,89425.37678578425,283.8215255326783,1127054.6811601864,2139475.2475772384,978.4535149077614,7743.792690956736,0.0,0.0,531803.7646712625,336725.11206775875,16039.93231836699,378125.01975126634,0.23244695937330606,0.0,234158.36847669905,1166115.541623898,1042888.0009605823,0.0,72.06228640044878,113.5574517586823,144936.06331038135,0.0,115265.18862935518,7589.824089153067,349179.1840669657,13228.928664558902,0.0,1368488.2535585072,179578.54020219683
1996,4674.00246491869,522894.5875862052,0.0,0.0,18051.70445500006,14085.340550905748,4.566524546239964,179663.42692263436,89478.40280710306,283.7537300683382,1125931.168852899,2141027.0883635073,977.2298321287351,7754.624895145507,0.0,0.0,532138.4208961619,337245.20452312764,15958.088864902567,376581.37879619387,0.23244695937330606,0.0,234762.24037265827,1166115.0006465432,1040843.1651402451,0.0,72.06228640044878,113.5146902597215,145111.7548724915,0.0,114098.98922029971,7765.46146675557,349360.8327108613,13229.002599622589,0.0,1371323.6808825124,179578.54020219683
1997,4539.1012854041055,523242.9948859859,0.0,0.0,18040.330729695528,13993.529023129751,4.566524546239964,179382.32213587893,89549.22787751016,283.6619470602827,1125449.830529955,2142320.696014669,976.7606799662119,7769.2494758268895,0.0,0.0,532474.4789264755,337862.73160483845,15896.621808106156,375443.89738024946,0.23244695937330606,0.0,234984.63309701704,1166114.7752872326,1038569.93342667,0.0,72.11332559207445,113.5146902597215,145318.920595867,0.0,113045.6038361758,7915.032569406007,349477.32424114866,13229.10665229432,0.0,1373473.78600354,179578.49060179226
1998,4475.479059175787,524107.20815639227,0.0,0.0,18058.10079515581,13846.142055720713,4.566524546239964,178691.94282555438,89644.79415480311,282.8409820834662,1124132.8056669838,2143764.5149731967,976.4104655933216,7810.148849377116,0.0,0.0,532667.5578985733,338987.03819765756,15949.874912032652,375693.0241133237,0.23244695937330606,0.0,235277.41346348822,1166114.6532377864,1036052.1022757642,0.0,72.22733637848746,113.63247540021226,145649.66072130942,0.0,111162.75768455598,8069.122220751715,349590.8672129057,13230.150064363022,0.0,1375119.7082316277,179578.49060179226
1999,4420.699353309719,525134.1785749523,0.0,0.0,18060.43515209139,13531.25224583544,4.566524546239964,178085.63097978188,89679.6754755082,282.7334308040782,1124064.7286435224,2146075.219180134,976.311757374953,7852.910985312525,0.0,0.0,532686.2714086333,341573.4748890587,15989.133148656487,375933.100871973,0.23244695937330606,0.0,235792.3426823608,1166114.4452199233,1030310.0493212044,0.0,73.40271249580869,113.63247540021226,145932.27250975324,0.0,109303.43957524876,8223.602624182879,349670.4556207676,13235.932251399037,0.0,1376424.846940271,179578.49060179226
2000,4151.787890188896,526741.1609026312,0.0,0.0,18093.977651668716,13479.699073115145,4.566524546239964,177200.9357012778,89734.18727924375,279.065786401279,1123289.7546851763,2148286.4605572633,974.2843858531203,8064.727423926978,0.0,0.0,532876.8451901319,346317.0321274381,16220.454083668523,375933.7761945036,0.23244695937330606,0.0,236741.93645978253,1166114.0500795485,1025217.576303328,0.0,73.54403662430333,113.68994650547296,147483.43304600794,0.0,103178.31647888377,8392.237250780492,349988.80557067716,13236.404134249315,0.0,1377356.035791078,179578.49060179226
2001,3956.6974160818163,527138.5182971676,0.0,0.0,18072.071321687345,13303.09345622301,4.566524546239964,177566.71823150702,89903.35121210421,278.3487619715483,1127616.2454693688,2154942.495877735,974.3514375528698,8130.510133488656,0.0,0.0,536090.9534320865,350152.8542572874,13574.333531605685,375460.92025882396,0.23244695937330606,0.0,236667.40990728745,1166113.8689269538,1019901.7997544346,0.0,73.64289729683777,113.68994650547296,148466.4268469053,0.0,93998.75614129742,9037.898226928868,350121.0485052442,13238.268529192685,0.0,1374645.9052532169,179578.49060179226
2002,3914.425235626071,527469.9100128871,0.0,0.0,18051.090924205007,13312.74612651782,4.566524546239964,177596.14743042213,89999.76934981236,277.79603158713564,1127647.552991295,2157942.4047082644,973.8404355789169,8172.16999712199,0.0,0.0,537680.7596668086,352634.42988916376,12308.901435664993,375274.4822402638,0.23244695937330606,0.0,236628.18403382087,1166113.6819755032,1018340.8058269786,0.0,73.79404663679763,113.50877853974984,148840.40681323057,0.0,90007.60408326502,9473.325004175162,350149.7992724634,13230.59297303231,0.0,1373312.04874709,179578.49060179226
2003,3806.0915701833605,527773.3843686073,0.0,0.0,18025.69842922385,13249.640192747182,4.566524546239964,177549.17736860702,90053.20307888038,277.15581634094735,1126133.9093818832,2160754.6081103208,973.9495841537537,8210.63326089903,0.0,0.0,538525.2332353917,355611.0737754191,10856.179646218858,376283.0942828921,0.23244695937330606,0.0,236519.4173782299,1166113.5624036614,1017559.0757378399,0.0,75.63187245541549,113.50877853974984,149066.55316319523,0.0,86595.46710571529,9808.061234928957,350260.1797440513,13228.996075535992,0.0,1372116.6924340352,179578.49060179226
2004,3760.0760267403625,528354.3354785879,0.0,0.0,18017.078905273826,13171.841988484939,4.566524546239964,177148.15260759572,90064.9427376087,276.1808692352663,1126162.840445624,2163228.030316436,973.911214736163,8392.384660853402,0.0,0.0,539176.5480305701,360109.20702786924,9615.266732323182,376719.12572077516,0.23244695937330606,0.0,236769.13376836595,1166112.9575356974,1014489.2668114163,0.0,76.11959481367539,113.32942614477926,149859.61805332737,0.0,82569.39565711265,10100.029424964521,350271.441709167,13225.375976486657,0.0,1370783.5873097456,179578.49060179226
