year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,4494.034561707386,1445.8923775596568,0.0,101.8047154272725,3127.862244062772,3409.9047111014997,102468.50687198837,8189.717278689531,0.0,394042.7817119263,0.0,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3009.6159895817987,64274.0412450068,37439.82819382795,0.0,850.3189280192072,55.755962527240534,0.0,0.0,0.0,0.0,0.0,454.7388087878486,105.72955201382833,141.833322645383,119.44941960290785,0.8561842697010735,2.3776775518985147,0.0,962.3367652906356,0.0
1993,4493.368525432143,1445.8923775596568,0.0,101.8047154272725,3127.3865229620274,3409.2386052126835,102468.41166445953,8189.62212580949,0.0,394042.7817119263,0.0,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3009.6159895817987,64274.0412450068,37439.73303392261,0.0,850.3189280192072,55.755962527240534,0.0,0.0,0.0,0.0,0.0,454.7388087878486,105.72955201382833,141.833322645383,121.54280318192305,0.8561842697010735,2.3776775518985147,0.0,962.3367652906356,0.0
1994,4492.512409213825,1445.8923775596568,0.0,101.8047154272725,3127.291367964987,3408.6678464963707,102468.41166445953,8189.431825364519,0.0,394042.49653084297,0.0,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3009.6159895817987,64274.0412450068,37439.73303392261,0.0,850.3189280192072,55.755962527240534,0.0,0.0,0.0,0.0,0.0,454.7388087878486,105.72955201382833,141.833322645383,123.63547104579685,0.8561842697010735,2.3776775518985147,0.0,962.2416088867346,0.0
1995,4575.841429464175,1458.4257892497817,0.0,101.9941586905805,3149.7307096713016,3400.5565245245457,102457.6519045559,8166.829558743829,0.0,394044.4907459837,0.0,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3010.4723048092446,64271.75941320857,37360.91334558553,0.0,851.077192079689,55.755962527240534,0.0,0.0,0.0,0.0,0.0,455.40488967259245,106.11161899833733,142.02365045404133,124.3944934477821,0.8561842697010735,2.3776775518985147,0.0,960.7189680992738,0.0
1996,4579.297406232146,1458.6134777322263,0.0,101.9941586905805,3157.4313358670775,3397.3950691688347,102470.95163317925,8172.84099664097,0.0,394072.5052156516,0.0,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3010.4723048092446,64267.3886596958,37302.53920610446,0.0,850.7019821733481,55.755962527240534,0.0,0.0,0.0,0.0,0.0,455.5950955286541,104.97059250607337,142.02365045404133,126.29736731077624,0.8561842697010735,2.2825303564324755,0.0,967.4736926896471,0.0
1997,4586.933957807212,1463.7506448440593,0.0,101.9941586905805,3167.312374699543,3399.871021762214,102463.52769895436,8210.922441755885,0.0,394104.8201599416,0.0,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3011.7096149329886,64267.579719292655,37211.48862773769,0.0,850.7019821733481,55.755962527240534,0.0,0.0,0.0,0.0,0.0,455.5950955286541,104.8754371570122,142.02365045404133,128.00691742160774,0.8561842697010735,2.2825303564324755,0.0,967.378341281146,0.0
1998,4662.966850670942,1496.8446055141053,0.0,101.9941586905805,3218.41687738449,3429.6801795489373,102431.24208187002,8188.616630747938,0.0,394088.53060613514,0.0,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3016.280079902193,64267.3923893923,37087.52630401796,0.0,848.3661873582785,55.755962527240534,0.0,0.0,0.0,0.0,0.0,455.69020285560117,104.8754371570122,140.88259679243376,129.7158154624189,0.8561842697010735,2.2825303564324755,0.0,969.4708409344889,0.0
1999,5036.89237660109,1614.6701599047728,0.0,106.05269525639345,3417.1559752844028,3515.459383486031,102284.96525146048,8100.411475880817,0.0,394031.45025919704,0.7528448039397972,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3029.3202836102623,64277.09758385745,36442.33620503473,0.0,824.1858908802774,58.697965963363906,0.0,0.0,0.0,0.0,0.0,454.7389892563514,101.83337732460775,139.26569542350424,132.18433299654708,0.8561842697010735,1.80700133069663,0.0,1127.2525897653102,0.0
2000,5096.8493588253805,1659.6488789969078,0.0,106.90251638813236,3487.4782825794105,3637.4979044030893,102200.40651397545,8055.117478881739,0.0,393945.06846110383,0.7528448039397972,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3049.126897125362,64299.469600221884,36319.98425403832,0.0,812.2701561582935,64.97805714078375,0.0,0.0,0.0,0.0,0.0,454.35813085323775,101.83337732460775,139.45685242136483,135.22422580393584,0.8561842697010735,1.80700133069663,0.0,1128.2995449421328,0.0
2001,5149.930818187346,1751.5154397233823,0.0,107.37108756399682,3586.758119501099,3601.004545236726,102092.05335024645,8009.438966308986,0.0,393979.8813276565,0.7528448039397972,0.0,0.0,0.0,0.0,0.0,0.37797367673374244,3070.2549579067613,64301.6761645214,36212.5682754087,0.0,802.3295907218087,66.49923780276474,0.0,0.0,0.0,0.0,0.0,455.0236752086813,101.92820132422467,136.79143724442363,137.97992967922596,0.8561842697010735,1.80700133069663,0.0,1130.9653669413515,0.0
