year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,607227.4685354735,581087.0492390303,0.0,637823.9995124002,425671.9186309096,441912.7097593047,427885.7347787655,332761.0741496288,164942.36288593424,5.601131037434489,574694.0741947956,0.829792825947795,3.5377004762383613,131840.67582173782,0.29944439786926813,0.0,1477.237191876595,130465.4978266965,67603.02741484263,41884.015352503004,11233.39994491673,8498.428013461707,2585304.063702958,310.990301374186,220621.05029623403,0.0,2.0040036088655224,0.5047028814111132,84.86890208886648,1240.1826446797766,30273.245163079075,33870.77274335818,1661936.4945633619,25281.809304434853,48962.799952503854,153763.62379381695,61848.80184091182
1993,607025.3151681441,580913.3581939578,0.0,637619.3736255615,425632.6548780096,441824.1410921558,427884.3310321716,332760.0456506443,164941.96290512057,5.601131037434489,574683.1276088287,0.829792825947795,3.5377004762383613,131839.81436400788,0.29944439786926813,0.0,1477.237191876595,130454.33467401132,67599.59617566683,41880.57751664514,11233.318214243662,8494.398901734678,2584975.8374485406,310.990301374186,220610.1412095015,0.0,2.0040036088655224,0.5047028814111132,84.86890208886648,1240.1826446797766,30266.648031063814,34999.58797679019,1661917.93821316,25281.809304434853,48962.799952503854,153744.18344324845,61848.80184091182
1994,606817.9957153938,580754.0497006879,0.0,637414.9317469295,425594.5148380133,441745.61552221817,427883.30282261485,332758.3338628069,164941.41836679511,5.601131037434489,574670.5835545949,0.829792825947795,3.5377004762383613,131838.7689413991,0.29944439786926813,0.0,1477.237191876595,130443.38355855056,67596.8882828017,41876.52789524899,11233.318214243662,8490.40548643623,2584673.005939912,310.990301374186,220601.64455605738,0.0,2.0040036088655224,0.5047028814111132,84.86890208886648,1240.1826446797766,30261.038620755957,36075.00672803661,1661898.9966423642,25281.809304434853,48962.799952503854,153730.95532734782,61848.80184091182
1995,610156.3966774784,583524.1240962758,1.1252037423108654,643325.6573770404,428129.8739467756,440349.2302908345,428487.38071397407,330220.36024406273,165386.8360289707,5.601131037434489,567514.3343042459,0.829792825947795,3.5377004762383613,132081.41311301116,0.29944439786926813,0.0,1451.9154075620297,131023.9969659193,66571.91332987833,40677.86674308901,11248.775178308035,8488.772791170757,2577741.74941654,310.990301374186,221167.52996538553,0.0,2.0040036088655224,0.5047028814111132,84.73832675346495,1255.2693058737354,30300.408021922012,37159.30350724472,1663845.5996147743,25347.592973167306,49219.44615337594,153585.97462141907,61848.80184091182
1996,610646.179650306,584450.9554033228,1.1252037423108654,645079.0851607652,428503.5408712062,439889.1028054676,429719.9071248984,329999.34663116944,165739.11102679637,5.601131037434489,567370.2703166383,0.829792825947795,3.5377004762383613,132184.2805353428,0.29944439786926813,0.0,1435.1756261265293,131237.3652147654,65723.42900629988,38617.21094849615,11238.713379686282,8486.86108195225,2574781.127393929,310.990301374186,221329.04541811906,0.0,2.0040036088655224,0.5047028814111132,84.73832675346495,1272.1314370103569,30337.271129504414,38260.62216153895,1663349.722152175,25361.108940107893,49363.187943902856,153886.96942876978,61848.80184091182
1997,611911.5447857261,585359.9553574218,1.1252037423108654,647369.0781047068,429544.2265483566,440040.0957299956,430556.4800965771,329376.12841875345,165917.19837124215,5.601131037434489,563975.3060151982,0.829792825947795,3.5377004762383613,132247.97171553315,0.29944439786926813,0.0,1410.9799172364897,131656.61464195396,65238.70622872416,37032.852939273274,11246.629315640444,8485.474217975883,2572527.7585839625,310.990301374186,221374.1634676765,0.0,2.0040036088655224,0.5047028814111132,84.80393874993544,1282.1417990426835,30353.095297434942,39332.79308570394,1663100.5058068538,25369.57700365475,49444.640545318405,154107.73718233686,61848.80184091182
1998,612552.9018122924,586971.0605468042,4.5755409983875275,648725.6078974771,430898.74453982204,440052.65904498077,430992.8450742534,328380.2181159133,166253.64802961017,5.601131037434489,560802.2791108908,0.829792825947795,3.5377004762383613,132291.79935233752,0.29944439786926813,0.0,1287.2286939697512,132133.22194962268,64674.130042062534,36112.365799597996,11253.49543006276,8486.345035434573,2572262.5340642333,310.990301374186,221586.72554757565,0.0,2.0040036088655224,0.5047028814111132,85.00045394415005,1297.109860403982,30402.5147724094,40432.257802824606,1661189.4375916822,25373.22214026497,49464.524304263454,154381.13176506181,61848.80184091182
1999,616782.0732290203,590260.7626949027,4.835694624980434,654087.3763876789,436770.10193588864,441858.8385271008,432401.1187272093,327527.45885191945,167304.58369360148,5.67341326395132,548296.3843169427,0.829792825947795,3.5377004762383613,132513.8380926162,0.29944439786926813,0.0,1200.5378584434854,134615.44965532614,62667.05789579873,32410.36936785917,11298.350124018316,8489.175497765505,2574113.833854456,310.990301374186,223468.51912928134,0.0,2.0763160364685005,0.5047028814111132,86.26354956678395,1355.5434709454166,30580.109040467254,41492.54911151355,1649711.3476351365,25370.630687265715,49462.161660189806,154218.16903460087,61848.80184091182
2000,618740.2581680191,592159.6673385515,4.835694624980434,655654.3591113542,439849.61740175285,439814.8182242765,434275.04769079055,327059.9989374307,168234.5612501526,5.67341326395132,544483.8091737591,0.829792825947795,3.5377004762383613,132722.71212703982,0.29944439786926813,0.0,1130.990237729461,136161.90158235218,61103.84730371564,29384.419904577077,11311.682197041886,8493.216369427691,2573289.030539962,310.990301374186,225771.06260920418,0.0,2.0763160364685005,0.5047028814111132,86.95262851510049,1385.9288293011782,30658.710084473532,42645.95285269563,1644707.1164784061,25358.767480327166,49456.90693928057,154401.26856937958,61848.80184091182
2001,618401.9204835086,592731.5625369739,5.244671162213708,656229.868062576,440786.3549321674,435984.2100738276,434553.02705403033,326837.3096312744,168990.00659896593,5.67341326395132,542343.3562204071,0.829792825947795,3.5377004762383613,133041.35838604675,0.29944439786926813,0.0,1117.0275197710307,137465.13415380608,59165.1753939977,27814.66345488546,11387.673330639103,8482.754475980877,2574031.577707745,310.990301374186,226024.14728790754,0.0,2.010418987510972,0.5047028814111132,87.58949089271567,1414.0334621119298,30999.979640925587,47410.17558654667,1644074.368364834,25372.452003397564,49494.11310047322,154102.42199633265,61848.80184091182
