year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,7173.458476178543,12491.746545169693,0.0,0.0,7237.75595635406,16799.45533876349,177250.61804595252,415.764633642969,0.0,31495.41783345806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19400.7494935633,5090.416521218723,11216.930065171728,0.0,0.0,8589.957771340823,0.0,0.8567430142085475,0.0,0.0,0.0,39325.399747352676,451.17549282069587,781.7476628604653,122.49889512171885,0.0,0.0,0.0,3443.804163373098,0.0
1993,7172.2221974527665,12491.746545169693,0.0,0.0,7237.66079505439,16799.45533876349,177250.61804595252,415.764633642969,0.0,31494.561445661715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19400.55897674114,5090.32135472226,11216.834897641958,0.0,0.0,8588.245871520097,0.0,0.8567430142085475,0.0,0.0,0.0,39325.30431929025,451.17549282069587,781.7476628604653,126.87490167505709,0.0,0.0,0.0,3443.804163373098,0.0
1994,7171.556335293615,12491.651128149542,0.0,0.0,7237.66079505439,16799.45533876349,177250.61804595252,415.764633642969,0.0,31494.180995726194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19400.55897674114,5090.225926298473,11216.644289742679,0.0,0.0,8587.104224634297,0.0,0.8567430142085475,0.0,0.0,0.0,39325.30431929025,451.17549282069587,781.7476628604653,129.44431399874938,0.0,0.0,0.0,3443.804163373098,0.0
1995,7222.285143782436,12528.367040013201,0.0,0.0,7263.928056260865,16191.551997423008,177388.85112004177,414.3394499126856,0.0,31460.335615433523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19457.127768433194,5153.440885603434,11260.762332522889,0.0,0.0,8780.650792334993,0.0,0.09517232533101196,0.0,0.0,0.0,39366.24159238573,451.26979126228866,776.0236329028725,130.49222805977922,0.0,0.0,0.0,3441.990766658585,0.0
1996,7231.61002116941,12533.232853718675,0.0,0.0,7269.448815538643,15892.928504628666,177603.8398035594,414.91256848192677,0.0,31461.959780938756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19467.333158177848,5154.013417943722,11267.434632469045,0.0,0.0,8778.26609036232,0.0,0.09517232533101196,0.0,0.0,0.0,39394.77072728002,451.36493937477826,782.8066143177061,132.2062163574161,0.0,0.0,0.0,3451.530068712926,0.0
1997,7314.972877157264,12559.937244436462,0.0,0.0,7304.482504068115,15649.192064547577,177579.82543376106,418.4407191531945,0.0,31469.69762966741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19509.783026745998,5154.871813535555,11293.531077193064,0.0,0.0,8769.678568061558,0.0,0.09517232533101196,0.0,0.0,0.0,39445.149564607505,452.7008405466015,779.2822159104189,133.54027225317057,0.0,0.0,0.0,3452.5723613864293,0.0
1998,7640.939559309221,12746.615467124991,0.0,0.0,7488.162722651819,15514.358855379907,176878.22952687964,424.25210032845615,0.0,31466.42196685394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19608.72325311272,5156.684755993093,11312.123238128537,0.0,0.0,8767.293533797243,0.0,0.09517232533101196,0.0,0.0,0.0,39447.15160422445,451.9369863726581,783.1960309481914,134.77951838003528,0.0,0.0,0.0,3466.7890935465375,0.0
1999,7771.471144738256,12883.78661731611,0.0,0.0,7671.202550323257,14490.665193482198,176296.4726392557,517.6428946099401,0.0,32155.953161098983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20001.55674783445,5149.34416770797,11351.57729916587,0.0,0.0,8669.194993697227,0.0,0.0,0.0,0.0,0.0,39479.684556315755,451.93684789888727,789.5981038996157,135.54169665488828,0.0,0.0,0.0,3472.124771357938,0.0
2000,7808.216417774989,12918.719879763728,0.0,0.0,7745.502319398185,12069.534808907847,176565.09831325014,609.2132792246208,0.0,33707.812970036386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20465.824254653868,5137.522657903779,11367.397027760033,0.0,0.0,8510.992105679774,0.0,0.0,0.0,0.0,0.0,39529.28267319011,452.41293479101734,779.3029437231227,137.1609864951527,0.0,0.0,0.0,3483.7598128038444,0.0
2001,7839.7528795596745,12930.07226418122,0.0,0.0,7803.8391477531195,10969.316787974802,176816.7602707259,442.19812206286247,0.0,34124.85111724679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20777.366535805308,5174.980304446938,11508.75629640333,0.0,0.0,8479.432540670317,0.0,0.0,0.0,0.0,0.0,39609.51811493792,454.50946959334516,730.259115232679,146.00893647221892,0.09543181528979264,0.0,0.0,3480.0360504746996,0.0
2002,7853.2786333435615,12988.829307055936,0.0,0.0,7852.46582049113,10563.54692107418,176750.97320345615,442.2912834177276,0.0,34372.19209915446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20894.238603643327,5174.312034173795,11531.811768289592,0.0,0.0,8445.98008763572,0.0,0.0,0.0,0.0,0.0,39614.86110701975,454.79598675151294,720.239778856207,152.95819298421816,0.2862821993504864,0.0,0.0,3474.6922758100973,0.0
2003,7858.799711547994,13004.44311121396,0.0,0.0,7874.09301094112,10215.344148240818,176843.86693301107,445.5389163974988,0.0,34495.69467439996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20966.046657280916,5174.3119108798055,11549.141181828343,0.0,0.0,8439.503514139145,0.0,0.0,0.0,0.0,0.0,39621.63315442233,455.27197465966793,718.4268250341523,159.14941469576985,0.2862821993504864,0.0,0.0,3466.2019644645034,0.0
2004,7864.793897063724,12994.895748722427,0.0,0.0,7902.570357748725,9385.984247279219,176996.34214952274,498.5942772301336,0.0,34940.665225982724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21191.48649385811,5165.162558777408,11537.716103970793,0.0,0.0,8403.374044297809,0.0,0.0,0.0,0.0,0.0,39624.97170557784,457.08447637107156,721.6721479437352,163.14872510658628,0.4771264891542649,0.0,0.0,3438.8140994141886,0.0
2005,7861.083597487327,13009.606012946457,0.0,0.0,7904.482182534923,9114.32294086655,177071.3938035073,498.78132883001507,0.0,35042.514746791065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21279.064346826784,5164.496775322267,11538.292241948322,0.0,0.0,8387.761395006451,0.0,0.0,0.0,0.0,0.0,39624.97173893229,457.5610513336364,722.6274557121358,178.56508118813724,0.4771264891542649,0.0,0.0,3431.751559633518,0.0
2006,7859.182020536111,13026.222313465505,0.0,0.0,7901.912878469772,8908.635153939817,177094.60352646382,506.02300129852006,0.0,35137.746058862496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21376.196902395364,5157.918253641282,11535.341321724849,0.0,0.0,8354.691160846316,0.0,0.0,0.0,0.0,0.0,39625.257770167715,457.27541801148647,724.2480411770357,190.74786412623754,0.4771264891542649,0.0,0.0,3431.2745737408186,0.0
2007,7858.800390281447,13000.212559812746,0.0,0.0,7901.1633786620905,8464.606672962951,177196.72821121107,516.794798564925,0.0,35333.652699235165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21569.8291221718,5148.771271291955,11532.86294605385,0.0,0.0,8331.157072803207,0.0,0.0,0.0,0.0,0.0,39626.40230515927,459.5627689226934,726.730110704881,198.55146479769402,0.6679495574744239,0.0,0.0,3421.259663163322,0.0
2008,7846.901967192915,12896.068062545253,0.0,0.0,7853.188691892469,7043.260450226849,177453.8667123915,673.3772579379606,0.0,36069.259058867596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22209.96961636153,5129.33102433108,11451.190393600034,0.0,0.0,8224.270842335935,0.0,0.0,0.0,0.0,0.0,39628.02437978189,461.944255383544,727.0158834748499,206.64272201430413,0.8588062475865751,0.0,0.0,3412.583260771432,0.0
2009,7840.137882974992,12884.394605170513,0.0,0.0,7834.414498076209,6543.290230206335,177506.88917711875,715.0018567331983,0.0,36319.37734792006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22464.779364227124,5115.992507455731,11419.572470812143,0.0,0.0,8207.800896772009,0.0,0.0,0.0,0.0,0.0,39630.12308546649,462.89792002871746,719.0042352461987,213.4009063492523,0.954217205095107,0.0,0.0,3409.722183593747,0.0
2010,7836.329760929557,12933.012904110039,0.0,0.0,7823.557108490806,6299.12683906023,177472.3106370544,726.8083243543387,0.0,36422.80075590529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22567.93366130061,5113.13345374752,11411.002456706985,0.0,0.0,8202.370941351606,0.0,0.0,0.0,0.0,0.0,39620.590836285264,451.84143854353056,720.056245292393,221.0145889473334,0.954217205095107,0.0,0.0,3464.9092160716623,0.0
2011,7834.329692029635,13010.569439223014,0.0,0.0,7820.241648544294,5882.304529501708,177387.8844119604,805.5598214671872,0.0,36733.58578223551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22723.913180889176,5074.06752774407,11375.102164744007,0.0,0.0,8165.7042760323575,0.0,0.0,0.0,0.0,0.0,39619.16057462683,451.6513723651132,709.9446910978004,226.6320948846889,0.954217205095107,0.0,0.0,3466.147960805745,0.0
2012,7832.901683440626,13335.300030285454,0.0,0.0,7847.633472848038,5842.401044363091,177045.48886420758,803.5371909118752,0.0,36746.038412443726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22758.716697652126,5064.725763106076,11368.344059968433,0.0,0.0,8155.889429289079,0.0,0.0,0.0,0.0,0.0,39618.30164265853,452.60438625708565,713.8573628063988,237.7705235426846,0.954217205095107,0.0,0.0,3463.2886043708927,0.0
2013,7829.665092104478,13360.503765002075,0.0,0.0,7843.065657422649,5666.26650387335,177017.71645352893,893.1565579719733,0.0,36896.05090252292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22879.34778361867,4954.485080329355,11321.31640671105,0.0,0.0,8132.553164717899,0.0,0.0,0.0,0.0,0.0,39616.67967403286,452.5087845943012,713.1900420816016,246.90910086629174,0.954217205095107,0.0,0.0,3463.384198773251,0.0
2014,7818.525401362421,13390.060773875208,0.0,0.0,7834.504201965314,5208.610108925152,176969.37342312586,1159.6043828974991,0.0,37287.603028759855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23147.479731986776,4714.980014143751,11194.881652762499,0.0,0.0,8060.984801617875,0.0,0.0,0.0,0.0,0.0,39613.43541067654,453.6539298784765,715.3872581955802,256.62102585928557,0.954217205095107,0.0,0.0,3461.0940221194383,0.0
2015,7817.477303798121,13389.965392904918,0.0,0.0,7833.171828954737,5208.228908499036,176969.37342312586,1159.6043828974991,0.0,37287.22233705083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23147.00357957983,4714.980014143751,11193.739185472321,0.0,0.0,8060.794204646677,0.0,0.0,0.0,0.0,0.0,39613.43541067654,453.6539298784765,715.3872581955802,261.76308663657096,0.954217205095107,0.0,0.0,3460.998921690796,0.0
