year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6315.153207207274,11509.988233946284,280.183899069851,115.6756041307821,4938.268783735071,859.3993623803151,0.0,19377.45672533565,71.42536013187632,0.0,1018.2533780312846,0.0,0.0,0.5544401390150511,0.0,0.0,2365.3587725384928,3335.4713068826986,24.68638740464555,908.4041456968506,0.0,0.0,2877.228458833328,0.0,110.56000164811529,0.0,0.0,0.0,0.0,0.0,289.8663390561624,436.45501870072576,1.8553741768652536,4.053761047756501,0.0,2593.852151817782,0.0
1993,6314.080064258859,11503.105382004473,280.11493216026446,115.6756041307821,4938.201962359155,859.2663519651585,0.0,19377.25640084697,71.42536013187632,0.0,1018.183907888454,0.0,0.0,0.5544401390150511,0.0,0.0,2365.3587725384928,3335.4048066531063,24.68638740464555,908.3351979770508,0.0,0.0,2877.0233702383844,0.0,110.36042796698693,0.0,0.0,0.0,0.0,0.0,289.8663390561624,445.62545431246804,1.8553741768652536,4.053761047756501,0.0,2593.716414653907,0.0
1994,6313.743770117705,11496.389165057228,280.04661451572474,115.6756041307821,4937.9987435968615,859.2663519651585,0.0,19377.05637221318,71.42536013187632,0.0,1018.183907888454,0.0,0.0,0.5544401390150511,0.0,0.0,2365.3587725384928,3335.335625850706,24.68638740464555,908.2662470592799,0.0,0.0,2876.8846305367656,0.0,110.15776130797535,0.0,0.0,0.0,0.0,0.0,289.8663390561624,453.7676433706053,1.8553741768652536,4.053761047756501,0.0,2593.57783980559,0.0
1995,6337.874242582133,11568.064067283833,280.1164770973115,115.6756041307821,4935.156894829728,779.0413585191623,0.0,19307.685416036384,71.55894341895885,0.0,1017.284956763042,0.0,0.0,0.5544401390150511,0.0,0.0,2368.332701591846,3368.268909039261,25.102760721781042,909.7286299587523,0.0,0.0,2890.3223528393096,0.0,108.78841726707488,0.0,0.0,0.0,0.0,0.0,288.5711026756436,464.0040372664324,1.8553741768652536,4.053761047756501,0.0,2592.1102645257333,0.0
1996,6347.421139573016,11593.297037984481,280.25637813217605,115.6756041307821,4936.201953555074,770.0292097103084,0.0,19269.54924723834,71.55894341895885,0.0,1021.076043894961,0.0,0.0,0.5544401390150511,0.0,0.0,2368.472536220879,3369.080241549638,25.102760721781042,909.9367338190901,0.0,0.0,2891.6215629981934,0.0,108.9966411258961,0.0,0.0,0.0,0.0,0.0,288.1650051856585,475.87996357452244,1.8553741768652536,4.053761047756501,0.0,2585.3661337134135,0.0
1997,6362.208729109306,11639.975826609047,280.74455731154336,115.6756041307821,4939.546762228623,740.8582379743933,0.0,19213.13947340211,71.69218260508313,0.0,1028.3852343936137,0.0,0.0,0.5544401390150511,0.0,0.0,2370.9677559426477,3371.797336720995,25.102760721781042,909.6592579786309,0.0,0.0,2891.546761772346,0.0,108.9294902162566,0.0,0.0,0.0,0.0,0.0,287.6346266986495,485.427218445258,1.8553741768652536,4.053761047756501,0.0,2584.395320286105,0.0
1998,6435.986533382551,11691.382636678876,280.6755935991174,115.53626480408965,4992.06815637326,727.3351637508862,0.0,18993.568039304802,71.69218260508313,0.0,1038.3617656367958,0.0,0.0,0.5544401390150511,0.0,0.0,2372.8985759890375,3390.6052442796104,26.11941924150865,908.0603665058836,0.0,0.0,2903.5721114865805,0.0,108.72291724323215,0.0,0.0,0.0,0.0,0.0,285.37388188480656,501.95656862484265,1.8553741768652536,4.053761047756501,0.0,2583.7717151561956,0.0
1999,6635.8296831106045,12052.338199987205,281.57722673653234,120.50997865004986,5124.088578429807,680.8122816453159,0.0,18231.199431774978,72.22587351273494,0.0,1060.942529047631,0.0,0.0,0.8337251210928769,0.0,0.0,2377.2204464212514,3440.564591461737,27.942853156565306,905.2689452389578,0.0,0.0,2928.576989679931,0.0,110.57810481254124,0.0,0.0,0.0,0.0,0.0,280.8814062729656,517.3381874199623,1.8553741768652536,4.053761047756501,0.0,2579.5125442062945,0.0
2000,6719.015322307061,12107.582539747198,281.36684237995064,120.50997865004986,5233.409506832173,675.1153990208754,0.0,17931.00659987854,72.55803580225158,0.0,1058.2187284484262,0.0,0.0,0.8337251210928769,0.0,0.0,2376.871026363045,3465.0334789965236,29.011423646760516,905.7397086847072,0.0,0.0,2941.606837340523,0.0,111.19484771251702,0.0,0.0,0.0,0.0,0.0,281.0839451843354,533.1924901287844,1.8553741768652536,4.053761047756501,0.0,2584.8911404413566,0.0
2001,6738.695491873599,12103.53759410462,281.43459875895053,120.50997865004986,5239.873175279232,574.1350177007331,0.0,17918.299038424208,73.89756691855372,0.0,1062.2352919419645,0.0,0.0,0.8337251210928769,0.0,0.0,2380.381211359498,3508.38042731879,29.784666662510517,906.3508092945626,0.0,0.0,2943.5238502925463,0.0,111.26325386823241,0.0,0.0,0.0,0.0,0.0,281.41922228877837,569.1552192708608,1.8553741768652536,4.053761047756501,0.0,2584.531437557396,0.0
