year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,119961.19480942863,2815.086407965103,0.0,222.2696648380029,22023.610059880913,16523.933877313862,24448.13446175879,603.7176910796446,0.0,100865.16232215396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.41801135873436,3.7005913616480766,33449.82221950876,0.0,2809.1046870603823,32.939597744443404,0.0,0.2850785500639964,0.0,0.0,0.0,31.932486875205147,133.06863122851212,133.51917679242976,842.7290690257485,0.8538110415845149,0.0,0.0,5981.73875807175,0.0
1993,119951.23137484082,2814.9913500375437,0.0,222.2696648380029,22022.47309229999,16523.744708126727,24447.849418044843,603.7176910796446,0.0,100865.06728622572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0378739672434,3.7005913616480766,33448.87416139978,0.0,2809.1046870603823,32.085245650180866,0.0,0.2850785500639964,0.0,0.0,0.0,31.932486875205147,132.87855306965847,133.42414932895105,857.5313942860383,0.8538110415845149,0.0,0.0,5981.168794954094,0.0
1994,119939.37096497991,2814.8016777886096,0.0,222.2696648380029,22021.714540878842,16523.555335419256,24447.754388032536,603.7176910796446,0.0,100864.78262951704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.9428524821576,3.4154928601904277,33448.39984782446,0.0,2809.1046870603823,31.51505675437116,0.0,0.2850785500639964,0.0,0.0,0.0,31.932486875205147,132.7835158794428,133.42414932895105,872.4287468933051,0.8538110415845149,0.0,0.0,5981.168794954094,0.0
1995,121507.88648387826,2860.1739340285717,0.0,223.68500449528986,22295.45100834392,16451.293032433536,22672.027937232153,471.1669397224,0.0,100924.98324222461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.84817165060514,3.3204611531293065,33451.432127866035,0.0,2809.1046055835,30.85007872751825,0.0,0.2850785500639964,0.0,0.0,0.0,31.932486875205147,130.60272390453343,105.53894263546552,885.9984056747185,0.8538110415845149,0.0,0.0,6026.786937016795,0.0
1996,121726.78125809859,2884.5158603864024,0.0,225.47793461707974,22384.44445971959,16419.07195080925,22339.298166451776,462.8229844376265,0.0,101302.62875694614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0198105590778,3.3204611531293065,33071.107521006015,0.0,2801.3735552420453,29.616944784837873,0.0,0.2850785500639964,0.0,0.0,0.0,30.792136729339962,130.69737096674513,79.25747248717703,898.3341055013731,0.8538110415845149,0.0,0.0,6090.521773550133,0.0
1997,122338.11489415956,2925.585624072785,0.0,231.42204382169112,22581.277297522927,16436.6773102015,21538.396189811512,435.19959378773177,0.0,101627.55749742665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.77493914082015,3.3204611531293065,32686.385437020213,0.0,2788.657538668918,29.426866679524334,0.0,0.2850785500639964,0.0,0.0,0.0,28.41639213958265,130.12580467120335,60.47979108326527,912.8416510292302,0.8538110415845149,0.0,0.0,6125.423191056126,0.0
1998,122634.80475055218,2985.1282593629767,0.0,233.87637022145373,22757.05959792909,16479.15899914288,20973.14589467221,469.32656701434587,0.0,102132.28125671687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.8591590420056,3.3204611531293065,32125.807022947058,0.0,2775.6623352858774,28.857703730282527,0.0,0.2850785500639964,0.0,0.0,0.0,27.560252706262283,123.3701066125741,52.61036974857414,932.5667187430072,0.8538110415845149,0.0,0.0,6140.686697865519,0.0
1999,122774.01528543564,3004.752063424059,0.0,244.06575877911985,22863.294305250896,16439.010250421477,20905.95402335197,653.6117013364482,0.0,103661.98068085618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.33301756226433,3.3204611531293065,30261.717148989395,0.0,2721.789357406873,28.47867229246145,0.0,0.2850785500639964,0.0,0.0,0.0,27.083007265618335,124.31844576546688,29.49854393365367,949.4448673671724,0.8538110415845149,0.0,0.0,6172.414932854468,0.0
2000,123187.72909586642,3260.068928932572,0.0,245.57286327475504,23243.96157936279,16511.78586959305,19847.88609535223,825.2913861604798,0.0,104908.56267388334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.9050459247554,3.3204611531293065,28758.90853899234,0.0,2683.1809825249634,28.28915957164708,0.0,0.2850785500639964,0.0,0.0,0.0,23.468387673750858,124.88737508289522,25.133546527563723,974.7648224039146,0.8538110415845149,0.0,0.0,6206.365711165839,0.0
2001,123347.86213860521,3394.880612557883,0.0,247.17644081613855,23415.804353660384,16536.255774273646,19472.966054377714,837.9546334422976,0.0,105249.78746953266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.3279706205158,3.130813329271801,28240.71933454786,0.0,2671.2160461823396,22.023747620593333,0.0,0.0,0.0,0.0,0.0,20.90097306921101,128.40356270774873,23.517573082153795,1034.9454858921417,0.8538110415845149,0.0,0.0,6205.494617678822,0.0
2002,123398.56121879743,3424.162966400889,0.0,247.83581255050723,23460.027392565353,16539.877269713965,19392.641095086048,854.6641632105491,0.0,105505.8525388206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.36407233541155,3.130813329271801,27895.663801362993,0.0,2665.468074756932,21.169462576830522,0.0,0.0,0.0,0.0,0.0,20.90097306921101,129.73279734554535,23.32745559126146,1069.3774521693902,0.8538110415845149,0.0,0.0,6199.610242314256,0.0
2003,123494.21664633272,3504.316633416402,0.0,248.11779634055063,23536.839260634242,16540.975615488802,19176.30164145316,861.1497071418153,0.0,105668.71537433278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.59245739769875,3.130813329271801,27667.607221595037,0.0,2662.544380274736,20.03239297029249,0.0,0.0,0.0,0.0,0.0,20.90097306921101,130.7782513145673,18.194866280089656,1104.180799793288,0.8538110415845149,0.0,0.0,6192.772770831868,0.0
2004,123564.03453274517,3617.9983035907976,0.0,250.0975631074703,23637.042586453772,16526.04357001834,18964.603270305663,935.9134476409256,0.0,106044.3958271124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.65616325673466,3.130813329271801,27148.31667965026,0.0,2652.3540267706553,19.179090119261094,0.0,0.0,0.0,0.0,0.0,19.189311979199417,132.2047106693852,17.434413389473605,1132.1465005436212,0.0,0.0,0.0,6183.480602355697,0.0
