year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6826.610480994115,2004.7705094940293,5.782240938551897,0.0,4947.947343902411,5041.423666749979,14907.571223985262,701.8365434944507,0.0,0.0,246.79126477795452,0.0,0.0,0.44879847579461674,0.0,0.0,2657.4644903265344,534.2885708124903,86.31566920803931,24.905612044757362,0.0,0.18119194323136437,5290.4262639773015,0.0,16.94185760154574,0.0,0.0,0.0,36.515249820029865,121.27763461279136,1992.1284807863055,369.40544938159934,4.597398982713542,0.0,0.0,2500.6670055123136,0.0
1993,6818.297032320047,2004.5895089867438,5.511991221339653,0.0,4945.597773648633,5041.152727482028,14907.028925610392,701.8365434944507,0.0,0.0,246.79126477795452,0.0,0.0,0.44879847579461674,0.0,0.0,2656.7445315345985,534.2885708124903,86.31566920803931,24.905612044757362,0.0,0.18119194323136437,5287.442149126773,0.0,16.851353661681447,0.0,0.0,0.0,36.515249820029865,121.27763461279136,1990.9533319928962,386.6647569687849,4.597398982713542,0.0,0.0,2500.3049310960364,0.0
1994,6812.790375906615,2004.4994518011388,5.511991221339653,0.0,4944.062350236892,5040.972623901761,14906.577553012834,701.8365434944507,0.0,0.0,246.79126477795452,0.0,0.0,0.44879847579461674,0.0,0.0,2656.474867971677,534.2885708124903,86.31566920803931,24.905612044757362,0.0,0.18119194323136437,5285.271135212766,0.0,16.851353661681447,0.0,0.0,0.0,36.515249820029865,121.27763461279136,1989.9588981594063,397.8634814678036,4.597398982713542,0.0,0.0,2500.3049310960364,0.0
1995,6852.804126695082,2009.4547588670653,5.331544440153571,0.0,4958.853688110851,5006.76922130151,14806.080395340534,743.9879972321206,0.0,0.0,246.79126477795452,0.0,0.0,0.44879847579461674,0.0,0.0,2654.5001936264484,536.0940773665196,86.31566920803931,24.905612044757362,0.0,0.18119194323136437,5309.640319799579,0.0,18.299382937493398,0.0,0.0,0.0,36.60549519220893,122.62953423336458,1986.2619329598408,409.61067778289396,4.597398982713542,0.0,0.0,2498.1336665040553,0.0
1996,6856.60213304679,2010.5399800615771,5.059985698032689,0.0,4954.241921046791,4982.105066554693,14802.950281582833,748.7613031979303,0.0,0.0,246.79126477795452,0.0,0.0,0.44879847579461674,0.0,0.0,2659.0861872518453,537.7214401302292,86.31566920803931,24.905612044757362,0.0,0.18119194323136437,5313.792215037222,0.0,18.208842375730786,0.0,0.0,0.0,36.78509077896785,123.17052331858577,1985.2666437197279,419.4591755771003,4.597398982713542,0.0,0.0,2501.306223011666,0.0
1997,6856.239204595887,2011.887427530865,4.788377217184596,0.0,4953.9492785817965,4954.408015315011,14807.407843536053,752.2732104053972,0.0,0.0,247.0624964862793,0.0,0.0,0.44879847579461674,0.0,0.0,2658.6299759291524,540.9822833385489,86.5875471429214,24.905612044757362,0.0,0.18119194323136437,5321.1681317743505,0.0,18.02762804219194,0.0,0.0,0.0,37.05634469435734,123.26093882415643,1983.729752820215,429.4000013673783,3.511114199169002,0.0,0.0,2502.391773557511,0.0
1998,6853.97795107191,2012.5182015218834,4.6985974269923005,0.0,4935.985056864874,4927.210798554058,14824.329451737092,752.633788305029,0.0,0.0,247.9661172070674,0.0,0.0,0.44879847579461674,0.0,0.0,2662.946384566361,543.9698807685251,86.5875471429214,24.905612044757362,0.0,0.18119194323136437,5331.808135529416,0.0,18.027636820435845,0.0,0.0,0.0,37.59621178190382,123.44156902740818,1980.3865852964666,441.23867861478897,3.511114199169002,0.0,0.0,2503.927638922121,0.0
1999,6836.35455483287,2011.6136489163657,4.6985974269923005,0.0,4838.107878789643,4545.911641450875,15228.331764902228,754.6225888676962,0.0,0.0,248.41771172499844,0.0,0.0,0.26928128544473345,0.0,0.0,2705.885527809006,585.1324018693294,86.40644848078492,24.905612044757362,0.0,0.18119194323136437,5323.349954023904,0.0,17.937200611637863,0.0,0.0,0.0,41.01748642202013,126.59223424190228,1973.426653082968,453.35054001793515,3.4210892069098895,0.0,0.0,2508.362939870716,0.0
2000,6825.514344538471,2010.9794362998496,4.518294636630736,0.0,4746.5102905049325,4334.246710411367,15523.620349676034,755.0731983824163,0.0,0.0,248.41771172499844,0.0,0.0,0.26928128544473345,0.0,0.0,2712.932988333889,593.1922871190693,86.31588455156752,24.905612044757362,0.0,0.18119194323136437,5321.371320146857,0.0,17.665045336985774,0.0,0.0,0.0,41.740256921796316,127.31602202723161,1965.6542497084479,466.26876517668995,3.4210892069098895,0.0,0.0,2508.1826178446395,0.0
2001,6792.959448895929,2011.8868181860084,4.4284991705219126,0.0,4666.540693050148,4153.1917646282955,15779.726229740256,755.7117683063315,0.0,0.0,250.40726879161664,0.0,0.0,0.3597219251560452,0.0,0.0,2728.8314190579304,603.6857055455687,84.86845836731773,24.905612044757362,0.0,0.18119194323136437,5309.700680585886,0.0,17.303210584252145,0.0,0.0,0.0,43.18503745118043,128.58281986543693,1952.2814333373035,497.2367562607338,3.4210892069098895,0.0,0.0,2508.9013208774422,0.0
2002,6780.063598282839,2012.2474583094656,4.24818070424382,0.0,4628.571581313612,4078.734704992412,15874.730227168086,752.1119454646702,0.0,0.0,250.58810128257844,0.0,0.0,0.3597219251560452,0.0,0.0,2732.3447986140527,614.093223395919,82.69181174904492,24.905612044757362,0.0,0.18119194323136437,5307.694469235067,0.0,17.303210584252145,0.0,0.0,0.0,43.72783209723865,135.07296954006944,1946.8555043427132,525.7595592934115,3.4210892069098895,0.0,0.0,2502.5901563324815,0.0
2003,6735.076382308258,2013.7014801251064,4.431185273116662,0.0,4548.0016667911805,3885.34797336421,16166.552373111168,750.8481878395863,0.0,0.0,251.03960574844464,0.0,0.0,0.3597219251560452,0.0,0.0,2751.3360541739758,630.0200031213782,80.69841709496875,25.08668146602335,0.0,0.18119194323136437,5287.725151128341,0.0,17.303210584252145,0.0,0.0,0.0,44.99401786142267,136.1594452478462,1940.6201468222025,542.8933264228799,3.4210892069098895,0.0,0.0,2502.499636262559,0.0
2004,6736.856174554307,2020.221659382559,4.341711286027014,0.0,4418.931756463481,3393.924243878007,16631.5880947111,752.380309127675,0.0,0.0,251.40206227538172,0.0,0.0,0.3597219251560452,0.0,0.0,2811.4221676958887,786.0742303111814,72.00209115341187,24.636790343681902,0.0,0.18119194323136437,5214.092775468839,0.0,17.484758445897256,0.0,0.0,0.0,48.8778464792032,137.06150883200917,1934.655255935164,555.7005536116702,3.4210892069098895,0.0,0.0,2502.6809547914418,0.0
