year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,865.5359256994709,9769.008749954583,24.67270589564497,33907.29465971539,527.0710995892294,46.06849241183551,0.0,2.556673562438558,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,23.761167274562403,0.0,967.9057114718213,0.0,94.70285902797683,0.3533741623228348,0.0,13958.772327899414,0.0,27.775302665656554,10.71664700642571,0.0,2.045392388173753,10566.663332727767,1041.146122077194,900940.0341535773,5805.996610531656,2968.6785605824134,17789.986844236897,0.0
1993,863.3259243566285,9768.921894376104,24.67270589564497,33903.74949637699,527.0710995892294,45.57345302334164,0.0,2.556673562438558,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,23.761167274562403,0.0,967.9057114718213,0.0,92.97035616165984,0.3533741623228348,0.0,13954.155981185131,0.0,27.686827607334898,10.71664700642571,0.0,1.9637095265511404,10566.50033416686,1057.321958698704,900937.1244663588,5805.913776243824,2968.6785605824134,17789.822594831392,0.0
1994,861.3565251932093,9768.756418751236,24.67270589564497,33899.375189871396,527.0710995892294,45.07794083927634,0.0,2.474063046418723,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,23.761167274562403,0.0,967.9057114718213,0.0,91.5683092323472,0.3533741623228348,0.0,13949.37231767699,0.0,27.686827607334898,10.71664700642571,0.0,1.9637095265511404,10566.17391959358,1074.2447625009868,900934.1276976961,5805.913776243824,2968.6785605824134,17789.4959886964,0.0
1995,805.6642876348402,9830.382918680334,26.237043744052425,34325.227229749646,518.3177268397328,44.10577452892518,0.0,2.474063046418723,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,3.826445580287692,0.0,955.6497474523729,0.0,89.83693777778824,0.3533741623228348,0.0,13890.168554656728,0.0,27.598368164236305,10.71664700642571,0.0,1.9637095265511404,10507.975295658125,1092.8739427391795,900687.129965126,5807.569584080651,2969.4273589402947,17743.24773736205,0.0
1996,796.7692655771564,9858.111877218844,26.730585591060613,34393.26950540619,518.3182939790962,43.938018587191685,0.0,2.474063046418723,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,2.6590616752531044,0.0,958.7607940365239,0.0,88.34956883270785,0.3533741623228348,0.0,13881.598367825976,0.0,27.598368164236305,10.71664700642571,0.0,1.9637095265511404,10494.997714045052,1114.34424021622,900623.7523708711,5811.546100528939,2970.365102573826,17714.129683585037,0.0
1997,791.2085976915438,9901.537383685798,27.059100187571918,34474.47224912768,518.2351123031714,43.52271010824012,0.0,2.474063046418723,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,2.6590616752531044,0.0,960.5744676273165,0.0,87.26698766755511,0.3533741623228348,0.0,13870.647789086426,0.0,27.421438864147696,10.71664700642571,0.0,1.9637095265511404,10489.226651045588,1141.0516687276322,900501.1473822978,5811.61398758153,2971.9210486052816,17705.67328243184,0.0
1998,781.6324931256798,9936.8630720495,27.059100187571918,34495.06814509785,518.0707042846565,43.19284422919076,0.0,2.474063046418723,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,2.6590616752531044,0.0,964.035216345509,0.0,85.28406141718435,0.3533741623228348,0.0,13864.607768227417,0.0,27.156098744919085,10.71664700642571,0.0,2.2903045275244587,10473.040253145235,1188.0604241056296,900452.9979418969,5811.624919762881,2972.0029483825037,17681.55727103541,0.0
1999,773.331209529555,10016.416576313311,27.059100187571918,34529.26494169179,517.9018312642391,42.36683436891658,0.0,2.474063046418723,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,2.1261590125470984,0.0,963.6353386025675,0.0,85.72053809697329,0.3533741623228348,0.0,13861.268195598093,0.0,27.06765493388447,10.71664700642571,0.0,2.2903045275244587,10465.552054435047,1223.4481511539773,899732.4408703774,5811.203458665445,2971.838696811176,18274.27071267149,0.0
2000,767.9404271639801,10157.101173333975,28.292890971766308,34627.34703798323,518.0683929612977,42.201822199996,0.0,2.474063046418723,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,2.1261590125470984,0.0,963.3160983806878,0.0,84.756803465356,0.3533741623228348,0.0,13856.247790657262,0.0,27.06765493388447,10.71664700642571,0.0,2.2903045275244587,10464.534271497705,1260.6481249444562,899418.9922880405,5810.542596062988,2971.756932718437,18323.97185938583,0.0
2001,729.3870186481486,10168.760749294222,30.18439150313331,34645.668892660666,517.6528913815151,40.0635651909166,0.0,2.474063046418723,0.0,0.0,0.0,0.0,0.0,0.3295092855990992,0.0,0.0,0.0,1.8810602021094742,0.0,952.0014872836599,0.0,67.08034984801458,0.3533741623228348,0.0,13784.733894827523,0.0,27.06765493388447,10.71664700642571,0.0,1.7982726387201018,10477.82420432404,1409.0294479794013,898541.2861094155,5808.314038095236,2972.240725372499,19152.227874642358,0.0
