year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,10343.045847199639,241.08024154810738,0.0,1206.6767206794789,4329.405025742321,8337.286145468412,16.166692969092242,3.2335508692968356,0.0,105.30898178048078,394.3878364827529,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2145.125274291621,5512.728193546901,13198.283869215933,0.0,158.27717253686544,17718.32947250982,0.0,6430.233663214504,0.0,10.548772749242245,6.349780164995297,0.0,44.79125737399684,101.41542449081545,93.16750308639398,45342.128595183654,2050.8602613142903,55.52617810823421,1873.934292291359,0.0
1993,10343.045847199639,241.08024154810738,0.0,1206.2174573526145,4329.405025742321,8337.286145468412,16.166692969092242,3.2335508692968356,0.0,105.30898178048078,394.3878364827529,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2145.125274291621,5512.728193546901,13198.283869215933,0.0,158.27717253686544,17718.32947250982,0.0,6430.233663214504,0.0,10.548772749242245,6.349780164995297,0.0,44.79125737399684,101.41542449081545,93.62676641325827,45342.128595183654,2050.8602613142903,55.52617810823421,1873.934292291359,0.0
1994,10343.045847199639,241.08024154810738,0.0,1204.839651524906,4329.405025742321,8337.286145468412,16.166692969092242,3.2335508692968356,0.0,105.30898178048078,394.3878364827529,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2145.125274291621,5512.728193546901,13198.283869215933,0.0,158.27717253686544,17718.054218884958,0.0,6430.233663214504,0.0,10.548772749242245,6.349780164995297,0.0,44.79125737399684,101.41542449081545,95.64756091156544,45341.85276966621,2050.8602613142903,55.52617810823421,1873.842382763068,0.0
1995,10352.734673410225,251.51870985460243,0.0,1203.4604364373583,4298.771210252155,8328.00232161585,16.166692969092242,3.2335508692968356,0.0,105.30898178048078,394.2958674242703,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2145.125274291621,5505.3398848959905,13172.143875531194,0.0,158.27717253686544,17682.8971500668,0.0,6438.581539123071,0.0,10.548772749242245,6.349780164995297,0.0,44.79125737399684,101.41542449081545,99.05062430248104,45411.75754868505,2070.0171711314433,55.52617810823421,1862.9766547530955,0.0
1996,10355.594473681922,251.6110909492905,0.0,1201.3463194749731,4276.853158329147,8327.26466434658,16.166692969092242,3.2335508692968356,0.0,105.30898178048078,394.2958674242703,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2145.033693254787,5503.654815125435,13169.190005312514,0.0,158.27717253686544,17681.819434013778,0.0,6442.522923151524,0.0,10.548772749242245,6.349780164995297,0.0,44.97541482670089,101.41542449081545,103.64583601472829,45432.23353813463,2082.1715341781214,55.52617810823421,1849.2514309307708,0.0
1997,10362.159856517961,251.42794366453677,0.0,1198.4967337042265,4276.394490360758,8327.081268552489,16.166692969092242,3.2335508692968356,0.0,105.30898178048078,394.2958674242703,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2145.033693254787,5498.467973136197,13161.155697014216,0.0,158.27717253686544,17676.07680004565,0.0,6446.55454719155,0.0,10.548772749242245,6.349780164995297,0.0,44.97541482670089,101.41542449081545,110.25679186110325,45435.20206526508,2085.6448031300183,55.52617810823421,1848.2402531996058,0.0
1998,10375.835370160064,253.73881742365103,0.0,1193.16243078122,4271.235417500668,8325.424623838064,16.166692969092242,3.2335508692968356,0.0,105.30898178048078,394.2958674242703,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2144.9415281623105,5492.744817354826,13142.50027776707,0.0,157.81543462296713,17643.877749688116,0.0,6457.989585715152,0.0,10.548772749242245,6.349780164995297,0.0,45.62005517676176,101.41542449081545,121.10052695440923,45446.88984369844,2090.4123164846305,55.802451331266184,1861.8804357103504,0.0
1999,10393.642119431363,256.32581103913014,0.0,1192.794735718062,4213.2936317987605,8298.527122974896,16.166692969092242,3.2335508692968356,0.0,105.30898178048078,394.2958674242703,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2144.7579808452992,5527.141277976794,13124.297963306506,0.0,157.81543462296713,17750.386483308506,0.0,6484.258281339337,0.0,11.191693258336958,7.08579744997026,0.0,49.028339044355604,101.59956126135216,129.82700797185623,45304.38289478835,2113.464978612604,56.815356243346415,1882.6491887832851,0.0
2000,10393.550346535429,256.9742399705369,0.0,1189.3910016839832,4195.138550625841,8282.311693532765,16.166692969092242,3.2335508692968356,0.0,105.30898178048078,394.2958674242703,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2144.573995131032,5551.279006139239,13121.717399622592,0.0,157.72301419729317,17869.11877329752,0.0,6758.146199327801,0.0,12.751107912682228,7.08579744997026,0.0,48.657214731812964,101.78374543209888,139.38394547813775,44888.38506675818,2120.202725440651,56.815356243346415,1904.296480264142,0.0
2001,10413.14097517945,260.48701530184104,0.0,1190.5867862171408,4194.219851587056,8296.74089574498,16.166692969092242,0.0,0.0,105.30898178048078,394.2958674242703,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2141.817240972952,5594.736684272489,13100.912083266103,0.0,157.53818719079487,17906.84192624218,0.0,6807.236784889229,0.0,13.575892024551266,7.08579744997026,0.0,48.657214731812964,101.78374543209888,139.38394547813775,44742.71569704752,2123.114833296783,56.815356243346415,1905.1282980759254,0.0
2002,10420.1484236544,263.71777686180906,0.0,1191.3226342514206,4195.967445083392,8300.960154196559,16.166692969092242,0.0,0.0,105.30898178048078,394.2958674242703,0.0,0.0,0.0,0.0,0.0,22.946196468709285,2140.360003332497,5607.587314023776,13092.224336503827,0.0,157.53818719079487,17910.406734435823,0.0,6822.715035398151,0.0,13.94278213335458,7.08579744997026,0.0,48.657214731812964,101.78374543209888,139.38394547813775,44705.052782076906,2122.556151021191,56.815356243346415,1904.2933911451216,0.0
