year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,36628.30588096392,186885.71320340838,13798.831262113947,450.655736774264,40929.19703054504,6108.982092876791,0.0,74316.4957320525,42.55108049292266,0.0,42896.93818670085,3.371486678881359,0.0,52.84799946172303,0.0,0.0,14839.667668780887,17418.786819444733,1600.6013906519488,2710.5845780074233,0.0,1.7007930696390448,85063.61760217875,0.0,2617.1327862049784,0.0,0.0,0.0,0.0,0.0,1667.908221398368,8386.116744952664,1359.2732732691852,792.7884078645333,42.491302306972855,19588.30558508932,151.45007401633333
1993,36605.16417752083,186745.90847655322,13794.336349559786,450.655736774264,40927.509955667076,6104.484936157692,0.0,74308.2045398358,42.55108049292266,0.0,42893.151283238636,3.3011160062078826,0.0,52.7872206235558,0.0,0.0,14839.073976513704,17417.76033976539,1600.6013906519488,2710.168675151668,0.0,1.7007930696390448,85056.40128647679,0.0,2612.1792557689364,0.0,0.0,0.0,0.0,0.0,1665.7299554013775,8590.597422151433,1358.8026243411482,792.7223069635139,42.426541792064555,19586.645424811202,151.45007401633333
1994,36584.78495832376,186598.8221966455,13789.316994417264,450.655736774264,40925.91862032205,6101.80145128838,0.0,74301.18535174898,42.55108049292266,0.0,42888.831142204144,3.3011160062078826,0.0,52.7872206235558,0.0,0.0,14839.007768908501,17416.787846306088,1600.6013906519488,2709.4057963425485,0.0,1.7007930696390448,85048.39368200481,0.0,2607.0162278124494,0.0,0.0,0.0,0.0,0.0,1664.2503567412643,8797.14556273717,1358.526545047647,792.7223069635139,42.358645459776696,19584.992074396585,151.45007401633333
1995,36703.93429491433,186814.5404194864,13888.993837537924,450.79664051029374,40965.6676789537,5352.650495059934,0.0,73733.7130207172,42.8156668702705,0.0,42701.003590455024,3.3011160062078826,0.0,52.7872206235558,0.0,0.0,15049.431728615118,17560.799526202423,1619.1372292408528,2737.2327970916413,0.0,1.7007930696390448,85461.5771023122,0.0,2598.1333174146253,0.0,0.0,0.0,0.0,0.0,1661.6862555338457,9015.031884928758,1362.6401352782975,795.0587304924251,42.29074262687163,19587.94064134657,151.45007401633333
1996,36708.49660088579,186730.61053630864,13891.113266951608,450.6581483132405,40905.19700582929,4694.493970768731,0.0,74006.73331881776,43.14855651963686,0.0,42484.49509017074,3.3011160062078826,0.0,52.85089627283722,0.0,0.0,15211.744132588257,17652.9542147226,1629.3802780490648,2739.88966512877,0.0,1.7007930696390448,85529.73475076239,0.0,2688.1787060005795,0.0,0.0,0.0,0.0,0.0,1659.748506470718,9238.930724427051,1423.8432272286623,807.8493054629406,42.35812982410333,19605.45392470897,151.45007401633333
1997,36704.82241269521,186624.2619028113,13888.24258928541,450.6581483132405,40891.149540146725,4197.43343479268,0.0,74159.71724367815,43.14855651963686,0.0,42476.55195745632,3.3011160062078826,0.0,52.980238795320425,0.0,0.0,15310.106145970823,17719.74566499352,1635.7903858699792,2743.266272497648,0.0,1.7007930696390448,85599.38299906389,0.0,2694.4466972993696,0.0,0.0,0.0,0.0,0.0,1658.6090395526792,9461.472089187111,1428.4691574082076,810.9249273110731,42.503749823225036,19604.179802740535,151.45007401633333
1998,36843.9348557181,186605.7984329165,13925.892567542593,450.6581483132405,40946.36672656342,4134.299724344029,0.0,73466.69255596581,43.14855651963686,0.0,41837.02459162585,3.230832902679051,0.0,53.04373849672865,0.0,0.0,15332.636338948842,17894.854718772098,1687.5031271319717,2794.2293215734476,0.0,1.7007930696390448,86185.75282136061,0.0,2721.5282341303046,0.0,0.0,0.0,0.0,0.0,1659.1806970824102,9722.728020142667,1431.8167100203661,813.4382097220149,42.503749823225036,19604.901392602176,151.45007401633333
1999,37045.25572925443,186678.11022545816,13975.763470240476,451.6798528104411,41124.56326303899,3783.2601424035406,0.0,72193.62871471008,43.269497140696835,0.0,41123.254362656786,3.230832902679051,0.0,52.98038052878408,0.0,0.0,15458.23604597563,18107.592642735755,1704.283686457581,2864.8159926054154,0.0,1.7007930696390448,87261.85993066958,0.0,2759.1780941441234,0.0,0.0,0.0,0.0,0.0,1660.3183722397239,9992.22847504603,1447.2134889573315,826.0868859576386,43.07235761664384,19601.281628667864,151.45007401633333
2000,37151.32628492791,186570.6886517458,14000.740861281047,452.29185353818156,41135.52716662522,3737.6679769917737,0.0,71963.70155851137,43.13447399201438,0.0,40385.98090061255,3.230832902679051,0.0,53.046611245220056,0.0,0.0,15455.470589359318,18409.628735357423,1724.455315090726,2899.6328964008785,0.0,1.9134111790324262,87597.66863432385,0.0,2766.305938642757,0.0,0.0,0.0,0.0,0.0,1658.3317837195757,10268.881245339393,1449.9713795623682,829.0880830963382,42.936516195133194,19601.24316464717,151.45007401633333
2001,37110.876422176305,185962.54090432375,13990.043906117597,453.8657134525257,41244.18685661963,3627.881598422118,0.0,71639.26974767132,42.99679595193039,0.0,40062.0129081975,3.230832902679051,0.0,52.678460404409144,0.0,0.0,15466.778119615388,18578.215984441344,1729.040967896825,2928.009380265703,0.0,1.9134111790324262,87720.33282497952,0.0,2756.0527283141246,0.0,0.0,0.0,0.0,0.0,1658.3005640043998,11256.461039743694,1450.0311942154449,830.4739345708382,43.14759382183521,19594.52297600071,151.45007401633333
2002,37065.351649917924,185151.58810803606,13976.535317382131,454.00291727421745,41292.13004244544,3618.456338800709,0.0,71331.47907106037,42.99679595193039,0.0,39866.578644876725,3.230832902679051,0.0,52.61613655132705,0.0,0.0,15459.817004968834,18733.007839711776,1738.3347919094267,2932.278022321753,0.0,1.9134111790324262,87819.47747417678,0.0,2741.0474028591334,0.0,0.0,0.0,0.0,0.0,1653.2732522629108,12355.343868341768,1447.3312618041625,830.8152771186707,43.14759382183521,19592.111809613012,151.45007401633333
2003,37014.93934801187,184087.63328621615,13958.665362645372,454.13920320316294,41341.16398003046,3605.393134347346,0.0,70949.88733594168,42.85986357714631,0.0,39742.15747745503,3.230832902679051,0.0,52.6229720536867,0.0,0.0,15448.59871151904,18886.100634551927,1747.8709184063584,2936.796907267727,0.0,1.9134111790324262,87925.08811096913,0.0,2733.288519834902,0.0,0.0,0.0,0.0,0.0,1647.4837092211992,13713.493772452955,1444.1421563792599,831.1664671969908,43.14759382183521,19591.081156103337,151.45007401633333
