year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6504.095448193051,132.56559983387467,0.0,209.39398765942298,1095.7514267335973,556.494937390923,1.3921774574420005,76.07879416642139,0.0,834.5037804498025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.842915077521663,3.0641419902569647,1679.3939796438049,0.0,168.12854572270874,3.900033199621806,0.0,0.0,0.0,0.0,0.0,0.0,1355.2708812798426,52.52070934081514,68.22839032436757,0.18549898809922277,14.95259689327562,0.0,1324.9051551344726,0.0
1993,6503.724087496485,132.56559983387467,0.0,209.30110530842728,1095.2870245432634,556.2162892765236,1.3921774574420005,76.07879416642139,0.0,834.5037804498025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.842915077521663,3.0641419902569647,1679.3939796438049,0.0,168.12854572270874,3.900033199621806,0.0,0.0,0.0,0.0,0.0,0.0,1355.2708812798426,52.52070934081514,69.43568367666258,0.18549898809922277,14.95259689327562,0.0,1324.9051551344726,0.0
1994,6502.424316349001,132.56559983387467,0.0,209.30110530842728,1095.1941443171293,556.1234861326628,1.3921774574420005,76.07879416642139,0.0,834.5037804498025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.842915077521663,2.971339924679844,1679.3939796438049,0.0,168.12854572270874,3.900033199621806,0.0,0.0,0.0,0.0,0.0,0.0,1355.2708812798426,52.52070934081514,71.01394025971827,0.18549898809922277,14.95259689327562,0.0,1324.9051551344726,0.0
1995,6579.436172647431,136.4619016971988,0.0,210.32189119385373,1100.667505847735,555.1026242947565,1.3921774574420005,70.2288553415703,0.0,834.4110000012557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.842915077521663,2.971339924679844,1605.079445684451,0.0,168.12854572270874,3.900033199621806,0.0,0.0,0.0,0.0,0.0,0.0,1349.3312206068015,52.70632101947267,72.31397442128221,0.2783887697802266,15.138370090202775,0.0,1322.9563164815577,0.0
1996,6579.529355444444,136.4619016971988,0.0,210.32189119385373,1098.2533911781127,553.8955189165737,1.3921774574420005,71.99307731825118,0.0,838.4965576185879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.842915077521663,2.971339924679844,1600.529768747748,0.0,167.94282573341022,3.900033199621806,0.0,0.0,0.0,0.0,0.0,0.0,1350.5379949638361,52.70632101947267,73.52085464702739,0.2783887697802266,15.138370090202775,0.0,1322.9563164815577,0.0
1997,6606.361279390846,137.0188237499603,0.0,210.41579582741596,1096.9546602799644,553.1538372070987,1.3921774574420005,68.27106553366451,0.0,844.5303982238584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.842915077521663,2.971339924679844,1572.960778309897,0.0,167.29317935215172,3.807267934714081,0.0,0.0,0.0,0.0,0.0,0.0,1351.3729537638562,52.70632101947267,74.44909893398886,0.2783887697802266,15.138370090202775,0.0,1321.750348632805,0.0
1998,6654.264138793138,137.6685554895521,0.0,211.0658108129915,1101.1327907948973,555.6618267224505,1.3921774574420005,56.47291569529164,0.0,846.3864219378258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.842915077521663,2.971339924679844,1528.502476824295,0.0,167.10768371933372,3.714502669806356,0.0,0.0,0.0,0.0,0.0,0.0,1347.8415219731962,52.89212905244643,76.21309340209837,0.7427813960529333,15.138370090202775,0.0,1321.6575476460998,0.0
1999,6652.504545389586,138.13263284400767,0.0,210.04532068596225,1085.4498289983042,546.75221327232,1.3921774574420005,79.76943997100317,0.0,861.0518693977509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399798408736716,2.971339924679844,1506.781278733423,0.0,164.13794658340797,3.714502669806356,0.0,0.0,0.0,0.0,0.0,0.0,1353.125112816862,52.89212905244643,77.512766898469,0.7427813960529333,15.138370090202775,0.0,1328.1549448888595,0.0
2000,6643.495647680661,138.13263284400767,0.0,209.20975929937558,1075.8862371519683,535.423028488961,1.3921774574420005,113.84610114756765,0.0,889.469534620545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399798408736716,2.971339924679844,1476.511534786088,0.0,163.02388618207783,3.714502669806356,0.0,0.0,0.0,0.0,0.0,0.0,1351.1734768174458,53.07789694071171,79.09096359089722,0.7427813960529333,15.138370090202775,0.0,1327.9693299820933,0.0
2001,6633.655105103181,138.5962453597553,0.0,208.55998445440585,1070.4084126764594,520.748261325347,1.3921774574420005,133.80632217413805,0.0,909.8095439801834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399798408736716,2.971339924679844,1460.636772669171,0.0,162.931135054423,3.6216769268266895,0.0,0.0,0.0,0.0,0.0,0.0,1357.2989283260877,53.07789694071171,80.5761944524709,0.7427813960529333,15.138370090202775,0.0,1326.2980527590462,0.0
