year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,7622.184421748557,3684.2081053853676,3.9976100359264857,1083.9104967458104,4306.066574728142,8503.359130538838,0.0,24866.0491705377,25.641764889993205,0.0,2806.8789140529852,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1836.591682188488,2737.9874002277325,226.57445470696504,2453.8595412593254,0.0,73.12450692912084,4854.109879149895,0.0,534.2172858901677,0.0,0.0,61.59041202894495,0.9707994049361013,0.0,77.7935524159203,547.019359869309,607.1718092590373,350.69123736598146,3.967919439396682,1440.5114803644979,234.2916636464394
1993,7620.482592830054,3683.147888154268,3.9976100359264857,1083.7678707442608,4305.217475851862,8501.792287008559,0.0,24865.765363910654,25.641764889993205,0.0,2806.8789140529852,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1836.591682188488,2737.2758913286953,226.57445470696504,2453.8595412593254,0.0,73.12450692912084,4853.8987515270055,0.0,534.2172858901677,0.0,0.0,61.59041202894495,0.9707994049361013,0.0,77.7935524159203,554.542879719921,606.2451620495427,350.69123736598146,3.967919439396682,1440.441665430066,234.2916636464394
1994,7616.930509585528,3681.3774616259952,3.9976100359264857,1083.1962738502596,4304.6488268359635,8499.00732925389,0.0,24865.62267330657,25.641764889993205,0.0,2806.6694960785917,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1836.591682188488,2737.0637794573377,226.57445470696504,2453.8595412593254,0.0,73.12450692912084,4853.75713529043,0.0,534.2172858901677,0.0,0.0,61.59041202894495,0.9707994049361013,0.0,77.7935524159203,566.0615771894452,604.8927580271289,350.6199304767624,3.967919439396682,1440.300228995945,234.2916636464394
1995,7623.932441050596,3684.798429510158,3.9976100359264857,1094.273640316419,4285.112410997516,8203.562752901085,0.0,25000.57361969973,27.69970820126634,0.0,2821.7783998202467,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1844.7908627418933,2789.879569297804,226.7849638581948,2480.0560414297893,0.0,73.12450692912084,4917.667293645241,0.0,528.8913519771216,0.0,0.0,61.59041202894495,0.9707994049361013,0.0,77.86321222228003,576.3524324754906,589.3994105156339,351.1094916683079,3.967919439396682,1440.300228995945,234.2916636464394
1996,7624.221105262106,3687.439419312965,3.9976100359264857,1098.8366931427793,4284.477788187194,8190.708959738537,0.0,24963.01658081922,27.69970820126634,0.0,2820.528505261326,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1843.6816331799546,2794.1229390077892,227.693906819388,2485.245206316333,0.0,73.12450692912084,4934.301182025132,0.0,530.1429855322698,0.0,0.0,61.59041202894495,0.9707994049361013,0.0,77.86321222228003,588.5789871302981,592.3344154864519,354.410425465946,3.967919439396682,1439.5226082134895,234.2916636464394
1997,7626.797960420571,3692.709119886338,3.9976100359264857,1102.5377609776317,4283.413572027137,8175.549527284909,0.0,24891.784125977596,27.69970820126634,0.0,2818.4137280512427,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1843.1341636756013,2807.768159365091,228.04495978313685,2498.7205710809903,0.0,73.12450692912084,4968.387342673179,0.0,529.8272456997084,0.0,0.0,61.59041202894495,0.9707994049361013,0.0,78.002791615306,603.5090678786659,591.6907419893076,355.67167537865976,3.967919439396682,1441.1640393583764,234.2916636464394
1998,7647.114284681413,3700.17453863221,3.9976100359264857,1122.3137600013756,4286.640988439256,8191.287469105227,0.0,24687.177808106288,27.69970820126634,0.0,2815.332793674257,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1840.539721523044,2824.661501629032,229.30801327688692,2523.7297164645347,0.0,73.12450692912084,5046.205897996354,0.0,530.2454978807881,0.0,0.0,61.59041202894495,0.9707994049361013,0.0,78.35182725389025,622.1250806474877,592.5247301357612,356.23019604831745,3.967919439396682,1443.1627276273261,234.2916636464394
1999,7674.515413724463,3720.696451727024,3.9976100359264857,1129.3782584801158,4320.990410343496,8158.106504638462,0.0,24432.974252596785,27.701061991147277,0.0,2813.6959663540147,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1837.6786657757261,2879.2116846671083,236.88480892011367,2555.7579471349204,0.0,73.12450692912084,5112.785291316353,0.0,530.6530551247793,0.0,0.0,61.59041202894495,0.9707994049361013,0.0,79.32887751744876,644.2153186937265,592.9348860435063,359.16917842282,3.967919439396682,1458.1482278526905,234.2916636464394
2000,7672.998410951286,3721.8441447244336,3.9976100359264857,1130.0686404976386,4329.569331954011,8167.322254971693,0.0,24306.764463943393,27.701061991147277,0.0,2813.7817331847596,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1831.879494902008,2901.2704102155994,245.77471951711408,2562.843014419073,0.0,73.12450692912084,5152.417789585651,0.0,533.2444112331829,0.0,0.0,61.59041202894495,0.90126902229536,0.0,81.27798668620792,670.9336047088334,595.2992735676713,361.75681680092646,3.967919439396682,1458.1482278526905,234.2916636464394
2001,7668.791541538962,3723.7257643016014,3.9976100359264857,1130.9200627967632,4344.298252903485,8117.961519351199,0.0,24283.236058768303,27.701061991147277,0.0,2812.2721243973247,0.0,0.0,2.5729808208216087,0.13882603695221676,0.0,1828.250476917775,2927.0067843623992,250.8860686758646,2565.3370697428645,0.0,73.12450692912084,5168.416240021339,0.0,533.2444112331829,0.0,0.0,61.59041202894495,1.0397930527277688,0.0,82.25493633038221,686.2018151836821,593.9398706227097,362.5940558596517,3.967919439396682,1457.7191526782665,234.2916636464394
