year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,83456.45322907325,570.5886781490063,0.0,155.05950078966484,15346.468969089849,10636.558616111088,14167.305389789237,107.69398439406314,0.0,58346.528675338006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.06180521124566,21.904012496153655,44254.28083250513,0.0,5168.8167056904,74.51911113988348,0.0,1.513203006741488,0.0,0.0,3.5127263841385137,1.5212890292021295,170.56961627363333,734.0392547755307,996.8492475640383,1084.8364794269116,14.88666746310365,35.507809545458414,9092.589225979887,0.0
1993,83430.5680512047,570.493718855754,0.0,154.96452192897874,15345.23620445143,10633.900622860834,14167.210609957756,107.69398439406314,0.0,58346.528675338006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.77727655730308,21.809230506793938,44253.521681760125,0.0,5168.8167056904,72.81300759563888,0.0,1.513203006741488,0.0,0.0,3.5127263841385137,1.5212890292021295,170.3797564719402,734.0392547755307,1030.2292360702822,1084.7415155462168,14.791678305641389,35.507809545458414,9092.494268988687,0.0
1994,83401.9307674893,570.0191942022839,0.0,154.96452192897874,15344.003208477161,10632.0022279094,14167.115731068794,107.69398439406314,0.0,58346.338916068744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.68239965949405,21.61939030457006,44252.19502185677,0.0,5168.8167056904,71.95963258611724,0.0,1.513203006741488,0.0,0.0,3.5127263841385137,1.5212890292021295,170.3797564719402,734.0392547755307,1065.6006795482804,1084.7415155462168,14.696689148179127,35.507809545458414,9092.210404133855,0.0
1995,83824.31304410535,576.8540640079933,0.0,155.24568506199,15385.906358896229,10636.954461781994,13712.020237676916,106.55964766802614,0.0,58346.809981768456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.58775785739863,21.239628865979366,44210.826225516816,0.0,5168.8167056904,69.49119365529592,0.0,1.513203006741488,0.0,0.0,3.5127263841385137,1.5212890292021295,170.1896130958312,728.7418152786203,1093.2004307573136,1051.2188855611507,14.696689148179127,35.507809545458414,9127.337574866127,0.0
1996,83879.42389749938,578.7512019166061,0.0,155.24568506199,15385.573060069572,10584.42531614821,13699.982936051916,242.251711974416,0.0,59003.97415938374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.2282294870382,18.96544907490021,43426.84300010029,0.0,5143.924740658037,67.11976892788427,0.0,1.513203006741488,0.0,0.0,3.5127263841385137,1.5212890292021295,171.0396724667598,679.5814723800687,1119.763671406579,754.1627715617399,14.696689148179127,35.317919217669264,9472.246458270598,0.0
1997,84068.3335303019,583.4946402772225,0.0,155.05576693541758,15407.550750280347,10588.309374677108,13532.403252110822,366.3012301943403,0.0,59902.38250312006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.44602105079767,18.775624155266538,42346.457735843556,0.0,5119.975162715777,64.84392047414377,0.0,1.513203006741488,0.0,0.0,3.5127263841385137,1.5212890292021295,171.32363607623049,671.2629178033119,1147.8473204415047,719.9657752770942,14.696689148179127,34.93814229892005,9513.15381762349,0.0
1998,84169.18336429955,590.5879024960202,0.0,155.0553021090359,15434.774573239845,10597.951736538676,13480.083353135436,400.3814172425669,0.0,60012.46919534261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.7799190536818,18.20581291302488,42094.923639833985,0.0,5115.081410159305,63.70366786093532,0.0,1.513203006741488,0.0,0.0,3.5127263841385137,1.5212890292021295,171.60847260702835,644.8889797439654,1181.3463802480123,717.1234832764255,14.696689148179127,34.55836211049544,9531.11414944674,0.0
1999,84542.17715516259,615.3752701769836,0.0,156.84004971984805,15469.875013084644,10339.886983404425,13475.290677022496,701.0289149357246,0.0,61953.136479550194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.30872822715784,11.283967824666233,39342.39779655371,0.0,5068.90547060721,40.94893390883312,0.0,1.229047107373904,0.0,0.0,3.4177866015464913,0.9507618968894698,171.41955245285146,166.1916686706132,1213.3264474617079,23.96150083930158,13.84432465961674,34.27353761387802,11078.994961743425,0.0
2000,84915.01543893835,657.5112051002626,0.0,156.4574990729478,15625.61797625591,10267.871567182621,13080.268042696407,1075.7268868659435,0.0,64234.12445552941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.52691985698854,10.713825254794443,36607.1495258086,0.0,5011.687119775785,38.85463387850385,0.0,1.229047107373904,0.0,0.0,3.4177866015464913,0.9507618968894698,171.98830904292618,125.55241153002795,1252.136839531326,16.289586197981084,13.843865690278902,33.988706573366734,11118.142618837499,0.0
2001,85271.07212519561,742.4666711668386,0.0,157.4878851208897,15802.319543449546,10269.424096392606,12863.568239530647,1068.8721131795553,0.0,64479.639014854794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.22424364811172,10.33403833732901,35895.62101643477,0.0,5011.395231521577,34.68241208761562,0.0,1.229047107373904,0.0,0.0,3.4177866015464913,0.9507618968894698,171.41806585713064,123.09149622111507,1333.3669236923195,14.582256038919384,13.654688451600324,33.988706573366734,11114.25866586549,0.0
