year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,12212.818487925711,13789.78834188043,8120.615398149836,9262.443667163192,2261.752151400128,7678.288693803129,0.0,13431.172211899022,1.4065426096919407,0.0,7958.266527201532,0.0,0.0,0.14542494439019646,0.0,0.0,884.8851052530509,7325.497829678012,49.230234146199564,20281.5523964845,0.0,6.329466833953927,4799.1959289888455,0.0,512.379807040743,0.0,0.0,22.20297744133951,0.0,0.0,186.27519265481746,1013.0382205710453,1777.0405122993523,57.30825333513399,6.273464934850147,20286.713043708314,0.0
1993,12205.216605422453,13789.496135718158,8120.225703094963,9262.154395934427,2261.526446751643,7678.288693803129,0.0,13431.172211899022,1.4065426096919407,0.0,7958.266527201532,0.0,0.0,0.14542494439019646,0.0,0.0,884.8851052530509,7325.347333096086,49.230234146199564,20281.331710320712,0.0,6.329466833953927,4798.900583867464,0.0,512.3072115621696,0.0,0.0,22.20297744133951,0.0,0.0,186.27519265481746,1032.6226661343537,1767.2912910637024,57.30825333513399,6.273464934850147,20286.41570232399,0.0
1994,12197.302404987615,13789.20137009669,8119.919643278371,9261.71842403526,2261.005600976632,7678.288693803129,0.0,13431.172211899022,1.4065426096919407,0.0,7958.266527201532,0.0,0.0,0.14542494439019646,0.0,0.0,884.8851052530509,7325.12049483655,49.230234146199564,20281.181171073375,0.0,6.329466833953927,4798.525424963429,0.0,512.2320857942705,0.0,0.0,22.20297744133951,0.0,0.0,186.1301219129654,1055.8874554040244,1755.384775119038,57.15483583803607,6.273464934850147,20285.65542296381,0.0
1995,12333.673946167171,13825.235880847562,8157.72197197474,9307.580026787478,2283.7126670963703,7386.265497671766,0.0,13259.829939912252,1.4065426096919407,0.0,7747.419806166282,0.0,0.0,0.14542494439019646,0.0,0.0,908.1066663969291,7474.668917087036,54.0238428337058,20371.736341898708,0.0,6.329466833953927,4878.670033970379,0.0,513.4033843718744,0.0,0.0,22.20297744133951,0.0,0.0,186.73046405891765,1078.1475879215823,1765.944026077202,57.15483583803607,6.790787175335011,20297.71884426451,0.0
1996,12340.3006824592,13826.23982929793,8172.394702074294,9312.65428384202,2287.87262863379,6852.138172829626,0.0,13353.864648655896,1.4065426096919407,0.0,7857.198344002545,0.0,0.0,0.14542494439019646,0.0,0.0,943.4507810407388,7734.188868367653,54.31930620183431,20320.6838247816,0.0,6.329466833953927,4884.959901422272,0.0,512.9482972011469,0.0,0.0,23.140181760733725,0.0,0.0,186.65516457753708,1105.0518881208566,1759.4706270421743,56.92103101795817,6.790787175335011,20325.494495453997,0.0
1997,12347.51811402651,13827.322812912653,8175.913437433497,9315.595749373624,2288.3572384457248,6668.191125617479,0.0,13374.863918883944,1.4065426096919407,0.0,7892.99093733162,0.0,0.0,0.14542494439019646,0.0,0.0,951.155822904539,7829.123151425249,54.31930620183431,20301.74109913235,0.0,6.329466833953927,4889.6757911731065,0.0,513.6863732139694,0.0,0.0,23.140181760733725,0.0,0.0,186.5827616528292,1134.0013470912904,1747.2961159222798,56.146571694841874,6.790787175335011,20332.325802585747,0.0
1998,12352.517808957438,13827.147899986216,8178.93006482282,9317.326805616096,2292.563802075295,6532.384959720416,0.0,13350.37338826737,1.4065426096919407,0.0,7932.786436997526,0.0,0.0,0.14542494439019646,0.0,0.0,960.1155811972886,7925.0294095197,54.31930620183431,20280.791231567437,0.0,6.329466833953927,4890.287060476821,0.0,512.5651692496381,0.0,0.0,23.140181760733725,0.0,0.0,186.65548408713985,1164.5102060588417,1733.1852545085717,56.0738861997011,6.790787175335011,20339.243721512954,0.0
1999,12367.282157115607,13830.404884504167,8182.030383784507,9332.028139506125,2282.520019657555,5870.684256286587,0.0,13450.206993395708,1.4824266582515202,0.0,8107.613589428621,0.0,0.0,0.14542494439019646,0.0,0.0,993.6039056708079,8280.657751192804,55.292759936586144,20174.182946691682,0.0,6.329466833953927,4897.813135014777,0.0,502.5255680062696,0.0,0.0,23.218170069134004,0.0,0.0,187.58847540108673,1190.723591895611,1727.4195108326678,54.71006397635288,6.790787175335011,20399.365472368576,0.0
2000,12356.675549633397,13827.74090158143,8168.880273554429,9332.712612865638,2276.7550231398654,5530.239066604365,0.0,13563.136237857785,1.4824266582515202,0.0,8165.070901904038,0.0,0.0,0.14542494439019646,0.0,0.0,1011.1005829175953,8510.792749794762,54.99590417255608,20101.67475599112,0.0,6.329466833953927,4896.911546569041,0.0,503.0397853519396,0.0,0.0,23.603251074836887,0.0,0.0,188.1539715900563,1221.6800100655194,1716.6276411914864,54.48000272261311,6.790787175335011,20405.601006152774,0.0
2001,12349.233231638547,13837.568646279578,8179.391939468888,9336.551127708066,2278.482169742929,5407.76486012022,0.0,13599.659430976244,1.4824266582515202,0.0,8159.174040747446,0.0,0.0,0.14542494439019646,0.0,0.0,1015.0845064205571,8572.810159349918,54.68423919141701,20092.272100003855,0.0,6.329466833953927,4898.745017268602,0.0,502.968098051584,0.0,0.0,23.603251074836887,0.0,0.0,189.60734554831785,1259.73725277531,1697.6898161975353,53.155485456387034,6.790787175335011,20401.689056715026,0.0
