year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,7029.850589282687,414.37645626348996,0.2765815027171896,0.0,3495.519944927737,11233.884281682322,68388.18363822783,6307.6410429778125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.77674284965883,5307.15009407751,1396.1506045325934,400.4819417968938,0.0,0.0,3307.8158935853867,0.0,0.0,0.0,0.0,0.0,122.04295037569517,262.6930813740146,222.67818230845484,444.6905233468965,21.583137165530765,0.0,0.0,1351.29964074732,0.0
1993,7029.7581515847705,414.2840926002761,0.2765815027171896,0.0,3495.334797825485,11233.699750744132,68387.53729054915,6307.6410429778125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.77674284965883,5304.56406657071,1394.6731315601057,400.4819417968938,0.0,0.0,3306.338740158292,0.0,0.0,0.0,0.0,0.0,122.04295037569517,262.6930813740146,221.84663108742592,452.26355555456234,21.583137165530765,0.0,0.0,1351.29964074732,0.0
1994,7029.2971134497875,414.099783293548,0.2765815027171896,0.0,3495.334797825485,11233.51501469895,68386.6137772965,6307.6410429778125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.77674284965883,5302.255105578662,1393.7501155340894,400.38964834914634,0.0,0.0,3304.491868032261,0.0,0.0,0.0,0.0,0.0,122.04295037569517,262.6930813740146,221.01542673912942,460.01949923423007,21.583137165530765,0.0,0.0,1351.29964074732,0.0
1995,7814.5510070673345,445.237486775327,0.2765815027171896,0.0,3857.7154017207677,11736.487774264064,66373.11700985453,6251.187175742817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.77674284965883,5513.240206775522,1413.8561095061496,414.91607291243224,0.0,0.0,3372.465886414472,0.0,0.0,0.0,0.0,0.0,121.95099986693671,270.17265329107596,218.4424315935542,467.68159874038787,21.583137165530765,0.0,0.0,1413.4370509812954,0.0
1996,7900.017668731182,450.27871051693796,0.2765815027171896,0.0,3872.3192748641472,11677.551628921527,66178.61171824581,6251.481230466817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.86845674931857,5530.624858860359,1429.1461646141317,416.75646789914686,0.0,0.0,3455.6187717321036,0.0,0.0,0.0,0.0,0.0,122.04287221752898,270.0808107499801,218.0743274671091,472.9414652824424,21.583137165530765,0.0,0.0,1438.8211810377554,0.0
1997,8295.714464257166,464.5608134472688,0.2765815027171896,0.0,4028.5242100279816,11942.883232874261,65261.51501520827,6247.98207421347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.95957889247484,5553.555075146056,1435.7753289078353,417.21681589964226,0.0,0.0,3508.249200740736,0.0,0.0,0.0,0.0,0.0,122.04287221752898,270.0808107499801,215.85685958861808,479.31025790440646,21.6742634316891,0.0,0.0,1440.9178720144375,0.0
1998,9384.666326953504,496.51130965377513,0.2765815027171896,0.0,4679.5247053404355,13836.330578215566,61325.69049080941,6251.804247590309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.95957889247484,5662.7150086583015,1441.8985816997324,418.50492162929595,0.0,0.0,3631.5924424786713,0.0,0.0,0.0,0.0,0.0,123.05878387920492,280.36042382084685,214.6543116051538,488.17202838774915,21.6742634316891,0.0,0.0,1448.7007424756878,0.0
1999,9633.907966357772,510.4085678295547,0.2765815027171896,0.0,4786.746953232932,13847.19970902099,60767.10999891814,6290.741601386947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.95957889247484,5731.825547001978,1441.2409989563166,418.40973555866174,0.0,0.0,3687.464948663096,0.0,0.0,0.0,0.0,0.0,123.70639345272906,283.22869286402005,212.99021040574084,497.21710125214906,21.765301320942527,0.0,0.0,1451.895440407339,0.0
2000,9700.660184634973,517.4393909023963,0.2765815027171896,0.0,4820.496560561375,13899.107242053302,60255.82933321703,6344.453998789502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.06333223097363,5765.295549596609,1464.6600235922203,417.85721820847596,0.0,0.0,3905.610505680833,0.0,0.0,0.0,0.0,0.0,128.2349572908518,292.20565600746147,210.21644469321666,507.47217177476284,21.673929866667407,0.0,0.0,1453.5422464211617,0.0
2001,9762.885400390982,533.5480518373471,0.2765815027171896,0.0,4868.416296443597,13842.74716304435,60011.10074300544,6361.175478539095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.06333223097363,5837.434069881693,1463.4270795043938,416.6580810885814,0.0,0.0,3995.852296177518,0.0,0.0,0.0,0.0,0.0,128.8835426897938,294.70340487470435,206.34050377836692,524.7274481463871,21.673929866667407,0.0,0.0,1435.181924021885,0.0
