year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1761.1873957576424,1.5868790948002056,0.0,300.1501746085415,2775.9242159827063,2359.913778358067,168.96037668423241,709.3192363980796,13.327329369226987,17483.588149778785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.58603261093431,4.759248894723652,843.0881617757354,0.0,109.50555855814417,32.40047945682811,0.0,0.0,0.0,0.0,0.0,0.0,4088.1624545279838,26.027871587889617,19.890062035043737,0.0,25.11867049984626,0.0,5545.357299292571,0.0
1993,1761.1873957576424,1.5868790948002056,0.0,300.1501746085415,2775.9242159827063,2359.913778358067,168.96037668423241,709.3192363980796,13.327329369226987,17483.588149778785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.58603261093431,4.759248894723652,843.0881617757354,0.0,109.50555855814417,32.40047945682811,0.0,0.0,0.0,0.0,0.0,0.0,4088.1624545279838,26.027871587889617,19.890062035043737,0.0,25.11867049984626,0.0,5545.357299292571,0.0
1994,1761.1873957576424,1.5868790948002056,0.0,300.1501746085415,2775.830822211462,2359.7269860658776,168.96037668423241,709.3192363980796,13.327329369226987,17483.588149778785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.58603261093431,4.759248894723652,843.0881617757354,0.0,109.50555855814417,32.40047945682811,0.0,0.0,0.0,0.0,0.0,0.0,4088.1624545279838,26.027871587889617,20.17024809847717,0.0,25.11867049984626,0.0,5545.357299292571,0.0
1995,1765.7504718207408,1.680072290421177,0.0,301.6419826357596,2775.3607861771056,2333.2663238196474,170.08272438212666,706.5326342653883,13.327329369226987,17488.263483693252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.959601037280656,4.759248894723652,840.7517217220161,0.0,109.50555855814417,32.40047945682811,0.0,0.0,0.0,0.0,0.0,0.0,4107.712295497105,26.027871587889617,20.4504332141443,0.0,25.11867049984626,0.0,5545.261686350129,0.0
1996,1779.1914949145473,2.146673942961234,0.0,301.36202297227686,2777.8791468942477,2327.1923703956304,170.26937769863966,692.8132788557809,13.327329369226987,17499.18594265636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.959601037280656,4.759248894723652,827.5916031679374,0.0,109.50555855814417,32.30685567881232,0.0,0.0,0.0,0.0,0.0,0.0,4102.395845575763,26.027871587889617,20.637228361818938,0.0,25.11867049984626,0.0,5556.183254209887,0.0
1997,1789.1718506522134,2.6126697648644717,0.0,301.36202297227686,2782.544973956278,2324.1906735362577,170.4561499669874,677.9812332371447,13.327329369226987,17499.56755494628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.05297478753504,4.759248894723652,824.6021891177968,0.0,109.50555855814417,32.4940302699641,0.0,0.0,0.0,0.0,0.0,0.0,4099.5104839511205,26.027871587889617,20.823781637571383,0.0,25.11867049984626,0.0,5563.744107565657,0.0
1998,1804.2845928392985,3.45348161966864,0.0,303.32144460092854,2792.527577602594,2326.9902060459685,170.64302407793195,660.1599852855329,13.327329369226987,17501.0682659593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.519348047025574,4.759248894723652,819.1861718450943,0.0,109.50555855814417,32.680837629059994,0.0,0.0,0.0,0.0,0.0,0.0,4083.835761443014,26.30795039983685,21.010421410049556,0.0,25.11867049984626,0.0,5569.153499144536,0.0
1999,1823.2090032450856,4.665235288842088,0.0,307.89378529863154,2819.6526035388843,2323.2193857610987,171.76501342617303,612.079834663807,13.327329369226987,17502.209149549806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.10480948686487,4.759248894723652,813.9439888076149,0.0,109.50555855814417,33.33360112653431,0.0,0.0,0.0,0.0,0.0,0.0,4004.019787520789,26.30795039983685,21.103808518385737,0.0,25.21324717094282,0.0,5649.540034646395,0.0
2000,1852.1335506263165,7.089055205551625,0.0,333.08213355821795,2856.2336181464793,2326.450907785226,174.10250158575866,561.7197614898794,13.327329369226987,17534.639053221174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6490464353111,5.598619948170316,784.9851192715976,0.0,109.50555855814417,36.13516066290043,0.0,0.0,0.0,0.0,0.0,0.0,3929.3675650296937,30.78406736730481,21.570719060253367,1.1201517262282898,25.86654512227445,0.0,5658.49291110208,0.0
2001,1856.9029463960596,8.023673168762887,0.0,338.4045603981075,2862.3030155850865,2254.047039380861,177.7430795027788,559.7560148073494,13.327329369226987,17585.74414456921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.39528029727038,5.225039160677455,778.634876741423,0.0,109.50555855814417,36.882314194311505,0.0,0.0,0.0,0.0,0.0,0.0,3939.2685788981616,32.184729002655345,23.625408640164267,1.2137376635630992,26.053225869460693,0.0,5652.6128230684935,0.0
2002,1861.1914774163934,8.39655996313487,0.0,341.01921825011004,2869.0133770303546,2239.006394356078,177.8365007629947,550.441429469775,13.327329369226987,17596.949664901444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.70099051751293,5.224845465811268,776.3928417630078,0.0,109.31909973310428,37.537101111771825,0.0,0.0,0.0,0.0,0.0,0.0,3940.2018039255313,32.27792916664538,26.52054981329033,1.4007404308920663,26.1470039273944,0.0,5647.948517897293,0.0
2003,1862.6819387598277,9.608636182209871,0.0,344.57134463301486,2875.819137698228,2224.4460782839037,179.0516367868833,547.8374449401299,13.047759782251518,17614.124544164577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.073796130408475,5.224845465811268,770.2298889653282,0.0,109.13254849663141,38.658571331352135,0.0,0.0,0.0,0.0,0.0,0.0,3931.329369734755,32.371138274048405,27.640915120104918,1.5877046107863655,26.333832264696202,0.0,5646.0822436468225,0.0
2004,1861.938875681392,9.795729770045694,0.0,347.65358539389433,2878.9047046886085,2204.7482880593157,181.19803278115128,553.2456467947526,13.047759782251518,17635.40491445925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.167082980523,5.318215391522748,759.1215195488884,0.0,109.03962963204873,40.15550820288509,0.0,0.0,0.0,0.0,0.0,0.0,3932.162156937496,30.22042079856735,28.200961628962254,1.8684660308532177,26.895197032835057,0.0,5640.766679676525,0.0
2005,1872.40700722946,12.319195226641051,0.0,346.9067114905334,2893.9450259636633,2208.772284595816,179.42367407316883,530.1587610584241,13.047759782251518,17634.372844559566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.260497622398084,4.944928664169889,754.2686780717488,0.0,109.03962963204873,40.15550820288509,0.0,0.0,0.0,0.0,0.0,0.0,3933.834695188039,30.779860446920594,30.90827750827607,2.0550651709589056,26.801802310531755,0.0,5635.4511684742765,0.0
2006,1873.346570960723,15.215890241354453,0.0,346.06627442947945,2902.164791652744,2208.220587879384,179.23653214268182,522.3960872166373,13.047759782251518,17636.5166699698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.44690789177968,4.66474735504772,747.918953374521,0.0,109.03962963204873,39.87589379235885,0.0,0.0,0.0,0.0,0.0,0.0,3934.298666830527,30.779860446920594,33.148673711052936,2.0550651709589056,26.801802310531755,0.0,5634.612010480982,0.0
2007,1879.9797327180027,20.72757257082557,0.0,349.98565006569856,2941.5553426259003,2219.8102215194253,179.42126719145932,479.1699040674895,13.047759782251518,17626.160398306933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.65966394440755,4.66474735504772,743.3342573038717,0.0,109.13317459525689,43.333065649490926,0.0,0.0,0.0,0.0,0.0,0.0,3936.881846813972,31.246276882545192,35.85573751285341,3.0827932027381513,28.576043556871273,0.0,5612.227919606738,0.0
2008,1890.4343637338661,29.228023024934938,0.0,352.22740292030784,2993.4524704919554,2235.49096275488,177.7408778135622,429.42299261993224,12.86139333777491,17593.215645799937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.43200545758386,4.4781038621281715,750.4263535767687,0.0,109.22638469539069,43.519776253275175,0.0,0.0,0.0,0.0,0.0,0.0,3920.7206438865355,31.153064420509658,38.37684514790714,3.4560115552474544,28.576043556871273,0.0,5612.41401036241,0.0
2009,1898.466700163781,42.02839411213995,0.0,356.61457055071884,3038.069897280359,2258.547057252151,174.4683427152971,390.97111288721004,12.86139333777491,17555.03384828303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.52484920218102,4.4781038621281715,753.135027922328,0.0,109.2259559146523,44.82768644029065,0.0,0.0,0.0,0.0,0.0,0.0,3909.1318093987406,31.152890926821193,40.05727510798847,4.110373121721106,28.669409654857088,0.0,5604.478677137617,0.0
2010,1908.175130593853,52.96011642120386,0.0,360.6370920245296,3116.442551321829,2286.364103350519,170.26553788885013,325.74906043669637,12.768188203145154,17503.43353639684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73684167377388,4.477967683707544,759.9484243298888,0.0,109.41264010134864,48.19432912268172,0.0,0.0,0.0,0.0,0.0,0.0,3885.7609447016057,31.15283654879663,42.20485319180661,5.233114934878551,28.949643148129102,0.0,5602.986463197709,0.0
2011,1937.3954427567198,81.73599166086699,0.0,374.45410446807654,3277.848144613484,2351.3429958493894,155.59953471522587,183.23371539216365,12.675004980906852,17412.147794518016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.20007706288864,4.944382361741929,785.5092083386306,0.0,110.15913013756628,50.34056451697286,0.0,0.0,0.0,0.0,0.0,0.0,3810.567915387837,32.08570479742417,42.858289679193874,6.0740458998833144,29.696537840315717,0.0,5595.9847902944675,0.0
2012,1940.477550256086,97.24588552478454,0.0,376.78835352049373,3322.663604160971,2362.7307480751447,151.3959854498535,166.1523829139774,12.675004980906852,17375.09247272786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29295295992715,5.13067059324779,791.3865844122964,0.0,110.25248760951004,51.08721808450829,0.0,0.0,0.0,0.0,0.0,0.0,3782.7284790834215,32.08570479742417,44.81857688306626,6.167385103512547,29.696537840315717,0.0,5595.9847902944675,0.0
2013,1939.0775696000574,101.54113682354388,0.0,378.0945992837622,3335.17066503648,2365.7168248476214,151.20928637605016,160.55372336339929,12.675004980906852,17365.389108582967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.03928367573839,5.22388168589327,792.2263234271531,0.0,110.25248760951004,51.180809451636726,0.0,0.0,0.0,0.0,0.0,0.0,3775.3467836382342,32.08570479742417,48.83259575038135,6.167385103512547,29.696537840315717,0.0,5593.373663397188,0.0
2014,1939.4532913412397,107.89682543111131,0.0,379.494658072469,3346.4710635351153,2370.94643927734,149.99438475181464,153.83208138630292,12.675004980906852,17357.17432468168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29168043037926,5.22388168589327,794.00058467688,0.0,110.25248760951004,51.83456118245342,0.0,0.0,0.0,0.0,0.0,0.0,3764.505610011957,32.365547698915215,51.25860762584796,6.167385103512547,29.696537840315717,0.0,5591.318417948142,0.0
2015,1938.7071052185836,107.89682543111131,0.0,379.4012728696561,3346.4710635351153,2370.94643927734,149.99438475181464,153.83208138630292,12.675004980906852,17357.17432468168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29168043037926,5.22388168589327,794.00058467688,0.0,110.25248760951004,51.83456118245342,0.0,0.0,0.0,0.0,0.0,0.0,3764.505610011957,32.365547698915215,52.09817895131677,6.167385103512547,29.696537840315717,0.0,5591.318417948142,0.0
