year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,16908.771978620316,2146.3440609989707,0.0,495.1944196290703,13037.195569462594,21622.08630084145,5729.364660602312,1767.0010377984013,0.0,137028.4873780799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0248882350142,2.1602968099240973,29893.577101119223,0.0,2666.8028593833146,11.944216874550047,0.0,0.0,0.0,0.0,0.0,4.814505894570834,3761.0390900006296,37.49809921907309,244.4679753687308,2.1592222047504803,13.160110072194087,0.0,4957.970007496851,0.0
1993,16907.073572137106,2146.3440609989707,0.0,495.1003393019312,13035.501438666033,21620.770407043623,5729.364660602312,1766.9068272897766,0.0,137028.4873780799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0248882350142,2.1602968099240973,29893.38936322406,0.0,2666.708984094132,11.944216874550047,0.0,0.0,0.0,0.0,0.0,4.814505894570834,3758.973653364843,37.49809921907309,251.71174710221445,2.1592222047504803,13.160110072194087,0.0,4957.970007496851,0.0
1994,16906.50773984418,2146.3440609989707,0.0,495.0065500468294,13034.090742715405,21619.735798874,5729.364660602312,1766.8131421877974,0.0,137028.39319726196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0248882350142,2.1602968099240973,29893.10741447132,0.0,2666.6152770319527,11.944216874550047,0.0,0.0,0.0,0.0,0.0,4.814505894570834,3758.6921329425595,37.49809921907309,255.6617149276499,2.1592222047504803,13.160110072194087,0.0,4957.970007496851,0.0
1995,17072.854107144212,2150.5846731840475,0.0,499.42790324494325,13113.993837915845,21485.710359856632,5730.848976976009,1481.4382867450674,0.0,137133.5652602924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.3067709845928,2.254510268155842,29911.43920662395,0.0,2669.341605178467,12.5094415034669,0.0,0.0,0.0,0.0,0.0,4.814505894570834,3791.7966963450626,37.02882379549989,259.7971789567888,2.1592222047504803,13.348536251524797,0.0,4956.843875345802,0.0
1996,17107.53423258656,2151.9998857602723,0.0,504.10615450936797,13125.45779412122,21414.570271609253,5733.774511546874,1507.662180658597,0.0,137581.04642697092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.68291529543205,2.254510268155842,29440.090221033723,0.0,2666.8189945904787,12.5094415034669,0.0,0.0,0.0,0.0,0.0,4.814505894570834,3802.767811665562,37.02882379549989,264.50166843407305,2.1592222047504803,13.348536251524797,0.0,4956.935670011601,0.0
1997,17143.03629685923,2155.208593111075,0.0,503.91849476347386,13141.749342480238,21394.901847609817,5716.583680305594,1523.2412374228115,0.0,137957.76788418568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.34007062780836,2.254510268155842,29016.671492066565,0.0,2662.8018892944124,13.074123952195716,0.0,0.0,0.0,0.0,0.0,4.814505894570834,3815.148756814038,37.02882379549989,269.01889467289755,2.1592222047504803,13.348536251524797,0.0,4955.995576131438,0.0
1998,17203.724908679455,2161.348459082721,0.0,507.3842680024292,13180.667974342312,21403.862046654325,5679.648316940586,1492.2307041300523,0.0,138577.3599573114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.99984527017585,2.254510268155842,28346.268777450896,0.0,2659.43790112861,14.297372549053655,0.0,0.0,0.0,0.0,0.0,4.814505894570834,3814.299804475546,37.02882379549989,271.46318243741035,3.3802933899532803,13.536757856138747,0.0,4955.055369052549,0.0
1999,17272.55913401122,2159.6388594767172,0.0,524.696265937571,13230.490101007992,21251.78364849939,5714.662067971351,1487.15389158314,0.0,139274.08185386524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.3164025712656,2.254510268155842,27617.216901159663,0.0,2657.7683477621013,14.297372549053655,0.0,0.0,0.0,0.0,0.0,5.097495004097511,3826.774246664464,36.561437619382545,275.5996811166153,3.4739608248005087,13.536757856138747,0.0,4959.100842963401,0.0
2000,17299.103791762467,2166.525807930802,0.0,533.0125114554979,13230.717974781604,20946.05553731119,5713.48799203508,1769.130031620574,0.0,140551.97708194453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.821759772985,2.254510268155842,26304.15342553763,0.0,2643.2009011193645,14.578082262159917,0.0,0.0,0.0,0.0,0.0,5.097495004097511,3847.432862026677,38.532925870968626,280.4883076260038,5.352764162103225,14.099875964975988,0.0,4960.040140254855,0.0
2001,17335.682585114675,2174.34395709624,0.0,536.100127434629,13260.743601772227,20875.352068329514,5697.463054055315,1748.5379814859393,0.0,140803.02053539353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.57237642711414,1.5039529304744723,26051.225951351407,0.0,2638.6215913286414,14.578082262159917,0.0,0.0,0.0,0.0,0.0,5.097495004097511,3883.0323081661404,38.626493652630444,289.8032047045406,5.446755401489953,13.911673574139206,0.0,4951.399983226763,0.0
