year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,138.31653611785347,428.1964039905715,0.0,0.0,185.45105318944147,846.3630034435728,191318.97944791112,234.95324738243292,0.0,0.0,0.0,0.0,0.0,12.482743040036745,0.0,0.0,0.0,3856.796445558414,641.2033720502092,8008.176150492499,0.0,0.0,558.2408378522456,0.0,16.34506671708329,0.0,0.0,0.0,2641.4636634958224,32.15554958663378,1027.489988416679,67.32163923129656,26.39915132783809,0.0,0.0,735.2883602305926,0.0
1993,187.3285007817597,516.9343120600497,0.0,0.0,244.07718808411386,1073.5178815180673,190410.48766544112,196.90826632296964,0.0,0.0,0.0,0.0,0.0,12.482743040036745,0.0,0.0,0.0,3899.1789000515087,675.7997360481377,8223.997576310885,0.0,0.0,575.7140644836861,0.0,16.725133745038228,0.0,0.0,0.0,2627.40088465175,30.262280434440775,1086.245503199836,71.78117095517202,26.87412453620952,0.0,0.0,899.9067283698299,0.0
1994,187.04386469734743,516.9343120600497,0.0,0.0,244.07718808411386,1073.1389899074177,190410.10845708477,196.90826632296964,0.0,0.0,0.0,0.0,0.0,12.482743040036745,0.0,0.0,0.0,3898.8940526869915,675.514872986483,8223.807722174515,0.0,0.0,575.7140644836861,0.0,16.725133745038228,0.0,0.0,0.0,2627.40088465175,30.262280434440775,1085.9612859067129,73.86768886222612,26.87412453620952,0.0,0.0,899.9067283698299,0.0
1995,207.51604249468934,556.9785256556346,0.0,0.0,259.0573126193229,1164.3657410340575,190023.2672338498,189.977242936391,0.0,0.0,0.0,0.0,0.0,12.199250175396914,0.0,0.0,0.0,3916.273607840922,688.8997183283866,8263.008141326602,0.0,0.0,588.6183763609401,0.0,18.244458598848794,0.0,0.0,0.0,2617.62547010332,29.125189264919914,1157.7755558031981,77.47054972290294,27.91871873440909,0.0,0.0,977.3015251847105,0.0
1996,214.23760546403088,588.5391794458639,0.0,0.0,266.8328355272179,1206.4702946487246,189822.47409122877,185.60350526949563,0.0,0.0,0.0,0.0,0.0,12.199250175396914,0.0,0.0,0.0,3927.2917085022505,697.7245667579074,8278.424820102455,0.0,0.0,594.6941947516345,0.0,18.244458598848794,0.0,0.0,0.0,2612.694166370879,29.03068648404847,1190.048508408723,81.45277922026855,28.203837858773312,0.0,0.0,1021.456171219218,0.0
1997,215.94242101401684,609.4078931315831,0.0,0.0,270.2448043851329,1229.4281677096903,189602.7933277531,183.22511781957184,0.0,0.0,0.0,0.0,0.0,11.443820795492428,0.0,0.0,0.0,3939.4502235938094,707.884938498883,8290.323656590046,0.0,0.0,602.1937275887893,0.0,18.244458598848794,0.0,0.0,0.0,2601.880372953832,28.747194911349833,1226.6629568302114,87.33536184690583,29.53459739045909,0.0,0.0,1120.8796186226336,0.0
1998,217.45782807532228,623.9319355361322,0.0,0.0,272.80697707706776,1241.1038548840154,189474.57032213485,181.7078740158041,0.0,0.0,0.0,0.0,0.0,11.443820795492428,0.0,0.0,0.0,3960.5276384104113,713.1001099882765,8296.714292639263,0.0,0.0,606.654330144242,0.0,18.244458598848794,0.0,0.0,0.0,2596.846946037556,27.802172256627433,1244.881440634282,93.50145331651312,30.104348884262635,0.0,0.0,1164.2228566054177,0.0
1999,218.87788256051132,657.0061197951725,0.0,0.0,282.48479830002367,1276.7769880217327,189227.99773819456,180.08886732048873,0.0,0.0,0.0,0.0,0.0,11.443820795492428,0.0,0.0,0.0,3982.943164701558,721.3738689086211,8331.45785685252,0.0,0.0,618.9086165114358,0.0,22.235472566455698,0.0,0.0,0.0,2592.5702718673297,25.910770925906615,1300.2381278012806,99.18847693013356,32.66930762598623,0.0,0.0,1193.4505103552524,0.0
2000,218.21428988462657,660.6041656424967,0.0,0.0,284.2868893097929,1276.8694411712904,189203.60921700738,179.99350449710113,0.0,0.0,0.0,0.0,0.0,11.443820795492428,0.0,0.0,0.0,3993.196120764745,721.6594909337653,8327.85457829667,0.0,0.0,619.8571351720465,0.0,22.235472566455698,0.0,0.0,0.0,2591.242267710187,25.910770925906615,1299.5780346297959,103.5499126148584,33.714085619902484,0.0,0.0,1201.8034624918769,0.0
2001,218.21468582873192,670.1733950479095,0.0,0.0,286.18093751141913,1281.6135213285283,189182.18644203985,180.18454047860538,0.0,0.0,0.0,0.0,0.0,11.443820795492428,0.0,0.0,0.0,4000.702320226178,723.9441117540645,8319.386655981561,0.0,0.0,620.6175565463554,0.0,22.425340365996497,0.0,0.0,0.0,2590.8618586237094,25.910770925906615,1298.4393414707451,103.64467669536128,33.24073537053477,0.0,0.0,1206.451949043434,0.0
