year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,4291.972720560684,499.0102173120917,3.417595799573329,0.0,2188.6612789036158,20671.42844119106,64766.20087951821,8324.480437114295,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4403.277081431179,768.768361862583,182.70742103431886,0.0,0.0,4072.340474612232,0.0,1.2048899604238221,0.0,0.0,0.0,111.4828792747434,581.293641318459,171.35741551023216,217.909991869712,6.487602789935111,0.0,0.0,2965.7451718827633,0.0
1993,4290.0400878627615,498.6401186888753,3.417595799573329,0.0,2188.385450917136,20671.244193523416,64766.01670970051,8324.480437114295,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4402.999384972629,768.490908951918,182.70742103431886,0.0,0.0,4072.1559259360815,0.0,1.2048899604238221,0.0,0.0,0.0,111.4828792747434,581.293641318459,171.35741551023216,221.59666670804668,6.487602789935111,0.0,0.0,2965.7451718827633,0.0
1994,4288.383222010497,498.45552225687845,3.417595799573329,0.0,2187.740529324702,20670.691225657538,64765.74054704651,8324.480437114295,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4402.9068254856775,767.8441705433142,182.70742103431886,0.0,0.0,4071.97148697855,0.0,1.2048899604238221,0.0,0.0,0.0,111.4828792747434,581.293641318459,171.35741551023216,226.01956536747866,6.487602789935111,0.0,0.0,2965.5615244729943,0.0
1995,4444.970167570983,539.3763469604258,3.417595799573329,0.0,2277.698135527595,21359.77494667044,63732.41809209228,8316.060422846409,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4332.430358982247,805.2231430743303,182.79949672057236,0.0,0.0,4155.0042048382375,0.0,1.2048899604238221,0.0,0.0,0.0,111.20724686464102,574.2049090580892,151.62171182657085,231.27607586063337,6.301643433260845,0.0,0.0,3002.757113859402,0.0
1996,4443.775568093298,539.1884341854251,3.417595799573329,0.0,2278.2510014765326,21236.836162998145,63804.730069810226,8321.704829971946,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4274.447091661473,827.9695346444719,182.98361245772801,0.0,0.0,4206.668406588242,0.0,1.2048899604238221,0.0,0.0,0.0,112.40305187078121,572.2721284898122,152.81791168829392,235.97963745112705,6.02315332332512,0.0,0.0,3027.0734214753074,0.0
1997,4445.146699829435,542.22150121705,3.417595799573329,0.0,2283.237628459974,21192.813439955546,63792.77587336378,8322.81696191566,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4265.933739310853,835.7975375026333,182.98361245772801,0.0,0.0,4235.028492330539,0.0,1.2048899604238221,0.0,0.0,0.0,114.70253680018146,572.1781279585588,151.33970000662322,241.60522029308703,5.465273169224004,0.0,0.0,3039.0776716152,0.0
1998,4447.817919951682,543.6906261775048,3.417595799573329,0.0,2325.8564492331934,21019.384225399517,63780.15022420743,8384.091263308428,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4256.181067058265,846.6654352641447,183.25946948709273,0.0,0.0,4290.191081755007,0.0,1.2048899604238221,0.0,0.0,0.0,118.38272872845734,571.8144131885408,151.1601629430757,249.71924095863716,5.465273169224004,0.0,0.0,3049.2944353559274,0.0
1999,4450.207990430942,550.3116869238231,3.417595799573329,0.0,2347.606124516838,20789.38889330969,63769.09964701126,8452.522996603706,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4208.614059795397,867.6689138023215,183.53528431720636,0.0,0.0,4427.082480108244,0.0,1.2048899604238221,0.0,0.0,0.0,119.5783265059374,577.4786726075802,149.38986041832067,258.39090998396796,5.465273169224004,0.0,0.0,3066.782896681671,0.0
2000,4442.178389964525,550.2129286791314,3.417595799573329,0.0,2358.0966246626945,20043.548690056527,64228.51823130696,8541.811286416629,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4267.0437295149295,878.0861536148738,182.88591635096765,0.0,0.0,4525.266776769927,0.0,1.2048899604238221,0.0,0.0,0.0,129.97431647047634,578.1292223185628,153.44518885701189,268.72202954631484,4.442480558686828,0.0,0.0,3070.762051097913,0.0
2001,4440.427141266254,555.0808558131341,3.417595799573329,0.0,2325.1541547200413,19649.594156948693,64521.042483631114,8585.78860133385,0.0,0.0,0.0,0.0,0.0,0.1856461154629612,0.0,0.0,0.6452479265283271,4287.396255052981,884.2586516243128,181.77301988718426,0.0,0.0,4594.65358317092,0.0,1.2048899604238221,0.0,0.0,0.0,133.19237481164257,581.3428959720063,149.84400964124626,276.8313470554362,4.442480558686828,0.0,0.0,3052.3020046986585,0.0
