year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9981353447574,202.77574286119636,0.0,2.0905374949724917,18707.376918810063,12233.92410704734,21286.019145479233,0.0,0.0,0.0,0.0,0.0,6793.099905129365,24.796464069912574,19467.902010005124,0.2118405169565559,0.0,14190.375814019675,10953.822383406996
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9564817658024,202.77574286119636,0.0,2.0905374949724917,18707.29532922326,12233.757397025249,21285.51881993052,0.0,0.0,0.0,0.0,0.0,6793.099905129365,25.58674280648201,19467.902010005124,0.2118405169565559,0.0,14190.375814019675,10953.822383406996
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9564817658024,202.77574286119636,0.0,2.0905374949724917,18707.172855469602,12233.674173122874,21284.393869661835,0.0,0.0,0.0,0.0,0.0,6793.099905129365,26.917390731203547,19467.902010005124,0.2118405169565559,0.0,14190.375814019675,10953.822383406996
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9564817658024,202.77574286119636,0.0,2.0905374949724917,18707.09042457191,12233.549312298494,21282.60092659274,0.0,0.0,0.0,0.0,0.0,6793.099905129365,28.917625522380533,19467.902010005124,0.2118405169565559,0.0,14190.375814019675,10953.822383406996
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9564817658024,202.77574286119636,0.0,2.0905374949724917,18706.64973275357,12233.507696189981,21280.683155908642,0.0,0.0,0.0,0.0,0.0,6793.099905129365,31.317704133321907,19467.902010005124,0.2118405169565559,0.0,14190.375814019675,10953.822383406996
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9564817658024,202.77574286119636,0.0,2.0905374949724917,18706.20319083617,12233.466084244072,21278.933605889382,0.0,0.0,0.0,0.0,0.0,6793.058614076773,33.59669906849011,19467.902010005124,0.2118405169565559,0.0,14190.375814019675,10953.822383406996
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9564817658024,202.77574286119636,0.0,2.0905374949724917,18705.361906541384,12233.466084244072,21277.312756830113,0.0,0.0,0.0,0.0,0.0,6793.058614076773,36.05883242254212,19467.902010005124,0.2118405169565559,0.0,14190.375814019675,10953.822383406996
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9564817658024,202.77574286119636,0.0,2.0905374949724917,18704.76152371843,12233.466084244072,21276.686709838432,0.0,0.0,0.0,0.0,0.0,6793.058614076773,37.28526223718302,19467.902010005124,0.2118405169565559,0.0,14190.375814019675,10953.822383406996
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9564817658024,202.77574286119636,0.0,2.0905374949724917,18704.008082462096,12233.382104227252,21275.97756306617,0.0,0.0,0.0,0.0,0.0,6793.018020945383,38.91409363883722,19467.902010005124,0.2118405169565559,0.0,14190.334143794815,10953.822383406996
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5827349409986742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08020093673039466,25.489262282004283,3316.9564817658024,202.77574286119636,0.0,2.0905374949724917,18704.008082462096,12233.382104227252,21275.97756306617,0.0,0.0,0.0,0.0,0.0,6793.018020945383,38.91409363883722,19467.902010005124,0.2118405169565559,0.0,14190.334143794815,10953.822383406996
