year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1126006.9525035957,38082.136015742464,11797.795910982011,685035.8548791988,149907.3382254575,155635.38915009622,98870.85763283522,256216.5167178222,12148.32363032502,0.0,92283.58848303452,18.046448617001015,1.4423712299923994,672.0791204707441,7.2255332836601145,0.0,26.97640900603587,120261.85176588105,6887.0371657989035,59526.448613350745,21105.918662287684,52482.56573515759,112866.96118490517,0.0,6048.2436641584945,0.0,0.0,0.0,0.0,2294.371857580039,19483.196011741496,7409.1855712003435,34531.09581267711,142.3286854060014,341.58656484730324,64513.98348835542,16607.17021603558
1993,1125936.4472458654,38067.6573633138,11797.607950970967,684996.8219304859,149892.17491525045,155620.49948929387,98869.10569333345,256216.06216217365,12148.32363032502,0.0,92283.05825437354,18.046448617001015,1.4423712299923994,671.9889521033123,7.2255332836601145,0.0,26.97640900603587,120260.15912345532,6886.149469835328,59525.53791673505,21105.918662287684,52482.48167122929,112854.01473874343,0.0,6047.403077674048,0.0,0.0,0.0,0.0,2293.5569119763472,19483.196011741496,7587.71226219193,34530.165280894806,142.3286854060014,341.58656484730324,64511.64908840102,16607.17021603558
1994,1125866.0047895801,38058.43732585626,11797.337699087528,684959.7429211051,149879.1186179412,155604.82138201818,98867.01287115323,256215.6109685566,12148.32363032502,0.0,92282.79506590412,18.046448617001015,1.4423712299923994,671.9889521033123,7.2255332836601145,0.0,26.97640900603587,120258.04871516963,6884.8351144491735,59524.56350375748,21105.729733493252,52482.31249588052,112837.5878691581,0.0,6046.734670407396,0.0,0.0,0.0,0.0,2293.1928449203556,19483.020577919964,7762.519019392951,34528.63695002992,142.3286854060014,341.58656484730324,64509.31608444545,16607.17021603558
1995,1127873.4427619192,38167.025896855295,11846.364081142134,685938.9844650474,150638.67766250382,155161.13985782315,98267.74784185001,253987.56058993455,12163.253812399504,0.0,92754.95453349574,18.046448617001015,1.4423712299923994,672.4335243245807,7.2255332836601145,0.0,26.97640900603587,120446.4196720745,6871.448517489242,58702.7491504716,21199.765970079745,52512.75549489183,111994.04850348938,0.0,6062.197684748374,0.0,0.0,0.0,0.0,2236.5382631807747,19533.64064092977,7923.155079673492,34568.966237878034,144.32822942502594,344.06394626015714,64539.94463502198,16607.17021603558
1996,1128589.9376589153,38196.81803095136,11851.458796807012,686110.9454955605,151154.48935465977,155118.77402991595,99285.40426576498,253002.854894123,12197.201946744717,0.0,93030.33378542011,18.046448617001015,1.4423712299923994,672.7010513117934,7.2255332836601145,0.0,26.97640900603587,120688.97699707819,6867.430410929543,56569.38849304517,21202.679745164824,52527.05043433663,111839.97920277086,0.0,6063.0168042450705,0.0,0.0,0.0,0.0,2242.1028510284245,19589.393988058302,8089.361182498029,34584.596491185046,144.88458790294146,344.38301338110494,64587.44354111159,16607.17021603558
1997,1129746.2055615485,38386.72603884543,12016.441306823353,686479.3874608064,151929.57490145962,155726.383886614,99646.32576213416,251663.01652727727,12162.796779804417,0.0,92176.79455003835,18.046448617001015,1.4423712299923994,672.7010513117934,7.2255332836601145,0.0,26.97640900603587,120906.1334304653,6877.81940454868,54730.5423088603,21227.30176562174,52543.507637645154,111778.83344323988,0.0,6064.547920641965,0.0,0.0,0.0,0.0,2234.383945604219,19611.399727426175,8246.315567070576,34601.07213131249,145.36192773677163,345.4583529819874,64632.575663091164,16607.17021603558
1998,1130214.7976244434,38444.97669060227,12086.008074289635,686725.0727872099,152509.80032752498,156361.76637743728,99905.95345569981,249970.63224268312,12182.635459695051,0.0,91939.70956389693,18.046448617001015,1.4423712299923994,672.966539402594,7.2255332836601145,0.0,26.97640900603587,121098.61221456583,6893.357252742958,53756.69221247436,21256.43313312674,52613.41680468833,111695.35703178949,0.0,6072.280983837026,0.0,0.0,0.0,0.0,2235.3042421608457,19743.568288740607,8403.913004531074,34632.52059074377,145.7620932321718,350.68423282799176,64639.38582456353,16607.17021603558
1999,1131379.2326676978,38534.9977853247,12124.923631198253,686898.7047175464,153422.04376740052,157951.35587346577,101718.87129285958,247212.0294920119,12269.527373197083,0.0,91343.75270103631,18.046448617001015,1.4423712299923994,673.3273749598686,7.2255332836601145,0.0,26.97640900603587,122268.27059086511,6935.077884928413,49705.79586132353,21265.653814420933,52704.58150340124,111683.68668572509,0.0,6090.989144880593,0.0,0.0,0.0,0.0,2229.6111746275014,19775.10911637995,8559.299939496586,34639.441532115554,146.55762191197925,351.77283565504024,64666.99267048071,16607.17021603558
2000,1131291.0633003179,38570.88245044331,12249.378556621972,687017.4362989544,153194.55491378863,157802.1465611839,103311.58533172967,247335.57915351374,12275.018028614053,0.0,91353.6890735666,18.046448617001015,1.4423712299923994,673.3273749598686,7.2255332836601145,0.0,26.97640900603587,122958.06742373631,6980.868905059122,46959.12373849893,21244.026086896396,52871.727377301,111562.19987895698,0.0,6110.735489948099,0.0,0.0,0.0,0.0,2243.5403756107207,19804.734517437155,8731.82494983575,34763.91627389567,148.55252673940404,360.58608117311,64737.04238412678,16607.17021603558
2001,1131172.958213132,38623.79561954492,12280.090969314535,686914.9045648162,153161.81986417942,158284.77146591153,103381.8523477418,245453.43714987134,12312.962832056137,0.0,91128.71336390369,18.046448617001015,1.4423712299923994,677.2229286620137,7.2255332836601145,0.0,26.97640900603587,124303.4802372914,6983.306611122169,46234.85288867453,21323.492402536318,52927.35711729009,110810.55345497627,0.0,6103.226796813856,0.0,0.0,0.0,0.0,2298.0746620686655,19816.14738861124,10301.39890275718,34781.33511868378,151.6511290272063,361.47031411568054,64762.73070980684,16607.17021603558
