year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,38993.39708081609,74873.83103974533,19622.456269186958,4165.557580363597,10236.773484019986,12699.704154065303,0.0,60729.49582007334,27.389778546823745,0.0,16486.63280218109,0.0,0.0,277.31224005614064,0.0,0.0,4928.669126316526,9645.366915046834,187.84618262913884,4512.6075040853175,0.0,8.34385299902524,17708.617115881996,0.0,2173.1676035582122,0.0,0.0,1.7991604767556457,0.0,0.0,299.8260966645091,6316.904219518711,7092.565220327173,1259.844880833714,214.34914466423382,21810.445513688537,397.6757602671597
1993,38963.318288245115,74867.33159100502,19617.95131082683,4164.4829446296135,10226.129068703338,12699.088957532176,0.0,60727.25355601904,27.389778546823745,0.0,16486.4926322027,0.0,0.0,277.31224005614064,0.0,0.0,4928.469413492395,9642.890927631246,187.84618262913884,4512.465469503611,0.0,8.34385299902524,17707.737430865967,0.0,2171.9223765508264,0.0,0.0,1.7278935736510288,0.0,0.0,299.7580379682747,6484.185623811411,6989.348252974279,1259.844880833714,214.34914466423382,21807.262930480752,397.6757602671597
1994,38927.58127069284,74857.94774296661,19611.86092752734,4163.148308020973,10216.7547051528,12698.484147710808,0.0,60724.323696955784,27.389778546823745,0.0,16485.95564759452,0.0,0.0,277.31224005614064,0.0,0.0,4928.26987062192,9640.821704370888,187.84618262913884,4512.1181833594865,0.0,8.34385299902524,17706.333937415733,0.0,2170.4848709611083,0.0,0.0,1.5853536150216465,0.0,0.0,299.623726289453,6677.511879051539,6871.532299090886,1259.7761959642107,214.34914466423382,21803.547119487994,397.6757602671597
1995,38915.2865485584,74932.32643457843,19691.670020978818,4121.9288566128525,10163.769045388111,11998.835442469088,0.0,61085.72869666882,28.45481616882349,0.0,16380.442352841657,0.0,0.0,276.91828831494445,0.0,0.0,5041.493743256798,9700.223913682983,185.35477341322002,4520.325820245679,0.0,8.34385299902524,17830.664065377954,0.0,2159.741383962174,0.0,0.0,1.5140897882945308,0.0,0.0,301.30342685820597,6876.8921771332225,6749.343494090457,1265.694887458231,214.7872198013189,21821.85943509776,397.6757602671597
1996,38903.29146493973,74947.67604063649,19683.042037090312,4098.788457774399,10154.160878672834,11905.700986049535,0.0,61027.311854037485,28.45481616882349,0.0,16251.095976852208,0.0,0.0,276.91828831494445,0.0,0.0,5054.470465334665,9723.395933482469,185.8807644884037,4520.889448566906,0.0,8.34385299902524,17900.747906935172,0.0,2181.293518197052,0.0,0.0,1.5140897882945308,0.0,0.0,301.3777515248356,7076.900870850464,6661.673667397863,1270.5133697490419,215.06823637847998,21894.3921095159,397.6757602671597
1997,38907.76738183061,74956.55967769587,19684.09460169827,4092.224226076622,10165.255536642619,11916.89588415381,0.0,60807.85525407704,28.45481616882349,0.0,16187.905306316658,0.0,0.0,276.1302325429027,0.0,0.0,5053.322593412202,9748.783354853565,187.9808664927096,4522.488526869179,0.0,8.267784170005932,18005.10171780294,0.0,2189.5547332882616,0.0,0.0,1.5140897882945308,0.0,0.0,301.04453451048204,7291.028215728294,6553.186466914522,1271.9546256553424,215.06823637847998,21900.464122677804,397.6757602671597
1998,38980.004768738836,75002.31116198961,19690.288468157632,4075.103190181636,10193.303157623823,12011.08800474489,0.0,60322.86332211642,28.322081429848254,0.0,15954.42556527735,0.0,0.0,267.8276871975376,0.0,0.0,5047.981410915871,9807.586120364815,195.3592784145649,4539.334517518818,0.0,8.267784170005932,18278.263647177457,0.0,2205.4928505631983,0.0,0.0,1.4428259615674153,0.0,0.0,300.43961421832165,7526.469673512266,6440.970806127684,1278.1047410414517,215.20349149674618,21902.44861680491,397.6757602671597
1999,39373.68173819144,75367.14217846391,19762.479928896155,4062.357055593079,10266.590162237924,12099.33958827627,0.0,58846.988556964265,28.654209398697446,0.0,15165.676770723907,0.0,0.0,265.51814908136373,0.0,0.0,5054.508094265,10069.562349316957,201.37783690838359,4780.698806208123,0.0,8.267784170005932,18649.85126978107,0.0,2233.502472190122,0.0,0.0,1.229277919476958,0.0,0.0,299.20119692392024,7765.974250111273,6355.756906650078,1288.4639099065437,218.226596572865,22107.853696994487,397.6757602671597
2000,39419.80144240373,75371.57919277657,19771.25025031186,4052.0905802843245,10317.463251622296,12243.568325040822,0.0,58329.16210094662,28.13456676861638,0.0,15030.807524365635,0.0,0.0,264.39776570355514,0.0,0.0,5050.892924204528,10150.125427694556,203.96106933759626,4842.126110990629,0.0,8.267784170005932,18772.830841147734,0.0,2242.118410564509,0.0,0.0,1.0869967908599856,0.0,0.0,299.07278676042984,7998.620601595787,6250.944457028472,1292.6936575802208,218.86005187431385,22113.046665781734,397.6757602671597
2001,39415.95389116263,75432.65980661949,19890.572436514307,4055.730522802003,10317.043177278509,12181.843568805047,0.0,58099.27719404328,27.836385515384062,0.0,14874.299769434863,0.0,0.0,263.67149489256246,0.0,0.0,5044.275626669213,10113.099209213213,206.34755571026216,4904.850681685433,0.0,8.5326912277352,18837.905665243332,0.0,2243.15981067436,0.0,0.0,1.0869967908599856,0.0,0.0,299.8985697101029,8405.415205826217,6027.936389386908,1293.023458325343,218.8605430587691,22109.62213515566,397.6757602671597
2002,39335.48270963768,75435.52046418286,19931.501434117832,4060.4928601164856,10308.501413436776,12136.127060701436,0.0,57916.79986116345,27.836385515384062,0.0,14815.789481790369,0.0,0.0,263.3418288669625,0.0,0.0,5036.366718835886,10110.88622536429,207.66908169281842,4914.358723577853,0.0,8.5326912277352,18875.354972617002,0.0,2242.552159996954,0.0,0.0,1.0158654405350827,0.0,0.0,300.50492368996254,8955.44708379943,5767.786383274004,1294.2381402754488,218.58308933132477,22108.213227092914,397.6757602671597
2003,39246.61482582387,75365.07415433945,19952.933390592632,4049.9229191653844,10319.669216949434,11849.756157296471,0.0,58076.01161793002,27.836385515384062,0.0,14624.392837355475,0.0,0.0,263.07847210514615,0.0,0.0,5034.223643134244,10137.781971726214,206.86153624191266,5035.864111419837,0.0,8.459742566231672,18867.91276017573,0.0,2244.8826345421976,0.0,0.0,1.0158654405350827,0.0,0.0,300.2152150001654,9432.733296298096,5609.303099197756,1294.9391070805032,218.0759190490087,22105.343906799666,397.6757602671597
2004,39191.61359531899,75289.06685021678,19965.05266926475,4041.30045027902,10333.914176262751,11730.356979527021,0.0,57991.06765779201,27.836385515384062,0.0,14446.035659526606,0.0,0.0,261.6966435458691,0.0,0.0,5020.0638997248225,10220.000378965125,209.67619828037184,5121.329562807134,0.0,8.459742566231672,18887.200248241923,0.0,2242.9023445458924,0.0,0.0,0.94473409021018,0.0,0.0,299.90619534595214,9901.242049902407,5464.072270908701,1295.5901559466454,218.69346331978298,22104.880473850943,397.6757602671597
