year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,4505.74468063239,475.7673454175335,0.0,1.487027903898472,250.1787648249086,194.57904133423784,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.8370265280974993,0.0,2.4369683059125595,18.55663092314081,0.0,451.85831944324127,0.0,0.0,1282.4641558909075,0.0,0.0,0.4903649220206705,223.13505836659866,80783.6572674066,132.33618714845895,42.55746036040307,833.5234050115625,0.0
1993,4500.002029893107,475.7673454175335,0.0,1.487027903898472,250.1787648249086,194.57904133423784,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.8370265280974993,0.0,2.275043014243251,18.55663092314081,0.0,451.7774070463977,0.0,0.0,1282.4641558909075,0.0,0.0,0.4903649220206705,235.51212343081048,80777.26569077016,132.33618714845895,42.55746036040307,833.5234050115625,0.0
1994,4493.775570273394,475.7673454175335,0.0,1.487027903898472,250.1787648249086,194.49857358615242,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.8370265280974993,0.0,2.194081593593572,18.55663092314081,0.0,451.7774070463977,0.0,0.0,1282.4641558909075,0.0,0.0,0.4903649220206705,248.7769491239375,80770.3887538655,132.33618714845895,42.55746036040307,833.5234050115625,0.0
1995,4480.874827810967,479.217087085284,0.0,1.487027903898472,250.58464855492545,191.51055558631447,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.755996599313086,0.0,2.0320608501895787,18.55663092314081,0.0,427.02521792278526,0.0,0.0,1282.9387824212752,0.0,0.0,0.4903649220206705,260.66628171436105,80799.27369507586,133.16825354528459,42.55746036040307,828.4708131438658,0.0
1996,4475.777403787186,480.43684811938897,0.0,1.487027903898472,250.5873929615403,191.51055558631447,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.755996599313086,0.0,1.9510504784875817,18.63815787234399,0.0,397.2072208521877,0.0,0.0,1281.3098527488837,0.0,0.0,0.4903649220206705,270.3732356881263,80827.58033945304,133.16825354528459,42.55746036040307,825.7785435414546,0.0
1997,4471.306664740024,480.9124521322102,0.0,1.487027903898472,250.4265719943995,191.34911484357406,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.755996599313086,0.0,1.9510504784875817,18.63815787234399,0.0,393.29462109045943,0.0,0.0,1280.8186275445632,0.0,0.0,0.4903649220206705,277.58649012595333,80828.5059019382,133.75065833259643,42.55746036040307,825.7785435414546,0.0
1998,4469.286139862746,481.4032346089452,0.0,1.487027903898472,251.08091129213295,191.34911484357406,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.755996599313086,0.0,1.9510504784875817,18.80167412840319,0.0,390.76319355594393,0.0,0.0,1280.8186275445632,0.0,0.0,0.4903649220206705,282.947184307722,80828.90812044559,134.41342124794022,42.55746036040307,822.5961823182163,0.0
1999,4470.988908962083,488.69182448050026,0.0,1.487027903898472,251.08767454460366,191.34911484357406,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.755996599313086,0.0,1.9510504784875817,19.209080235379364,0.0,382.12301598925933,0.0,0.0,1280.8186275445632,0.0,0.0,0.5719879146316793,288.8513752809275,80828.02899219397,134.41342124794022,42.55746036040307,816.72414584037,0.0
2000,4471.468048822842,495.2607628038476,0.0,1.487027903898472,250.6861731413091,191.5921899661916,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.755996599313086,0.0,1.9510504784875817,19.209080235379364,0.0,377.6764335692253,0.0,0.0,1281.3037745568658,0.0,0.0,0.5719879146316793,295.165468272123,80821.15138453859,134.41342124794022,42.55746036040307,814.3594440088748,0.0
2001,4466.875708156248,501.66725577185673,0.0,1.487027903898472,250.6861731413091,187.312346954288,0.0,0.16109200574654237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83887000248342,0.08037558622002174,2.6750155894413363,0.0,1.7891251871988147,19.535079765158542,0.0,352.91665011652776,0.0,0.0,1284.0480385118842,0.0,0.0,0.5719879146316793,315.3134993587296,80826.2168308203,134.41342124794022,42.55746036040307,813.5440836201024,0.0
