year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,568.6758704594954,28225.26563481817,0.0,0.0,5432.423769869575,35.43098963306517,0.0,17910.804900675514,9579.886532531427,0.0,24846.56132635701,0.0,0.0,464.93095228499493,0.0,0.0,16.8430888711213,261.3470689751508,13.916634579674199,140.08018730924996,408.4912073869583,192.5338622275503,435.05251110022255,0.0,652.0058382715562,0.0,0.22866664213400711,0.0,38.02558744388532,0.0,51.400039426600465,1422.5934699586749,698.6236239198216,0.0,0.0,7653.304208612131,0.0
1993,568.2905828230626,28221.019461856355,0.0,0.0,5432.115605766648,35.43098963306517,0.0,17910.804900675514,9579.57694530215,0.0,24845.941449110986,0.0,0.0,464.1737058204705,0.0,0.0,16.8430888711213,256.09955647030614,13.916634579674199,139.08813758654142,408.4912073869583,192.37845311317298,429.56404510864826,0.0,648.5489960535579,0.0,0.22866664213400711,0.0,38.02558744388532,0.0,51.322669249676714,1463.2017139132718,681.2248954480604,0.0,0.0,7652.138678498711,0.0
1994,567.3649553088703,28216.553835933664,0.0,0.0,5431.507005772274,35.43098963306517,0.0,17910.804900675514,9579.499122668829,0.0,24845.316497785927,0.0,0.0,463.17959136324237,0.0,0.0,16.8430888711213,251.833699109702,13.916634579674199,137.48464521463984,408.4912073869583,192.30286463365658,424.30480998186573,0.0,643.9628948694728,0.0,0.22866664213400711,0.0,38.02558744388532,0.0,51.322669249676714,1501.7103489173642,666.7430006850154,0.0,0.0,7651.598954627415,0.0
1995,292.41812179957896,29327.22093211574,0.0,0.0,5423.347377533128,36.20248727652653,0.0,18011.99130114964,9647.387430753357,0.0,23829.794414208278,0.0,0.0,462.5110552356336,0.0,0.0,15.611894719839635,248.97238482880178,13.916634579674199,138.88242663862744,416.80337351192793,197.3541154532507,421.1006198243776,0.0,629.2070187437075,0.0,0.30706077529375825,0.0,38.02558744388532,0.0,52.026056820106874,1542.052204246809,645.2663581004688,0.0,0.0,7658.027115595383,0.0
1996,257.6580475492482,29346.15405498337,0.0,0.0,5422.511231521769,36.20248727652653,0.0,18018.792089197043,9651.710544554562,0.0,23795.96999302374,0.0,0.0,462.82289000237216,0.0,0.0,14.849385928920041,245.55925609597492,14.070580704157027,137.74254185996284,416.5722436143139,196.74671544496712,417.11542952321327,0.0,644.5082543816573,0.0,0.38443095221750545,0.0,38.02558744388532,0.0,52.338369613404566,1581.9797647414864,633.7900398136818,0.0,0.0,7662.922033127556,0.0
1997,229.0792026895949,29410.32364194912,0.0,0.0,5439.507088280247,36.196919619787344,0.0,18019.4034861179,9651.837831985646,0.0,23714.983993943522,0.0,0.0,464.51944474507525,0.0,0.0,14.541809369529476,243.27965900579872,14.532279768659626,136.82339992003944,418.63335427699866,197.04725819200414,413.7067981264606,0.0,645.771832493326,0.0,0.4611953715204647,0.0,38.18200277973143,0.0,52.33907297652536,1613.911381578548,625.3771417619749,0.0,0.0,7667.967176402007,0.0
1998,218.8854183976942,29575.456480442914,0.0,0.0,5513.0462830320685,36.425631530299185,0.0,18005.715953239014,9643.390639874899,0.0,23482.168715643274,0.0,0.0,463.75855291472175,0.0,0.0,14.772744178677582,241.30929441838103,15.805467725888786,137.50826146174882,428.7348824587415,197.73269489658404,410.7363106872674,0.0,643.1430344786331,0.0,0.4611953715204647,0.0,38.259932380422995,0.0,52.492892998631916,1640.096785864344,614.1536793601667,0.0,0.0,7674.371119998103,0.0
1999,175.92740525813542,30789.61523294447,0.0,0.0,6207.657151614029,44.07717632603041,0.0,17939.12104546763,9509.328447664555,0.0,21707.024651436965,0.0,0.0,459.8571727203915,0.0,0.0,15.611135467607662,248.6338973157621,17.168448024851298,153.31518845244503,475.6111901450079,206.60830245925072,412.34789602204023,0.0,646.5339091931435,0.0,0.5385113405158397,0.0,38.259932380422995,0.0,52.87880384633441,1666.379319185234,600.0769733664321,0.0,0.0,7681.854180722749,0.0
2000,153.4291408653969,30895.131394519463,0.0,0.0,6256.871865398092,47.900698697950546,0.0,17922.50740049615,9497.235295644263,0.0,21564.915798506852,0.0,0.0,462.526643872765,0.0,0.0,16.837523332725087,250.49252081238006,19.383512132407088,153.8641565878488,478.50711917932756,208.42498535103744,410.1387047273678,0.0,648.0724412244215,0.0,0.6166964671446562,0.0,38.259932380422995,0.0,52.799363600718536,1695.9896410561616,589.9754067738534,0.0,0.0,7684.545729727273,0.0
2001,119.84819006823382,31197.494858487957,0.0,0.0,6490.8516371745345,49.49766667106345,0.0,17914.227116096852,9457.11727336868,0.0,21067.74963181885,0.0,0.0,456.8549062856833,0.0,0.0,16.91356330685564,252.25196108788975,19.991113067671765,161.45677781108603,497.6452581515195,210.55875646706625,413.0670645095873,0.0,664.3230154118277,0.0,0.6166964671446562,0.0,38.413086989356906,0.0,54.19462052477443,1695.9896410561616,598.3757839173796,0.0,0.0,7670.987352613819,0.0
