year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,111.23228677212671,148.25290332643445,0.0,0.16649161266959156,87.90644932785571,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.530600507304676,0.0,0.9996500183289148,0.0,0.0,283.45831014303036,0.0,0.0,0.0,0.0,0.0,58.138333087768785,118.73557238723691,14828.435329166967,31.568708686973366,5.505438276787074,948.1240744323369,0.0
1993,110.8993195307148,148.08649095882726,0.0,0.16649161266959156,87.82322955020294,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.44741018530063,0.0,0.9996500183289148,0.0,0.0,283.45831014303036,0.0,0.0,0.0,0.0,0.0,58.05513596405696,122.31550941394269,14826.18720206098,30.985885598644767,5.505438276787074,948.1240744323369,0.0
1994,110.48332941436419,147.92010578067047,0.0,0.16649161266959156,87.74004603011016,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.28095934948687,0.0,0.9996500183289148,0.0,0.0,283.3751243544004,0.0,0.0,0.0,0.0,0.0,57.805549129604074,129.0584541777291,14821.27506927214,30.319855897195534,5.505438276787074,948.1240744323369,0.0
1995,110.81600682497388,148.6695252092201,0.0,0.16649161266959156,88.3222037174574,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.281397583896684,0.0,0.9996500183289148,0.0,0.0,206.82328319488022,0.0,0.0,0.0,0.0,0.0,57.806446163934645,137.55117369713398,14900.08800394823,29.07094863010986,5.589069177622716,936.8699479673618,0.0
1996,110.06728942820831,148.50314229726163,0.0,0.16649161266959156,88.23899299872315,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.69894600746353,0.0,0.9996500183289148,0.0,0.0,185.53453462157827,0.0,0.0,0.0,0.0,0.0,57.72327625294313,144.7100610789613,14919.388865852792,27.988471909710803,5.589069177622716,934.4453564895568,0.0
1997,109.90099255792232,151.4167782373765,0.0,0.16649161266959156,87.82294169763486,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.19989704755382,0.0,0.9996500183289148,0.0,0.0,168.55644471792547,0.0,0.0,0.0,0.0,0.0,58.305404363411625,149.12301804162448,14932.367926719611,27.40555363903313,5.589069177622716,932.1999799151077,0.0
1998,109.81780450250758,151.4167782373765,0.0,0.16649161266959156,87.23978000665696,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.19989704755382,0.0,0.9996500183289148,0.0,0.0,158.62741874045668,0.0,0.0,0.0,0.0,0.0,58.22224125960979,151.8729730096905,14941.292528399099,27.40555363903313,5.589069177622716,931.2039620952143,0.0
1999,110.31725898053959,151.4167782373765,0.0,0.16649161266959156,87.23959269595349,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.19989704755382,0.0,0.9996500183289148,0.0,0.0,150.76515353093052,0.0,0.0,0.0,0.0,0.0,62.61716692498836,153.70641569970275,14958.60523893471,27.40555363903313,5.589069177622716,915.0258812464148,0.0
2000,110.23407546044683,155.44024617006204,0.0,0.16649161266959156,86.8232816441581,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.116718062007934,0.0,0.9996500183289148,0.0,0.0,150.76515353093052,0.0,0.0,0.0,0.0,0.0,62.61716692498836,155.70660492388214,14953.16425533528,27.40555363903313,5.589069177622716,915.0258812464148,0.0
2001,98.33656600541342,151.44695463001057,0.0,0.16649161266959156,86.24072297602922,0.6613630925776712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.70968983475899,0.0,0.9996500183289148,0.0,0.0,146.52156868715292,0.0,0.0,0.0,0.0,0.0,59.28927801043734,225.55009662303627,14925.013593172162,17.08015721694491,4.673497712463187,915.0258812464148,0.0
