year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,1085.82933950639,3426.13816804181,0.0,28570.208732919276,4728.777515955966,11171.992169426736,0.0,210.56057538527656,1.7664208358411964,0.0,4056.7828313302707,1.3610716256410913,0.7131564074262421,4687.528311475059,0.6517037484157455,0.0,2.1463446432140993,3734.9107196648242,6021.234179166209,2509.308157504041,0.0,0.0,77397.68693637363,0.0,18570.002297420466,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,55.520739541571714,16723.49347429604,0.0,3.9776188869486724,7159.285556611115,5537.12847720002
1993,1085.684243153318,3426.13816804181,0.0,28569.999266836752,4728.777515955966,11171.992169426736,0.0,210.56057538527656,1.7664208358411964,0.0,4056.7828313302707,1.3610716256410913,0.7131564074262421,4687.528311475059,0.6517037484157455,0.0,2.1463446432140993,3734.9107196648242,6021.234179166209,2509.308157504041,0.0,0.0,77397.47188345667,0.0,18570.002297420466,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,56.09035489413332,16723.49347429604,0.0,3.9776188869486724,7159.285556611115,5537.12847720002
1994,1085.5442573718742,3425.995635332437,0.0,28569.85610029872,4728.777515955966,11171.919352182736,0.0,210.56057538527656,1.7664208358411964,0.0,4056.7828313302707,1.3610716256410913,0.7131564074262421,4687.528311475059,0.6517037484157455,0.0,2.1463446432140993,3734.9107196648242,6021.234179166209,2509.308157504041,0.0,0.0,77396.82148278473,0.0,18570.002297420466,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,57.23925783893812,16723.49347429604,0.0,3.9776188869486724,7159.285556611115,5537.12847720002
1995,1090.7067315556678,3449.6995379619875,0.0,28644.77328817437,4742.146262204115,11062.776983992671,0.0,210.56057538527656,1.7664208358411964,0.0,3894.370027531278,1.3610716256410913,0.7131564074262421,4764.742813974611,0.6517037484157455,0.0,2.1463446432140993,3746.6313315809034,6003.542461642258,2509.5206981430056,0.0,0.0,77370.61569300079,0.0,18672.709904439904,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,58.32270610360088,16726.667817422636,0.0,3.9776188869486724,7161.472871505496,5537.12847720002
1996,1094.7935335737195,3470.785903490886,0.0,28695.868960630974,4745.357413956123,11048.518442078368,0.0,210.7722957514411,1.7664208358411964,0.0,3763.4191173229883,1.3610716256410913,0.7131564074262421,4821.277587386386,0.6517037484157455,0.0,2.1463446432140993,3752.1484868342422,5968.932673840891,2509.6611077530843,0.0,0.0,76943.18139264034,0.0,19083.052635166205,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,59.619314235298766,16769.089825084633,0.0,3.9776188869486724,7172.781014873086,5537.12847720002
1997,1097.0881404371328,3481.686627225974,0.0,28762.013935358806,4756.294245992937,11008.912257272257,0.0,210.7722957514411,1.7664208358411964,0.0,3711.820401629354,1.3610716256410913,0.7131564074262421,4875.120583732482,0.6517037484157455,0.0,2.1463446432140993,3759.8268519676353,5907.520365070602,2509.805502904287,0.0,0.0,76903.84249639705,0.0,19092.90913497445,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,61.85842241426948,16796.44424142204,0.0,3.9776188869486724,7173.34420206787,5537.12847720002
1998,1098.799367322523,3499.535788265636,0.0,28791.619206060157,4778.830725900912,10989.469514067843,0.0,210.7722957514411,1.7664208358411964,0.0,3609.341024960334,1.3610716256410913,0.7131564074262421,4904.282369606439,0.6517037484157455,0.0,2.1463446432140993,3772.00911426392,5868.003794057933,2510.0186685613485,0.0,0.0,76773.33619845234,0.0,19243.84478763405,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,63.23100040805595,16821.39849602605,0.0,3.9776188869486724,7174.767353279506,5537.12847720002
1999,1111.1406435793417,3611.9195893622827,0.0,28919.283259115466,4798.6148724814575,10928.725870477505,0.0,213.08946162774384,1.7664208358411964,0.0,3485.7917638350373,1.3610716256410913,0.7131564074262421,5067.750413193259,0.6517037484157455,0.0,2.1463446432140993,3812.2944126961993,5722.475220365594,2510.0186685613485,0.0,0.0,76068.03714675125,0.0,19585.667195086273,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,64.9512036389531,17028.03669265565,0.0,3.9776188869486724,7181.463291191276,5537.12847720002
2000,1114.8230050533557,3639.8009260427857,0.0,28999.477141711886,4801.093368428962,10856.762621972219,0.0,216.61903506755087,1.7664208358411964,0.0,3388.884572675991,1.3610716256410913,0.7131564074262421,5232.767503688418,0.6517037484157455,0.0,2.1463446432140993,3849.8395541755017,5506.524289575521,2510.0186685613485,0.0,0.0,76102.83294660896,0.0,19601.582593449726,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,67.23500431076673,17037.292320474953,0.0,3.9776188869486724,7183.706152820594,5537.12847720002
2001,1114.9571977795997,3682.404899531946,0.0,29054.995969207197,4801.575694833798,10736.43765901257,0.0,218.72929488185255,1.7664208358411964,0.0,3400.2851852473477,1.3610716256410913,0.7131564074262421,5376.814127514012,0.6517037484157455,0.0,2.1463446432140993,3887.9720534403677,5312.184091240386,2510.0186685613485,0.0,0.0,75945.79354403476,0.0,19702.063470891182,0.0,0.0,0.0,0.0,0.0,0.13991971658808916,87.54664554030217,17093.775050081393,0.0,3.9776188869486724,7183.706152820594,5537.12847720002
