year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,3512.9313675501317,905.9756772789661,0.47337199884897146,16.877560626350316,477.68773778553594,913.0916818013857,0.0,14.909969322615435,0.0,0.0,78.17065928816115,0.0,0.0,0.0,0.0,0.0,0.0,248.71193464252943,6.22680344002241,1828.6040632594138,0.0,0.6328448198400534,8.439030609710557,0.0,471.490718752007,0.0,0.0,575.448260563573,0.0,0.0,0.0,124.49861697475501,505.528651743697,2.5314603899967345,0.0,405.50164634844026,0.0
1993,3512.773370449938,905.9756772789661,0.47337199884897146,16.877560626350316,477.60836983960644,912.9332935793765,0.0,14.909969322615435,0.0,0.0,78.17065928816115,0.0,0.0,0.0,0.0,0.0,0.0,248.71193464252943,6.22680344002241,1828.4456647115956,0.0,0.6328448198400534,8.439030609710557,0.0,471.4114872255137,0.0,0.0,575.448260563573,0.0,0.0,0.0,126.47887735206643,504.2609029300931,2.5314603899967345,0.0,405.4225181271766,0.0
1994,3512.220200229737,905.9756772789661,0.47337199884897146,16.877560626350316,477.3707719484853,912.5380979525916,0.0,14.909969322615435,0.0,0.0,78.17065928816115,0.0,0.0,0.0,0.0,0.0,0.0,248.31601959449753,6.22680344002241,1828.28691181675,0.0,0.6328448198400534,8.439030609710557,0.0,471.4114872255137,0.0,0.0,575.448260563573,0.0,0.0,0.0,130.04167314696429,502.4387388161798,2.5314603899967345,0.0,405.4225181271766,0.0
1995,3510.953990522771,905.9756772789661,0.47337199884897146,16.877560626350316,477.3707719484853,911.5914016661856,0.0,14.909969322615435,0.0,0.0,78.17065928816115,0.0,0.0,0.0,0.0,0.0,0.0,247.9201614242357,6.22680344002241,1827.652654140934,0.0,0.6328448198400534,8.517909684340292,0.0,470.46358687180117,0.0,0.0,575.6849055976571,0.0,0.0,0.0,133.92571658683832,502.2723327080359,2.6892211427162858,0.0,405.4225181271766,0.0
1996,3512.7740508904835,906.8460013617073,0.47337199884897146,16.877560626350316,477.21207763222856,911.5914507827646,0.0,14.909969322615435,0.0,0.0,78.17065928816115,0.0,0.0,0.0,0.0,0.0,0.0,247.5243161620723,6.22680344002241,1826.8606907330263,0.0,0.5538929005517752,8.517909684340292,0.0,462.9581751932688,0.0,0.0,575.289316956675,0.0,0.0,0.0,137.80774515834287,505.0263257946283,2.6892211427162858,0.0,405.4225181271766,0.0
1997,3511.745529245505,907.5548096090033,0.47337199884897146,16.877560626350316,476.89566840117675,911.4330429453221,0.0,14.909969322615435,0.0,0.0,78.0919943812634,0.0,0.0,0.0,0.0,0.0,0.0,247.36601319940937,6.22680344002241,1826.2268149596168,0.0,0.5538929005517752,8.517909684340292,0.0,460.04081314756917,0.0,0.0,575.1314339150894,0.0,0.0,0.0,142.0870891912537,505.48760095815004,2.6892211427162858,0.0,405.4225181271766,0.0
1998,3510.7171712147383,907.5548096090033,0.47337199884897146,16.877560626350316,476.57763945699867,910.880005835911,0.0,14.909969322615435,0.0,0.0,78.7209807844168,0.0,0.0,0.0,0.0,0.0,0.0,247.36601319940937,6.22680344002241,1824.9610364106893,0.0,0.4749435797166168,8.517909684340292,0.0,460.11758879663995,0.0,0.0,575.1314339150894,0.0,0.0,0.0,146.68485862186643,503.4282214294317,2.6892211427162858,0.0,405.4225181271766,0.0
1999,3514.585111125265,911.5010163619398,0.47337199884897146,16.877560626350316,476.3387520371496,908.5054819877822,0.0,15.468378597852748,0.0,0.0,80.93060959234369,0.0,0.0,0.0,0.0,0.0,0.0,247.5236573851125,6.22680344002241,1822.9830358889483,0.0,0.4749435797166168,8.517909684340292,0.0,448.1959500209156,0.0,0.0,574.9733073177748,0.0,0.0,0.0,150.64873727515203,505.47489673379255,2.6892211427162858,0.0,405.3433123999578,0.0
2000,3507.2555280196493,911.7391896920323,0.47337199884897146,16.877560626350316,476.0201901288919,905.6618185741196,0.0,15.78666498095247,0.0,0.0,80.93111160721365,0.0,0.0,0.0,0.0,0.0,0.0,248.9413179784603,7.4084344399941156,1821.4764703910735,0.0,0.4749435797166168,8.517909684340292,0.0,451.10439719595325,0.0,0.0,575.1317312333546,0.0,0.0,0.0,155.24426922137923,506.65461430097747,2.6892211427162858,0.0,405.3433123999578,0.0
2001,3507.797902207589,913.079973068579,0.47337199884897146,16.877560626350316,476.41162145443826,904.8601125773015,0.0,16.50219440505594,0.0,0.0,77.856834258257,0.0,0.0,0.0,0.0,0.0,0.0,247.52438638386795,7.4084344399941156,1823.4490661251605,0.0,0.4749435797166168,8.517909684340292,0.0,447.56472536109163,0.0,0.0,575.052786481451,0.0,0.0,0.0,161.58308273395556,504.26461826731025,2.6892211427162858,0.0,405.3433123999578,0.0
2002,3507.7191453289106,913.3173351598161,0.47337199884897146,16.877560626350316,476.4111315256053,904.6993166990407,0.0,16.50219440505594,0.0,0.0,78.01530762365105,0.0,0.0,0.0,0.0,0.0,0.0,243.89959100328366,7.4084344399941156,1825.9707693648722,0.0,0.4749435797166168,8.517909684340292,0.0,446.61266996295706,0.0,0.0,575.8421122219235,0.0,0.0,0.0,167.1366657901633,499.90037819635137,2.6892211427162858,0.0,405.2639984423832,0.0
2003,3506.1417537565785,912.9220176397741,0.47337199884897146,16.877560626350316,476.2504603544323,902.6417543141671,0.0,15.794658444005975,0.0,0.0,76.36115540897059,0.0,0.0,0.0,0.0,0.0,0.0,243.5755758490963,7.4084344399941156,1827.3085454089935,0.0,0.4749435797166168,8.517909684340292,0.0,447.088750365265,0.0,0.0,577.9763705109104,0.0,0.0,0.0,171.18966144963443,498.8554559884599,2.6892211427162858,0.0,405.1844562337262,0.0
2004,3506.8422309484645,912.9220176397741,0.47337199884897146,16.877560626350316,476.249399429367,903.8209407415935,0.0,14.851387354240352,0.0,0.0,73.05498875026368,0.0,0.0,0.0,0.0,0.0,0.0,242.63356313200194,7.4084344399941156,1831.004698281108,0.0,0.4749435797166168,8.517909684340292,0.0,445.7501254511187,0.0,0.0,577.9763705109104,0.0,0.0,0.0,174.131708638313,496.94804771498883,2.6892211427162858,0.0,405.10513713187026,0.0
2005,3508.8043641546014,913.1592198894267,0.47337199884897146,16.877560626350316,477.11235789434187,905.0786539671006,0.0,14.851387354240352,0.0,0.0,68.49117752106292,0.0,0.0,0.0,0.0,0.0,0.0,241.21790930022564,4.331085667345422,1832.965830585184,0.0,0.4749435797166168,8.517909684340292,0.0,444.6497478313071,0.0,0.0,577.9763705109104,0.0,0.0,0.0,184.99193550840218,490.2002607140066,2.6892211427162858,0.0,404.868749265852,0.0
2006,3509.5859222248223,913.1592198894267,0.47337199884897146,16.877560626350316,476.399412874779,904.2092667864791,0.0,15.008620190080158,0.0,0.0,70.78832382528667,0.0,0.0,0.0,0.0,0.0,0.0,241.37642134004244,2.912159413155349,1830.6682962390175,0.0,0.4749435797166168,8.517909684340292,0.0,445.3593565743872,0.0,0.0,577.9758258331121,0.0,0.0,0.0,191.72990946209828,484.8157448252109,2.6892211427162858,0.0,404.7105706861107,0.0
2007,3509.7280064044685,913.1585425024431,0.47337199884897146,16.877560626350316,475.4480823071105,904.0511151709896,0.0,14.690333806980437,0.0,0.0,70.31726615388637,0.0,0.0,0.0,0.0,0.0,0.0,241.76850685852366,1.1816309999717063,1829.716641274316,0.0,0.4749435797166168,8.517909684340292,0.0,443.39218569256457,0.0,0.0,577.9758258331121,0.0,0.0,0.0,200.21582168003113,482.4239862290309,2.6892211427162858,0.0,404.63110525057954,0.0
2008,3516.7565955295167,919.3130432338622,0.47337199884897146,16.877560626350316,474.57327171111245,900.975308549676,0.0,14.769184224161933,0.0,0.0,79.40202974230318,0.0,0.0,0.0,0.0,0.0,0.0,242.16466800835755,1.1816309999717063,1822.2025876132304,0.0,0.4749435797166168,8.517909684340292,0.0,428.86547963269857,0.0,0.0,575.8480863752195,0.0,0.0,0.0,207.1951277840572,481.45742403437424,2.6892211427162858,0.0,403.994612725466,0.0
2009,3526.700140445756,926.6521153821157,0.47337199884897146,16.877560626350316,473.85875502381583,900.4200730410602,0.0,14.769184224161933,0.0,0.0,81.06498593481966,0.0,0.0,0.0,0.0,0.0,0.0,241.37494298321195,1.1816309999717063,1820.616247645248,0.0,0.4749435797166168,8.517909684340292,0.0,415.3581950723743,0.0,0.0,573.5603375631687,0.0,0.0,0.0,213.7839236992946,475.36390542354366,2.6892211427162858,0.0,403.994612725466,0.0
2010,3525.9772557748147,927.5195698759472,0.47337199884897146,16.877560626350316,472.9867786714903,899.63255111709,0.0,14.531064966624712,0.0,0.0,82.00844063143332,0.0,0.0,0.0,0.0,0.0,0.0,241.37426734628096,1.1816309999717063,1819.4318509764787,0.0,0.4749435797166168,8.517909684340292,0.0,413.5427390693892,0.0,0.0,573.4020529980514,0.0,0.0,0.0,221.56015122957564,471.55608378139414,2.6892211427162858,0.0,403.994612725466,0.0
2011,3524.2312636190013,928.0718119176958,0.47337199884897146,16.877560626350316,471.79253538624715,899.2370342412261,0.0,14.531064966624712,0.0,0.0,82.00844063143332,0.0,0.0,0.0,0.0,0.0,0.0,241.2951417108408,1.1816309999717063,1818.48065086903,0.0,0.4749435797166168,8.517909684340292,0.0,445.4070958245027,0.0,0.0,573.2442662082144,0.0,0.0,0.0,229.33493352959636,435.96756879949993,2.6892211427162858,0.0,403.9156114601239,0.0
2012,3526.191862898757,929.9627172162459,0.47337199884897146,16.877560626350316,471.1554146156884,899.0791496029716,0.0,14.531064966624712,0.0,0.0,82.00844063143332,0.0,0.0,0.0,0.0,0.0,0.0,241.21595405277378,1.1816309999717063,1816.3391116954317,0.0,0.4749435797166168,8.517909684340292,0.0,440.2027720322112,0.0,0.0,573.2442662082144,0.0,0.0,0.0,237.66600231549023,432.24388648504475,2.6892211427162858,0.0,403.67677644314875,0.0
2013,3527.444730894597,930.4378220061013,0.47337199884897146,16.877560626350316,469.88754752012386,898.6048432017218,0.0,14.4513391857761,0.0,0.0,82.00844063143332,0.0,0.0,0.0,0.0,0.0,0.0,241.05850123200634,1.1816309999717063,1808.1743730075755,0.0,0.4749435797166168,8.517909684340292,0.0,435.1389715542665,0.0,0.0,572.9277636701919,0.0,0.0,0.0,257.16622938651244,426.69827215397896,2.6892211427162858,0.0,403.51858471975146,0.0
2014,3522.593736605936,933.7624605572862,0.6315559831600327,16.877560626350316,467.9101003114457,897.2668642155005,0.0,12.937121016388016,0.0,0.0,81.84924382505487,0.0,0.0,0.0,0.0,0.0,0.0,240.97929034486046,1.1816309999717063,1794.936597452471,0.0,0.4749435797166168,8.517909684340292,0.0,439.0710991359249,0.0,0.0,570.0810813615346,0.0,0.0,0.0,290.2159730416707,412.4746144996971,2.6892211427162858,0.0,403.28105281195553,0.0
2015,3517.9918582478313,933.6831311655719,0.6315559831600327,16.877560626350316,467.2744392525366,896.8725298180915,0.0,12.937121016388016,0.0,0.0,81.84924382505487,0.0,0.0,0.0,0.0,0.0,0.0,240.90000470122658,1.1816309999717063,1788.9983613466634,0.0,0.4749435797166168,8.517909684340292,0.0,438.9914166107447,0.0,0.0,570.0810813615346,0.0,0.0,0.0,305.2680569609826,409.310449580732,2.6892211427162858,0.0,403.2015412923669,0.0
