year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,7786.301959703241,11120.066797500807,0.0,545.0810768715954,49.71142405108565,34.10798005702504,0.0,172.57630767302174,0.0,709.6468192096124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7033449595707255,248.89114878022215,1563.4403751712928,0.0,0.9694151231666925,85.18771275101852,0.0,31034.592130780646,0.0,0.0,5311.399831546621,0.0,0.0,220.87160355620546,291.51970086685753,1570084.0036753211,2990.342626301092,1731.5084472264418,4064.9400301194073,0.0
1993,7782.840838927169,11119.416842098544,0.0,545.0810768715954,49.71142405108565,34.10798005702504,0.0,172.57630767302174,0.0,709.6468192096124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7033449595707255,248.89114878022215,1563.4403751712928,0.0,0.9694151231666925,85.18771275101852,0.0,31034.185303834416,0.0,0.0,5311.399831546621,0.0,0.0,220.87160355620546,298.61985216969623,1570081.6625722016,2990.342626301092,1731.5084472264418,4064.6988850606303,0.0
1994,7780.748546129676,11118.123394454105,0.0,545.0810768715954,49.71142405108565,34.10798005702504,0.0,172.57630767302174,0.0,709.6468192096124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7033449595707255,248.56834444348365,1563.4403751712928,0.0,0.9694151231666925,85.18771275101852,0.0,31033.941044989402,0.0,0.0,5311.399831546621,0.0,0.0,220.87160355620546,304.5938948321754,1570079.8029785808,2990.261767920652,1731.5084472264418,4064.618098023245,0.0
1995,7786.117602309473,11154.300466538109,0.0,546.2040626435121,56.86128823790479,34.18798630264533,0.0,117.46831368432515,0.0,702.17642414263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8941962868233979,221.84436117302937,1577.4973705593534,0.0,0.9694151231666925,85.18771275101852,0.0,31034.920758261866,0.0,0.0,5312.452595645594,0.0,0.0,220.87160355620546,313.74116361501314,1570098.0326372685,2990.007904221297,1731.5084472264418,4064.618098023245,0.0
1996,7783.92742750408,11160.234316373644,0.0,546.9267710020714,59.35112584518974,34.42895068580253,0.0,109.92094346802168,0.0,699.2056278974779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.69139388223667,1578.378038847946,0.0,0.9694151231666925,85.18771275101852,0.0,31043.85935450889,0.0,0.0,5325.15246076093,0.0,0.0,220.87160355620546,321.92571469027587,1570085.0642534385,2995.943267121142,1731.5084472264418,4055.315582886902,0.0
1997,7788.38508036583,11167.194096603103,0.0,547.0070616724563,59.833062432409605,34.34848791494597,0.0,107.67217552829234,0.0,698.8843577627206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.5987225394131,1579.1810851135617,0.0,0.9694151231666925,85.18771275101852,0.0,31043.69614277955,0.0,0.0,5322.26027909634,0.0,0.0,220.87160355620546,331.7497657980266,1570096.557299788,2996.1816892887837,1731.5084472264418,4053.775922229396,0.0
1998,7785.56997722678,11166.165181936929,0.0,547.4996415306538,59.45674482987828,35.076787775516024,0.0,105.6648520460952,0.0,697.8403093464376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.51571368039666,1579.9042108573317,0.0,0.9694151231666925,85.27475899978799,0.0,31084.04528556849,0.0,0.0,5339.578906298106,0.0,0.0,220.87160355620546,346.00063296701734,1570080.272633798,2996.6169394907024,1731.5084472264418,4051.030365312203,0.0
1999,7877.588988057285,11298.250963043269,0.0,549.7328151119848,60.18939041898309,36.448886050382384,0.0,101.24821322614402,0.0,697.6795906278788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.667178470531596,1572.016604772484,0.0,0.9694151231666925,85.27475899978799,0.0,31000.56418393287,0.0,0.0,5347.193041168523,0.0,0.0,220.87160355620546,356.37323847363604,1570061.588296382,2997.5902610130393,1731.5084472264418,4014.106531915425,0.0
2000,7908.416255318595,11328.936604182201,0.0,556.1291594989766,65.89124442903409,37.01207993891424,0.0,73.31349580679195,0.0,687.4000294201453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33791484517929,1588.4731802560677,0.0,0.9694151231666925,85.27475899978799,0.0,31038.52821216667,0.0,0.0,5338.579846217433,0.0,0.0,220.87160355620546,369.62524673427737,1569984.306055429,2997.182326505769,1731.5084472264418,4014.106531915425,0.0
2001,7884.614603425961,11331.478613090632,0.0,555.4822040538305,54.396124480858404,26.966096911596807,0.0,73.31349580679195,0.0,687.4000294201453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.589931657189373,1586.3799529655137,0.0,0.9694151231666925,81.61704215610575,0.0,30801.491784669208,0.0,0.0,5281.553338757863,0.0,0.0,220.87160355620546,411.40046800926393,1570273.5242537623,3022.1680649631217,1731.5084472264418,4009.136937533396,0.0
2002,7865.512586270397,11336.733196930552,0.0,555.4822040538305,49.98834377778846,27.699010285324178,0.0,73.31349580679195,0.0,687.4000294201453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.659350102735187,1584.4488542511597,0.0,0.9694151231666925,81.61704215610575,0.0,31217.8007990451,0.0,0.0,5281.874349065448,0.0,0.0,220.87160355620546,440.9067358488214,1569850.2144525303,3023.725554585959,1731.5084472264418,4009.136937533396,0.0
2003,7859.112916558745,11340.554342390633,0.0,555.4822040538305,50.200324383859176,28.50930847794276,0.0,73.31349580679195,0.0,687.4000294201453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.851486372844224,1583.4830174938431,0.0,0.9694151231666925,81.52998074318528,0.0,31230.30825964732,0.0,0.0,5280.832429671755,0.0,0.0,220.87160355620546,461.5026773612086,1569822.3681354625,3022.9273962854245,1731.5084472264418,4009.136937533396,0.0
