year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,14364.64611804139,11601.1022732574,16.159529314305615,0.0,10131.60205236574,2197.412820035152,0.0,4688.720365600094,13.529287762610815,0.0,7704.215866079942,0.0,0.0,3.3252228511029855,0.0,0.0,5563.370641701969,2463.74235502691,2.2657323891483183,0.0,0.0,0.0,2916.4383745163323,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,308.5382920284998,379.0432755046296,0.771277672809327,0.0,0.15998124641137546,1187.2032193910022,0.0
1993,14363.290996107866,11594.77492582057,16.159529314305615,0.0,10131.440309819609,2196.643452475432,0.0,4688.666139053944,13.529287762610815,0.0,7702.792871852268,0.0,0.0,3.3252228511029855,0.0,0.0,5563.370641701969,2463.6886321312822,2.2657323891483183,0.0,0.0,0.0,2916.4383745163323,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,308.5382920284998,389.18779865029563,0.771277672809327,0.0,0.15998124641137546,1187.2032193910022,0.0
1994,14362.522854772022,11589.1019143205,16.159529314305615,0.0,10131.275440705534,2196.2023901460193,0.0,4688.666139053944,13.529287762610815,0.0,7700.990880732975,0.0,0.0,3.3252228511029855,0.0,0.0,5563.260569117641,2463.4145331846516,2.2657323891483183,0.0,0.0,0.0,2916.4383745163323,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,308.48312524770347,398.5302598313013,0.771277672809327,0.0,0.15998124641137546,1187.1491719204466,0.0
1995,14571.758024781228,11731.851395766973,16.159529314305615,0.0,10065.63496314137,1563.5741532121376,0.0,4541.077905668324,14.233683354512552,0.0,7793.92993171895,0.0,0.0,3.3252228511029855,0.0,0.0,5870.331947661062,2520.6338846929657,2.2657323891483183,0.0,0.0,0.0,2946.66815543782,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,306.3819099230593,408.0876779151081,0.053320688683207315,0.0,0.15998124641137546,1186.1192650222758,0.0
1996,14574.249782902882,11727.672651494073,16.159529314305615,0.0,10025.758929428901,1462.4997831600535,0.0,4546.812831242972,14.233683354512552,0.0,7812.27121955617,0.0,0.0,3.3252228511029855,0.0,0.0,5930.071818840804,2530.05939336146,2.2657323891483183,0.0,0.0,0.0,2948.446124624908,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,305.61410215628376,418.7109616261133,0.053320688683207315,0.0,0.15998124641137546,1223.8816165466474,0.0
1997,14589.911553917469,11734.009756444704,16.159529314305615,0.0,10025.046585775459,1311.576662104529,0.0,4559.924419332722,14.343355256527975,0.0,7829.352749337631,0.0,0.0,3.3252228511029855,0.0,0.0,6002.125115450129,2544.839227905349,2.2657323891483183,0.0,0.0,0.0,2951.0316316356893,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,305.6120053814324,426.54244304388874,0.053320688683207315,0.0,0.15998124641137546,1225.967392710238,0.0
1998,14594.73210526958,11732.140019866305,16.159529314305615,0.0,10018.190880394497,1207.5517792933272,0.0,4586.38410798713,14.343355256527975,0.0,7833.564428366825,0.0,0.0,3.3252228511029855,0.0,0.0,6031.3303133724075,2569.9909943611124,2.2657323891483183,0.0,0.0,0.0,2956.471667232339,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,310.1070241086092,436.07784402132825,0.053320688683207315,0.0,0.10665288560852176,1229.4517071265727,0.0
1999,14619.19394586684,11739.961498497607,16.159529314305615,0.0,9974.13872095165,905.4191316717043,0.0,4642.062901847467,14.343355256527975,0.0,7856.287037974738,0.0,0.0,3.271829281725153,0.0,0.0,6165.035141483651,2640.583508678589,2.2657323891483183,0.0,0.0,0.0,2961.636514001247,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,312.3531638683732,446.17184034191337,0.053320688683207315,0.0,0.10665288560852176,1243.2028597856454,0.0
2000,14627.583016997425,11739.007306855496,16.159529314305615,0.0,9975.148913702125,833.6220476444367,0.0,4661.169851453928,14.343355256527975,0.0,7848.115140435026,0.0,0.0,3.271829281725153,0.0,0.0,6185.685366476323,2660.8378643175815,2.2657323891483183,0.0,0.0,0.0,2963.2131470664244,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,312.35263164122443,455.6205964535396,0.053320688683207315,0.0,0.10665288560852176,1243.6903819258969,0.0
2001,14623.539362037434,11723.21723543295,16.159529314305615,0.0,9960.400739365306,726.2455957854204,0.0,4711.397419073781,14.672822435387571,0.0,7849.754037750601,0.0,0.0,3.271829281725153,0.0,0.0,6219.782971891373,2686.948860873562,1.8865921309513942,0.0,0.0,0.0,2963.8669191155172,0.0,3.260408184165139,0.0,0.0,0.0,0.0,0.0,311.85694917439173,483.4918614236356,0.053320688683207315,0.0,0.10665288560852176,1245.593986124796,0.0
