year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,76.51078712544479,418.2766811542249,0.0,0.0,337.875209867739,33.393705147590914,0.0,550.3376887838074,0.0,0.0,31.774069485061425,0.0,0.0,0.0,0.0,0.0,116.49209915449693,197.9439922435096,0.24713720942068662,0.0,0.0,0.0,565.0611635808458,0.0,0.4338266465272938,0.0,0.0,0.0,0.0,0.0,0.0,76.01583115148627,0.0,0.0,0.0,4.301933774158715,0.0
1993,76.51078712544479,416.3590145230886,0.0,0.0,337.875209867739,33.331880304379126,0.0,550.2137679497167,0.0,0.0,31.774069485061425,0.0,0.0,0.0,0.0,0.0,116.49209915449693,197.88264806824904,0.24713720942068662,0.0,0.0,0.0,564.8755059802303,0.0,0.4338266465272938,0.0,0.0,0.0,0.0,0.0,0.0,78.36624523580092,0.0,0.0,0.0,4.301933774158715,0.0
1994,76.3868170221964,413.51323896061217,0.0,0.0,337.81381963210134,33.20821299628507,0.0,549.8424913675428,0.0,0.0,31.774069485061425,0.0,0.0,0.0,0.0,0.0,116.49209915449693,197.75928858111993,0.24713720942068662,0.0,0.0,0.0,564.3190054764328,0.0,0.4338266465272938,0.0,0.0,0.0,0.0,0.0,0.0,82.57218501835796,0.0,0.0,0.0,4.301933774158715,0.0
1995,76.69243987777098,414.7205970851815,0.0,0.0,340.8248670749817,31.48066346158925,0.0,535.71447370275,0.0,0.0,31.774069485061425,0.0,0.0,0.0,0.0,0.0,117.29343269160645,198.4374870010346,0.24713720942068662,0.0,0.0,0.0,569.8392759399102,0.0,0.4338266465272938,0.0,0.0,0.0,0.0,0.0,0.0,86.90392137432066,0.0,0.0,0.0,4.301933774158715,0.0
1996,76.50677525333184,411.5652959425678,0.0,0.0,340.2715583223368,29.317971426355996,0.0,536.7017402872826,0.0,0.0,31.835551773141955,0.0,0.0,0.0,0.0,0.0,117.91050181428133,198.86849521637643,0.24713720942068662,0.0,0.0,0.0,569.5919977842561,0.0,0.4338266465272938,0.0,0.0,0.0,0.0,0.0,0.0,91.11133987427576,0.0,0.0,0.0,4.301933774158715,0.0
1997,76.44391863792623,409.7035270400124,0.0,0.0,335.5239875839355,27.53541697741054,0.0,539.4844728655399,0.0,0.0,31.89699866761612,0.0,0.0,0.0,0.0,0.0,119.57022765267004,199.48231224795146,0.24713720942068662,0.0,0.0,0.0,569.6511855771904,0.0,0.4338266465272938,0.0,0.0,0.0,0.0,0.0,0.0,94.38918044395426,0.0,0.0,0.0,4.301933774158715,0.0
1998,76.9960216229376,407.4154033124032,0.0,0.0,335.2667041861711,27.59694525265833,0.0,535.9288672900785,0.0,0.0,31.89699866761612,0.0,0.0,0.0,0.0,0.0,119.44717817389395,200.15878341766617,0.24713720942068662,0.0,0.0,0.0,570.7569472061858,0.0,0.4338266465272938,0.0,0.0,0.0,0.0,0.0,0.0,98.217378564596,0.0,0.0,0.0,4.301933774158715,0.0
1999,79.08115082775501,408.50276937862316,0.0,0.0,333.3142912273725,27.78058827540832,0.0,518.0014081497745,0.0,0.0,31.71252305633725,0.0,0.0,0.0,0.0,0.0,119.63629757842266,206.78629570298895,0.24713720942068662,0.0,0.0,0.0,577.4370963124031,0.0,0.371882055473557,0.0,0.0,0.0,0.0,0.0,0.0,101.490751776175,0.0,0.0,0.0,4.301933774158715,0.0
2000,79.38791148125893,405.58892715135346,0.0,0.0,331.89001289569916,24.078148936401426,0.0,507.26595271264415,0.0,0.0,31.651221420723882,0.0,0.0,0.0,0.0,0.0,119.57669426751464,212.00374303660178,0.24713720942068662,0.0,0.0,0.0,586.358979466446,0.0,0.371882055473557,0.0,0.0,0.0,0.0,0.0,0.0,105.94158091661707,0.0,0.0,0.0,4.301933774158715,0.0
2001,79.32468379311149,399.1590687246257,0.0,0.0,327.68787185261107,23.45718654965591,0.0,503.2125952996113,0.0,0.0,31.466566587786506,0.0,0.0,0.0,0.0,0.0,118.95846812945003,215.3881228790965,0.24713720942068662,0.0,0.0,0.0,587.1500396152322,0.0,0.371882055473557,0.0,0.0,0.0,0.0,0.0,0.0,117.93856885408003,0.0,0.0,0.0,4.301933774158715,0.0
2002,78.02317137556827,386.0458711446589,0.0,0.0,327.8699359094897,22.342972324946885,0.0,496.6255664116416,0.0,0.0,31.282211961123114,0.0,0.0,0.0,0.0,0.0,118.83589677641744,218.33379235354266,0.24713720942068662,0.0,0.0,0.0,586.217766036964,0.0,0.248014004303363,0.0,0.0,0.0,0.0,0.0,0.0,138.28985604207813,0.0,0.0,0.0,4.301933774158715,0.0
2003,77.15703507713624,374.49023714416194,0.0,0.0,326.2016873207801,22.281352143848,0.0,495.52040054701285,0.0,0.0,31.282211961123114,0.0,0.0,0.0,0.0,0.0,118.71325804896142,218.88554262149955,0.24713720942068662,0.0,0.0,0.0,585.472863802123,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.0,153.9243469755443,0.0,0.0,0.0,4.301933774158715,0.0
2004,77.09118211424199,364.8610330476623,0.0,0.0,326.4435335888243,22.158035649917426,0.0,488.45654141287406,0.0,0.0,31.09765381753333,0.0,0.0,0.0,0.0,0.0,118.22213641197466,223.67252881584142,0.24713720942068662,0.0,0.0,0.0,584.6068500244966,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.0,167.31944075882438,0.0,0.0,0.0,4.301933774158715,0.0
2005,77.2755157192988,364.73772989971866,0.0,0.0,327.36556553348527,22.158035649917426,0.0,483.53864017872024,0.0,0.0,31.09765381753333,0.0,0.0,0.0,0.0,0.0,118.03758707065822,227.36001350763377,0.24713720942068662,0.0,0.0,0.0,584.7296552936361,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.0,167.62853897158874,0.0,0.0,0.0,4.301933774158715,0.0
2006,77.46088802379985,364.9231127844762,0.0,0.0,327.4889577445744,22.281579421563638,0.0,480.7690767109952,0.0,0.0,30.97520308789557,0.0,0.0,0.0,0.0,0.0,117.60609964230629,229.63587360141378,0.30891974913419196,0.0,0.0,0.0,585.0364328782257,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.0,167.68992920722636,0.0,0.0,0.0,4.301933774158715,0.0
2007,78.13667566538307,365.2309196364568,0.061782539713505384,0.0,329.4554268215641,22.40497051758811,0.0,462.33396877709464,0.0,0.0,30.177534554573523,0.0,0.0,0.0,0.0,0.0,115.51772182532662,245.91560630116138,0.37059643864983616,0.0,0.0,0.0,586.7573761393242,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.0,167.8134936347754,0.0,0.0,0.0,4.301933774158715,0.0
2008,78.01275480857451,365.16725984010554,0.061782539713505384,0.0,330.25170421028287,22.281444227217253,0.0,456.0693989203128,0.0,0.0,29.501689836289035,0.0,0.0,0.0,0.0,0.0,115.0880470284427,251.26127203295314,0.37059643864983616,0.0,0.0,0.0,587.8021867713608,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.06145751601736268,168.24647868169183,0.0,0.0,0.0,4.301933774158715,0.0
2009,78.01275480857451,365.228742128186,0.061782539713505384,0.0,330.25170421028287,22.281444227217253,0.0,453.116547678588,0.0,0.0,29.501689836289035,0.0,0.0,0.0,0.0,0.0,115.02656474036216,254.02908970317554,0.37059643864983616,0.0,0.0,0.0,587.9872203428632,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.06145751601736268,168.24647868169183,0.0,0.0,0.0,4.301933774158715,0.0
2010,78.31946144278349,365.4131783792121,0.061782539713505384,0.0,330.681372020627,22.281444227217253,0.0,446.7335020883554,0.0,0.0,29.256206871675463,0.0,0.0,0.0,0.0,0.0,113.36910643346441,261.02585720518016,0.37059643864983616,0.0,0.0,0.0,588.2942848317628,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.12280169127792287,168.24647868169183,0.0,0.0,0.0,4.301933774158715,0.0
2011,78.50383044144665,365.59831324471054,0.061782539713505384,0.0,331.17308865780365,22.404306156348067,0.0,441.383749525436,0.0,0.0,29.071816630886282,0.0,0.0,0.0,0.0,0.0,113.0006163831436,264.89847782527977,0.37059643864983616,0.0,0.0,0.0,589.3402146352236,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.12280169127792287,168.24647868169183,0.0,0.0,0.0,4.301933774158715,0.0
2012,78.50383044144665,365.65966805407265,0.061782539713505384,0.0,331.3570997450136,22.404306156348067,0.0,439.66458274757747,0.0,0.0,28.826029047887793,0.0,0.0,0.0,0.0,0.0,112.87809113949122,266.74059153321707,0.37059643864983616,0.0,0.0,0.0,589.3402146352236,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.12280169127792287,168.24647868169183,0.0,0.0,0.0,4.301933774158715,0.0
2013,78.50383044144665,365.65966805407265,0.061782539713505384,0.0,330.5535424355136,22.404306156348067,0.0,440.3444974180255,0.0,0.0,28.826029047887793,0.0,0.0,0.0,0.0,0.0,112.87809113949122,266.86423417226905,0.37059643864983616,0.0,0.0,0.0,589.3402146352236,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.12280169127792287,168.24647868169183,0.0,0.0,0.0,4.301933774158715,0.0
2014,78.56548594525954,365.72113618547235,0.061782539713505384,0.0,329.7466741905682,22.15652779242417,0.0,440.2902296718642,0.0,0.0,28.826029047887793,0.0,0.0,0.0,0.0,0.0,113.06360835125264,267.41804477137975,0.37059643864983616,0.0,0.0,0.0,589.5866775441693,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.12280169127792287,168.24647868169183,0.0,0.0,0.0,4.301933774158715,0.0
2015,78.56548594525954,365.72113618547235,0.061782539713505384,0.0,329.7466741905682,22.15652779242417,0.0,440.2902296718642,0.0,0.0,28.826029047887793,0.0,0.0,0.0,0.0,0.0,113.06360835125264,267.41804477137975,0.37059643864983616,0.0,0.0,0.0,589.5866775441693,0.0,0.18611869854371765,0.0,0.0,0.0,0.0,0.0,0.12280169127792287,168.24647868169183,0.0,0.0,0.0,4.301933774158715,0.0
