year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,9441.293195445161,18645.79353367508,0.0,0.0,1932.3265651195225,41463.98443391254,76687.86724534904,62313.96452466949,0.18284672872955,19807.973726478198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92422.40668988905,234617.91734412996,6608.986875373936,0.0,4.417219848640071,7030.462959337709,0.0,550.6280106618657,0.0,0.0,0.0,0.0,2372.094723053674,2812.5306546955385,221.7689944631793,2926.865243326205,0.0,0.0,11383.508677607986,0.0
1993,9441.293195445161,18645.42908031864,0.0,0.0,1932.3265651195225,41463.7113854663,76687.41128265807,62313.60119791867,0.18284672872955,19807.973726478198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92422.13674707201,234615.73263721226,6608.986875373936,0.0,4.417219848640071,7030.462959337709,0.0,550.6280106618657,0.0,0.0,0.0,0.0,2372.094723053674,2812.5306546955385,225.77069735126298,2926.774981417353,0.0,0.0,11383.508677607986,0.0
1994,9441.201307119683,18644.700840974834,0.0,0.0,1932.3265651195225,41463.35766016413,76687.0474751896,62313.332141137835,0.18284672872955,19807.973726478198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92421.78329341993,234613.92371088447,6608.986875373936,0.0,4.417219848640071,7030.462959337709,0.0,550.6280106618657,0.0,0.0,0.0,0.0,2372.094723053674,2812.3460604488773,230.10566881115432,2926.684724015863,0.0,0.0,11383.417654996849,0.0
1995,9544.264420755693,18783.43960621092,0.0,0.0,1960.7033580860416,42583.24559654684,74512.28552860729,61948.65196339319,0.18284672872955,19806.719983188515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93347.60630235061,235440.09928917978,6166.542290311447,0.0,4.417219848640071,6770.505946140848,0.0,552.2201536065774,0.0,0.0,0.0,0.0,2410.9607951388944,2810.77471071848,236.22349929704455,2957.829495947779,0.0,0.0,11408.300457708068,0.0
1996,9564.492138973703,18818.440697927388,0.0,0.0,1959.3891231438004,42790.67563132355,74238.89463727453,62172.983300078304,0.18284672872955,19833.142960619523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93537.12676258052,235541.90167440573,5745.121257244275,0.0,4.417219848640071,6557.546380622218,0.0,552.0343390900929,0.0,0.0,0.0,0.0,2442.9274611958044,2807.3279550369994,241.83347483409108,2957.352367985272,0.0,0.0,11479.18323485239,0.0
1997,9584.119022046969,18893.719518445076,0.0,0.0,1964.694700136598,43139.27014291212,73791.72012301185,62309.61680767368,0.18284672872955,19861.100539911018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93769.84349087543,235659.45580178642,5320.648143465836,0.0,4.32829424290171,6435.961076547861,0.0,552.6708914386371,0.0,0.0,0.0,0.0,2450.487587626374,2802.0547205145017,248.54286814240527,2957.874156467068,0.0,0.0,11498.682731791972,0.0
1998,9633.810528859643,18931.93661789657,0.0,0.0,1981.052943512306,43761.13284883872,72851.96997587902,62426.98224666515,0.18284672872955,19870.842031520922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94233.73295078888,235832.73083592844,4986.00497536988,0.0,4.32829424290171,6159.52121460632,0.0,553.0238203713219,0.0,0.0,0.0,0.0,2468.925347420793,2802.6168483381985,257.72113299369477,2965.117301418041,0.0,0.0,11523.340702385833,0.0
1999,9905.773096948014,19060.756017131862,0.0,0.0,2171.2050246302183,45628.25803431684,69484.70431451047,62018.783006207246,0.18284672872955,19948.985449423304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96349.68684737301,236311.31969742462,4263.87298250309,0.0,4.32829424290171,5427.925102477113,0.0,555.0858671579435,0.0,0.0,0.0,0.0,2521.3732213587177,2800.439429919439,265.43377127985906,2981.427754617007,0.0,0.0,11545.432705515357,0.0
2000,9937.549677638697,19136.38013307069,0.0,0.0,2195.05753168363,45962.128491483985,68750.53578438546,62222.64867285012,0.18284672872955,19963.19308256954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97200.83240150534,236416.61120456154,3860.0683001353336,0.0,4.32829424290171,4832.681498744504,0.0,554.9068935648105,0.0,0.0,0.0,0.0,2580.3174230291374,2790.8132805952428,277.3813529559986,2982.0474838363834,0.0,0.0,11577.309110183594,0.0
2001,9965.378596813563,19224.977544823905,0.0,0.0,2215.8620115947087,46180.09984878746,68038.38056761898,62346.81036194395,0.18284672872955,20004.805018422947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97974.66122873637,236529.7934400663,3538.2905003923656,0.0,4.32829424290171,4411.288178271029,0.0,556.6238255973303,0.0,0.0,0.0,0.0,2585.0987637199464,2792.186559352797,284.2928646506609,2990.9923357589914,0.0,0.0,11600.920676242373,0.0
