year,Rain-fed cropland,Rain-fed cropland - herbaceous cover,Rain-fed cropland - tree or shrub cover,Irrigated or post-flooding cropland ,"Mosaic: > 50% cropland/< 50 % natural tree, shrub, herbaceous cover","Mosaic: > 50% natural tree, shrub, herbaceous cover/< 50% cropland",> 15% broad-leaved evergreen tree cover,> 15 % broad-leaved deciduous tree cover,> 40% broad-leaved deciduous tree cover,15 %-40 % broad-leaved deciduous tree cover,> 15% needle-leaved evergreen tree cover,> 40% needle-leaved evergreen tree cover,15 %-40 % needle-leaved evergreen tree cover,> 15% needle-leaved deciduous tree cover,> 40% needle-leaved deciduous tree cover,15 % -40 % needle-leaved deciduous tree cover,Mixed leaf-type (broad-leaved and needle- leaved) tree cover,Mosaic: > 50% tree and shrub cover/< 50% herbaceous cover,Mosaic: > 50% herbaceous cover/ < 50% tree and shrub cover,Shrubland,Evergreen shrubland,Deciduous shrubland,Grassland,Lichens and mosses,"Sparse vegetation: < 15% tree, shrub, herbaceous cover",Sparse vegetation: < 15% tree cover,Sparse vegetation: < 15% shrub cover,Sparse vegetation: < 15 % herbaceous cover,Flooded tree cover - fresh or brackish water,Flooded tree cover - saline water,"Flooded shrub or herbaceous cover - fresh, saline, or brackish water",Urban areas,Bare areas (total vegetative cover < 4%),Consolidated bare areas,Unconsolidated bare areas,Water body,Permanent snow and ice
1992,6975.852363593582,36276.163450058266,947.6097007082155,576.7222853170362,1412.4768336770267,3030.7603089196737,307.0398573279388,27157.322687271888,333.6162412625485,12201.908525262581,1.1035323120698646,0.0,0.0,0.0,0.0,0.0,0.8232863900734744,1010.26868741106,132.95233182636477,1797.675698179682,0.0,755.5743777043092,2384.240276407035,0.0,2.205907872871035,0.0,0.0,0.0,0.09410273495621332,0.9324366083980218,1673.81643493905,126.44590850137982,98.95365371426064,0.0,0.0,14450.570098043612,0.0
1993,6975.852363593582,36276.071900308474,947.6097007082155,576.7222853170362,1412.3830693015796,3030.7603089196737,307.0398573279388,27157.045938663217,333.6162412625485,12201.908525262581,1.1035323120698646,0.0,0.0,0.0,0.0,0.0,0.8232863900734744,1009.7146016109989,132.95233182636477,1797.490488333428,0.0,755.5743777043092,2384.240276407035,0.0,2.205907872871035,0.0,0.0,0.0,0.09410273495621332,0.9324366083980218,1673.7237960131267,127.83200698627815,98.95365371426064,0.0,0.0,14450.477996864853,0.0
1994,6975.852363593582,36276.071900308474,947.6097007082155,576.7222853170362,1412.3830693015796,3030.7603089196737,307.0398573279388,27156.49243298631,333.6162412625485,12201.908525262581,1.1035323120698646,0.0,0.0,0.0,0.0,0.0,0.8232863900734744,1009.2519828743124,132.85979604561615,1797.1210201347988,0.0,755.5743777043092,2384.240276407035,0.0,2.205907872871035,0.0,0.0,0.0,0.09410273495621332,0.9324366083980218,1673.6313227744542,129.40260861793473,98.95365371426064,0.0,0.0,14450.477996864853,0.0
1995,7352.834071733582,38670.61107020234,953.7802850994509,579.1364438784707,1562.2379411916597,3115.638178558771,314.3238323622147,24293.794164962936,338.1074655753383,11920.320680488567,1.1035323120698646,0.0,0.0,0.0,0.0,0.0,0.8232863900734744,1045.5084309074305,137.06013268318335,1857.253764721626,0.0,803.8086830442202,2378.543297883327,0.0,2.205907872871035,0.0,0.0,0.0,0.09410273495621332,0.9324366083980218,1688.5271511173337,132.0747655311962,98.95365371426064,0.0,0.0,14407.45570646957,0.0
1996,7482.307202443314,39191.4813507132,962.4532294631961,579.4131235815578,1570.5133645583567,3091.578123076774,314.6977323009109,23630.225372235698,339.1351080715302,11911.393541345673,1.1035323120698646,0.0,0.0,0.0,0.0,0.0,0.8232863900734744,1050.033082090317,139.19646921551626,1862.8346489668618,0.0,814.9353695945007,2378.073925563366,0.0,2.205907872871035,0.0,0.0,0.0,0.28231128221765256,0.9324366083980218,1702.8053137105928,134.5574175506135,98.95365371426064,0.0,0.0,14395.193483381965,0.0
1997,7694.552557045967,40289.26384453177,984.8211307429212,581.4612078207957,1604.385230768631,3098.6927972691683,315.6322564091829,22217.74392883341,339.1351080715302,11874.589913877031,1.1035323120698646,0.0,0.0,0.0,0.0,0.0,0.8232863900734744,1062.2480078235617,140.77544725275195,1889.0311038963698,0.0,838.6290211969664,2379.5765805737897,0.0,2.205907872871035,0.0,0.0,0.0,0.28231128221765256,0.9324366083980218,1713.2086763209338,137.32621003571174,98.95365371426064,0.0,0.0,14389.754835393478,0.0
1998,8094.8545407647425,42693.07585567303,992.6382765577357,593.8534936698323,1629.7328978583948,3115.0380941409685,315.0855896488414,19237.58033661958,339.2289101224223,11839.120402489176,1.1035323120698646,0.0,0.0,0.0,0.0,0.0,0.8232863900734744,1085.6769410451577,142.26020293950702,1948.7845237954841,0.0,886.7088248216594,2380.5911194268965,0.0,2.205907872871035,0.0,0.0,0.0,0.28231128221765256,0.9324366083980218,1738.2481220092536,140.27562936143516,99.7797089017118,0.0,0.0,14377.248041732397,0.0
1999,8738.015181153076,47692.84510285455,1098.426721047156,601.9520504774656,1788.7660940167343,3365.089156433882,308.0525757314976,12820.502354395127,343.0680936529092,11510.417439189425,1.1035323120698646,0.0,0.0,0.0,0.0,0.0,0.8232863900734744,1142.7662759147,150.4772515722283,2103.7859585750502,0.0,1098.8866068418056,2611.374979401903,0.0,2.205907872871035,0.0,0.0,0.0,0.28231128221765256,1.1192459567696176,1795.0726107297617,143.32108407152379,99.96329571233834,0.0,0.0,14236.81187045875,0.0
2000,8837.695098713108,48027.30635531715,1133.7766963407278,607.4895317068812,1826.5235607597663,3430.8599554318357,306.6850696428882,12249.626316567881,342.79013449628457,11419.509430384223,0.0,0.0,0.0,0.0,0.0,0.0,0.8232863900734744,1157.7140816698973,153.0870396278539,2128.892180610242,0.0,1104.9064463316492,2629.9137475382136,0.0,2.205907872871035,0.0,0.0,0.0,0.28231128221765256,1.1192459567696176,1804.153969775468,148.30595048948115,100.69751882125014,0.0,0.0,14240.76515031714,0.0
2001,8858.139074761908,48151.58115530258,1165.1880382969637,610.0320629973211,1826.764800556721,3163.2905836615014,310.11987035058075,12280.8712380935,344.36650782376944,11548.867483257984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.5332482062336,134.08571700169614,2090.1559210557575,0.0,1105.3619656063659,2600.3269966782204,0.0,2.113877334008376,0.0,0.0,0.0,0.28231128221765256,1.3060524988324405,1792.6492001073882,148.58351956931918,100.69751882125014,0.0,0.0,14253.811842779753,0.0
